account,reel_url
davi_maia,https://www.instagram.com/davimaialima/reel/BVUgSRSAdH9/
davi_maia,https://www.instagram.com/davimaialima/reel/BVczF3MA2bK/
davi_maia,https://www.instagram.com/davimaialima/reel/BVmxfubAHTl/
davi_maia,https://www.instagram.com/davimaialima/reel/BWGY4fkgCZV/
davi_maia,https://www.instagram.com/davimaialima/reel/BWNNGUJAI5B/
davi_maia,https://www.instagram.com/davimaialima/reel/BWYNcTngj6P/
davi_maia,https://www.instagram.com/davimaialima/reel/BWYtyn4gTu1/
davi_maia,https://www.instagram.com/davimaialima/reel/BWbL4lygIK-/
davi_maia,https://www.instagram.com/davimaialima/reel/BWcwrFJg-fE/
davi_maia,https://www.instagram.com/davimaialima/reel/BWiFmN_AoOU/
davi_maia,https://www.instagram.com/davimaialima/reel/BWm7VPTg36U/
davi_maia,https://www.instagram.com/davimaialima/reel/BWu9N7eAIRB/
davi_maia,https://www.instagram.com/davimaialima/reel/BWyL7ZFA8GW/
davi_maia,https://www.instagram.com/davimaialima/reel/BX0h4bpg6oi/
davi_maia,https://www.instagram.com/davimaialima/reel/BXAtI0LAwtq/
davi_maia,https://www.instagram.com/davimaialima/reel/BXGyNWpAHxN/
davi_maia,https://www.instagram.com/davimaialima/reel/BXVLgfHAS4C/
davi_maia,https://www.instagram.com/davimaialima/reel/BXig9NDAW7y/
davi_maia,https://www.instagram.com/davimaialima/reel/BXqzGF5gZhM/
davi_maia,https://www.instagram.com/davimaialima/reel/BY51C2Bg7KG/
davi_maia,https://www.instagram.com/davimaialima/reel/BY8Qr8EAqoz/
davi_maia,https://www.instagram.com/davimaialima/reel/BYGTv9Jgc3D/
davi_maia,https://www.instagram.com/davimaialima/reel/BYTD0yegmKA/
davi_maia,https://www.instagram.com/davimaialima/reel/BYi0TZ1Hq-0/
davi_maia,https://www.instagram.com/davimaialima/reel/BYoSsCrHn9A/
davi_maia,https://www.instagram.com/davimaialima/reel/BZG_3Ppg2_9/
davi_maia,https://www.instagram.com/davimaialima/reel/BZGpWo7gFeS/
davi_maia,https://www.instagram.com/davimaialima/reel/BZRFb0IA1JB/
davi_maia,https://www.instagram.com/davimaialima/reel/BZT7H1egAR2/
davi_maia,https://www.instagram.com/davimaialima/reel/BZXPbCOAT1d/
davi_maia,https://www.instagram.com/davimaialima/reel/BZeTni5gHqC/
davi_maia,https://www.instagram.com/davimaialima/reel/BZgcZaQAKhp/
davi_maia,https://www.instagram.com/davimaialima/reel/BZo9JSFA98d/
