ranking_convergencia,nome_parceiro,municipio,local_votacao_parceiro,regiao_estimada,vereador,partido_vereador,votos_parceiro_local,votos_vereador_local,indice_convergencia,classificacao_convergencia,potencial_davi_10pct_local,potencial_davi_15pct_local,potencial_davi_20pct_local,acao_recomendada
52,Gabi Gonçalves,RIO LARGO,COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO,NÃO INFORMADO,SAMEA RAFAELLA TORRES TENÓRIO MASCARENHAS,REPUBLICANOS,590,54,39.78,CONVERGÊNCIA BAIXA,322,322,322,"Agendar articulação Davi + Gabi Gonçalves com o vereador SAMEA RAFAELLA TORRES TENÓRIO MASCARENHAS no território do local de votação COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
60,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENSINO FUND DR GASTAO OITICICA,NÃO INFORMADO,IZAQUE PEREIRA SILVA,AVANTE,511,122,39.78,CONVERGÊNCIA BAIXA,317,317,317,"Agendar articulação Davi + Gabi Gonçalves com o vereador IZAQUE PEREIRA SILVA no território do local de votação ESCOLA DE ENSINO FUND DR GASTAO OITICICA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
54,Gabi Gonçalves,RIO LARGO,COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO,NÃO INFORMADO,EFRAIN VERÇOLINO DA SILVA,AVANTE,590,53,39.69,CONVERGÊNCIA BAIXA,321,321,321,"Agendar articulação Davi + Gabi Gonçalves com o vereador EFRAIN VERÇOLINO DA SILVA no território do local de votação COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
53,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS,NÃO INFORMADO,ALINE BIANA CAVALCANTE,UNIÃO,595,47,39.64,CONVERGÊNCIA BAIXA,322,322,322,"Agendar articulação Davi + Gabi Gonçalves com o vereador ALINE BIANA CAVALCANTE no território do local de votação ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
61,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEÃO,NÃO INFORMADO,ALINE BIANA CAVALCANTE,UNIÃO,528,105,39.57,CONVERGÊNCIA BAIXA,316,316,316,"Agendar articulação Davi + Gabi Gonçalves com o vereador ALINE BIANA CAVALCANTE no território do local de votação ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEÃO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
63,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENSINO FUND DR GASTAO OITICICA,NÃO INFORMADO,JEFFERSON ALEXANDRE CAVALCANTE,AVANTE,511,117,39.4,CONVERGÊNCIA BAIXA,314,314,314,"Agendar articulação Davi + Gabi Gonçalves com o vereador JEFFERSON ALEXANDRE CAVALCANTE no território do local de votação ESCOLA DE ENSINO FUND DR GASTAO OITICICA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
64,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENSINO FUND DR GASTAO OITICICA,NÃO INFORMADO,JOSE CARLOS REIS DOS SANTOS FILHO,PP,511,117,39.4,CONVERGÊNCIA BAIXA,314,314,314,"Agendar articulação Davi + Gabi Gonçalves com o vereador JOSE CARLOS REIS DOS SANTOS FILHO no território do local de votação ESCOLA DE ENSINO FUND DR GASTAO OITICICA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
65,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENSINO FUND DR GASTAO OITICICA,NÃO INFORMADO,RAFAEL RUDSON FEITOSA PINTO,PP,511,117,39.4,CONVERGÊNCIA BAIXA,314,314,314,"Agendar articulação Davi + Gabi Gonçalves com o vereador RAFAEL RUDSON FEITOSA PINTO no território do local de votação ESCOLA DE ENSINO FUND DR GASTAO OITICICA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
56,Gabi Gonçalves,RIO LARGO,ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO,MUTIRAO,JOSE CARLOS REIS DOS SANTOS FILHO,PP,580,57,39.37,CONVERGÊNCIA BAIXA,318,318,318,"Agendar articulação Davi + Gabi Gonçalves com o vereador JOSE CARLOS REIS DOS SANTOS FILHO no território do local de votação ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
62,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO,NÃO INFORMADO,RAFAEL RUDSON FEITOSA PINTO,PP,555,77,39.27,CONVERGÊNCIA BAIXA,316,316,316,"Agendar articulação Davi + Gabi Gonçalves com o vereador RAFAEL RUDSON FEITOSA PINTO no território do local de votação ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
57,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS,NÃO INFORMADO,CICERO ALVES DE OMENA,MDB,595,40,39.13,CONVERGÊNCIA BAIXA,318,318,318,"Agendar articulação Davi + Gabi Gonçalves com o vereador CICERO ALVES DE OMENA no território do local de votação ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
58,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS,NÃO INFORMADO,CAMILLY CABRAL CORREIA ALVES DE OLIVEIRA,PDT,595,39,39.08,CONVERGÊNCIA BAIXA,318,318,318,"Agendar articulação Davi + Gabi Gonçalves com o vereador CAMILLY CABRAL CORREIA ALVES DE OLIVEIRA no território do local de votação ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
59,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS,NÃO INFORMADO,CARLOS HENRIQUE ROLIM VASCONCELOS,PP,595,39,39.08,CONVERGÊNCIA BAIXA,318,318,318,"Agendar articulação Davi + Gabi Gonçalves com o vereador CARLOS HENRIQUE ROLIM VASCONCELOS no território do local de votação ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
132,Gabi Gonçalves,MACEIÓ,ESCOLA ESTADUAL MARIA AMÁLIA,ABC,JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR,MDB,53,509,39.02,CONVERGÊNCIA BAIXA,280,280,280,"Agendar articulação Davi + Gabi Gonçalves com o vereador JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR no território do local de votação ESCOLA ESTADUAL MARIA AMÁLIA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
70,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEÃO,NÃO INFORMADO,JEFFERSON ALEXANDRE CAVALCANTE,AVANTE,528,97,39.01,CONVERGÊNCIA BAIXA,312,312,312,"Agendar articulação Davi + Gabi Gonçalves com o vereador JEFFERSON ALEXANDRE CAVALCANTE no território do local de votação ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEÃO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
69,Gabi Gonçalves,RIO LARGO,GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA,NÃO INFORMADO,NADIELLE NAYARA DA COSTA LOPES,PP,554,73,38.91,CONVERGÊNCIA BAIXA,313,313,313,"Agendar articulação Davi + Gabi Gonçalves com o vereador NADIELLE NAYARA DA COSTA LOPES no território do local de votação GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
66,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO,NÃO INFORMADO,LUZARDO DE ARAÚJO LISBOA NETO,PDT,555,71,38.89,CONVERGÊNCIA BAIXA,314,314,314,"Agendar articulação Davi + Gabi Gonçalves com o vereador LUZARDO DE ARAÚJO LISBOA NETO no território do local de votação ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
71,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO,NÃO INFORMADO,NADIELLE NAYARA DA COSTA LOPES,PP,555,68,38.66,CONVERGÊNCIA BAIXA,312,312,312,"Agendar articulação Davi + Gabi Gonçalves com o vereador NADIELLE NAYARA DA COSTA LOPES no território do local de votação ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
73,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEÃO,NÃO INFORMADO,JOSÉ ROGÉRIO DA SILVA,PP,528,90,38.54,CONVERGÊNCIA BAIXA,309,309,309,"Agendar articulação Davi + Gabi Gonçalves com o vereador JOSÉ ROGÉRIO DA SILVA no território do local de votação ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEÃO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
67,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS,NÃO INFORMADO,ABERILDO MARIZ FERREIRA,MDB,595,31,38.52,CONVERGÊNCIA BAIXA,314,314,314,"Agendar articulação Davi + Gabi Gonçalves com o vereador ABERILDO MARIZ FERREIRA no território do local de votação ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
77,Gabi Gonçalves,RIO LARGO,ESCOLA ESTADUAL SANTOS DUMONT,MILITAR,JOSÉ ROGÉRIO DA SILVA,PP,507,107,38.5,CONVERGÊNCIA BAIXA,308,308,308,"Agendar articulação Davi + Gabi Gonçalves com o vereador JOSÉ ROGÉRIO DA SILVA no território do local de votação ESCOLA ESTADUAL SANTOS DUMONT. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
78,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENSINO FUND DR GASTAO OITICICA,NÃO INFORMADO,NADIELLE NAYARA DA COSTA LOPES,PP,511,103,38.46,CONVERGÊNCIA BAIXA,308,308,308,"Agendar articulação Davi + Gabi Gonçalves com o vereador NADIELLE NAYARA DA COSTA LOPES no território do local de votação ESCOLA DE ENSINO FUND DR GASTAO OITICICA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
79,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEÃO,NÃO INFORMADO,EFRAIN VERÇOLINO DA SILVA,AVANTE,528,87,38.35,CONVERGÊNCIA BAIXA,308,308,308,"Agendar articulação Davi + Gabi Gonçalves com o vereador EFRAIN VERÇOLINO DA SILVA no território do local de votação ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEÃO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
72,Gabi Gonçalves,RIO LARGO,ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO,MUTIRAO,JEFFERSON ALEXANDRE CAVALCANTE,AVANTE,580,42,38.33,CONVERGÊNCIA BAIXA,311,311,311,"Agendar articulação Davi + Gabi Gonçalves com o vereador JEFFERSON ALEXANDRE CAVALCANTE no território do local de votação ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
74,Gabi Gonçalves,RIO LARGO,GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA,NÃO INFORMADO,JEFFERSON ALEXANDRE CAVALCANTE,AVANTE,554,64,38.3,CONVERGÊNCIA BAIXA,309,309,309,"Agendar articulação Davi + Gabi Gonçalves com o vereador JEFFERSON ALEXANDRE CAVALCANTE no território do local de votação GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
75,Gabi Gonçalves,RIO LARGO,GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA,NÃO INFORMADO,LUZARDO DE ARAÚJO LISBOA NETO,PDT,554,64,38.3,CONVERGÊNCIA BAIXA,309,309,309,"Agendar articulação Davi + Gabi Gonçalves com o vereador LUZARDO DE ARAÚJO LISBOA NETO no território do local de votação GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
76,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO,NÃO INFORMADO,CARLOS HENRIQUE ROLIM VASCONCELOS,PP,555,62,38.24,CONVERGÊNCIA BAIXA,309,309,309,"Agendar articulação Davi + Gabi Gonçalves com o vereador CARLOS HENRIQUE ROLIM VASCONCELOS no território do local de votação ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
86,Gabi Gonçalves,RIO LARGO,ESCOLA MUNICIPAL TERESA CRISTINA LINS DE SOUZA COSTA,NÃO INFORMADO,MÁRCIO SOARES CAVALCANTE,PP,506,103,38.14,CONVERGÊNCIA BAIXA,305,305,305,"Agendar articulação Davi + Gabi Gonçalves com o vereador MÁRCIO SOARES CAVALCANTE no território do local de votação ESCOLA MUNICIPAL TERESA CRISTINA LINS DE SOUZA COSTA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
83,Gabi Gonçalves,RIO LARGO,GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA,NÃO INFORMADO,JOSÉ ROGÉRIO DA SILVA,PP,554,60,38.02,CONVERGÊNCIA BAIXA,307,307,307,"Agendar articulação Davi + Gabi Gonçalves com o vereador JOSÉ ROGÉRIO DA SILVA no território do local de votação GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
84,Gabi Gonçalves,RIO LARGO,GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA,NÃO INFORMADO,EFRAIN VERÇOLINO DA SILVA,AVANTE,554,59,37.97,CONVERGÊNCIA BAIXA,307,307,307,"Agendar articulação Davi + Gabi Gonçalves com o vereador EFRAIN VERÇOLINO DA SILVA no território do local de votação GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
80,Gabi Gonçalves,RIO LARGO,ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO,MUTIRAO,LUZARDO DE ARAÚJO LISBOA NETO,PDT,580,37,37.96,CONVERGÊNCIA BAIXA,308,308,308,"Agendar articulação Davi + Gabi Gonçalves com o vereador LUZARDO DE ARAÚJO LISBOA NETO no território do local de votação ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
81,Gabi Gonçalves,RIO LARGO,ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO,MUTIRAO,JOSÉ ROGÉRIO DA SILVA,PP,580,36,37.91,CONVERGÊNCIA BAIXA,308,308,308,"Agendar articulação Davi + Gabi Gonçalves com o vereador JOSÉ ROGÉRIO DA SILVA no território do local de votação ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
82,Gabi Gonçalves,RIO LARGO,ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO,MUTIRAO,RAFAEL RUDSON FEITOSA PINTO,PP,580,36,37.91,CONVERGÊNCIA BAIXA,308,308,308,"Agendar articulação Davi + Gabi Gonçalves com o vereador RAFAEL RUDSON FEITOSA PINTO no território do local de votação ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
89,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENSINO FUND DR GASTAO OITICICA,NÃO INFORMADO,CARLOS HENRIQUE ROLIM VASCONCELOS,PP,511,95,37.9,CONVERGÊNCIA BAIXA,304,304,304,"Agendar articulação Davi + Gabi Gonçalves com o vereador CARLOS HENRIQUE ROLIM VASCONCELOS no território do local de votação ESCOLA DE ENSINO FUND DR GASTAO OITICICA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
90,Gabi Gonçalves,RIO LARGO,GRUPO ESCOLAR MANOEL SOARES DE SOUZA,RAUL S,CAMILLY CABRAL CORREIA ALVES DE OLIVEIRA,PDT,528,81,37.88,CONVERGÊNCIA BAIXA,304,304,304,"Agendar articulação Davi + Gabi Gonçalves com o vereador CAMILLY CABRAL CORREIA ALVES DE OLIVEIRA no território do local de votação GRUPO ESCOLAR MANOEL SOARES DE SOUZA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
91,Gabi Gonçalves,RIO LARGO,GRUPO ESCOLAR MANOEL SOARES DE SOUZA,RAUL S,JEFFERSON ALEXANDRE CAVALCANTE,AVANTE,528,81,37.88,CONVERGÊNCIA BAIXA,304,304,304,"Agendar articulação Davi + Gabi Gonçalves com o vereador JEFFERSON ALEXANDRE CAVALCANTE no território do local de votação GRUPO ESCOLAR MANOEL SOARES DE SOUZA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
87,Gabi Gonçalves,RIO LARGO,GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA,NÃO INFORMADO,CARLOS HENRIQUE ROLIM VASCONCELOS,PP,554,57,37.78,CONVERGÊNCIA BAIXA,305,305,305,"Agendar articulação Davi + Gabi Gonçalves com o vereador CARLOS HENRIQUE ROLIM VASCONCELOS no território do local de votação GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
85,Gabi Gonçalves,RIO LARGO,ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO,MUTIRAO,NADIELLE NAYARA DA COSTA LOPES,PP,580,31,37.58,CONVERGÊNCIA BAIXA,306,306,306,"Agendar articulação Davi + Gabi Gonçalves com o vereador NADIELLE NAYARA DA COSTA LOPES no território do local de votação ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
88,Gabi Gonçalves,RIO LARGO,ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO,MUTIRAO,EFRAIN VERÇOLINO DA SILVA,AVANTE,580,30,37.49,CONVERGÊNCIA BAIXA,305,305,305,"Agendar articulação Davi + Gabi Gonçalves com o vereador EFRAIN VERÇOLINO DA SILVA no território do local de votação ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
93,Gabi Gonçalves,RIO LARGO,GRUPO ESCOLAR MANOEL SOARES DE SOUZA,RAUL S,CARLOS HENRIQUE ROLIM VASCONCELOS,PP,528,74,37.42,CONVERGÊNCIA BAIXA,301,301,301,"Agendar articulação Davi + Gabi Gonçalves com o vereador CARLOS HENRIQUE ROLIM VASCONCELOS no território do local de votação GRUPO ESCOLAR MANOEL SOARES DE SOUZA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
92,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO,NÃO INFORMADO,ALINE BIANA CAVALCANTE,UNIÃO,555,50,37.39,CONVERGÊNCIA BAIXA,303,303,303,"Agendar articulação Davi + Gabi Gonçalves com o vereador ALINE BIANA CAVALCANTE no território do local de votação ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
94,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEÃO,NÃO INFORMADO,DOUGLAS HENRIQUE DE FRANÇA COSTA,UNIÃO,528,73,37.32,CONVERGÊNCIA BAIXA,300,300,300,"Agendar articulação Davi + Gabi Gonçalves com o vereador DOUGLAS HENRIQUE DE FRANÇA COSTA no território do local de votação ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEÃO. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
98,Gabi Gonçalves,RIO LARGO,ESCOLA DE ENSINO FUND DR GASTAO OITICICA,NÃO INFORMADO,CAMILLY CABRAL CORREIA ALVES DE OLIVEIRA,PDT,511,85,37.15,CONVERGÊNCIA BAIXA,298,298,298,"Agendar articulação Davi + Gabi Gonçalves com o vereador CAMILLY CABRAL CORREIA ALVES DE OLIVEIRA no território do local de votação ESCOLA DE ENSINO FUND DR GASTAO OITICICA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
96,Gabi Gonçalves,RIO LARGO,GRUPO ESCOLAR MANOEL SOARES DE SOUZA,RAUL S,IZAQUE PEREIRA SILVA,AVANTE,528,70,37.13,CONVERGÊNCIA BAIXA,299,299,299,"Agendar articulação Davi + Gabi Gonçalves com o vereador IZAQUE PEREIRA SILVA no território do local de votação GRUPO ESCOLAR MANOEL SOARES DE SOUZA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
99,Gabi Gonçalves,RIO LARGO,GRUPO ESCOLAR MANOEL SOARES DE SOUZA,RAUL S,CICERO ALVES DE OMENA,MDB,528,69,37.04,CONVERGÊNCIA BAIXA,298,298,298,"Agendar articulação Davi + Gabi Gonçalves com o vereador CICERO ALVES DE OMENA no território do local de votação GRUPO ESCOLAR MANOEL SOARES DE SOUZA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
95,Gabi Gonçalves,RIO LARGO,GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA,NÃO INFORMADO,CAMILLY CABRAL CORREIA ALVES DE OLIVEIRA,PDT,554,46,37.03,CONVERGÊNCIA BAIXA,300,300,300,"Agendar articulação Davi + Gabi Gonçalves com o vereador CAMILLY CABRAL CORREIA ALVES DE OLIVEIRA no território do local de votação GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
97,Gabi Gonçalves,RIO LARGO,GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA,NÃO INFORMADO,ALINE BIANA CAVALCANTE,UNIÃO,554,45,36.94,CONVERGÊNCIA BAIXA,299,299,299,"Agendar articulação Davi + Gabi Gonçalves com o vereador ALINE BIANA CAVALCANTE no território do local de votação GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
