ranking_sinergia_davi_gabi,municipio,prioridade_sinergia_davi_gabi,status_agenda_conjunta,score_sinergia_davi_gabi,ranking_gabi_preliminar,prioridade_visita_gabi,score_gabi_preliminar,ranking_davi_ref,score_davi_ref,ranking_base_davi,indice_estrategico_base_davi,eleitorado,populacao,meta_votos_referencia_gabi,liderancas_mapeadas,principal_lideranca,partido_principal_lideranca,votos_principal_lideranca,prioridade_principal_lideranca,votos_liderancas_total,potencial_transferencia_10pct,prefeito_2024,partido_prefeito_2024,relacao_gabi,aderencia_gabi,grupo_politico_gabi,semana_sugerida,acao_recomendada,formato_agenda_recomendada,justificativa_sinergia,municipio_key
43,Colônia Leopoldina,Monitoramento,Sem prioridade imediata,3.34,42,Monitoramento,2.1291983513671573,44,0.0060052774867033,44,0.0060052774867033,15772,15949,80,0.0,,,0.0,,0.0,0.0,ALEXANDRE GILBERTO SOBREIRA,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Colônia Leopoldina: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito ALEXANDRE GILBERTO SOBREIRA.,"Colônia Leopoldina deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 3.34.",COLONIA LEOPOLDINA
44,Olho d'Água das Flores,Monitoramento,Sem prioridade imediata,3.32,51,Monitoramento,1.7700964353791764,40,0.0066878722224231,40,0.0066878722224231,16469,21132,66,0.0,,,0.0,,0.0,0.0,JOSÉ LUIZ VASCONCELLOS DOS ANJOS,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Olho d'Água das Flores: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito JOSÉ LUIZ VASCONCELLOS DOS ANJOS.,"Olho d'Água das Flores deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 3.32.",OLHO D'AGUA DAS FLORES
45,Joaquim Gomes,Monitoramento,Sem prioridade imediata,3.31,44,Monitoramento,2.054658106931736,45,0.006001040275056,45,0.006001040275056,15290,17386,77,0.0,,,0.0,,0.0,0.0,ELIAS JOSE DA SILVA,PSB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Joaquim Gomes: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito ELIAS JOSE DA SILVA.,"Joaquim Gomes deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 3.31.",JOAQUIM GOMES
46,Canapi,Monitoramento,Sem prioridade imediata,3.29,45,Monitoramento,2.0324858925706977,48,0.0058594325001285,48,0.0058594325001285,15330,15743,76,0.0,,,0.0,,0.0,0.0,JOSÉLIA MELO DE LIMA,PP,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Canapi: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito JOSÉLIA MELO DE LIMA.,"Canapi deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 3.29.",CANAPI
47,Cajueiro,Monitoramento,Sem prioridade imediata,3.28,46,Monitoramento,1.9833766882538288,47,0.0059024895653799,47,0.0059024895653799,15200,16605,74,0.0,,,0.0,,0.0,0.0,LUCILA RÉGIA ALBUQUERQUE TOLEDO,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Cajueiro: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito LUCILA RÉGIA ALBUQUERQUE TOLEDO.,"Cajueiro deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 3.28.",CAJUEIRO
48,Barra de Santo Antônio,Monitoramento,Sem prioridade imediata,3.26,49,Monitoramento,1.875745838320174,46,0.0059681849623076,46,0.0059681849623076,15387,16735,70,0.0,,,0.0,,0.0,0.0,LIVIA CARLA DA SILVA ALVES,REPUBLICANOS,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Barra de Santo Antônio: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito LIVIA CARLA DA SILVA ALVES.,"Barra de Santo Antônio deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 3.26.",BARRA DE SANTO ANTONIO
49,Inhapi,Monitoramento,Sem prioridade imediata,3.23,48,Monitoramento,1.95834358630366,50,0.0056044092289898,50,0.0056044092289898,14546,15417,73,0.0,,,0.0,,0.0,0.0,LUIZ CELSO MALTA BRANDÃO FILHO,PP,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Inhapi: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito LUIZ CELSO MALTA BRANDÃO FILHO.,"Inhapi deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 3.23.",INHAPI
50,Batalha,Monitoramento,Sem prioridade imediata,3.21,47,Monitoramento,1.9618969004457147,52,0.0055351140474939,52,0.0055351140474939,13756,17103,74,0.0,,,0.0,,0.0,0.0,WAGNEY DANTAS CORREIA CAJE,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Batalha: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito WAGNEY DANTAS CORREIA CAJE.,"Batalha deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 3.21.",BATALHA
51,Messias,Monitoramento,Sem prioridade imediata,3.2,50,Monitoramento,1.871506119641607,51,0.0056007666337882,51,0.0056007666337882,14439,15707,70,0.0,,,0.0,,0.0,0.0,MARCOS JOSÉ HERCULANO DA SILVA,REPUBLICANOS,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Messias: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito MARCOS JOSÉ HERCULANO DA SILVA.,"Messias deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 3.20.",MESSIAS
52,Piaçabuçu,Monitoramento,Sem prioridade imediata,3.16,54,Monitoramento,1.7299824241570454,49,0.0056316030866728,49,0.0056316030866728,14386,16201,65,0.0,,,0.0,,0.0,0.0,RYMES MARINHO LESSA,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Piaçabuçu: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito RYMES MARINHO LESSA.,"Piaçabuçu deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 3.16.",PIACABUCU
53,Capela,Monitoramento,Sem prioridade imediata,3.1,53,Monitoramento,1.7345299838274275,53,0.0052409348323462,53,0.0052409348323462,13391,15068,65,0.0,,,0.0,,0.0,0.0,THIAGO DE MEDEIROS MOURA,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Capela: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito THIAGO DE MEDEIROS MOURA.,"Capela deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 3.10.",CAPELA
54,Anadia,Monitoramento,Sem prioridade imediata,3.09,52,Monitoramento,1.7422450313139877,55,0.0050983815592781,55,0.0050983815592781,13178,14193,65,0.0,,,0.0,,0.0,0.0,PAULO VICTOR PEREIRA ROCHA,PP,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Anadia: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito PAULO VICTOR PEREIRA ROCHA.,"Anadia deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 3.09.",ANADIA
55,Estrela de Alagoas,Monitoramento,Sem prioridade imediata,3.08,55,Monitoramento,1.6837686055173169,54,0.0052073539237752,54,0.0052073539237752,13068,15701,63,0.0,,,0.0,,0.0,0.0,ROBERTO FERREIRA WANDERLEY,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Estrela de Alagoas: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito ROBERTO FERREIRA WANDERLEY.,"Estrela de Alagoas deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 3.08.",ESTRELA DE ALAGOAS
56,Paripueira,Monitoramento,Sem prioridade imediata,3.04,56,Monitoramento,1.6554681862313174,56,0.0049910625126986,56,0.0049910625126986,12809,14176,62,0.0,,,0.0,,0.0,0.0,CARLOS ABRAHÃO GOMES DE MOURA,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Paripueira: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito CARLOS ABRAHÃO GOMES DE MOURA.,"Paripueira deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 3.04.",PARIPUEIRA
57,Passo de Camaragibe,Monitoramento,Sem prioridade imediata,3.0,57,Monitoramento,1.5486683948741662,57,0.0049204253311797,57,0.0049204253311797,12595,14076,58,0.0,,,0.0,,0.0,0.0,ELLISSON SANTOS DA SILVA,REPUBLICANOS,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Passo de Camaragibe: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito ELLISSON SANTOS DA SILVA.,"Passo de Camaragibe deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 3.00.",PASSO DE CAMARAGIBE
58,Ibateguara,Monitoramento,Sem prioridade imediata,2.94,58,Monitoramento,1.451429739710102,58,0.0047188948172057,58,0.0047188948172057,11919,13992,54,0.0,,,0.0,,0.0,0.0,MANOEL GERAERTES ALVES CRUZ,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Ibateguara: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito MANOEL GERAERTES ALVES CRUZ.,"Ibateguara deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.94.",IBATEGUARA
59,Maribondo,Monitoramento,Sem prioridade imediata,2.89,60,Monitoramento,1.426616906924945,59,0.0044822647402321,59,0.0044822647402321,11101,13968,54,0.0,,,0.0,,0.0,0.0,BRUNO ZEFERINO DO CARMO TEIXEIRA,PSB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Maribondo: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito BRUNO ZEFERINO DO CARMO TEIXEIRA.,"Maribondo deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.89.",MARIBONDO
60,Poço das Trincheiras,Monitoramento,Sem prioridade imediata,2.88,59,Monitoramento,1.431191772347037,60,0.0043976823063316,60,0.0043976823063316,11129,12974,54,0.0,,,0.0,,0.0,0.0,JOSE VALMIRO GOMES DA COSTA,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Poço das Trincheiras: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito JOSE VALMIRO GOMES DA COSTA.,"Poço das Trincheiras deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.88.",POCO DAS TRINCHEIRAS
61,Quebrangulo,Monitoramento,Sem prioridade imediata,2.78,64,Monitoramento,1.251997115353405,61,0.0040533570257749,61,0.0040533570257749,10470,11305,47,0.0,,,0.0,,0.0,0.0,MANOEL COSTA TENÓRIO,PSDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Quebrangulo: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito MANOEL COSTA TENÓRIO.,"Quebrangulo deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.78.",QUEBRANGULO
62,Novo Lino,Monitoramento,Sem prioridade imediata,2.77,61,Monitoramento,1.2906846752879253,65,0.0038801671086606,65,0.0038801671086606,10193,10298,48,0.0,,,0.0,,0.0,0.0,MARCELA SILVA GOMES DE BARROS,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Novo Lino: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito MARCELA SILVA GOMES DE BARROS.,"Novo Lino deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.77.",NOVO LINO
63,Olivença,Monitoramento,Sem prioridade imediata,2.77,62,Monitoramento,1.2676039743911391,64,0.0039692391690208,64,0.0039692391690208,10260,11048,48,0.0,,,0.0,,0.0,0.0,JOSIMAR DIONISIO,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Olivença: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito JOSIMAR DIONISIO.,"Olivença deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.77.",OLIVENCA
64,Senador Rui Palmeira,Monitoramento,Sem prioridade imediata,2.76,66,Monitoramento,1.243669922112531,62,0.0040030575807539,62,0.0040030575807539,9890,12549,47,0.0,,,0.0,,0.0,0.0,JOÃO CARLOS RODRIGUES,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Senador Rui Palmeira: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito JOÃO CARLOS RODRIGUES.,"Senador Rui Palmeira deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.76.",SENADOR RUI PALMEIRA
65,Ouro Branco,Monitoramento,Sem prioridade imediata,2.75,68,Monitoramento,1.1964877323368357,63,0.0039774515787206,63,0.0039774515787206,10077,11699,45,0.0,,,0.0,,0.0,0.0,TACIA DENYSE DE SIQUEIRA NOBRE,PP,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Ouro Branco: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito TACIA DENYSE DE SIQUEIRA NOBRE.,"Ouro Branco deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.75.",OURO BRANCO
66,Dois Riachos,Monitoramento,Sem prioridade imediata,2.74,65,Monitoramento,1.2447146288473312,69,0.0037591156607118,69,0.0037591156607118,9898,9906,47,0.0,,,0.0,,0.0,0.0,ROZINEIDE BARBOSA DE ARAÚJO CAMILO,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Dois Riachos: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito ROZINEIDE BARBOSA DE ARAÚJO CAMILO.,"Dois Riachos deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.74.",DOIS RIACHOS
67,Coité do Nóia,Monitoramento,Sem prioridade imediata,2.74,67,Monitoramento,1.233503683888578,67,0.0038004921428997,67,0.0038004921428997,9675,11036,46,0.0,,,0.0,,0.0,0.0,BUENO HIGINO DE SOUZA SILVA,PP,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Coité do Nóia: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito BUENO HIGINO DE SOUZA SILVA.,"Coité do Nóia deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.74.",COITE DO NOIA
68,Campo Grande,Monitoramento,Sem prioridade imediata,2.71,63,Monitoramento,1.256996791569588,72,0.0035079770359287,72,0.0035079770359287,9546,8293,47,0.0,,,0.0,,0.0,0.0,TEOGENES HIGINO MELO LESSA,PSB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Campo Grande: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito TEOGENES HIGINO MELO LESSA.,"Campo Grande deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.71.",CAMPO GRANDE
69,Santana do Mundaú,Monitoramento,Sem prioridade imediata,2.71,69,Monitoramento,1.1472938115226743,66,0.0038363015810328,66,0.0038363015810328,9627,11568,43,0.0,,,0.0,,0.0,0.0,ANDRÉ LUIZ GOES CASTRO,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Santana do Mundaú: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito ANDRÉ LUIZ GOES CASTRO.,"Santana do Mundaú deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.71.",SANTANA DO MUNDAU
70,Pariconha,Monitoramento,Sem prioridade imediata,2.7,71,Monitoramento,1.123668157833401,68,0.0037991294917576,68,0.0037991294917576,9746,10803,42,0.0,,,0.0,,0.0,0.0,ANTONIO TELMO NOIA,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Pariconha: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito ANTONIO TELMO NOIA.,"Pariconha deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.70.",PARICONHA
71,Branquinha,Monitoramento,Sem prioridade imediata,2.68,72,Monitoramento,1.098718128207505,70,0.0036473584676894,70,0.0036473584676894,9547,9786,41,0.0,,,0.0,,0.0,0.0,RAIMUNDO JOSÉ DE FREITAS LOPES,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Branquinha: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito RAIMUNDO JOSÉ DE FREITAS LOPES.,"Branquinha deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.68.",BRANQUINHA
72,Japaratinga,Monitoramento,Sem prioridade imediata,2.66,70,Monitoramento,1.1442143674465686,73,0.0034787208297486,73,0.0034787208297486,9070,9443,43,0.0,,,0.0,,0.0,0.0,JOSÉ SEVERINO DA SILVA,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Japaratinga: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito JOSÉ SEVERINO DA SILVA.,"Japaratinga deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.66.",JAPARATINGA
73,Cacimbinhas,Monitoramento,Sem prioridade imediata,2.65,73,Monitoramento,1.0864218889666049,71,0.0035460631164471,71,0.0035460631164471,8896,10701,41,0.0,,,0.0,,0.0,0.0,WLADIMIR ARAÚJO WANDERLEY,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Cacimbinhas: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito WLADIMIR ARAÚJO WANDERLEY.,"Cacimbinhas deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.65.",CACIMBINHAS
74,Flexeiras,Monitoramento,Sem prioridade imediata,2.62,75,Monitoramento,1.000530811980318,74,0.0034685032910371,74,0.0034685032910371,8929,9767,38,0.0,,,0.0,,0.0,0.0,SILVANA MARIA CAVALCANTE DA COSTA PINTO,PP,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Flexeiras: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito SILVANA MARIA CAVALCANTE DA COSTA PINTO.,"Flexeiras deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.62.",FLEXEIRAS
75,Jequiá da Praia,Monitoramento,Sem prioridade imediata,2.61,74,Monitoramento,1.0344919003967057,76,0.0033678775624498,76,0.0033678775624498,8624,9625,39,0.0,,,0.0,,0.0,0.0,CARLOS FELIPE CASTRO JATOBA LINS,PP,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Jequiá da Praia: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito CARLOS FELIPE CASTRO JATOBA LINS.,"Jequiá da Praia deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.61.",JEQUIA DA PRAIA
76,Maravilha,Monitoramento,Sem prioridade imediata,2.6,77,Monitoramento,0.9543368668378084,75,0.0034593605462463,75,0.0034593605462463,8914,9715,38,0.0,,,0.0,,0.0,0.0,ANTÔNIO JORGE RODRIGUES,REPUBLICANOS,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Maravilha: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito ANTÔNIO JORGE RODRIGUES.,"Maravilha deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.60.",MARAVILHA
77,Porto de Pedras,Monitoramento,Sem prioridade imediata,2.59,76,Monitoramento,1.0003579517144316,77,0.0032945103996158,77,0.0032945103996158,8406,9508,38,0.0,,,0.0,,0.0,0.0,ALLAN DE JESUS SILVA,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Porto de Pedras: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito ALLAN DE JESUS SILVA.,"Porto de Pedras deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.59.",PORTO DE PEDRAS
78,São Miguel dos Milagres,Monitoramento,Sem prioridade imediata,2.55,78,Monitoramento,0.9245785091716188,78,0.0031827771045455,78,0.0031827771045455,8283,8687,38,0.0,,,0.0,,0.0,0.0,JADSON LESSA DOS SANTOS,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,São Miguel dos Milagres: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito JADSON LESSA DOS SANTOS.,"São Miguel dos Milagres deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.55.",SAO MIGUEL DOS MILAGRES
79,Barra de São Miguel,Monitoramento,Sem prioridade imediata,2.54,79,Monitoramento,0.9092873585247953,79,0.0030965271297553,79,0.0030965271297553,8167,8118,38,0.0,,,0.0,,0.0,0.0,BENEDITO DE LIRA,PP,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Barra de São Miguel: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito BENEDITO DE LIRA.,"Barra de São Miguel deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.54.",BARRA DE SAO MIGUEL
80,Carneiros,Monitoramento,Sem prioridade imediata,2.51,80,Monitoramento,0.8759756820927973,81,0.0030526259083192,81,0.0030526259083192,7662,9200,38,0.0,,,0.0,,0.0,0.0,UBIRATANIA MARIA SANTANA,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Carneiros: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito UBIRATANIA MARIA SANTANA.,"Carneiros deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.51.",CARNEIROS
81,Olho d'Água do Casado,Monitoramento,Sem prioridade imediata,2.45,84,Monitoramento,0.6342090546770611,80,0.0030722718626477,80,0.0030722718626477,7951,8522,38,0.0,,,0.0,,0.0,0.0,CARLOS ALBERTO BEZERRA DA SILVA,PT,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Olho d'Água do Casado: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito CARLOS ALBERTO BEZERRA DA SILVA.,"Olho d'Água do Casado deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.45.",OLHO D'AGUA DO CASADO
82,São Brás,Monitoramento,Sem prioridade imediata,2.44,81,Monitoramento,0.7580429531103818,82,0.0027324629160571,82,0.0027324629160571,7404,6557,38,0.0,,,0.0,,0.0,0.0,KLINGER QUIRINO SANTOS,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,São Brás: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito KLINGER QUIRINO SANTOS.,"São Brás deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.44.",SAO BRAS
83,Chã Preta,Monitoramento,Sem prioridade imediata,2.4,83,Monitoramento,0.6944987627392837,83,0.0025697491292145,83,0.0025697491292145,7014,6010,38,0.0,,,0.0,,0.0,0.0,MAURICIO DE VASCONCELOS HOLANDA,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Chã Preta: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito MAURICIO DE VASCONCELOS HOLANDA.,"Chã Preta deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.40.",CHA PRETA
84,Paulo Jacinto,Monitoramento,Sem prioridade imediata,2.39,82,Monitoramento,0.7031261488721352,84,0.0025578187463442,84,0.0025578187463442,6749,6697,38,0.0,,,0.0,,0.0,0.0,FRANCISCO MANOEL FERREIRA FONTAN,PP,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Paulo Jacinto: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito FRANCISCO MANOEL FERREIRA FONTAN.,"Paulo Jacinto deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.39.",PAULO JACINTO
85,Santa Luzia do Norte,Monitoramento,Sem prioridade imediata,2.36,86,Monitoramento,0.6195753571711411,86,0.0025224728249195,86,0.0025224728249195,6506,7065,38,0.0,,,0.0,,0.0,0.0,FRANCIS CORREIA BARROS DE ARAÚJO,PP,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Santa Luzia do Norte: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito FRANCIS CORREIA BARROS DE ARAÚJO.,"Santa Luzia do Norte deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.36.",SANTA LUZIA DO NORTE
86,Monteirópolis,Monitoramento,Sem prioridade imediata,2.36,88,Monitoramento,0.6095245216229458,85,0.0025433150086042,85,0.0025433150086042,6489,7341,38,0.0,,,0.0,,0.0,0.0,LEONOR MELO MONTEIRO,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Monteirópolis: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito LEONOR MELO MONTEIRO.,"Monteirópolis deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.36.",MONTEIROPOLIS
87,Campestre,Monitoramento,Sem prioridade imediata,2.35,87,Monitoramento,0.6187788281879805,87,0.0024368290765511,87,0.0024368290765511,6291,6807,38,0.0,,,0.0,,0.0,0.0,NELSON MENDES DA SILVA NETO,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Campestre: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito NELSON MENDES DA SILVA NETO.,"Campestre deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.35.",CAMPESTRE
88,Belo Monte,Monitoramento,Sem prioridade imediata,2.34,85,Monitoramento,0.621978377144077,88,0.0023464114630944,88,0.0023464114630944,6271,5898,38,0.0,,,0.0,,0.0,0.0,DALMO AUGUSTO DE ALMEIDA JÚNIOR,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Belo Monte: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito DALMO AUGUSTO DE ALMEIDA JÚNIOR.,"Belo Monte deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.34.",BELO MONTE
89,Jacuípe,Monitoramento,Sem prioridade imediata,2.32,89,Monitoramento,0.6034180607273703,90,0.0022872367201058,90,0.0022872367201058,6216,5432,38,0.0,,,0.0,,0.0,0.0,MAYARA CRISTINA CAVALCANTE DE FREITAS,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Jacuípe: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito MAYARA CRISTINA CAVALCANTE DE FREITAS.,"Jacuípe deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.32.",JACUIPE
90,Roteiro,Monitoramento,Sem prioridade imediata,2.32,90,Monitoramento,0.5857995794389337,89,0.0023388230665404,89,0.0023388230665404,6014,6607,38,0.0,,,0.0,,0.0,0.0,PAULO JOSÉ LEITE TEIXEIRA,MDB,A CURAR,A CURAR,A CURAR,Monitoramento,Monitorar,Roteiro: monitoramento político; com validação da liderança nan; e leitura do grupo do prefeito PAULO JOSÉ LEITE TEIXEIRA.,"Roteiro deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 2.32.",ROTEIRO
