ranking_sinergia_davi_gabi,municipio,prioridade_sinergia_davi_gabi,status_agenda_conjunta,score_sinergia_davi_gabi,ranking_gabi_preliminar,prioridade_visita_gabi,score_gabi_preliminar,ranking_davi_ref,score_davi_ref,ranking_base_davi,indice_estrategico_base_davi,eleitorado,populacao,meta_votos_referencia_gabi,liderancas_mapeadas,principal_lideranca,partido_principal_lideranca,votos_principal_lideranca,prioridade_principal_lideranca,votos_liderancas_total,potencial_transferencia_10pct,prefeito_2024,partido_prefeito_2024,relacao_gabi,aderencia_gabi,grupo_politico_gabi,semana_sugerida,acao_recomendada,formato_agenda_recomendada,justificativa_sinergia,municipio_key
11,Atalaia,Monitoramento,Sem prioridade imediata,12.32,11,Alta,5.0173137117059525,12,0.0130121074857304,12,0.0130121074857304,32883,38530,753,38.0,RUDINHO,MDB,2331.0,Alta,18928.0,1890.0,CECILIA LIMA HERRMANN,MDB,A CURAR,A CURAR,A CURAR,Semana 2,Monitorar,Atalaia: monitoramento político; com validação da liderança RUDINHO; e leitura do grupo do prefeito CECILIA LIMA HERRMANN.,"Atalaia deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 12.32.",ATALAIA
12,Santana do Ipanema,Monitoramento,Sem prioridade imediata,12.12,12,Alta,5.000321429541613,11,0.0140167165913523,11,0.0140167165913523,33506,47397,750,45.0,MIGUEL OLIVEIRA,MDB,1568.0,Alta,15135.0,1512.0,JOAO EDUARDO BULHOES PORTELA DE MELO,MDB,A CURAR,A CURAR,A CURAR,Semana 2,Monitorar,Santana do Ipanema: monitoramento político; com validação da liderança MIGUEL OLIVEIRA; e leitura do grupo do prefeito JOAO EDUARDO BULHOES PORTELA DE MELO.,"Santana do Ipanema deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 12.12.",SANTANA DO IPANEMA
13,Pilar,Monitoramento,Sem prioridade imediata,11.59,14,Alta,4.334124548666826,14,0.0117494909850829,14,0.0117494909850829,29137,36499,650,27.0,ALEX CAVALCANTE,MDB,2602.0,Alta,15007.0,1499.0,MARIA DE FATIMA RESENDE ROCHA OITICICA,MDB,A CURAR,A CURAR,A CURAR,Semana 2,Monitorar,Pilar: monitoramento político; com validação da liderança ALEX CAVALCANTE; e leitura do grupo do prefeito MARIA DE FATIMA RESENDE ROCHA OITICICA.,"Pilar deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 11.59.",PILAR
14,Teotônio Vilela,Monitoramento,Sem prioridade imediata,11.55,13,Alta,4.494016243606433,13,0.0128109977433508,13,0.0128109977433508,31976,39161,674,32.0,SERGIO CELESTINO,PP,1177.0,Alta,11911.0,1192.0,PEDRO HENRIQUE DE JESUS PEREIRA,PP,A CURAR,A CURAR,A CURAR,Semana 2,Monitorar,Teotônio Vilela: monitoramento político; com validação da liderança SERGIO CELESTINO; e leitura do grupo do prefeito PEDRO HENRIQUE DE JESUS PEREIRA.,"Teotônio Vilela deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 11.55.",TEOTONIO VILELA
15,Girau do Ponciano,Monitoramento,Sem prioridade imediata,11.44,15,Alta,4.209541971990317,15,0.0116411221684923,15,0.0116411221684923,28487,37335,632,11.0,FLAVINHA BARROS,PP,2358.0,Alta,13903.0,1390.0,GILBERTO BEZERRA BARROS,PP,A CURAR,A CURAR,A CURAR,Semana 2,Monitorar,Girau do Ponciano: monitoramento político; com validação da liderança FLAVINHA BARROS; e leitura do grupo do prefeito GILBERTO BEZERRA BARROS.,"Girau do Ponciano deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 11.44.",GIRAU DO PONCIANO
16,São Sebastião,Monitoramento,Sem prioridade imediata,11.22,16,Alta,3.981186350965943,16,0.0109354595945992,16,0.0109354595945992,27531,32701,597,23.0,ANA PACHECO,PP,1532.0,Alta,13164.0,1315.0,CHARLES NUNES REGUEIRA,PP,A CURAR,A CURAR,A CURAR,Semana 2,Monitorar,São Sebastião: monitoramento político; com validação da liderança ANA PACHECO; e leitura do grupo do prefeito CHARLES NUNES REGUEIRA.,"São Sebastião deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 11.22.",SAO SEBASTIAO
17,Maragogi,Monitoramento,Sem prioridade imediata,10.88,18,Alta,3.635455247708293,18,0.0102998000326574,18,0.0102998000326574,25140,33232,546,32.0,JUNIOR DO JOZEMIR,PODE,1323.0,Alta,11613.0,1161.0,DANIEL MENDES DE VASCONCELOS FERREIRA,PP,A CURAR,A CURAR,A CURAR,Semana 3,Monitorar,Maragogi: monitoramento político; com validação da liderança JUNIOR DO JOZEMIR; e leitura do grupo do prefeito DANIEL MENDES DE VASCONCELOS FERREIRA.,"Maragogi deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 10.88.",MARAGOGI
18,Craíbas,Monitoramento,Sem prioridade imediata,10.85,20,Alta,3.374536940948327,21,0.0087395733156766,21,0.0087395733156766,22009,26115,506,25.0,CARLINHOS FOLHA,PP,1355.0,Alta,14815.0,1482.0,TEÓFILO JOSÉ BARROSO PEREIRA,PP,A CURAR,A CURAR,A CURAR,Semana 3,Monitorar,Craíbas: monitoramento político; com validação da liderança CARLINHOS FOLHA; e leitura do grupo do prefeito TEÓFILO JOSÉ BARROSO PEREIRA.,"Craíbas deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 10.85.",CRAIBAS
19,Campo Alegre,Monitoramento,Sem prioridade imediata,10.81,17,Alta,3.71213861611831,17,0.0108423973041757,17,0.0108423973041757,27202,32714,557,13.0,JEANE NASCIMENTO,PP,900.0,Alta,9403.0,941.0,PAULINE DE FÁTIMA PEREIRA ALBUQUERQUE,PP,A CURAR,A CURAR,A CURAR,Semana 3,Monitorar,Campo Alegre: monitoramento político; com validação da liderança JEANE NASCIMENTO; e leitura do grupo do prefeito PAULINE DE FÁTIMA PEREIRA ALBUQUERQUE.,"Campo Alegre deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 10.81.",CAMPO ALEGRE
20,São Luís do Quitunde,Monitoramento,Sem prioridade imediata,10.74,19,Alta,3.484278294420733,19,0.0098845418530158,19,0.0098845418530158,24159,31792,523,25.0,CABEÇA,MDB,1062.0,Alta,11282.0,1126.0,MARCIA RAFAELA BARROS DE VASCONCELOS,MDB,A CURAR,A CURAR,A CURAR,Semana 3,Monitorar,São Luís do Quitunde: monitoramento político; com validação da liderança CABEÇA; e leitura do grupo do prefeito MARCIA RAFAELA BARROS DE VASCONCELOS.,"São Luís do Quitunde deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 10.74.",SAO LUIS DO QUITUNDE
