municipio,NR_ZONA,NR_LOCAL_VOTACAO,local_votacao,endereco_local_votacao,regiao_estimada,votos_gabi,secoes_com_voto,percentual_votos_gabi,forca_reduto,ranking_local_gabi
TAQUARANA,45,1040,ESCOLA MARIA IRACI TEÓFILO DE CASTRO,"RUA 24 DE AGOSTO, 88",NÃO INFORMADO,256,21,45.5516,NÚCLEO FORTE,1
TAQUARANA,45,1031,ESCOLA MUNICIPAL PROFESSORA DIVONETE CAVALCANTE DE ALBUQUERQUE,RUA PROFESSORA DIVONETE CAVALCANTE DE ALBUQUERQUE,NÃO INFORMADO,143,14,25.4448,NÚCLEO FORTE,2
TAQUARANA,45,1015,GRUPO ESCOLAR SANTOS FERRAZ,RUA JOAQUIM MAURÍCIO,NÃO INFORMADO,104,9,18.5053,NÚCLEO FORTE,3
TAQUARANA,45,1058,CRECHE PROFESSORA MARIA GENILSA COSTA,RUA VEREADOR SEBASTIÃO DOMINGOS DA COSTA - PV PAI JOÃO,PV PAI JOAO,59,6,10.4982,NÚCLEO FORTE,4
