SQ_CANDIDATO,NR_VOTAVEL,NM_VOTAVEL,DS_CARGO,NM_MUNICIPIO,votos_total,secoes,locais_votacao,nome_alvo,tokens_busca,NM_VOTAVEL_NORMALIZADO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,TAQUARANA,199,43,3,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,NOVO LINO,193,29,5,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,LAGOA DA CANOA,183,40,6,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,CAMPO GRANDE,176,24,5,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,CAJUEIRO,175,41,7,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,PASSO DE CAMARAGIBE,174,37,10,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,SÃO SEBASTIÃO,166,50,10,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,PIRANHAS,151,34,6,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,PENEDO,137,78,17,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
20001636056,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,Deputado Estadual,ATALAIA,136,64,12,GABI GONCALVES,GABI | GONCALVES,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO
