municipio,regiao_estimada,votos_gabi,locais_votacao,secoes_com_voto,percentual_votos_gabi,forca_reduto,ranking_regiao_gabi
TAQUARANA,NÃO INFORMADO,503,3,44,89.5018,NÚCLEO FORTE,1
TAQUARANA,PV PAI JOAO,59,1,6,10.4982,NÚCLEO FORTE,2
