municipio,regiao_estimada,votos_parceiro,locais_votacao,secoes_com_voto,percentual_votos_parceiro,forca_reduto,ranking_regiao_parceiro
BOCA DA MATA,NÃO INFORMADO,59,8,39,0.2011,BAIXA PRESENÇA,57
FELIZ DESERTO,NÃO INFORMADO,59,2,10,0.2011,BAIXA PRESENÇA,58
MACEIÓ,- CJ. EUSTAQUIO GOMES DE MELO,59,1,10,0.2011,BAIXA PRESENÇA,59
MACEIÓ,344,59,2,10,0.2011,BAIXA PRESENÇA,60
BATALHA,285,57,1,7,0.1943,BAIXA PRESENÇA,61
JUNDIÁ,NÃO INFORMADO,55,2,13,0.1875,BAIXA PRESENÇA,62
MACEIÓ,QD A,55,1,11,0.1875,BAIXA PRESENÇA,63
SÃO JOSÉ DA TAPERA,NÃO INFORMADO,55,5,33,0.1875,BAIXA PRESENÇA,64
BATALHA,LOTEAMENTO ALGAROBA,54,1,9,0.1841,BAIXA PRESENÇA,65
OLHO D ÁGUA DO CASADO,NÃO INFORMADO,54,3,19,0.1841,BAIXA PRESENÇA,66
MACEIÓ,ABC,53,1,6,0.1807,BAIXA PRESENÇA,67
LAGOA DA CANOA,MATA LIMPA S,52,1,5,0.1773,BAIXA PRESENÇA,68
MACEIÓ,- PIABAS,52,1,12,0.1773,BAIXA PRESENÇA,69
MACEIÓ,225,49,1,12,0.167,BAIXA PRESENÇA,70
COQUEIRO SECO,109,46,1,5,0.1568,BAIXA PRESENÇA,71
COQUEIRO SECO,NÃO INFORMADO,45,3,8,0.1534,BAIXA PRESENÇA,72
MARECHAL DEODORO,NÃO INFORMADO,45,12,31,0.1534,BAIXA PRESENÇA,73
MACEIÓ,- SANTO EDUARDO,44,2,17,0.15,BAIXA PRESENÇA,74
MACEIÓ,1200,44,2,21,0.15,BAIXA PRESENÇA,75
SÃO MIGUEL DOS CAMPOS,KM 69,43,1,13,0.1466,BAIXA PRESENÇA,76
DELMIRO GOUVEIA,NÃO INFORMADO,42,12,27,0.1432,BAIXA PRESENÇA,77
SÃO JOSÉ DA LAJE,NÃO INFORMADO,41,6,25,0.1398,BAIXA PRESENÇA,78
MACEIÓ,LOT SANTA LUCIA,40,1,11,0.1364,BAIXA PRESENÇA,79
CAMPO ALEGRE,NÃO INFORMADO,39,4,21,0.1329,BAIXA PRESENÇA,80
MACEIÓ,CONJ. JOAO SAMPAIO I,38,1,6,0.1295,BAIXA PRESENÇA,81
MARAGOGI,AO LADO DA UPA,38,1,6,0.1295,BAIXA PRESENÇA,82
MACEIÓ,MOCAMBO,37,1,12,0.1261,BAIXA PRESENÇA,83
MACEIÓ,788,36,1,8,0.1227,BAIXA PRESENÇA,84
MACEIÓ,CIDADE UNIVERSITARIA,35,1,8,0.1193,BAIXA PRESENÇA,85
MACEIÓ,CJ. GRACILIANO RAMOS,34,1,12,0.1159,BAIXA PRESENÇA,86
MACEIÓ,888,33,1,5,0.1125,BAIXA PRESENÇA,87
MACEIÓ,LOTEAMENTO ACAUA,33,1,8,0.1125,BAIXA PRESENÇA,88
TRAIPU,NÃO INFORMADO,31,7,16,0.1057,BAIXA PRESENÇA,89
GIRAU DO PONCIANO,NÃO INFORMADO,30,5,20,0.1023,BAIXA PRESENÇA,90
JAPARATINGA,BARREIROS DO BOQUEIRAO S,29,1,3,0.0989,BAIXA PRESENÇA,91
MACEIÓ,AO LADO DA ESCOLA MUNICIPAL TOBIAS GRANJA,29,1,6,0.0989,BAIXA PRESENÇA,92
SÃO BRÁS,LAGOA COMPRIDA,29,1,4,0.0989,BAIXA PRESENÇA,93
SÃO LUÍS DO QUITUNDE,SAO LUIS DO QUITUNDE,29,2,8,0.0989,BAIXA PRESENÇA,94
PILAR,NÃO INFORMADO,28,10,22,0.0954,BAIXA PRESENÇA,95
MACEIÓ,BENEDITO BENTES I,26,1,7,0.0886,BAIXA PRESENÇA,96
MACEIÓ,LOT COLINA DOS EUCALIPTOS,26,1,6,0.0886,BAIXA PRESENÇA,97
JAPARATINGA,BITINGUI,25,1,2,0.0852,BAIXA PRESENÇA,98
