SG_UF,CD_MUNICIPIO,municipio_original,zona,secao,numero_local_votacao,nome_local_votacao,endereco,regiao_estimada,NR_VOTAVEL,NM_VOTAVEL,SQ_CANDIDATO,votos_gabi
AL,28819,TAQUARANA,45,164,1058,CRECHE PROFESSORA MARIA GENILSA COSTA,RUA VEREADOR SEBASTIÃO DOMINGOS DA COSTA - PV PAI JOÃO,PV PAI JOAO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,11
AL,28819,TAQUARANA,45,81,1015,GRUPO ESCOLAR SANTOS FERRAZ,RUA JOAQUIM MAURÍCIO,NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,12
AL,28819,TAQUARANA,45,155,1058,CRECHE PROFESSORA MARIA GENILSA COSTA,RUA VEREADOR SEBASTIÃO DOMINGOS DA COSTA - PV PAI JOÃO,PV PAI JOAO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,8
AL,28819,TAQUARANA,45,84,1015,GRUPO ESCOLAR SANTOS FERRAZ,RUA JOAQUIM MAURÍCIO,NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,10
AL,28819,TAQUARANA,45,141,1031,ESCOLA MUNICIPAL PROFESSORA DIVONETE CAVALCANTE DE ALBUQUERQUE,RUA PROFESSORA DIVONETE CAVALCANTE DE ALBUQUERQUE,NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,9
AL,28819,TAQUARANA,45,76,1015,GRUPO ESCOLAR SANTOS FERRAZ,RUA JOAQUIM MAURÍCIO,NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,12
AL,28819,TAQUARANA,45,96,1031,ESCOLA MUNICIPAL PROFESSORA DIVONETE CAVALCANTE DE ALBUQUERQUE,RUA PROFESSORA DIVONETE CAVALCANTE DE ALBUQUERQUE,NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,6
AL,28819,TAQUARANA,45,79,1015,GRUPO ESCOLAR SANTOS FERRAZ,RUA JOAQUIM MAURÍCIO,NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,14
AL,28819,TAQUARANA,45,115,1040,ESCOLA MARIA IRACI TEÓFILO DE CASTRO,"RUA 24 DE AGOSTO, 88",NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,8
AL,28819,TAQUARANA,45,80,1015,GRUPO ESCOLAR SANTOS FERRAZ,RUA JOAQUIM MAURÍCIO,NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,9
AL,28819,TAQUARANA,45,139,1040,ESCOLA MARIA IRACI TEÓFILO DE CASTRO,"RUA 24 DE AGOSTO, 88",NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,12
AL,28819,TAQUARANA,45,107,1040,ESCOLA MARIA IRACI TEÓFILO DE CASTRO,"RUA 24 DE AGOSTO, 88",NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,22
AL,28819,TAQUARANA,45,83,1015,GRUPO ESCOLAR SANTOS FERRAZ,RUA JOAQUIM MAURÍCIO,NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,16
AL,28819,TAQUARANA,45,97,1031,ESCOLA MUNICIPAL PROFESSORA DIVONETE CAVALCANTE DE ALBUQUERQUE,RUA PROFESSORA DIVONETE CAVALCANTE DE ALBUQUERQUE,NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,11
AL,28819,TAQUARANA,45,87,1031,ESCOLA MUNICIPAL PROFESSORA DIVONETE CAVALCANTE DE ALBUQUERQUE,RUA PROFESSORA DIVONETE CAVALCANTE DE ALBUQUERQUE,NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,6
