municipio,NR_ZONA,NR_LOCAL_VOTACAO,local_votacao,endereco_local_votacao,regiao_estimada,votos_parceiro,secoes_com_voto,percentual_votos_parceiro,forca_reduto,ranking_local_parceiro
MATA GRANDE,27,1023,GRUPO ESCOLAR DEMOCRITO GRACINDO,RUA EUSTAQUIO MALTA S/N,NÃO INFORMADO,1,1,0.0034,BAIXA PRESENÇA,803
MATA GRANDE,27,1228,CENTRO DE EDUCAÇÃO INFANTIL DIVA VILAR MALTA,RUA PROJETADA - COLOSSO,NÃO INFORMADO,1,1,0.0034,BAIXA PRESENÇA,804
OLHO D ÁGUA DAS FLORES,11,1066,GRUPO ESCOLAR ANGELO DE ABREU,"AV. DOIS DE DEZEMBRO, S/N",NÃO INFORMADO,1,1,0.0034,BAIXA PRESENÇA,805
PALMEIRA DOS ÍNDIOS,10,1228,ESCOLA ESTADUAL DIJANIRA SANTOS SILVA,POVOADO SANTO ANTÔNIO,SANTO ANTONIO,1,1,0.0034,BAIXA PRESENÇA,806
PALMEIRA DOS ÍNDIOS,10,1244,ESCOLA MUNICIPAL PEDRO RODRIGUES GAIA,POVOADO CORURIPE DA CAL,CORURIPE DA CAL,1,1,0.0034,BAIXA PRESENÇA,807
PARICONHA,39,1090,DIRETORIA MUNICIPAL DA JUVENTUDE,"RUA PEDRO PEREIRA DE SÁ, S/N",NÃO INFORMADO,1,1,0.0034,BAIXA PRESENÇA,808
PARICONHA,39,1163,ESCOLA MUNICIPAL PADRE EPIFANIO MOURA,"RUA FRANCISCO SOUZA, S/N.",NÃO INFORMADO,1,1,0.0034,BAIXA PRESENÇA,809
PARIPUEIRA,17,1015,ESCOLA MUNICIPAL DE 1 GRAU D. PEDRO I,AV ANTONIO REINALDO 300,NÃO INFORMADO,1,1,0.0034,BAIXA PRESENÇA,810
PAULO JACINTO,28,1015,ESCOLA DE 1 GRAU JOSE CORREIA FONTAN,RUA SAO JOSE S/N,NÃO INFORMADO,1,1,0.0034,BAIXA PRESENÇA,811
PENEDO,13,1406,EMEB PROFª MARIA DA GLÓRIA PIMENTEIRA,POVOADO PONTA MOFINA,PONTA MOFINA,1,1,0.0034,BAIXA PRESENÇA,812
PENEDO,13,1449,EMEB IRMÃ JOLENTA (ANTIGO FREITAS),"RUA SANTO ANTÔNIO, SN",NÃO INFORMADO,1,1,0.0034,BAIXA PRESENÇA,813
PILAR,8,1074,ESC MUN PROF JORGE BARROS (SESI),"AVENIDA PROFESSOR ARTUR RAMOS, S/N",NÃO INFORMADO,1,1,0.0034,BAIXA PRESENÇA,814
PILAR,8,1120,ESC MUN ANYSIO DE SOUZA - ESCOLA BILINGUE (PROF PETRONIO VIANA),"RUA DO ARAME, S/N",NÃO INFORMADO,1,1,0.0034,BAIXA PRESENÇA,815
PILAR,8,1180,ESC MUN JACY DA COSTA AYRES,"RUA AVELINO CAVALCANTE, S/N",NÃO INFORMADO,1,1,0.0034,BAIXA PRESENÇA,816
PORTO DE PEDRAS,12,1031,GRUPO ESTADUAL DE TATUAMUNHA,POVOADO TATUAMUNHA S/N,TATUAMUNHA S,1,1,0.0034,BAIXA PRESENÇA,817
PORTO DE PEDRAS,12,1058,ESCOLA MUNICIPAL ASSIS LIMA,"RUA FERNANDES LIMA, 11",NÃO INFORMADO,1,1,0.0034,BAIXA PRESENÇA,818
PORTO REAL DO COLÉGIO,37,1040,ESCOLA DR. JAIME LUSTOSA DE ALTAVILLA,POVOADO TAPERA DO ITIUBA S/N,TAPERA DO ITIUBA S,1,1,0.0034,BAIXA PRESENÇA,819
PORTO REAL DO COLÉGIO,37,1112,ESCOLA MUNICIPAL MARIA ROSA DE JESUS,POVOADO RETIRO S/N,RETIRO S,1,1,0.0034,BAIXA PRESENÇA,820
PORTO REAL DO COLÉGIO,37,1139,GRUPO ESCOLAR PADRE HILDEBRANDO MENDES COSTA,POVOADO BARRA DE ITIUBA S/N,BARRA DE ITIUBA S,1,1,0.0034,BAIXA PRESENÇA,821
PORTO REAL DO COLÉGIO,37,1163,ESCOLA MUNICIPAL VEREADOR MANOEL SANTOS ROCHA,POVOADO RETIRO,RETIRO,1,1,0.0034,BAIXA PRESENÇA,822
POÇO DAS TRINCHEIRAS,50,1120,GINÁSIO POLIESPORTIVO JOSIVALDO ROCHA,"R. ANTÔNIO SOARES DA SILVA, POÇO DAS TRINCHEIRAS - AL",POCO DAS TRINCHEIRAS - AL,1,1,0.0034,BAIXA PRESENÇA,823
ROTEIRO,18,1023,ESCOLA JOAO SORIANO BOMFIM,"RUA JOÃO PEDRO, S/N",NÃO INFORMADO,1,1,0.0034,BAIXA PRESENÇA,824
SANTANA DO IPANEMA,19,1287,ESCOLA MUNICIPAL DE EDUCAÇÃO BÁSICA MARIA NEPOMUCENO MARQUES,POVOADO AREIAS BRANCA,AREIAS BRANCA,1,1,0.0034,BAIXA PRESENÇA,825
SÃO MIGUEL DOS MILAGRES,12,1031,ESCOLA ESTADUAL DE PORTO DA RUA - ZUZA CALU,"AV FRANCISCO LIMA, S/N",NÃO INFORMADO,1,1,0.0034,BAIXA PRESENÇA,826
SÃO MIGUEL DOS MILAGRES,12,1058,ESCOLA ESTADUAL FRANCISCO FALCÃO,RUA VIGARIO BELO S/N,NÃO INFORMADO,1,1,0.0034,BAIXA PRESENÇA,827
SÃO SEBASTIÃO,49,1457,ESCOLA MUNICIPAL DE EDUCAÇÃO BÁSICA NATANAEL SILVA,DISTRITO DE CANABRAVA,DE CANABRAVA,1,1,0.0034,BAIXA PRESENÇA,828
TEOTÔNIO VILELA,34,1147,ESCOLA MUN ALCIDES DOS SANTOS ANDRADE (ANTIGO MOACIR LOPES),RUA JOAO URSULINO DE SOUZA,NÃO INFORMADO,1,1,0.0034,BAIXA PRESENÇA,829
TEOTÔNIO VILELA,34,1163,CENTTRO MUN DE EDUC INF LUZINETE SOARES DA SILVA (ANTIGO VOVÓ ZIRLENE),LOT. JOÃO JOSÉ PEREIRA,NÃO INFORMADO,1,1,0.0034,BAIXA PRESENÇA,830
TRAIPU,20,1023,GRUPO ESCOLAR MUNICIPAL AGAPITO RODRIGUES DE MEDEIROS,RUA VEREADOR JOAO CAVALCANTE S/N,NÃO INFORMADO,1,1,0.0034,BAIXA PRESENÇA,831
TRAIPU,20,1090,EMATER,AV MARIA LIMA DIAS S/N,NÃO INFORMADO,1,1,0.0034,BAIXA PRESENÇA,832
TRAIPU,20,1228,SECRETARIA DE SAÚDE,TRAVESSA MARIA LIMA DIAS,NÃO INFORMADO,1,1,0.0034,BAIXA PRESENÇA,833
TRAIPU,20,1376,GINÁSIO DE ESPORTE O RIBEIRÃO,AV BEIRA RIO,NÃO INFORMADO,1,1,0.0034,BAIXA PRESENÇA,834
