codigo_ibge,municipio,uf,populacao_estimada_2024,fonte_municipios,fonte_populacao,ano_populacao,data_extracao,status_populacao
2704906,Mar Vermelho,AL,3212.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2704500,Maragogi,AL,33232.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2704609,Maravilha,AL,9715.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2704708,Marechal Deodoro,AL,62341.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2704807,Maribondo,AL,13968.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2705002,Mata Grande,AL,22147.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2705101,Matriz de Camaragibe,AL,24330.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2705200,Messias,AL,15707.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2705309,Minador do Negrão,AL,4938.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2705408,Monteirópolis,AL,7341.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2705507,Murici,AL,25933.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2705606,Novo Lino,AL,10298.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2705903,Olho d'Água Grande,AL,4384.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2705705,Olho d'Água das Flores,AL,21132.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2705804,Olho d'Água do Casado,AL,8522.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2706000,Olivença,AL,11048.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2706109,Ouro Branco,AL,11699.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2706208,Palestina,AL,4410.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2706307,Palmeira dos Índios,AL,73596.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2706422,Pariconha,AL,10803.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2706448,Paripueira,AL,14176.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2706505,Passo de Camaragibe,AL,14076.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2706604,Paulo Jacinto,AL,6697.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2706703,Penedo,AL,60189.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2706802,Piaçabuçu,AL,16201.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2706901,Pilar,AL,36499.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2707008,Pindoba,AL,2786.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2707107,Piranhas,AL,23053.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2707305,Porto Calvo,AL,24520.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2707503,Porto Real do Colégio,AL,20262.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2707404,Porto de Pedras,AL,9508.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2707206,Poço das Trincheiras,AL,12974.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2706406,Pão de Açúcar,AL,24291.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2707602,Quebrangulo,AL,11305.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2707701,Rio Largo,AL,97435.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2707800,Roteiro,AL,6607.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2707909,Santa Luzia do Norte,AL,7065.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2708006,Santana do Ipanema,AL,47397.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2708105,Santana do Mundaú,AL,11568.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2708907,Satuba,AL,25000.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2708956,Senador Rui Palmeira,AL,12549.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2708204,São Brás,AL,6557.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2708303,São José da Laje,AL,21193.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2708402,São José da Tapera,AL,31557.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2708501,São Luís do Quitunde,AL,31792.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2708600,São Miguel dos Campos,AL,53391.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2708709,São Miguel dos Milagres,AL,8687.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2708808,São Sebastião,AL,32701.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2709004,Tanque d'Arca,AL,5909.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2709103,Taquarana,AL,19422.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2709152,Teotônio Vilela,AL,39161.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2709202,Traipu,AL,24124.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2709301,União dos Palmares,AL,60874.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2709400,Viçosa,AL,24423.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2700102,Água Branca,AL,19550.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
