chave_local;latitude;longitude;bairro;distrito;status_geocodificacao;consulta_geocoding
MACEIO|ESCOLA ESTADUAL ROTARY|AV. DURVAL DE GOES MONTEIRO, S/N;-9.6063446;-35.7411445;Canaã;;ENCONTRADO;AV. DURVAL DE GOES MONTEIRO, S/N, Maceio, Alagoas, Brasil
MACEIO|ESCOLA ESTADUAL DEPUTADO NENOI PINTO|RUA MUNIZ FALCAO, S/N;-9.649823;-35.7216764;Jacintinho;;ENCONTRADO;RUA MUNIZ FALCAO, S/N, Maceio, Alagoas, Brasil
MACEIO|ESCOLA ESTADUAL PROFa MARIA DAS GRACAS DE SA TEIXEIRA|AV. GOVERNADOR LAMENHA FILHO, SN;-9.6464671;-35.7266442;Feitosa;;ENCONTRADO;AV. GOVERNADOR LAMENHA FILHO, SN, Maceio, Alagoas, Brasil
MACEIO|COLEGIO EDSON MONTEIRO|RUA ANDRE PAPINE GOES, 177, LOTEAMENTO ACAUA;;;;;NAO_ENCONTRADO;RUA ANDRÉ PAPINE GOES, 177, LOTEAMENTO ACAUÃ, Maceio, Alagoas, Brasil
MACEIO|CEAGB - ESCOLA ESTADUAL MOREIRA E SILVA|AV. FERNANDES LIMA, S/N;-9.6219993;-35.7387664;Gruta de Lourdes;;ENCONTRADO;AV. FERNANDES LIMA, S/N, Maceio, Alagoas, Brasil
MACEIO|ESC. EST. MIRAN MARROQUIM|RUA DA LIBERDADE, S/N - PIABAS;;;;;NAO_ENCONTRADO;RUA DA LIBERDADE, S/N - PIABAS, Maceio, Alagoas, Brasil
MACEIO|E.E. DEPUTADO RUBENS CANUTO|AV. GURGURI , S/N;;;;;NAO_ENCONTRADO;AV. GURGURI , S/N, Maceio, Alagoas, Brasil
MACEIO|E.M. PROFESSOR CORINTHO DA PAZ|RUA 5-A, S/N - CJ. EUSTAQUIO GOMES DE MELO;;;;;NAO_ENCONTRADO;RUA 5-A, S/N - CJ. EUSTÁQUIO GOMES DE MELO, Maceio, Alagoas, Brasil
MACEIO|E.E. PASTOR JOSE TAVARES DE SOUZA|AV. GARCA TORTA, 1286;-9.5478865;-35.7196043;Benedito Bentes;;ENCONTRADO;AV. GARCA TORTA, 1286, Maceio, Alagoas, Brasil
MACEIO|E.E. JORNALISTA LAFAIETTE BELO|PARQUE RESIDENCIAL BENEDITO BENTES I, S/N;;;;;NAO_ENCONTRADO;PARQUE RESIDENCIAL BENEDITO BENTES I, S/N, Maceio, Alagoas, Brasil
MACEIO|ESCOLA DE ENSINO FUNDAMENTAL OCTAVIO BRANDAO|RUA JOSE LOBO DE MEDEIROS, S/N;-9.5770616;-35.774208;Tabuleiros dos Martins;;ENCONTRADO;RUA JOSE LOBO DE MEDEIROS, S/N, Maceio, Alagoas, Brasil
MACEIO|ESCOLA ESTADUAL AURELINA PALMEIRA DE MELO|PRACA PADRE CICERO, S/N;;;;;NAO_ENCONTRADO;PRACA PADRE CICERO, S/N, Maceio, Alagoas, Brasil
MACEIO|ESC. MUN. PROF. LENILTO ALVES SANTOS|RUA ENFERMEIRO MARIANO - COHAB, S/N;;;;;NAO_ENCONTRADO;RUA ENFERMEIRO MARIANO - COHAB, S/N, Maceio, Alagoas, Brasil
MACEIO|ESC. EST. PROFa MARIA JOSE CARRASCOSA|PRACA SENHOR DO BONFIM, S/N;-9.6612532;-35.7280663;Poço;;ENCONTRADO;PRACA SENHOR DO BONFIM, S/N, Maceio, Alagoas, Brasil
MACEIO|E.E. PROFA. MARIA LUCIA LINS DE FREITAS|RUA 26, S/N, GRACILIANO RAMOS;-9.5464885;-35.7481581;Cidade Universitária;;ENCONTRADO;RUA 26, S/N, GRACILIANO RAMOS, Maceio, Alagoas, Brasil
MACEIO|ESC. EST. PROF. ROSALVO LOBO|AV CASTELO BRANCO, S/N;-9.6528528;-35.7138922;Jatiúca;;ENCONTRADO;AV CASTELO BRANCO, S/N, Maceio, Alagoas, Brasil
MACEIO|ESCOLA ESTADUAL PROFa. IRENE GARRIDO|RUA G, QD 3, S/N, CONJ. DUBEAUX LEAO;;;;;NAO_ENCONTRADO;RUA G, QD 3, S/N, CONJ. DUBEAUX LEAO, Maceio, Alagoas, Brasil
MACEIO|ESCOLA ESTADUAL PROFESSOR PEDRO TEIXEIRA|RUA PAU DARCO, S/N;;;;;NAO_ENCONTRADO;RUA PAU DARCO, S/N, Maceio, Alagoas, Brasil
MACEIO|ESCOLA ESTADUAL PADRE CABRAL|PRACA EDUARDO SANTOS, S/N;-9.590352;-35.783877;Fernão Velho;;ENCONTRADO;PRACA EDUARDO SANTOS, S/N, Maceio, Alagoas, Brasil
MACEIO|E.M. PAULO HENRIQUE COSTA BANDEIRA|AV NORMA PIMENTEL DA COSTA, 11;-9.5484537;-35.7243653;Benedito Bentes;;ENCONTRADO;AV NORMA PIMENTEL DA COSTA, 11, Maceio, Alagoas, Brasil
MACEIO|COLEGIO ROSALVO RIBEIRO DOS SANTOS|RUA BONFIM, 344;-9.6471258;-35.7198393;Jacintinho;;ENCONTRADO;RUA BONFIM, 344, Maceio, Alagoas, Brasil
MACEIO|FACULDADE RAIMUNDO MARINHO|AVENIDA DURVAL DE GOES MONTEIRO;-9.6063446;-35.7411445;Canaã;;ENCONTRADO;AVENIDA DURVAL DE GÓES MONTEIRO, Maceio, Alagoas, Brasil
MACEIO|ESCOLA ESTADUAL PROF. BENEDITA DE CASTRO LIMA|RUA SANTA RITA, S/N;-9.6470643;-35.7407984;Farol;;ENCONTRADO;RUA SANTA RITA, S/N, Maceio, Alagoas, Brasil
MACEIO|E.M. MARIA CARMELITA CARDOSO GAMA (CAIC-UFAL)|BR 104, 1099 KM 14 - CAMPUS A.C.SIMOES;;;;;NAO_ENCONTRADO;BR 104, 1099 KM 14 - CAMPUS A.C.SIMOES, Maceio, Alagoas, Brasil
MACEIO|COLEGIO CONTATO|RUA PROF. SILVIO DE MACEDO, 125;-9.6461711;-35.7034641;Jatiúca;;ENCONTRADO;RUA PROF. SILVIO DE MACEDO, 125, Maceio, Alagoas, Brasil
MACEIO|COLEGIO JORGE ASSUNCAO|AV NORMA PIMENTEL DA COSTA, 15;-9.5524705;-35.7287914;Benedito Bentes;;ENCONTRADO;AV NORMA PIMENTEL DA COSTA, 15, Maceio, Alagoas, Brasil
MACEIO|COLEGIO ANCHIETA|AVENIDA ENG. PAULO BRANDAO NOGUEIRA;-9.6455234;-35.7050159;Jatiúca;;ENCONTRADO;AVENIDA ENG. PAULO BRANDAO NOGUEIRA, Maceio, Alagoas, Brasil
MACEIO|ESCOLA ESTADUAL DR. RODRIGUEZ DE MELO|JARDIM ESPERANCA, S/N;-9.6574902;-35.7527274;Ponta Grossa;;ENCONTRADO;JARDIM ESPERANCA, S/N, Maceio, Alagoas, Brasil
MACEIO|GINASIO DO SESI TRAPICHE|AVENIDA SIQUEIRA CAMPOS, 1900;-9.6709012;-35.7553063;Trapiche da Barra;;ENCONTRADO;AVENIDA SIQUEIRA CAMPOS, 1900, Maceio, Alagoas, Brasil
MACEIO|ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO|AV. PRESIDENTE GETULIO VARGAS, 512;-9.6140548;-35.7298228;Serraria;;ENCONTRADO;AV. PRESIDENTE GETÚLIO VARGAS, 512, Maceio, Alagoas, Brasil
MACEIO|E.E. PROFA. GILVANA ATAIDE CAVALCANTE CABRAL|RUA ELINELMA DE OLIVEIRA SANTOS, S/N;;;;;NAO_ENCONTRADO;RUA ELINELMA DE OLIVEIRA SANTOS, S/N, Maceio, Alagoas, Brasil
MACEIO|E.E. MARIA IVONE SANTOS DE OLIVEIRA|RUA JOSE AUGUSTO LESSA, S/N - INOCOOP;-9.5459396;-35.7845544;Cidade Universitária;;ENCONTRADO;RUA JOSÉ AUGUSTO LESSA, S/N - INOCOOP, Maceio, Alagoas, Brasil
MACEIO|ESCOLA EST. DR. EDSON BERNARDES|CONJ. JOAQUIM LEAO, S/N;;;;;NAO_ENCONTRADO;CONJ. JOAQUIM LEAO, S/N, Maceio, Alagoas, Brasil
MACEIO|ESC. EST. DR. JOSE MARIA CORREIA DAS NEVES|RUA AGNELO BARBOSA, S/N;-9.6655078;-35.7494235;Prado;;ENCONTRADO;RUA AGNELO BARBOSA, S/N, Maceio, Alagoas, Brasil
MACEIO|ESCOLA EST. DR. MIGUEL GUEDES NOGUEIRA|RUA DR. OSWALDO CRUZ, S/N;-9.6214949;-35.7555418;Chã de Bebedouro;;ENCONTRADO;RUA DR. OSWALDO CRUZ, S/N, Maceio, Alagoas, Brasil
MACEIO|ESC. DE ENS. FUND. PROF. PEDRO CAFE|RUA DO CRAVO, S/N;-9.5960352;-35.7409551;Jardim Petrópolis;;ENCONTRADO;RUA DO CRAVO, S/N, Maceio, Alagoas, Brasil
MACEIO|E.M. PROF. AURELIO BUARQUE DE HOLANDA FERREIRA|RUA F, S/N, CONJUNTO FREITAS NETO;;;;;NAO_ENCONTRADO;RUA F, S/N, CONJUNTO FREITAS NETO, Maceio, Alagoas, Brasil
MACEIO|E.M. MARIA DE LOURDES DE MELO PIMENTEL|RUA PADRE CICERO, 05, VILAGE CAMPESTE II;;;;;NAO_ENCONTRADO;RUA PADRE CÍCERO, 05, VILAGE CAMPESTE II, Maceio, Alagoas, Brasil
MACEIO|IFAL - CAMPUS BENEDITO BENTES|AVENIDA BENEDITO BENTES, S/N;-9.5488075;-35.7318894;Benedito Bentes;;ENCONTRADO;AVENIDA BENEDITO BENTES, S/N, Maceio, Alagoas, Brasil
MACEIO|ESC. MUN. PROFa EULINA RIBEIRO ALENCAR|RUA COARACI FONSECA, 01;;;;;NAO_ENCONTRADO;RUA COARACI FONSECA, 01, Maceio, Alagoas, Brasil
MACEIO|ESC. EST. PROF. BENEDITO MORAES|RUA ZEFERINO RODRIGUES, S/N;-9.6685983;-35.7196822;Pajuçara;;ENCONTRADO;RUA ZEFERINO RODRIGUES, S/N, Maceio, Alagoas, Brasil
MACEIO|ESCOLA DE ENSINO FUNDAMENTAL PROF. DONIZETTI CALHEIROS|AV. UBERABA, S/N;;;;;NAO_ENCONTRADO;AV. UBERABA, S/N, Maceio, Alagoas, Brasil
MACEIO|ESC. MUN. ARNON AFFONSO FARIAS DE MELLO|CONJ. JOSE DA SILVA PEIXOTO, S/N;;;;;NAO_ENCONTRADO;CONJ. JOSE DA SILVA PEIXOTO, S/N, Maceio, Alagoas, Brasil
MACEIO|E.M. PROFA. HEVIA VALERIA MAIA AMORIM|AV JOSE AILTON DOS SANTOS, S/N, VILAGE CAMPESTRE I;;;;;NAO_ENCONTRADO;AV JOSÉ AILTON DOS SANTOS, S/N, VILAGE CAMPESTRE I, Maceio, Alagoas, Brasil
MACEIO|ESC. MUN. KATIA PIMENTEL ASSUNCAO|RUA BRENO CANSANCAO, 788;-9.6375976;-35.717939;Jacintinho;;ENCONTRADO;RUA BRENO CANSANCAO, 788, Maceio, Alagoas, Brasil
MACEIO|ESCOLA MUN. SILVESTRE PERICLES|PRACA DR CAIO DE AGUIAR PORTO S/N - PONTAL DA BARRA;;;;;NAO_ENCONTRADO;PRAÇA DR CAIO DE AGUIAR PORTO S/N - PONTAL DA BARRA, Maceio, Alagoas, Brasil
MACEIO|ESCOLA DE ENSINO FUNDAMENTAL LUIZA OLIVEIRA SURUAGY|RUA PADRE CICERO, S/N;-9.5616951;-35.739975;Antares;;ENCONTRADO;RUA PADRE CÍCERO, S/N, Maceio, Alagoas, Brasil
MACEIO|ESCOLA ESTADUAL PROFESSOR SEBASTIAO DA HORA|RUA MARTINS MURTA, S/N;-9.6389436;-35.7308548;Pitanguinha;;ENCONTRADO;RUA MARTINS MURTA, S/N, Maceio, Alagoas, Brasil
MACEIO|ESCOLA MONTEIRO LOBATO|RUA DO IPE ROXO, 291;;;;;NAO_ENCONTRADO;RUA DO IPÊ ROXO, 291, Maceio, Alagoas, Brasil
MACEIO|ESCOLA ESTADUAL GUIOMAR DE ALMEIDA PEIXOTO|RUA SANTO ANTONIO, 600;-9.635066;-35.746385;Pinheiro;;ENCONTRADO;RUA SANTO ANTONIO, 600, Maceio, Alagoas, Brasil
MACEIO|ESCOLA EST. JORNALISTA FREITAS NETO|RUA DR. OSWALDO CRUZ, 150;-9.6214949;-35.7555418;Chã de Bebedouro;;ENCONTRADO;RUA DR. OSWALDO CRUZ, 150, Maceio, Alagoas, Brasil
MACEIO|COLEGIO SANTISSIMO SENHOR|LOTEAMENTO BRISA DA SERRARIA, 302 - CONJ. JOSE TENORIO;;;;;NAO_ENCONTRADO;LOTEAMENTO BRISA DA SERRARIA, 302 - CONJ. JOSÉ TENÓRIO, Maceio, Alagoas, Brasil
MACEIO|ESC. MUN. ANTONIO SEMEAO LAMENHA LINS|RUA MAJOR JOAQUIM CALHEIROS, S/N;;;;;NAO_ENCONTRADO;RUA MAJOR JOAQUIM CALHEIROS, S/N, Maceio, Alagoas, Brasil
MACEIO|ESCOLA ESTADUAL OVIDIO EDGAR DE ALBUQUERQUE|RUA DO CAMPO, S/N;-9.6200657;-35.6940737;Jacarecica;;ENCONTRADO;RUA DO CAMPO, S/N, Maceio, Alagoas, Brasil
MACEIO|ESC. EST. MANOEL SIMPLICIO DO NASCIMENTO|RUA DIVISORIA FEICAO, S/N;;;;;NAO_ENCONTRADO;RUA DIVISORIA FEICAO, S/N, Maceio, Alagoas, Brasil
MACEIO|CEAGB - ESCOLA ESTADUAL PRINCESA IZABEL|AV. FERNANDES LIMA, S/N;-9.6219993;-35.7387664;Gruta de Lourdes;;ENCONTRADO;AV. FERNANDES LIMA, S/N, Maceio, Alagoas, Brasil
MACEIO|E.M. MANOEL PEDRO DOS SANTOS|AV. LOURIVAL MELO MOTA, S/N;-9.5508817;-35.7851439;Cidade Universitária;;ENCONTRADO;AV. LOURIVAL MELO MOTA, S/N, Maceio, Alagoas, Brasil
MACEIO|UNEAL - UNIVERSIDADE ESTADUAL DE ALAGOAS - CAMPUS VI|RUA PEDRO AMERICO, S/N, POCO;-9.6604028;-35.722663;Poço;;ENCONTRADO;RUA PEDRO AMÉRICO, S/N, POÇO, Maceio, Alagoas, Brasil
MACEIO|COLEGIO INTENSIVO|LARGO DA VITORIA, 215;;;;;NAO_ENCONTRADO;LARGO DA VITÓRIA, 215, Maceio, Alagoas, Brasil
MACEIO|COLEGIO OLAVO BILAC|AV. GOVERNADOR LAMENHA FILHO, S/N;-9.6472121;-35.7266209;Feitosa;;ENCONTRADO;AV. GOVERNADOR LAMENHA FILHO, S/N, Maceio, Alagoas, Brasil
MACEIO|E.M. MARIA CECILIA PONTES CARNAUBA|AV. SERGIO LUIS PESSOA BRAGA, S/N;-9.5790961;-35.7376472;Antares;;ENCONTRADO;AV. SERGIO LUIS PESSOA BRAGA, S/N, Maceio, Alagoas, Brasil
MACEIO|CEAGB - ESCOLA ESTADUAL PROFa LAURA DANTAS|AV. FERNANDES LIMA, S/N;-9.6219993;-35.7387664;Gruta de Lourdes;;ENCONTRADO;AV. FERNANDES LIMA, S/N, Maceio, Alagoas, Brasil
MACEIO|ESCOLA ESTADUAL PROF. REMI LIMA|RUA SAO JOSE, S/N;-9.6364716;-35.7291049;Pitanguinha;;ENCONTRADO;RUA SAO JOSE, S/N, Maceio, Alagoas, Brasil
MACEIO|E.E. MARCOS ANTONIO CAVALCANTI SILVA|AV. ANTONIO LISBOA DE AMORIM S/N;-9.5466799;-35.7330158;Benedito Bentes;;ENCONTRADO;AV. ANTONIO LISBOA DE AMORIM S/N, Maceio, Alagoas, Brasil
MACEIO|E.M. TRADUTOR JOAO SAMPAIO|PRACA CENTRAL, S/N, CONJ. JOAO SAMPAIO I;;;;;NAO_ENCONTRADO;PRAÇA CENTRAL, S/N, CONJ. JOÃO SAMPAIO I, Maceio, Alagoas, Brasil
MACEIO|ESC. MUN. DR. BALTAZAR DE MENDONCA|RUA DIVISORIA FEICAO, S/N;;;;;NAO_ENCONTRADO;RUA DIVISORIA FEICAO, S/N, Maceio, Alagoas, Brasil
MACEIO|ESCOLA ESTADUAL JOSEFA DA CONCEICAO COSTA|RUA PAO DE ACUCAR, S/N;-9.6050835;-35.7379368;Canaã;;ENCONTRADO;RUA PÃO DE AÇÚCAR, S/N, Maceio, Alagoas, Brasil
MACEIO|ESC. EST. PROF. THEOTONIO VILELA BRANDAO|RUA ADAUTO GOMES BARBOSA, SN - SANTO EDUARDO;;;;;NAO_ENCONTRADO;RUA ADAUTO GOMES BARBOSA, SN - SANTO EDUARDO, Maceio, Alagoas, Brasil
MACEIO|ESCOLA ESTADUAL MARIA AMALIA|RUA VALDEMAR RUFINO DOS SANTOS, S/N,VILA ABC;;;;;NAO_ENCONTRADO;RUA VALDEMAR RUFINO DOS SANTOS, S/N,VILA ABC, Maceio, Alagoas, Brasil
MACEIO|COLEGIO MARISTA DE MACEIO|AV DOM ANTONIO BRANDAO, 564;-9.6587237;-35.7320324;Centro;;ENCONTRADO;AV DOM ANTÔNIO BRANDÃO, 564, Maceio, Alagoas, Brasil
MACEIO|CLUBE DA CAIXA ECONOMICA FEDERAL (APCEF/AL)|ROD. AL 101 NORTE, S/N;;;;;NAO_ENCONTRADO;ROD. AL 101 NORTE, S/N, Maceio, Alagoas, Brasil
MACEIO|ESCOLA MUNICIPAL PROFESSORA JAREDE VIANA DE OLIVEIRA|RUA SAO JOSE, S/N, AO LADO DA ESCOLA MUNICIPAL TOBIAS GRANJA;;;;;NAO_ENCONTRADO;RUA SÃO JOSÉ, S/N, AO LADO DA ESCOLA MUNICIPAL TOBIAS GRANJA, Maceio, Alagoas, Brasil
MACEIO|COLEGIO INTEGRADO (ANTIGO SAGRADINHA/ PRACA DAS GRACAS)|RUA 16 DE SETEMBRO , 241;-9.6632893;-35.7451579;Levada;;ENCONTRADO;RUA 16 DE SETEMBRO , 241, Maceio, Alagoas, Brasil
MACEIO|E.M. DOUTORA NISE DA SILVEIRA|AV. SERGIO LUIS PESSOA BRAGA, 454;-9.5790961;-35.7376472;Antares;;ENCONTRADO;AV. SÉRGIO LUÍS PESSOA BRAGA, 454, Maceio, Alagoas, Brasil
MACEIO|CENTRO UNIVERSITARIO MARIO PONTES JUCA - UMJ (ANTIGA FAPEC/CET)|AV. MUNIZ FALCAO, 1200;-9.5722734;-35.7752038;Tabuleiros dos Martins;;ENCONTRADO;AV. MUNIZ FALCÃO, 1200, Maceio, Alagoas, Brasil
MACEIO|ESC. EST. CAMPOS TEIXEIRA|RUA LUIZ CAMPOS TEIXEIRA, S/N;-9.6609401;-35.7088445;Ponta Verde;;ENCONTRADO;RUA LUIZ CAMPOS TEIXEIRA, S/N, Maceio, Alagoas, Brasil
MACEIO|ESC. MUN. PADRE PINHO|RUA QUEBRANGULO, S/N;-9.6045569;-35.7366674;Canaã;;ENCONTRADO;RUA QUEBRANGULO, S/N, Maceio, Alagoas, Brasil
MACEIO|COLEGIO MARIA MONTESSORI|RUA PAPA JOAO PAULO 30;;;;;NAO_ENCONTRADO;RUA PAPA JOÃO PAULO 30, Maceio, Alagoas, Brasil
MACEIO|ESCOLA DE ENSINO FUNDAMENTAL DR. POMPEU SARMENTO|AV. DR. MUNIZ FALCAO, S/N;-9.641425;-35.7433313;Pinheiro;;ENCONTRADO;AV. DR. MUNIZ FALCAO, S/N, Maceio, Alagoas, Brasil
MACEIO|ESC. EST. PROF. EDUARDO DA MOTA TRIGUEIROS|RUA ADAUTO GOMES BARBOSA, S/N - SANTO EDUARDO;;;;;NAO_ENCONTRADO;RUA ADAUTO GOMES BARBOSA, S/N - SANTO EDUARDO, Maceio, Alagoas, Brasil
MACEIO|SECRETARIA MUNICIPAL DE EDUCACAO|RUA GENERAL HERMES, 1199;-9.6493509;-35.7429598;Bom Parto;;ENCONTRADO;RUA GENERAL HERMES, 1199, Maceio, Alagoas, Brasil
MACEIO|ESC. MUN. DR. ORLANDO ARAUJO|RUA DR. JOSE SAMPAIO LUZ, S/N;;;;;NAO_ENCONTRADO;RUA DR. JOSE SAMPAIO LUZ, S/N, Maceio, Alagoas, Brasil
MACEIO|ESCOLA DE ENS. FUND. RUI PALMEIRA|AV MONTE CASTELO, S/N;-9.6561576;-35.756673;Vergel do Lago;;ENCONTRADO;AV MONTE CASTELO, S/N, Maceio, Alagoas, Brasil
MACEIO|ESC. DE ENS. FUND. PROF. ALMEIDA LEITE|RUA DR. VIRGILIO GUEDES, S/N;;;;;NAO_ENCONTRADO;RUA DR. VIRGILIO GUEDES, S/N, Maceio, Alagoas, Brasil
MACEIO|ESCOLA PROF. RANILSON FRANCA|RUA PROF MARIO BROAD, 36;-9.6587671;-35.7502437;Ponta Grossa;;ENCONTRADO;RUA PROF MARIO BROAD, 36, Maceio, Alagoas, Brasil
MACEIO|ESCOLA DE ENSINO FUNDAMENTAL DOM ANTONIO BRANDAO|RUA DO QUADRO, S/N;-9.5807594;-35.7717359;Tabuleiros dos Martins;;ENCONTRADO;RUA DO QUADRO, S/N, Maceio, Alagoas, Brasil
MACEIO|COLEGIO SANTISSIMA TRINDADE|AV PRESIDENTE ROOSEVELT 1111;-9.6157912;-35.7152195;Barro Duro;;ENCONTRADO;AV PRESIDENTE ROOSEVELT 1111, Maceio, Alagoas, Brasil
MACEIO|E.M. PADRE BRANDAO LIMA - ANTIGA UNIT|AV CACHOEIRA DO MEIRIM, S/N;-9.5611728;-35.7449398;Antares;;ENCONTRADO;AV CACHOEIRA DO MEIRIM, S/N, Maceio, Alagoas, Brasil
MACEIO|ESC. MUN. MARECHAL FLORIANO PEIXOTO|RUA DA IGREJA, S/N;-9.5782165;-35.8110395;Rio Novo;;ENCONTRADO;RUA DA IGREJA, S/N, Maceio, Alagoas, Brasil
MACEIO|COLEGIO ADVENTISTA DE MACEIO|AV JUCA SAMPAIO 3027;-9.6349606;-35.7085167;Jacintinho;;ENCONTRADO;AV JUCA SAMPAIO 3027, Maceio, Alagoas, Brasil
MACEIO|E.M. SELMA BANDEIRA|AV. DA PAZ, SN - CJ. SELMA BANDEIRA;;;;;NAO_ENCONTRADO;AV. DA PAZ, SN - CJ. SELMA BANDEIRA, Maceio, Alagoas, Brasil
MACEIO|EDIFICIO DO SESC|RUA PEDRO PAULINO, 40;-9.6637312;-35.7279416;Poço;;ENCONTRADO;RUA PEDRO PAULINO, 40, Maceio, Alagoas, Brasil
MACEIO|ESCOLA MUN. SERGIO LUIZ PESSOA BRAGA|PRACA GOVERNADOR LAMENHA FILHO, S/N;;;;;NAO_ENCONTRADO;PRACA GOVERNADOR LAMENHA FILHO, S/N, Maceio, Alagoas, Brasil
MACEIO|E.E. MANOEL DE ARAUJO DORIA|AV. SENADOR TEOTONIO VILELA - CJ HENRIQUE EQUELMAN, S/N;;;;;NAO_ENCONTRADO;AV. SENADOR TEOTONIO VILELA - CJ HENRIQUE EQUELMAN, S/N, Maceio, Alagoas, Brasil
MACEIO|ESC. MUN. RADIALISTA EDECIO LOPES (ANTIGO COL. LAERSON ROSA)|RUA ALAMEDA CELIA DOS ANJOS, 06;;;;;NAO_ENCONTRADO;RUA ALAMEDA CÉLIA DOS ANJOS, 06, Maceio, Alagoas, Brasil
MACEIO|CENTRO DE ENSINO SANTA JULIANA|AV DURVAL DE GOES MONTEIRO, 2345, C67P, CM;;;;;NAO_ENCONTRADO;AV DURVAL DE GOES MONTEIRO, 2345, C67P, CM, Maceio, Alagoas, Brasil
MACEIO|E.M. PROFESSOR PETRONIO VIANA|CONJUNTO CARMINHA, S/N;-9.561154;-35.7109637;Benedito Bentes;;ENCONTRADO;CONJUNTO CARMINHA, S/N, Maceio, Alagoas, Brasil
MACEIO|ESC. MUN. JOAO XXIII|RUA DR.JOSE JOAQUIM DE ARAUJO, S/N;;;;;NAO_ENCONTRADO;RUA DR.JOSE JOAQUIM DE ARAUJO, S/N, Maceio, Alagoas, Brasil
MACEIO|E.E. MANUEL BALTAZAR P. DIEGUES JUNIOR|CONJUNTO SANTA MARIA, S/N - RUA D QD 8;;;;;NAO_ENCONTRADO;CONJUNTO SANTA MARIA, S/N - RUA D QD 8, Maceio, Alagoas, Brasil
MACEIO|ESCOLA EST. PROFa ANAIAS DE LIMA ANDRADE|RUA BELO HORIZONTE, S/N;-9.5521408;-35.7303393;Benedito Bentes;;ENCONTRADO;RUA BELO HORIZONTE, S/N, Maceio, Alagoas, Brasil
MACEIO|ESCOLA DE ENSINO FUNDAMENTAL JOSE CORREIA COSTA|RUA LOURIVAL DE AGUIAR PESSOA, S/N;-9.5995139;-35.7234202;Serraria;;ENCONTRADO;RUA LOURIVAL DE AGUIAR PESSOA, S/N, Maceio, Alagoas, Brasil
MACEIO|ESC. EST. PROF. EDUARDO ALMEIDA DA SILVA|RUA SAO PEDRO, S/N;-9.5251247;-35.6115964;Ipioca;;ENCONTRADO;RUA SAO PEDRO, S/N, Maceio, Alagoas, Brasil
MACEIO|ESCOLA ESTADUAL DR. FERNANDES LIMA|AV CEL. SALUSTIANO SARMENTO, S/N;-9.6196629;-35.7109176;São Jorge;;ENCONTRADO;AV CEL. SALUSTIANO SARMENTO, S/N, Maceio, Alagoas, Brasil
MACEIO|ESCOLA DE ENSINO FUNDAMENTAL CLETO MARQUES LUZ|RUA P, LOT COLINA DOS EUCALIPTOS;;;;;NAO_ENCONTRADO;RUA P, LOT COLINA DOS EUCALIPTOS, Maceio, Alagoas, Brasil
MACEIO|ESCOLA ESTADUAL PROF TARCISIO DE JESUS|AV. SENADOR RUI PALMEIRA, S/N;-9.6660089;-35.7642836;Trapiche da Barra;;ENCONTRADO;AV. SENADOR RUI PALMEIRA, S/N, Maceio, Alagoas, Brasil
MACEIO|ESCOLA MUNICIPAL TOBIAS GRANJA|RUA SAO JOSE, 888;-9.5818301;-35.7536067;Santa Lúcia;;ENCONTRADO;RUA SÃO JOSÉ, 888, Maceio, Alagoas, Brasil
MACEIO|ESCOLA ESTADUAL CAPITAO ALVARO VICTOR|PRACA DO CRUZEIRO, S/N;-9.6518488;-35.7612473;Vergel do Lago;;ENCONTRADO;PRACA DO CRUZEIRO, S/N, Maceio, Alagoas, Brasil
MACEIO|ESCOLA DE ENSINO FUNDAMENTAL PEDRO SURUAGY|AV. MACEIO, S/N;-9.5817886;-35.7694507;Tabuleiros dos Martins;;ENCONTRADO;AV. MACEIO, S/N, Maceio, Alagoas, Brasil
MACEIO|ESCOLA EST. PROFa ADEILZA MARIA OLIVEIRA|RUA DO CAMPO, S/N;-9.6200657;-35.6940737;Jacarecica;;ENCONTRADO;RUA DO CAMPO, S/N, Maceio, Alagoas, Brasil
MACEIO|COLEGIO SAGRADA FAMILIA|RUA ALAMEDA MARIA DAS GRACAS NOVAES BRANDAO VILELA, 07;;;;;NAO_ENCONTRADO;RUA ALAMEDA MARIA DAS GRAÇAS NOVAES BRANDÃO VILELA, 07, Maceio, Alagoas, Brasil
MACEIO|ESC. MUN. PROFa MARILUCIA MACEDO DOS SANTOS (ANTIGA PIABAS)|RUA MARIA CECILIA DA ROCHA, S/N;-9.6350701;-35.7169194;Jacintinho;;ENCONTRADO;RUA MARIA CECILIA DA ROCHA, S/N, Maceio, Alagoas, Brasil
MACEIO|E.M. JAIME AMORIM MIRANDA|AV BELMIRO AMORIM, 760;-9.5786241;-35.7559373;Santa Lúcia;;ENCONTRADO;AV BELMIRO AMORIM, 760, Maceio, Alagoas, Brasil
MACEIO|ESCOLA DE ENSINO FUNDAMENTAL PROF. SUZEL DANTAS|RUA ANTONIO MONTEIRO DE CARVALHO, S/N;-9.5935498;-35.7681296;Tabuleiros dos Martins;;ENCONTRADO;RUA ANTONIO MONTEIRO DE CARVALHO, S/N, Maceio, Alagoas, Brasil
