rank_top30,rank_estrategico,municipio,prefeito,partido,votos_prefeito,percentual_prefeito,segundo_colocado,partido_segundo_colocado,votos_segundo_colocado,percentual_segundo_colocado,margem_vitoria_votos,margem_vitoria_pct,eleitorado_2024,indice_estrategico_pct,prioridade_politica,visitado_pre_campanha,quantidade_visitas,ultima_visita,grupo_politico,relacao_davi,peso_politico,status_articulacao,observacoes,status_classificacao
11,11,Santana do Ipanema,JOAO EDUARDO BULHOES PORTELA DE MELO,MDB,16302,64.77,JOSE EDSON MAGALHÃES FELIX,PP,8268.0,32.85,8034.0,31.919999999999995,33506,1.40167165913523,Alta Prioridade,False,0,,,,,,,pendente_revisao
12,12,Atalaia,CECILIA LIMA HERRMANN,MDB,19600,79.95,MAURICIO TENÓRIO DA SILVA,PDT,2423.0,9.88,17177.0,70.07000000000001,32883,1.30121074857304,Alta Prioridade,False,0,,,,,,,pendente_revisao
13,13,Teotônio Vilela,PEDRO HENRIQUE DE JESUS PEREIRA,PP,17729,77.19,VALDIR JOAQUIM DA SILVA NETO,MDB,5238.0,22.81,12491.0,54.38,31976,1.28109977433508,Alta Prioridade,False,0,,,,,,,pendente_revisao
14,14,Pilar,MARIA DE FATIMA RESENDE ROCHA OITICICA,MDB,13008,56.14,ROBERTO DOUGLAS DA SILVA BARROS,PV,5171.0,22.32,7837.0,33.82,29137,1.17494909850829,Alta Prioridade,False,0,,,,,,,pendente_revisao
15,15,Girau do Ponciano,GILBERTO BEZERRA BARROS,PP,15885,71.42,LIDIA SAMYRA DO NASCIMENTO BARROS SILVA,PDT,6358.0,28.58,9527.0,42.84,28487,1.16411221684923,Alta Prioridade,False,0,,,,,,,pendente_revisao
16,16,São Sebastião,CHARLES NUNES REGUEIRA,PP,11980,56.14,MARCOS ANDRE DE JESUS PEREIRA,MDB,8803.0,41.26,3177.0,14.880000000000004,27531,1.09354595945992,Alta Prioridade,False,0,,,,,,,pendente_revisao
17,17,Campo Alegre,PAULINE DE FÁTIMA PEREIRA ALBUQUERQUE,PP,12217,59.17,HENRIQUE ANTONIO DE GOES TENORIO,MDB,8429.0,40.83,3788.0,18.340000000000003,27202,1.08423973041757,Alta Prioridade,False,0,,,,,,,pendente_revisao
18,18,Maragogi,DANIEL MENDES DE VASCONCELOS FERREIRA,PP,9877,49.04,MARCOS JOSÉ DIAS VIANA,MDB,9003.0,44.7,874.0,4.339999999999996,25140,1.02998000326574,Alta Prioridade,False,0,,,,,,,pendente_revisao
19,19,São Luís do Quitunde,MARCIA RAFAELA BARROS DE VASCONCELOS,MDB,10379,55.79,VIVIANE DOS SANTOS SILVA,PP,8225.0,44.21,2154.0,11.579999999999998,24159,0.98845418530158,Alta Prioridade,False,0,,,,,,,pendente_revisao
20,20,São José da Tapera,JARBAS PEREIRA RICARDO,MDB,11679,68.49,JOSE ROMARIO RODRIGUES PEREIRA,PDT,5248.0,30.78,6431.0,37.71,23599,0.97021827350035,Alta Prioridade,True,1,2026-05-14,,,,,,pendente_revisao
21,21,Craíbas,TEÓFILO JOSÉ BARROSO PEREIRA,PP,11286,61.4,EDIEL BARBOSA LIMA,MDB,7095.0,38.6,4191.0,22.8,22009,0.87395733156766,Média Prioridade,False,0,,,,,,,pendente_revisao
22,22,Porto Calvo,ERONITA SPOSITO LEAO E LIMA,MDB,12829,74.18,KLEVISSON KENNEDY DA SILVA SIQUEIRA,PP,3352.0,19.38,9477.0,54.80000000000001,22018,0.85935545390915,Média Prioridade,False,0,,,,,,,pendente_revisao
23,23,Murici,REMI VASCONCELOS CALHEIROS FILHO,MDB,10363,66.01,EDUARDO CESAR DE OLIVEIRA,PP,4338.0,27.63,6025.0,38.38000000000001,20853,0.83913708773492,Média Prioridade,False,0,,,,,,,pendente_revisao
24,24,Viçosa,JOÃO VICTOR CALHEIROS AMORIM SANTOS,MDB,9301,57.45,FLAUBERT TORRES FILHO,PODE,6737.0,41.61,2564.0,15.840000000000003,21118,0.83266267180308,Média Prioridade,False,0,,,,,,,pendente_revisao
25,25,Igaci,JOSE PETRUCIO OLIVEIRA BARBOSA,MDB,10377,68.81,ALBERES CANDIDO DA SILVA,UNIÃO,4704.0,31.19,5673.0,37.620000000000005,21092,0.8321878314131,Média Prioridade,False,0,,,,,,,pendente_revisao
26,26,Limoeiro de Anadia,JAMES MARLAN FERREIRA BARBOSA,PP,11438,69.54,SIDNEY VIEIRA DE SOUZA,REPUBLICANOS,3156.0,19.19,8282.0,50.35000000000001,20574,0.82428555012198,Média Prioridade,False,0,,,,,,,pendente_revisao
27,27,Junqueiro,CICERO LEANDRO PEREIRA DA SILVA,MDB,8805,54.46,JOÃO JOSÉ PEREIRA FILHO,PP,7337.0,45.38,1468.0,9.079999999999998,20569,0.8165400384959399,Média Prioridade,False,0,,,,,,,pendente_revisao
28,28,Piranhas,TIAGO TORRES FREITAS,MDB,11565,76.07,MARISTELA SENA DIAS,PP,3638.0,23.93,7927.0,52.13999999999999,20339,0.79757722345121,Média Prioridade,False,0,,,,,,,pendente_revisao
29,29,Traipu,MANUEL LUCAS KUMMER FREITAS DOS SANTOS,MDB,12379,88.76,THIAGO JOSE SILVA CAVALCANTE,REPUBLICANOS,1568.0,11.24,10811.0,77.52000000000001,19430,0.78150818662036,Média Prioridade,False,0,,,,,,,pendente_revisao
30,30,Pão de Açúcar,JORGE SILVA DANTAS,MDB,10379,74.83,ALDO ALVES ROSA,PL,3035.0,21.88,7344.0,52.95,19298,0.77928163791783,Média Prioridade,False,0,,,,,,,pendente_revisao
