rank_estrategico,municipio,prefeito,cargo,partido,votos_prefeito,percentual_prefeito,eleitorado_2024,indice_estrategico_pct,prioridade_politica,visitado_pre_campanha,quantidade_visitas,ultima_visita,grupo_politico,relacao_davi,peso_politico,status_articulacao,observacoes,fonte_dados,status_classificacao
24,Viçosa,JOÃO VICTOR CALHEIROS AMORIM SANTOS,Prefeito,MDB,9301,57.45,21118,0.83266267180308,Média Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
25,Igaci,JOSE PETRUCIO OLIVEIRA BARBOSA,Prefeito,MDB,10377,68.81,21092,0.8321878314131,Média Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
26,Limoeiro de Anadia,JAMES MARLAN FERREIRA BARBOSA,Prefeito,PP,11438,69.54,20574,0.82428555012198,Média Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
27,Junqueiro,CICERO LEANDRO PEREIRA DA SILVA,Prefeito,MDB,8805,54.46,20569,0.8165400384959399,Média Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
28,Piranhas,TIAGO TORRES FREITAS,Prefeito,MDB,11565,76.07,20339,0.79757722345121,Média Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
29,Traipu,MANUEL LUCAS KUMMER FREITAS DOS SANTOS,Prefeito,MDB,12379,88.76,19430,0.78150818662036,Média Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
30,Pão de Açúcar,JORGE SILVA DANTAS,Prefeito,MDB,10379,74.83,19298,0.77928163791783,Média Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
31,Matriz de Camaragibe,FERNANDO HENRIQUE LIMA CAVALCANTE,Prefeito,MDB,10842,75.52,19218,0.77735261714553,Média Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
32,Boca da Mata,BRUNO FEIJÓ TEIXEIRA,Prefeito,PP,9227,61.4,20100,0.77641869195003,Média Prioridade,True,1,2026-06-08,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
33,Feira Grande,DÁRIO ROBERTO SILVA LIRA,Prefeito,MDB,10095,63.58,19433,0.77290188439578,Média Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
34,Mata Grande,MARIA FABIANA FARIAS DE ALENCAR,Prefeito,MDB,7728,53.97,19084,0.7531750565540699,Média Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
35,Igreja Nova,TIAGO GOMES DOS SANTOS,Prefeito,MDB,7230,51.17,18088,0.72443017395498,Média Prioridade,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
