chave_local,municipio,local,endereco,latitude,longitude,bairro,status,fonte,estrategia_usada,consulta_usada,display_name
"MACEIO|ESCOLA ESTADUAL PROFa. IRENE GARRIDO|RUA G, QD 3, S/N, CONJ. DUBEAUX LEAO",MACEIO,ESCOLA ESTADUAL PROFa. IRENE GARRIDO,"RUA G, QD 3, S/N, CONJ. DUBEAUX LEAO",-9.5671441,-35.7511478,Salvador Lyra,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_LOCAL_SIMPLIFICADO,"IRENE GARRIDO, MACEIO, Alagoas, Brasil","Escola Irene Garrido, Rua Ismael Acioly, Salvador Lyra, Tabuleiros dos Martins, Maceió, Alagoas, Região Nordeste, 57081-071, Brasil"
"MACEIO|ESCOLA ESTADUAL PROFESSOR PEDRO TEIXEIRA|RUA PAU DARCO, S/N",MACEIO,ESCOLA ESTADUAL PROFESSOR PEDRO TEIXEIRA,"RUA PAU DARCO, S/N",,,,NAO_ENCONTRADO_V2,,,,
"MACEIO|E.M. MARIA CARMELITA CARDOSO GAMA (CAIC-UFAL)|BR 104, 1099 KM 14 - CAMPUS A.C.SIMOES",MACEIO,E.M. MARIA CARMELITA CARDOSO GAMA (CAIC-UFAL),"BR 104, 1099 KM 14 - CAMPUS A.C.SIMOES",,,,NAO_ENCONTRADO_V2,,,,
"MACEIO|E.E. PROFA. GILVANA ATAIDE CAVALCANTE CABRAL|RUA ELINELMA DE OLIVEIRA SANTOS, S/N",MACEIO,E.E. PROFA. GILVANA ATAIDE CAVALCANTE CABRAL,"RUA ELINELMA DE OLIVEIRA SANTOS, S/N",-9.5776280,-35.7495147,Santa Lúcia,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_LOCAL_SIMPLIFICADO,"GILVANA ATAIDE CAVALCANTE CABRAL, MACEIO, Alagoas, Brasil","Escola Estadual Professora Gilvana Ataide Cavalcante Cabral, Rua Elinelma Oliveira Santos, Santa Lúcia, Maceió, Alagoas, Região Nordeste, 57082-055, Brasil"
"MACEIO|ESCOLA EST. DR. EDSON BERNARDES|CONJ. JOAQUIM LEAO, S/N",MACEIO,ESCOLA EST. DR. EDSON BERNARDES,"CONJ. JOAQUIM LEAO, S/N",-9.6623627,-35.7612172,Ponta Grossa,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_LOCAL_SIMPLIFICADO,"ESCOLA EDSON BERNARDES, MACEIO, Alagoas, Brasil","Escola Estadual Doutor Edson dos Santos Bernardes, Rua H, Ponta Grossa, Maceió, Alagoas, Região Nordeste, 57015-560, Brasil"
"MACEIO|E.M. PROF. AURELIO BUARQUE DE HOLANDA FERREIRA|RUA F, S/N, CONJUNTO FREITAS NETO",MACEIO,E.M. PROF. AURELIO BUARQUE DE HOLANDA FERREIRA,"RUA F, S/N, CONJUNTO FREITAS NETO",,,,NAO_ENCONTRADO_V2,,,,
"MACEIO|E.M. MARIA DE LOURDES DE MELO PIMENTEL|RUA PADRE CICERO, 05, VILAGE CAMPESTE II",MACEIO,E.M. MARIA DE LOURDES DE MELO PIMENTEL,"RUA PADRE CICERO, 05, VILAGE CAMPESTE II",,,,NAO_ENCONTRADO_V2,,,,
"MACEIO|ESC. MUN. PROFa EULINA RIBEIRO ALENCAR|RUA COARACI FONSECA, 01",MACEIO,ESC. MUN. PROFa EULINA RIBEIRO ALENCAR,"RUA COARACI FONSECA, 01",,,,NAO_ENCONTRADO_V2,,,,
"MACEIO|ESCOLA DE ENSINO FUNDAMENTAL PROF. DONIZETTI CALHEIROS|AV. UBERABA, S/N",MACEIO,ESCOLA DE ENSINO FUNDAMENTAL PROF. DONIZETTI CALHEIROS,"AV. UBERABA, S/N",-9.5883815,-35.7585420,Santa Lúcia,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_ENDERECO_MUNICIPIO,"AV. UBERABA, MACEIO, Alagoas, Brasil","Rua Uberaba, Santa Lúcia, Maceió, Alagoas, Região Nordeste, 57082-880, Brasil"
"MACEIO|ESC. MUN. ARNON AFFONSO FARIAS DE MELLO|CONJ. JOSE DA SILVA PEIXOTO, S/N",MACEIO,ESC. MUN. ARNON AFFONSO FARIAS DE MELLO,"CONJ. JOSE DA SILVA PEIXOTO, S/N",,,,NAO_ENCONTRADO_V2,,,,
