prioridade,municipio,local_votacao,local_padronizado,endereco,consulta_geocoding,registros_afetados,score_similaridade,status_match,status_geocodificacao_atual,latitude_atual,longitude_atual,bairro_atual,latitude_curadoria,longitude_curadoria,bairro_curadoria,status_curadoria,fonte_validacao,responsavel,data_validacao,observacao
PRIORIDADE_1,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA,ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA,SITIO BATINGAS,"SÍTIO BATINGAS, Arapiraca, Alagoas, Brasil",360,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,MACEIO,E.M. JAYME DE ALTAVILLA,E.M. JAYME DE ALTAVILLA,"RUA DILERMANO REIS, S/N, LOT SANTA LUCIA","RUA DILERMANO REIS, S/N, LOT SANTA LUCIA, Maceio, Alagoas, Brasil",359,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,ARAPIRACA,ESCOLA DE 1 GRAU PARQUE LIONS,ESCOLA DE 1 GRAU PARQUE LIONS,RUA GOV. AFRANIO LAGES S/N,"RUA GOV. AFRÂNIO LAGES S/N, Arapiraca, Alagoas, Brasil",357,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,MACEIO,ESCOLA ESTADUAL PROFª. MARIA SALETE GUSMAO DE ARAUJO,ESCOLA ESTADUAL PROFa. MARIA SALETE GUSMAO DE ARAUJO,"CJ. OSMAN LOUREIRO, QD A","CJ. OSMAN LOUREIRO, QD A, Maceio, Alagoas, Brasil",353,0.9434,MATCH_PROVAVEL,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,ARAPIRACA,ESCOLA JOÃO SATURNINO DE ALMEIDA,ESCOLA JOAO SATURNINO DE ALMEIDA,AV. JOAO SATURNINO S/N,"AV. JOÃO SATURNINO S/N, Arapiraca, Alagoas, Brasil",342,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,ARAPIRACA,ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO,ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO,POVOADO CANAA S/N,"POVOADO CANAÃ S/N, Arapiraca, Alagoas, Brasil",329,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,MACEIO,E.M. PROFESSOR CORINTHO DA PAZ,E.M. PROFESSOR CORINTHO DA PAZ,"RUA 5-A, S/N - CJ. EUSTAQUIO GOMES DE MELO","RUA 5-A, S/N - CJ. EUSTÁQUIO GOMES DE MELO, Maceio, Alagoas, Brasil",328,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS,ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS,POVOADO CANGANDU S/N,"POVOADO CANGANDU S/N, Arapiraca, Alagoas, Brasil",323,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,MACEIO,ESC. EST. PROF. THEOTÔNIO VILELA BRANDÃO,ESC. EST. PROF. THEOTONIO VILELA BRANDAO,"RUA ADAUTO GOMES BARBOSA, SN - SANTO EDUARDO","RUA ADAUTO GOMES BARBOSA, SN - SANTO EDUARDO, Maceio, Alagoas, Brasil",319,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ZÉLIA BARBOSA ROCHA,ESCOLA DE ENSINO FUNDAMENTAL ZELIA BARBOSA ROCHA,RUA DJALMA M. SANTANA,"RUA DJALMA M. SANTANA, Arapiraca, Alagoas, Brasil",314,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,SAO MIGUEL DOS CAMPOS,COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA,COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA,"AV. SAMPAIO MARQUES, S/N","AV. SAMPAIO MARQUES, S/N, Sao Miguel Dos Campos, Alagoas, Brasil",313,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,MACEIO,COLÉGIO EDSON MONTEIRO,COLEGIO EDSON MONTEIRO,"RUA ANDRE PAPINE GOES, 177, LOTEAMENTO ACAUA","RUA ANDRÉ PAPINE GOES, 177, LOTEAMENTO ACAUÃ, Maceio, Alagoas, Brasil",308,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,MACEIO,COLÉGIO INTENSIVO,COLEGIO INTENSIVO,"LARGO DA VITORIA, 215","LARGO DA VITÓRIA, 215, Maceio, Alagoas, Brasil",308,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,MACEIO,ESCOLA ESTADUAL PROFª. IRENE GARRIDO,ESCOLA ESTADUAL PROFa. IRENE GARRIDO,"RUA G, QD 3, S/N, CONJ. DUBEAUX LEAO","RUA G, QD 3, S/N, CONJ. DUBEAUX LEAO, Maceio, Alagoas, Brasil",308,0.9189,MATCH_PROVAVEL,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL CLEONICE BARBOSA DE ALMEIDA,ESCOLA DE ENSINO FUNDAMENTAL CLEONICE BARBOSA DE ALMEIDA,CONJUNTO BRISA DO LAGO - OLHO DAGUA DOS CAZUZINHO,"CONJUNTO BRISA DO LAGO - OLHO DAGUA DOS CAZUZINHO, Arapiraca, Alagoas, Brasil",301,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,RIO LARGO,ESCOLA ESTADUAL SANTOS DUMONT,ESCOLA ESTADUAL SANTOS DUMONT,BR 104 - DESTACAMENTO DA FAB - VILA MILITAR,"BR 104 - DESTACAMENTO DA FAB - VILA MILITAR, Rio Largo, Alagoas, Brasil",301,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,MACEIO,ESCOLA EST. DR. EDSON BERNARDES,ESCOLA EST. DR. EDSON BERNARDES,"CONJ. JOAQUIM LEAO, S/N","CONJ. JOAQUIM LEAO, S/N, Maceio, Alagoas, Brasil",300,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
