chave_local,municipio,local,endereco,latitude,longitude,bairro,status,consulta_usada,display_name
RIO LARGO|GRUPO ESCOLAR OZORIA MOURA DE LIMA|RUA ANTONIO ELIAS CALHEIROS S/N,RIO LARGO,GRUPO ESCOLAR OZORIA MOURA DE LIMA,RUA ANTONIO ELIAS CALHEIROS S/N,,,,NAO_ENCONTRADO_OSM,,
RIO LARGO|ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEAO|PATIO DA REDE FERROVIARIA S/N,RIO LARGO,ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEAO,PATIO DA REDE FERROVIARIA S/N,,,,NAO_ENCONTRADO_OSM,,
"RIO LARGO|ESCOLA MUNICIPAL DE ENSINO F. PROFESSOR JOSE EDMILSON|COJ NAPOLEAO VIANA,S/N, BAR NOSSO, PREF ANTONIO LINS DE SOUZA",RIO LARGO,ESCOLA MUNICIPAL DE ENSINO F. PROFESSOR JOSE EDMILSON,"COJ NAPOLEAO VIANA,S/N, BAR NOSSO, PREF ANTONIO LINS DE SOUZA",,,,NAO_ENCONTRADO_OSM,,
RIO LARGO|GRUPO ESCOLAR PROFESSOR POMPEU SARMENTO|TRAV SANTA LUZIA S/N,RIO LARGO,GRUPO ESCOLAR PROFESSOR POMPEU SARMENTO,TRAV SANTA LUZIA S/N,,,,NAO_ENCONTRADO_OSM,,
RIO LARGO|GRUPO ESCOLAR DALMARIO DE SOUZA|RUA ALTO DA SAUDADE SN,RIO LARGO,GRUPO ESCOLAR DALMARIO DE SOUZA,RUA ALTO DA SAUDADE SN,,,,NAO_ENCONTRADO_OSM,,
RIO LARGO|ESCOLA ESTADUAL TABULEIRO DO PINTO|RUA DA CAIXA SN,RIO LARGO,ESCOLA ESTADUAL TABULEIRO DO PINTO,RUA DA CAIXA SN,-9.5037697,-35.8135258,Rio Largo,ENCONTRADO_OSM,"ESCOLA ESTADUAL TABULEIRO DO PINTO, RIO LARGO, Alagoas, Brasil","Escola Estadual Tabuleiro do Pinto (Grupo Escolar Rural), Rua José Monteiro de Melo, Rio Largo, Alagoas, Região Nordeste, 57100-000, Brasil"
"RIO LARGO|ANTIGA ESCOLA FRANCISCO LEAO DO CENTRO|PRACA TEIZEIRA BARROS., SN",RIO LARGO,ANTIGA ESCOLA FRANCISCO LEAO DO CENTRO,"PRACA TEIZEIRA BARROS., SN",,,,NAO_ENCONTRADO_OSM,,
RIO LARGO|GRUPO ESCOLAR ODILO ALVARES DE SOUZA|AV MUNIZ FALCAO SN,RIO LARGO,GRUPO ESCOLAR ODILO ALVARES DE SOUZA,AV MUNIZ FALCAO SN,,,,NAO_ENCONTRADO_OSM,,
"RIO LARGO|CRECHE MUNICIPAL CELYRIO ADAMASTOR BARRETO ACIOLY|ROD AL 210, CJ EDSON NOVAES S/N",RIO LARGO,CRECHE MUNICIPAL CELYRIO ADAMASTOR BARRETO ACIOLY,"ROD AL 210, CJ EDSON NOVAES S/N",,,,NAO_ENCONTRADO_OSM,,
RIO LARGO|ESCOLA DE EDUCACAO INFANTIL AQUINO JAPIASSU|VILA MARILIA,RIO LARGO,ESCOLA DE EDUCACAO INFANTIL AQUINO JAPIASSU,VILA MARILIA,,,,NAO_ENCONTRADO_OSM,,
RIO LARGO|ESCOLA DE EDUCACAO INFANTIL PADRE PAULINO|CONJUNTO MUTIRAO,RIO LARGO,ESCOLA DE EDUCACAO INFANTIL PADRE PAULINO,CONJUNTO MUTIRAO,,,,NAO_ENCONTRADO_OSM,,
"RIO LARGO|CRIA-CENTRO INFANTIL CORALIA GOMES DA SILVA|CJ JARBAS OITICICA, QD B2, N 45, MATA DO ROLO",RIO LARGO,CRIA-CENTRO INFANTIL CORALIA GOMES DA SILVA,"CJ JARBAS OITICICA, QD B2, N 45, MATA DO ROLO",,,,NAO_ENCONTRADO_OSM,,
"RIO LARGO|ESCOLA ESTADUAL JOAO MORAIS CAVALCANTE|R. DO MATADOURO, CJ HAB JOSE FERNANDES TORRES, CJ MUTIRAO",RIO LARGO,ESCOLA ESTADUAL JOAO MORAIS CAVALCANTE,"R. DO MATADOURO, CJ HAB JOSE FERNANDES TORRES, CJ MUTIRAO",,,,NAO_ENCONTRADO_OSM,,
"RIO LARGO|CMEI DESEMBARGADOR FRANCISCO WILDO LACERDA DANTAS|CJ ANTONIO LINS DE SOUSA , QD6, MATA DO ROLO",RIO LARGO,CMEI DESEMBARGADOR FRANCISCO WILDO LACERDA DANTAS,"CJ ANTONIO LINS DE SOUSA , QD6, MATA DO ROLO",,,,NAO_ENCONTRADO_OSM,,
"SAO MIGUEL DOS CAMPOS|COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA|AV. SAMPAIO MARQUES, S/N",SAO MIGUEL DOS CAMPOS,COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA,"AV. SAMPAIO MARQUES, S/N",,,,NAO_ENCONTRADO_OSM,,
"SAO MIGUEL DOS CAMPOS|ESCOLA MUNICIPAL PROFESSORA INEIDE NOGUEIRA ROCHA|RUA ALICIA VITORIA URBANO DE OLIVEIRA LOPES, QUADRA O1, S/N",SAO MIGUEL DOS CAMPOS,ESCOLA MUNICIPAL PROFESSORA INEIDE NOGUEIRA ROCHA,"RUA ALICIA VITORIA URBANO DE OLIVEIRA LOPES, QUADRA O1, S/N",,,,NAO_ENCONTRADO_OSM,,
"SAO MIGUEL DOS CAMPOS|ESCOLA MUNICIPAL MARIO SOARES PALMEIRA|RUA VISCONDE DE SINIMBU, 32",SAO MIGUEL DOS CAMPOS,ESCOLA MUNICIPAL MARIO SOARES PALMEIRA,"RUA VISCONDE DE SINIMBU, 32",-9.7816218,-36.0959998,Centro,ENCONTRADO_OSM,"ESCOLA MUNICIPAL MARIO SOARES PALMEIRA, SAO MIGUEL DOS CAMPOS, Alagoas, Brasil","Escola Municipal Mário Soares Palmeira, Rua Visconde do Sinumbú, Centro, São Miguel dos Campos, Alagoas, Região Nordeste, Brasil"
"SAO MIGUEL DOS CAMPOS|ESCOLA DE 1 E 2 GRAUS NUNILA MACHADO|VISCONDE DE SINIMBU, 182",SAO MIGUEL DOS CAMPOS,ESCOLA DE 1 E 2 GRAUS NUNILA MACHADO,"VISCONDE DE SINIMBU, 182",,,,NAO_ENCONTRADO_OSM,,
"SAO MIGUEL DOS CAMPOS|ESCOLA DE ENSINO SUPERIOR DE SAO MIGUEL DOS CAMPOS|PRACA SENHORA DOS PRAZERES, SN",SAO MIGUEL DOS CAMPOS,ESCOLA DE ENSINO SUPERIOR DE SAO MIGUEL DOS CAMPOS,"PRACA SENHORA DOS PRAZERES, SN",,,,NAO_ENCONTRADO_OSM,,
"SAO MIGUEL DOS CAMPOS|ESCOLA DE EDUCACAO BASICA CONSTRUTIVISTA|RUA PROJETADA, 16",SAO MIGUEL DOS CAMPOS,ESCOLA DE EDUCACAO BASICA CONSTRUTIVISTA,"RUA PROJETADA, 16",,,,NAO_ENCONTRADO_OSM,,
"SAO MIGUEL DOS CAMPOS|ESCOLA MUNICIPAL DIONISIA APRATTO TENORIO|AV. PREFEITO PEDRO FERNANDES, S/N",SAO MIGUEL DOS CAMPOS,ESCOLA MUNICIPAL DIONISIA APRATTO TENORIO,"AV. PREFEITO PEDRO FERNANDES, S/N",,,,NAO_ENCONTRADO_OSM,,
"SAO MIGUEL DOS CAMPOS|ESCOLA DE 1 GRAU TARCISIO SOARES PALMEIRA|TRAVESSA SENADOR MAXIMO, 104",SAO MIGUEL DOS CAMPOS,ESCOLA DE 1 GRAU TARCISIO SOARES PALMEIRA,"TRAVESSA SENADOR MAXIMO, 104",,,,NAO_ENCONTRADO_OSM,,
"SAO MIGUEL DOS CAMPOS|COLEGIO MUNICIPAL ESTHER SOARES TORRES|AVENIDA PREFEITO PEDRO FERNANDES DA COSTA, S/N",SAO MIGUEL DOS CAMPOS,COLEGIO MUNICIPAL ESTHER SOARES TORRES,"AVENIDA PREFEITO PEDRO FERNANDES DA COSTA, S/N",,,,NAO_ENCONTRADO_OSM,,
"SAO MIGUEL DOS CAMPOS|ESCOLA ESTADUAL PROFESSORA EDILEUZA OLIVEIRA DA SILVA|RUA PROJETADA, S/N",SAO MIGUEL DOS CAMPOS,ESCOLA ESTADUAL PROFESSORA EDILEUZA OLIVEIRA DA SILVA,"RUA PROJETADA, S/N",,,,NAO_ENCONTRADO_OSM,,
SAO MIGUEL DOS CAMPOS|CRECHE JOSEFA BENEDITA DOS SANTOS|AVENIDA PEDRO FERNANDES DE COSTA,SAO MIGUEL DOS CAMPOS,CRECHE JOSEFA BENEDITA DOS SANTOS,AVENIDA PEDRO FERNANDES DE COSTA,,,,NAO_ENCONTRADO_OSM,,
"UNIAO DOS PALMARES|ESCOLA ESTADUAL CARLOS GOMES DE BARROS|AV. JOAO LYRA FILHO, S/N",UNIAO DOS PALMARES,ESCOLA ESTADUAL CARLOS GOMES DE BARROS,"AV. JOAO LYRA FILHO, S/N",,,,NAO_ENCONTRADO_OSM,,
"UNIAO DOS PALMARES|ESCOLA MUNICIPAL JOAO COSTA DE OLIVEIRA|QUADRA P1, S/N",UNIAO DOS PALMARES,ESCOLA MUNICIPAL JOAO COSTA DE OLIVEIRA,"QUADRA P1, S/N",,,,NAO_ENCONTRADO_OSM,,
UNIAO DOS PALMARES|CRECHE MUNICIPAL TIA SUZETE|CONJUNTO NOVA ESPERANCA,UNIAO DOS PALMARES,CRECHE MUNICIPAL TIA SUZETE,CONJUNTO NOVA ESPERANCA,,,,NAO_ENCONTRADO_OSM,,
UNIAO DOS PALMARES|ESCOLA DE ENSINO FUNDAMENTAL FERNANDO JUAZEIRO|AV. DR. HERMANO PLECH 488,UNIAO DOS PALMARES,ESCOLA DE ENSINO FUNDAMENTAL FERNANDO JUAZEIRO,AV. DR. HERMANO PLECH 488,,,,NAO_ENCONTRADO_OSM,,
"UNIAO DOS PALMARES|ESCOLA MUNICIPAL LAURA PEREIRA DA SILVA|RUA CUPERTINO DOS PRAZERES, S/N",UNIAO DOS PALMARES,ESCOLA MUNICIPAL LAURA PEREIRA DA SILVA,"RUA CUPERTINO DOS PRAZERES, S/N",,,,NAO_ENCONTRADO_OSM,,
