ranking_reduto_qualificado;municipio;vereador;partido;local_principal;endereco_local_principal;latitude;longitude;bairro;distrito;status_geocodificacao;votos_local_principal;votos_totais_vereador;percentual_local_principal;qtd_secoes_controladas;total_secoes_vereador;indice_reduto;classificacao_reduto;status_reduto;nivel_reduto;potencial_transferencia;prioridade_agenda;observacao_estrategica
64;ARAPIRACA;MELQUISEDEC DE OLIVEIRA;MDB;GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA;VILA SAÕ JOSÉ S/N;;;;;NAO_ENCONTRADO;215;2131;1009;8;359;1333;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;MELQUISEDEC DE OLIVEIRA concentra 1009.00% dos seus votos no local GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA, com 215 votos registrados.
65;ARAPIRACA;THIAGO SEVERINO LOPES DOS SANTOS;UNIÃO;GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA;VILA SAÕ JOSÉ S/N;;;;;NAO_ENCONTRADO;214;2101;1019;8;359;1337;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;THIAGO SEVERINO LOPES DOS SANTOS concentra 1019.00% dos seus votos no local GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA, com 214 votos registrados.
66;SAO MIGUEL DOS CAMPOS;ROBSON ALFREDO DA SILVA MOURA;MDB;ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA;RODOVIA BR 101, KM 69;-9.741431;-36.0611185;São Miguel dos Campos;;ENCONTRADO;213;1435;1484;14;137;1907;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;ROBSON ALFREDO DA SILVA MOURA concentra 1484.00% dos seus votos no local ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA, com 213 votos registrados.
67;MACEIO;THALES LUIZ PEIXOTO CAVALCANTE;PSB;ESCOLA ESTADUAL DEPUTADO NENOI PINTO;RUA MUNIZ FALCAO, S/N;-9.649823;-35.7216764;Jacintinho;;ENCONTRADO;212;5833;363;10;539;1038;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;THALES LUIZ PEIXOTO CAVALCANTE concentra 363.00% dos seus votos no local ESCOLA ESTADUAL DEPUTADO NENOI PINTO, com 212 votos registrados.
68;MARECHAL DEODORO;YURI CORTEZ DE MENEZES;MDB;ESCOLA MUNICIPAL JOSÉ BISPO DA SILVA;AV. CATUÇABA, S/N;-9.7180783;-35.8235422;Marechal Deodoro;;ENCONTRADO;211;1608;1312;5;135;1362;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;YURI CORTEZ DE MENEZES concentra 1312.00% dos seus votos no local ESCOLA MUNICIPAL JOSÉ BISPO DA SILVA, com 211 votos registrados.
69;SAO MIGUEL DOS CAMPOS;JOSIVALDO JOSÉ DA SILVA;PDT;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;AV. SAMPAIO MARQUES, S/N;;;;;NAO_ENCONTRADO;210;1991;1055;15;137;1694;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JOSIVALDO JOSÉ DA SILVA concentra 1055.00% dos seus votos no local COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA, com 210 votos registrados.
70;PENEDO;IVO CARLOS MOURA COSTA;PV;COLÉGIO DIOCESANO DE PENEDO;PÇA. LARGO DE FÁTIMA, PX. À 9A. COORDENADORIA DE ENSINO DE ALAGOAS;;;;;NAO_ENCONTRADO;206;1375;1498;12;137;1807;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;IVO CARLOS MOURA COSTA concentra 1498.00% dos seus votos no local COLÉGIO DIOCESANO DE PENEDO, com 206 votos registrados.
71;RIO LARGO;JOSE CARLOS REIS DOS SANTOS FILHO;PP;GRUPO ESCOLAR OZORIA MOURA DE LIMA;RUA  ANTONIO ELIAS CALHEIROS S/N;;;;;NAO_ENCONTRADO;206;1906;1081;5;199;1215;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JOSE CARLOS REIS DOS SANTOS FILHO concentra 1081.00% dos seus votos no local GRUPO ESCOLAR OZORIA MOURA DE LIMA, com 206 votos registrados.
72;MARECHAL DEODORO;THIAGO HENRIQUE GONDIN TORRES;PDT;ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA;AV SÃO JOSÉ SN;-9.7102397;-35.8959836;Centro;;ENCONTRADO;203;2023;1003;11;135;1457;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;THIAGO HENRIQUE GONDIN TORRES concentra 1003.00% dos seus votos no local ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA, com 203 votos registrados.
73;MARECHAL DEODORO;EVERALDO PEREIRA LOPES JUNIOR;PSB;ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA;AV SÃO JOSÉ SN;-9.7102397;-35.8959836;Centro;;ENCONTRADO;201;1790;1123;11;135;1525;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;EVERALDO PEREIRA LOPES JUNIOR concentra 1123.00% dos seus votos no local ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA, com 201 votos registrados.
74;MACEIO;RUI SOARES PALMEIRA;PSD;CRECHE ESCOLA ESPAÇO EDUCAR;RUA PROFESSOR SANDOVAL ARROXELAS, N. 510;-9.6588344;-35.7046403;Ponta Verde;;ENCONTRADO;201;5498;366;20;544;151;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;RUI SOARES PALMEIRA concentra 366.00% dos seus votos no local CRECHE ESCOLA ESPAÇO EDUCAR, com 201 votos registrados.
75;ARAPIRACA;PABLO EMANUEL DA SILVA;PP;ESCOLA DE 1 GRAU PROFESSOR JAYME DE ALTAVILLA;RUA SANTOS DUMONT, 623;-9.7498653;-36.6655146;Centro;;ENCONTRADO;199;2873;693;8;362;1118;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;PABLO EMANUEL DA SILVA concentra 693.00% dos seus votos no local ESCOLA DE 1 GRAU PROFESSOR JAYME DE ALTAVILLA, com 199 votos registrados.
76;ARAPIRACA;WALLYSSON BISPO DA SILVA;PP;COLÉGIO QUINTELA CAVALCANTE;AV. VENTURA DE FARIAS S/N;-9.7466266;-36.6673366;Eldorado;;ENCONTRADO;197;4343;454;16;372;1362;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;WALLYSSON BISPO DA SILVA concentra 454.00% dos seus votos no local COLÉGIO QUINTELA CAVALCANTE, com 197 votos registrados.
77;PALMEIRA DOS INDIOS;LUCIO CARLOS FONSECA MEDEIROS;UNIÃO;COLÉGIO ESTADUAL HUMBERTO MENDES;AV GOV MUNIZ FALCÃO 701;;;;;NAO_ENCONTRADO;196;1145;1712;22;161;2408;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;LUCIO CARLOS FONSECA MEDEIROS concentra 1712.00% dos seus votos no local COLÉGIO ESTADUAL HUMBERTO MENDES, com 196 votos registrados.
78;PENEDO;DERIVAN THOMAZ;PV;EMEB PROFESSOR IRÊNIO ARAÚJO;POVOADO MARITUBA DO PEIXE;;;;;NAO_ENCONTRADO;196;1287;1523;2;131;1319;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;DERIVAN THOMAZ concentra 1523.00% dos seus votos no local EMEB PROFESSOR IRÊNIO ARAÚJO, com 196 votos registrados.
79;MACEIO;THIAGO PRADO OLIVEIRA SILVEIRA;PP;UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT);AV GUSTAVO PAIVA, 5017;-9.6478561;-35.7147108;Mangabeiras;;ENCONTRADO;196;6802;288;40;549;2431;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;THIAGO PRADO OLIVEIRA SILVEIRA concentra 288.00% dos seus votos no local UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT), com 196 votos registrados.
80;MACEIO;JOSÉ EDUARDO ACCIOLY CANUTO;PL;UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT);AV GUSTAVO PAIVA, 5017;-9.6478561;-35.7147108;Mangabeiras;;ENCONTRADO;195;5696;342;41;544;2511;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JOSÉ EDUARDO ACCIOLY CANUTO concentra 342.00% dos seus votos no local UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT), com 195 votos registrados.
81;UNIAO DOS PALMARES;MANOEL MESSIAS DA SILVA;MDB;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;AV. JOÃO LYRA FILHO, S/N;;;;;NAO_ENCONTRADO;194;1202;1614;16;141;2053;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;MANOEL MESSIAS DA SILVA concentra 1614.00% dos seus votos no local ESCOLA ESTADUAL CARLOS GOMES DE BARROS, com 194 votos registrados.
82;RIO LARGO;DOUGLAS HENRIQUE DE FRANÇA COSTA;UNIÃO;ESCOLA MUNICIPAL DE EDUCAÇÃO BASICA INDUSTRIAL LUIGI BAUDUCCO;AVENIDA PASTOR JOSUE LINS CONJUNTO CRUZEIRO DO SUL, C RESIDENCIAL;;;;;NAO_ENCONTRADO;193;1429;1351;8;186;1503;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;DOUGLAS HENRIQUE DE FRANÇA COSTA concentra 1351.00% dos seus votos no local ESCOLA MUNICIPAL DE EDUCAÇÃO BASICA INDUSTRIAL LUIGI BAUDUCCO, com 193 votos registrados.
83;SAO MIGUEL DOS CAMPOS;ADRIANA DE CARVALHO SILVA DE OMENA;PDT;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;AV. SAMPAIO MARQUES, S/N;;;;;NAO_ENCONTRADO;192;1453;1321;15;137;1825;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;ADRIANA DE CARVALHO SILVA DE OMENA concentra 1321.00% dos seus votos no local COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA, com 192 votos registrados.
84;MACEIO;JONATAS JOSE OLIVEIRA DE OMENA;PL;ESCOLA DE ENS. FUND. NOSSO LAR I;RUA SAMPAIO DORIA, S/N;;;;;NAO_ENCONTRADO;192;5486;35;16;544;1291;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JONATAS JOSE OLIVEIRA DE OMENA concentra 35.00% dos seus votos no local ESCOLA DE ENS. FUND. NOSSO LAR I, com 192 votos registrados.
85;RIO LARGO;CARLOS HENRIQUE ROLIM VASCONCELOS;PP;ESCOLA ESTADUAL SANTOS DUMONT;BR 104 - DESTACAMENTO DA FAB - VILA MILITAR;;;;;NAO_ENCONTRADO;191;1873;102;9;200;135;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;CARLOS HENRIQUE ROLIM VASCONCELOS concentra 102.00% dos seus votos no local ESCOLA ESTADUAL SANTOS DUMONT, com 191 votos registrados.
86;MARECHAL DEODORO;NILSON DO NASCIMENTO SANTOS;PSB;ESCOLA MUNICIPAL GOVERNADOR LUIZ CAVALCANTE;RODOVIA EDVAL LEMOS;-9.7585568;-35.8685101;Vila Cabreiras;;ENCONTRADO;186;1305;1425;11;131;1683;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;NILSON DO NASCIMENTO SANTOS concentra 1425.00% dos seus votos no local ESCOLA MUNICIPAL GOVERNADOR LUIZ CAVALCANTE, com 186 votos registrados.
87;DELMIRO GOUVEIA;MARCIO FERNANDO FREITAS DA SILVA;PP;ELIZEU NORBERTO, GRUPO ESCOLAR;RUA MANOEL RIBEIRO, SN;-9.3769332;-37.9959555;Eldorado;;ENCONTRADO;184;376;4894;6;93;3517;REDUTO MÉDIO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;MARCIO FERNANDO FREITAS DA SILVA concentra 4894.00% dos seus votos no local ELIZEU NORBERTO, GRUPO ESCOLAR, com 184 votos registrados.
88;MARECHAL DEODORO;AUGUSTO JORGE GRANJEIRO COSTA CARNAÚBA;MDB;ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA;AV SÃO JOSÉ SN;-9.7102397;-35.8959836;Centro;;ENCONTRADO;183;1596;1147;11;135;1512;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;AUGUSTO JORGE GRANJEIRO COSTA CARNAÚBA concentra 1147.00% dos seus votos no local ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA, com 183 votos registrados.
89;MARECHAL DEODORO;EVERALDO OLIVEIRA SOUTO NETO;MDB;ESCOLA MUNICIPAL PREFEITO MANOEL MESSIAS DOS SANTOS;RUA SALVADOR S/N LOT. LUAR DO FRANCÊS;;;;;NAO_ENCONTRADO;182;1776;1025;8;135;1291;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;EVERALDO OLIVEIRA SOUTO NETO concentra 1025.00% dos seus votos no local ESCOLA MUNICIPAL PREFEITO MANOEL MESSIAS DOS SANTOS, com 182 votos registrados.
90;CORURIPE;EDINALDO MORAIS DE SOUZA;PSB;ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA;RUA PERNAMBUCO NOVO, S/N;;;;;NAO_ENCONTRADO;181;1114;1625;12;120;1844;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;EDINALDO MORAIS DE SOUZA concentra 1625.00% dos seus votos no local ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA, com 181 votos registrados.
91;DELMIRO GOUVEIA;GEORGE LISBOA JUNIOR;MDB;VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA;AV MASCARENHAS DE MORAIS S/N;;;;;NAO_ENCONTRADO;181;1629;1111;12;146;1536;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;GEORGE LISBOA JUNIOR concentra 1111.00% dos seus votos no local VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA, com 181 votos registrados.
92;RIO LARGO;RAFAEL RUDSON FEITOSA PINTO;PP;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;180;1701;1058;16;199;1697;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;RAFAEL RUDSON FEITOSA PINTO concentra 1058.00% dos seus votos no local ESCOLA MUNICIPAL DR. GUSTAVO PAIVA, com 180 votos registrados.
93;ARAPIRACA;RAMONN IZIDORO SOARES ALVES;PSB;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;Capiatá;;ENCONTRADO;180;3169;568;16;374;1403;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;RAMONN IZIDORO SOARES ALVES concentra 568.00% dos seus votos no local ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA, com 180 votos registrados.
94;MARECHAL DEODORO;EZECHIAS JOSÉ DO NASCIMENTO;PSB;ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA;AV SÃO JOSÉ SN;-9.7102397;-35.8959836;Centro;;ENCONTRADO;177;1144;1547;11;133;1742;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;EZECHIAS JOSÉ DO NASCIMENTO concentra 1547.00% dos seus votos no local ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA, com 177 votos registrados.
95;MACEIO;SAMYR MALTA AMARAL;PODE;UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT);AV GUSTAVO PAIVA, 5017;-9.6478561;-35.7147108;Mangabeiras;;ENCONTRADO;177;5321;333;41;545;2477;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;SAMYR MALTA AMARAL concentra 333.00% dos seus votos no local UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT), com 177 votos registrados.
96;PENEDO;ANTONIO DE FIGUEIREDO BARBOSA JUNIOR;PSB;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;;;NAO_ENCONTRADO;175;1275;1373;22;136;2171;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;ANTONIO DE FIGUEIREDO BARBOSA JUNIOR concentra 1373.00% dos seus votos no local COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO, com 175 votos registrados.
97;MARECHAL DEODORO;HILDEBRANDO TENÓRIO DE ALBUQUERQUE NETO;PP;ESCOLA MUNICIPAL ADELINA DE CARVALHO MELO;RUA ADELINA DE CARVALHO MELO SN;;;;;NAO_ENCONTRADO;175;983;178;3;135;1489;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;HILDEBRANDO TENÓRIO DE ALBUQUERQUE NETO concentra 178.00% dos seus votos no local ESCOLA MUNICIPAL ADELINA DE CARVALHO MELO, com 175 votos registrados.
98;UNIAO DOS PALMARES;GIVANILDO VICENTE DE MELO;MDB;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;AV. JOÃO LYRA FILHO, S/N;;;;;NAO_ENCONTRADO;173;1193;145;16;141;1922;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;GIVANILDO VICENTE DE MELO concentra 145.00% dos seus votos no local ESCOLA ESTADUAL CARLOS GOMES DE BARROS, com 173 votos registrados.
99;RIO LARGO;ALINE BIANA CAVALCANTE;UNIÃO;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;172;1609;1069;16;197;1691;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;ALINE BIANA CAVALCANTE concentra 1069.00% dos seus votos no local ESCOLA MUNICIPAL DR. GUSTAVO PAIVA, com 172 votos registrados.
100;ARAPIRACA;EDINALDO DE SANTANA PONCIANO;PMB;GRUPO ESCOLAR DJALMA MATHEUS SANTANA;RUA ROSENDO LIMA S/N;-9.7669946;-36.6608561;Primavera;;ENCONTRADO;170;837;2031;10;274;1973;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;EDINALDO DE SANTANA PONCIANO concentra 2031.00% dos seus votos no local GRUPO ESCOLAR DJALMA MATHEUS SANTANA, com 170 votos registrados.
101;UNIAO DOS PALMARES;SANDRO JORGE DA SILVA;MDB;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;170;1280;1328;16;141;1844;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;SANDRO JORGE DA SILVA concentra 1328.00% dos seus votos no local COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS, com 170 votos registrados.
102;RIO LARGO;ALBERTINA MARIA ALVES CABRAL;REPUBLICANOS;COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO;CONJ GURIATA, S/N;;;;;NAO_ENCONTRADO;169;409;4132;12;102;3329;REDUTO MÉDIO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;ALBERTINA MARIA ALVES CABRAL concentra 4132.00% dos seus votos no local COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO, com 169 votos registrados.
103;PENEDO;DENYS MALTA REIS;PV;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;;;NAO_ENCONTRADO;169;1166;1449;22;134;2207;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;DENYS MALTA REIS concentra 1449.00% dos seus votos no local COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO, com 169 votos registrados.
104;PALMEIRA DOS INDIOS;MADSON LUCIANO MONTEIRO SANTOS DA SILVA;PV;COLÉGIO CRISTO REDENTOR;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;São Cristovão;;ENCONTRADO;169;1219;1386;21;165;2121;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;MADSON LUCIANO MONTEIRO SANTOS DA SILVA concentra 1386.00% dos seus votos no local COLÉGIO CRISTO REDENTOR, com 169 votos registrados.
105;CORURIPE;RAPHAEL LIMA OLIVEIRA SILVA;PP;ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA;RUA PERNAMBUCO NOVO, S/N;;;;;NAO_ENCONTRADO;169;944;179;12;120;1924;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;RAPHAEL LIMA OLIVEIRA SILVA concentra 179.00% dos seus votos no local ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA, com 169 votos registrados.
106;PENEDO;RAQUEL MARIA TAVARES;MDB;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;;;NAO_ENCONTRADO;166;990;1677;22;135;234;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;RAQUEL MARIA TAVARES concentra 1677.00% dos seus votos no local COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO, com 166 votos registrados.
107;PENEDO;FAGNER MATIAS DOS SANTOS;MDB;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;;;NAO_ENCONTRADO;166;1030;1612;22;134;2301;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;FAGNER MATIAS DOS SANTOS concentra 1612.00% dos seus votos no local COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO, com 166 votos registrados.
108;RIO LARGO;IZAQUE PEREIRA SILVA;AVANTE;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;166;1577;1053;16;198;1672;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;IZAQUE PEREIRA SILVA concentra 1053.00% dos seus votos no local ESCOLA MUNICIPAL DR. GUSTAVO PAIVA, com 166 votos registrados.
109;DELMIRO GOUVEIA;JEDIAEL PEREIRA DOS SANTOS;PSB;WATSON DE GUSMAO, ESCOLA DE 1 E 2 GRAUS;RUA HENRIQUE DIAS, S/N;-9.3850082;-38.0068886;Eldorado;;ENCONTRADO;163;782;2084;15;131;2238;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JEDIAEL PEREIRA DOS SANTOS concentra 2084.00% dos seus votos no local WATSON DE GUSMAO, ESCOLA DE 1 E 2 GRAUS, com 163 votos registrados.
110;CORURIPE;JOSÉ MAURÍCIO DOS SANTOS;MDB;ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM;RUA JOSÉ RAIMUNDO DOS SANTOS, 40;-10.118516;-36.1800084;Coruripe;;ENCONTRADO;159;843;1886;13;115;2015;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JOSÉ MAURÍCIO DOS SANTOS concentra 1886.00% dos seus votos no local ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM, com 159 votos registrados.
111;PALMEIRA DOS INDIOS;RONALDO CORREIA DOS SANTOS JÚNIOR;PRD;COLÉGIO CRISTO REDENTOR;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;São Cristovão;;ENCONTRADO;159;1358;1171;21;166;1976;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;RONALDO CORREIA DOS SANTOS JÚNIOR concentra 1171.00% dos seus votos no local COLÉGIO CRISTO REDENTOR, com 159 votos registrados.
112;RIO LARGO;JEFFERSON ALEXANDRE CAVALCANTE;AVANTE;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;158;1818;869;16;200;155;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JEFFERSON ALEXANDRE CAVALCANTE concentra 869.00% dos seus votos no local ESCOLA MUNICIPAL DR. GUSTAVO PAIVA, com 158 votos registrados.
113;SAO MIGUEL DOS CAMPOS;EDINALDO PEREIRA DOS SANTOS;MDB;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;AV. SAMPAIO MARQUES, S/N;;;;;NAO_ENCONTRADO;157;1384;1134;15;137;1658;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;EDINALDO PEREIRA DOS SANTOS concentra 1134.00% dos seus votos no local COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA, com 157 votos registrados.
114;CORURIPE;AILTON LUIZ ARAUJO LESSA;PSB;ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM;RUA JOSÉ RAIMUNDO DOS SANTOS, 40;-10.118516;-36.1800084;Coruripe;;ENCONTRADO;153;1015;1507;13;113;1778;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;AILTON LUIZ ARAUJO LESSA concentra 1507.00% dos seus votos no local ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM, com 153 votos registrados.
