ranking_reduto_qualificado;municipio;vereador;partido;local_principal;endereco_local_principal;latitude;longitude;bairro;distrito;status_geocodificacao;votos_local_principal;votos_totais_vereador;percentual_local_principal;qtd_secoes_controladas;total_secoes_vereador;indice_reduto;classificacao_reduto;status_reduto;nivel_reduto;potencial_transferencia;prioridade_agenda;observacao_estrategica
27;MACEIO;OLÍVIA COIMBRA TENÓRIO VILAÇA;PP;COLÉGIO ZUMBI DOS PALMARES;CJ ROSANE COLLOR, QD M, S/N;;;;;NAO_ENCONTRADO;335;6669;502;10;545;1314;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;OLÍVIA COIMBRA TENÓRIO VILAÇA concentra 502.00% dos seus votos no local COLÉGIO ZUMBI DOS PALMARES, com 335 votos registrados.
28;DELMIRO GOUVEIA;EDNA GOMES BERNARDO;MDB;WATSON DE GUSMAO, ESCOLA DE 1 E 2 GRAUS;RUA HENRIQUE DIAS, S/N;-9.3850082;-38.0068886;Eldorado;;ENCONTRADO;335;2410;139;15;148;2091;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;EDNA GOMES BERNARDO concentra 139.00% dos seus votos no local WATSON DE GUSMAO, ESCOLA DE 1 E 2 GRAUS, com 335 votos registrados.
29;MACEIO;TEREZA NELMA PORTO VIANA SOARES;PT;CRECHE ESCOLA ESPAÇO EDUCAR;RUA PROFESSOR SANDOVAL ARROXELAS, N. 510;-9.6588344;-35.7046403;Ponta Verde;;ENCONTRADO;323;9969;324;20;547;1676;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;TEREZA NELMA PORTO VIANA SOARES concentra 324.00% dos seus votos no local CRECHE ESCOLA ESPAÇO EDUCAR, com 323 votos registrados.
30;UNIAO DOS PALMARES;EDMILTON RODRIGUES DA SILVA;MDB;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;AV. JOÃO LYRA FILHO, S/N;;;;;NAO_ENCONTRADO;322;1892;1702;16;141;2306;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;EDMILTON RODRIGUES DA SILVA concentra 1702.00% dos seus votos no local ESCOLA ESTADUAL CARLOS GOMES DE BARROS, com 322 votos registrados.
31;UNIAO DOS PALMARES;CARLOS ALBERTO CORREIA BASILIO;MDB;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;314;1429;2197;16;141;2591;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;CARLOS ALBERTO CORREIA BASILIO concentra 2197.00% dos seus votos no local COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS, com 314 votos registrados.
32;MACEIO;BRIVALDO MARQUES SILVA NETO;PL;ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA;CONJ. SALVADOR LIRA, S/N;;;;;NAO_ENCONTRADO;314;8671;362;18;547;1587;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;BRIVALDO MARQUES SILVA NETO concentra 362.00% dos seus votos no local ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA, com 314 votos registrados.
33;CORURIPE;JOSE JUAREZ DE LIMA;PP;ESCOLA ESTADUAL LIMA CASTRO;AVENIDA WASHINTON LUIZ, ANTIGA AV CAMAÇARI;;;;;NAO_ENCONTRADO;311;1174;2649;14;119;276;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JOSE JUAREZ DE LIMA concentra 2649.00% dos seus votos no local ESCOLA ESTADUAL LIMA CASTRO, com 311 votos registrados.
34;CORURIPE;TILES HENRIQUE SIQUEIRA DE LEMOS;MDB;ESCOLA ESTADUAL LIMA CASTRO;AVENIDA WASHINTON LUIZ, ANTIGA AV CAMAÇARI;;;;;NAO_ENCONTRADO;309;1326;233;14;120;2565;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;TILES HENRIQUE SIQUEIRA DE LEMOS concentra 233.00% dos seus votos no local ESCOLA ESTADUAL LIMA CASTRO, com 309 votos registrados.
35;MACEIO;GALBA NOVAIS DE CASTRO NETTO;PL;ESCOLA ESTADUAL PADRE CABRAL;PRACA EDUARDO SANTOS, S/N;-9.590352;-35.783877;Fernão Velho;;ENCONTRADO;305;14023;217;8;548;999;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;GALBA NOVAIS DE CASTRO NETTO concentra 217.00% dos seus votos no local ESCOLA ESTADUAL PADRE CABRAL, com 305 votos registrados.
36;MACEIO;MARCELO PALMEIRA CAVALCANTE;PL;ESC. DE ENS. FUND. PROF. PEDRO CAFÉ;RUA DO CRAVO, S/N;-9.5960352;-35.7409551;Jardim Petrópolis;;ENCONTRADO;302;10943;276;8;548;1029;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;MARCELO PALMEIRA CAVALCANTE concentra 276.00% dos seus votos no local ESC. DE ENS. FUND. PROF. PEDRO CAFÉ, com 302 votos registrados.
37;PALMEIRA DOS INDIOS;MAXWELL ROCHA FEITOSA;MDB;COLÉGIO CRISTO REDENTOR;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;São Cristovão;;ENCONTRADO;300;2157;1391;21;166;2329;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;MAXWELL ROCHA FEITOSA concentra 1391.00% dos seus votos no local COLÉGIO CRISTO REDENTOR, com 300 votos registrados.
38;MACEIO;KELMANN VIEIRA DE OLIVEIRA;MDB;UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT);AV GUSTAVO PAIVA, 5017;-9.6478561;-35.7147108;Mangabeiras;;ENCONTRADO;299;9840;304;41;546;2651;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;KELMANN VIEIRA DE OLIVEIRA concentra 304.00% dos seus votos no local UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT), com 299 votos registrados.
39;UNIAO DOS PALMARES;EMANUEL GOMES BALBINO;MDB;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;AV. JOÃO LYRA FILHO, S/N;;;;;NAO_ENCONTRADO;295;1554;1898;16;141;2382;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;EMANUEL GOMES BALBINO concentra 1898.00% dos seus votos no local ESCOLA ESTADUAL CARLOS GOMES DE BARROS, com 295 votos registrados.
40;PALMEIRA DOS INDIOS;ANTONIO GARROTE DA SILVA FILHO;PP;ESCOLA ESTADUAL JOSÉ VICTORINO DA ROCHA;PRAÇA ANTONIO LEITE, S/N, CANAFÍSTULA;-9.3991794;-36.7123167;Canafístula;;ENCONTRADO;288;1684;171;4;167;1673;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;ANTONIO GARROTE DA SILVA FILHO concentra 171.00% dos seus votos no local ESCOLA ESTADUAL JOSÉ VICTORINO DA ROCHA, com 288 votos registrados.
41;RIO LARGO;MÁRCIO SOARES CAVALCANTE;PP;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;278;2625;1059;16;200;1852;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;MÁRCIO SOARES CAVALCANTE concentra 1059.00% dos seus votos no local ESCOLA MUNICIPAL DR. GUSTAVO PAIVA, com 278 votos registrados.
42;RIO LARGO;NADIELLE NAYARA DA COSTA LOPES;PP;COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO;CONJ GURIATA, S/N;;;;;NAO_ENCONTRADO;276;2002;1379;12;199;1845;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;NADIELLE NAYARA DA COSTA LOPES concentra 1379.00% dos seus votos no local COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO, com 276 votos registrados.
43;PALMEIRA DOS INDIOS;JANIO BARBOSA MARQUES;MDB;COLÉGIO CRISTO REDENTOR;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;São Cristovão;;ENCONTRADO;272;1506;1806;21;166;2534;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JANIO BARBOSA MARQUES concentra 1806.00% dos seus votos no local COLÉGIO CRISTO REDENTOR, com 272 votos registrados.
