municipio,prefeito,vice_prefeito,partido,numero,votos_prefeito,percentual_prefeito,segundo_colocado,partido_segundo_colocado,votos_segundo_colocado,percentual_segundo_colocado,margem_vitoria_votos,margem_vitoria_pct,status_extracao,arquivo_origem
Craíbas,TEÓFILO JOSÉ BARROSO PEREIRA,SEBASTIÃO BARBOSA DA SILVA,PP,11,11286,61.4,EDIEL BARBOSA LIMA,MDB,7095.0,38.6,4191.0,22.799999999999997,OK,619_AL_CRAÍBAS_2024_T1.pdf
Delmiro Gouveia,ELIZIANE FERREIRA COSTA LIMA,ERIVALDO BEZERRA SANDES,MDB,15,24620,83.31,CRISTOVÃO LOPES DIAS,PT,4932.0,16.69,19688.0,66.62,OK,619_AL_DELMIRO-GOUVEIA_2024_T1.pdf
Dois Riachos,ROZINEIDE BARBOSA DE ARAÚJO CAMILO,JORGE VIEIRA DE MENEZES JUNIOR,MDB,15,4470,59.05,ROSIVAN RODRIGUES DA SILVA JUNIOR,PSB,3100.0,40.95,1370.0,18.099999999999994,OK,619_AL_DOIS-RIACHOS_2024_T1.pdf
Estrela De Alagoas,ROBERTO FERREIRA WANDERLEY,CICERO PINHEIRO DA SILVA,MDB,15,5538,57.72,ARLINDO GARROTE DA SILVA NETO,PP,4057.0,42.28,1481.0,15.439999999999998,OK,619_AL_ESTRELA-DE-ALAGOAS_2024_T1.pdf
Feira Grande,DÁRIO ROBERTO SILVA LIRA,ROMARIO DA SILVA SANTOS,MDB,15,10095,63.58,CRISTHIAN MESSIAS DE OLIVEIRA LIRA,PP,5782.0,36.42,4313.0,27.159999999999997,OK,619_AL_FEIRA-GRANDE_2024_T1.pdf
Feliz Deserto,JORGE LUIS SILVA NUNES,JOAO PAULO DOS SANTOS SOUZA,PP,11,1918,56.23,DOUGLAS CASTRO SIMÕES LESSA,REPUBLICANOS,1395.0,40.9,523.0,15.329999999999998,OK,619_AL_FELIZ-DESERTO_2024_T1.pdf
Flexeiras,SILVANA MARIA CAVALCANTE DA COSTA PINTO,SHEILA CALHEIROS MAGALHAES SAMPAIO,PP,11,4867,72.59,BRUNO LOUREIRO FRAGOSO,MDB,1838.0,27.41,3029.0,45.18000000000001,OK,619_AL_FLEXEIRAS_2024_T1.pdf
Girau Do Ponciano,GILBERTO BEZERRA BARROS,OSVALDO ALEXANDRE SANTOS JUNIOR,PP,11,15885,71.42,LIDIA SAMYRA DO NASCIMENTO BARROS SILVA,PDT,6358.0,28.58,9527.0,42.84,OK,619_AL_GIRAU-DO-PONCIANO_2024_T1.pdf
Ibateguara,MANOEL GERAERTES ALVES CRUZ,FRANCISCO DE ASSIS LEAL,MDB,15,6657,75.79,EDJA MARIA CAVALCANTI SANTOS DE SÁ,PL,2126.0,24.21,4531.0,51.580000000000005,OK,619_AL_IBATEGUARA_2024_T1.pdf
Igaci,JOSE PETRUCIO OLIVEIRA BARBOSA,JOSENILDO GOMES DE FRANÇA,MDB,15,10377,68.81,ALBERES CANDIDO DA SILVA,UNIÃO,4704.0,31.19,5673.0,37.620000000000005,OK,619_AL_IGACI_2024_T1.pdf
Igreja Nova,TIAGO GOMES DOS SANTOS,EDVALDO CAVALCANTE,MDB,15,7230,51.17,GERALDO NUNES CADETE NETO,UNIÃO,6703.0,47.44,527.0,3.730000000000004,OK,619_AL_IGREJA-NOVA_2024_T1.pdf
Inhapi,LUIZ CELSO MALTA BRANDÃO FILHO,GILSON TENÓRIO CAVALCANTE,PP,11,9646,89.91,WELLINGTON PETRONIO MENEZES FREIRE,PDT,917.0,8.55,8729.0,81.36,OK,619_AL_INHAPI_2024_T1.pdf
Jacaré Dos Homens,MARIA DO SOCORRO MELO DA SILVA,FRANKLIN DANTAS CORREIA CAJÉ,MDB,15,2574,56.95,JOSE ERNESTO SILVA JUNIOR,PP,1946.0,43.05,628.0,13.900000000000006,OK,619_AL_JACARÉ-DOS-HOMENS_2024_T1.pdf
Jacuípe,MAYARA CRISTINA CAVALCANTE DE FREITAS,JOSE SEVERINO DA SILVA,MDB,15,3718,73.58,MARCOS VINICIUS DA SILVA FERREIRA,PP,1335.0,26.42,2383.0,47.16,OK,619_AL_JACUÍPE_2024_T1.pdf
Japaratinga,JOSÉ SEVERINO DA SILVA,JAILTON DOS SANTOS,MDB,15,4957,64.14,MARIA HELENA CALAÇA CARVALHO,PSB,2771.0,35.86,2186.0,28.28,OK,619_AL_JAPARATINGA_2024_T1.pdf
Jaramataia,RICARDO MARTINS BARBOSA,JOSÉ ELIOMAR BARBOSA,MDB,15,3527,100.0,,,,,,,OK,619_AL_JARAMATAIA_2024_T1.pdf
Jequiá Da Praia,CARLOS FELIPE CASTRO JATOBA LINS,LIDIA VIRGÍNIA MENDONÇA CURVELLO BELTRÃO,PP,11,5250,73.54,MARIA JOSE ALVES ANANIAS,PL,983.0,13.77,4267.0,59.77000000000001,OK,619_AL_JEQUIÁ-DA-PRAIA_2024_T1.pdf
Joaquim Gomes,ELIAS JOSE DA SILVA,JOSE MARCELINO DA SILVA,PSB,40,5172,44.33,,,,,,,OK,619_AL_JOAQUIM-GOMES_2024_T1.pdf
Jundiá,JORGE SILVIO LUENGO GALVÃO,LIELSON ELIAS BOMFIM,MDB,15,2927,73.51,BEROALDO RUFINO DA SILVA,PL,1055.0,26.49,1872.0,47.02000000000001,OK,619_AL_JUNDIÁ_2024_T1.pdf
Junqueiro,CICERO LEANDRO PEREIRA DA SILVA,JADER TIAGO DA SILVA,MDB,15,8805,54.46,JOÃO JOSÉ PEREIRA FILHO,PP,7337.0,45.38,1468.0,9.079999999999998,OK,619_AL_JUNQUEIRO_2024_T1.pdf
Lagoa Da Canoa,EDILZA ALVES DE SOUZA,JADIELSON TAVARES RODRIGUES,PP,11,7948,94.68,JARBAS GOMES DE BARROS PEREIRA LOPES,PSD,447.0,5.32,7501.0,89.36000000000001,OK,619_AL_LAGOA-DA-CANOA_2024_T1.pdf
Limoeiro De Anadia,JAMES MARLAN FERREIRA BARBOSA,FELIPE SOARES DE OLIVEIRA,PP,11,11438,69.54,SIDNEY VIEIRA DE SOUZA,REPUBLICANOS,3156.0,19.19,8282.0,50.35000000000001,OK,619_AL_LIMOEIRO-DE-ANADIA_2024_T1.pdf
