rank,municipio,populacao_estimada_2024,eleitorado_2024,taxa_eleitorado,taxa_eleitorado_pct,participacao_populacao,participacao_populacao_pct,participacao_eleitorado,participacao_eleitorado_pct,indice_estrategico_inicial,indice_estrategico_pct,prioridade_politica
1,Maceió,994464.0,632812,0.636334749171413,63.6334749171413,0.3088297769264595,30.88297769264595,0.2590419396011452,25.90419396011452,0.2739782907987395,27.397829079873947,Prioridade Máxima
2,Arapiraca,243661.0,155982,0.6401598942793472,64.01598942793471,0.0756686740552479,7.566867405524789,0.0638513173310016,6.3851317331001605,0.0673965243482755,6.73965243482755,Prioridade Máxima
3,Rio Largo,97435.0,67172,0.6894031918715041,68.94031918715041,0.030258339482203,3.0258339482203,0.0274968950760859,2.74968950760859,0.0283253283979211,2.83253283979211,Prioridade Máxima
4,Palmeira dos Índios,73596.0,54858,0.7453937714006196,74.53937714006196,0.0228551624419583,2.28551624419583,0.022456152415946,2.2456152415946,0.0225758554237497,2.25758554237497,Prioridade Máxima
5,União dos Palmares,60874.0,48920,0.8036271643066005,80.36271643066006,0.0189043583685495,1.8904358368549499,0.0200254288561026,2.00254288561026,0.0196891077098367,1.96891077098367,Prioridade Máxima
6,Marechal Deodoro,62341.0,46217,0.7413580147896248,74.13580147896248,0.0193599337164265,1.93599337164265,0.0189189543222096,1.89189543222096,0.0190512481404747,1.9051248140474701,Prioridade Máxima
7,Penedo,60189.0,44517,0.7396201963813986,73.96201963813986,0.0186916323199499,1.86916323199499,0.0182230583889436,1.82230583889436,0.0183636305682454,1.8363630568245402,Prioridade Máxima
8,São Miguel dos Campos,53391.0,43990,0.8239216347324455,82.39216347324455,0.0165805203807082,1.65805203807082,0.0180073306496311,1.8007330649631101,0.0175792875689542,1.7579287568954198,Prioridade Máxima
9,Coruripe,51788.0,42038,0.8117324476712752,81.17324476712751,0.0160827103720873,1.6082710372087299,0.0172082783780221,1.72082783780221,0.0168706079762416,1.68706079762416,Prioridade Máxima
10,Delmiro Gouveia,52809.0,41113,0.7785226003143404,77.85226003143404,0.0163997808766424,1.63997808766424,0.0168296291202156,1.68296291202156,0.0167006746471436,1.67006746471436,Prioridade Máxima
11,Santana do Ipanema,47397.0,33506,0.7069223790535266,70.69223790535266,0.014719089818217,1.4719089818217002,0.0137156994941245,1.37156994941245,0.0140167165913523,1.40167165913523,Alta Prioridade
12,Atalaia,38530.0,32883,0.8534388787957435,85.34388787957435,0.0119654520475115,1.19654520475115,0.01346067410211,1.346067410211,0.0130121074857304,1.30121074857304,Alta Prioridade
13,Teotônio Vilela,39161.0,31976,0.8165266464084165,81.65266464084165,0.012161408451404,1.2161408451403999,0.0130893931541851,1.30893931541851,0.0128109977433508,1.28109977433508,Alta Prioridade
14,Pilar,36499.0,29137,0.7982958437217458,79.82958437217458,0.0113347270771378,1.13347270771378,0.0119272469456308,1.19272469456308,0.0117494909850829,1.17494909850829,Alta Prioridade
15,Girau do Ponciano,37335.0,28487,0.7630105798848266,76.30105798848265,0.0115943460211222,1.15943460211222,0.0116611690887938,1.16611690887938,0.0116411221684923,1.16411221684923,Alta Prioridade
16,São Sebastião,32701.0,27531,0.8419008593009388,84.19008593009389,0.0101552620660699,1.01552620660699,0.0112698299639689,1.12698299639689,0.0109354595945992,1.09354595945992,Alta Prioridade
17,Campo Alegre,32714.0,27202,0.8315094454973406,83.15094454973406,0.0101592992027586,1.01592992027586,0.0111351536333545,1.11351536333545,0.0108423973041757,1.08423973041757,Alta Prioridade
18,Maragogi,33232.0,25140,0.7564997592681753,75.64997592681752,0.0103201635723566,1.03201635723566,0.0102910728013577,1.0291072801357701,0.0102998000326574,1.02998000326574,Alta Prioridade
19,São Luís do Quitunde,31792.0,24159,0.759908152994464,75.9908152994464,0.0098729730468332,0.9872973046833201,0.0098894999128083,0.98894999128083,0.0098845418530158,0.98845418530158,Alta Prioridade
20,São José da Tapera,31557.0,23599,0.7478214025414329,74.78214025414329,0.0097999940374596,0.9799994037459601,0.0096602636053795,0.9660263605379501,0.0097021827350035,0.97021827350035,Alta Prioridade
21,Craíbas,26115.0,22009,0.8427723530538005,84.27723530538005,0.0081099865097524,0.8109986509752399,0.0090093962325012,0.90093962325012,0.0087395733156766,0.87395733156766,Média Prioridade
22,Porto Calvo,24520.0,22018,0.8979608482871125,89.79608482871126,0.0076146608929401,0.76146608929401,0.0090130803874421,0.9013080387442101,0.0085935545390915,0.85935545390915,Média Prioridade
23,Murici,25933.0,20853,0.8041105926811398,80.41105926811399,0.0080534665961099,0.80534665961099,0.0085361869978803,0.8536186997880301,0.0083913708773492,0.83913708773492,Média Prioridade
24,Viçosa,24423.0,21118,0.8646767391393358,86.46767391393358,0.0075845376422624,0.75845376422624,0.00864466489336,0.864466489336,0.0083266267180308,0.83266267180308,Média Prioridade
25,Igaci,24452.0,21092,0.8625879273679045,86.25879273679044,0.0075935435625681,0.75935435625681,0.0086340217790866,0.8634021779086599,0.008321878314131,0.8321878314131,Média Prioridade
26,Limoeiro de Anadia,25197.0,20574,0.8165257768781998,81.65257768781998,0.0078249025497313,0.7824902549731301,0.0084219781947149,0.8421978194714901,0.0082428555012198,0.82428555012198,Média Prioridade
27,Junqueiro,24381.0,20569,0.8436487428735491,84.36487428735491,0.007571494585268,0.7571494585267999,0.00841993144197,0.8419931441970001,0.0081654003849594,0.8165400384959399,Média Prioridade
28,Piranhas,23053.0,20339,0.8822712879017915,88.22712879017915,0.0071590855450631,0.71590855450631,0.0083257808157046,0.8325780815704601,0.0079757722345121,0.79757722345121,Média Prioridade
29,Traipu,24124.0,19430,0.8054219864035815,80.54219864035815,0.0074916834984211,0.74916834984211,0.0079536811666818,0.79536811666818,0.0078150818662036,0.78150818662036,Média Prioridade
30,Pão de Açúcar,24291.0,19298,0.7944506195710346,79.44506195710346,0.0075435451774228,0.75435451774228,0.0078996468942164,0.78996468942164,0.0077928163791783,0.77928163791783,Média Prioridade
31,Matriz de Camaragibe,24330.0,19218,0.789889025893958,78.9889025893958,0.0075556565874891,0.75556565874891,0.007866898850298,0.7866898850298,0.0077735261714553,0.77735261714553,Média Prioridade
32,Boca da Mata,21517.0,20100,0.9341450945763816,93.41450945763816,0.0066820823178381,0.6682082317838101,0.0082279460344984,0.82279460344984,0.0077641869195003,0.77641869195003,Média Prioridade
33,Feira Grande,23191.0,19433,0.8379543788538657,83.79543788538658,0.0072019413037591,0.7201941303759101,0.0079549092183287,0.7954909218328701,0.0077290188439578,0.77290188439578,Média Prioridade
34,Mata Grande,22147.0,19084,0.8616968438163183,86.16968438163182,0.0068777281727546,0.68777281727546,0.0078120458767347,0.78120458767347,0.0075317505655407,0.7531750565540699,Média Prioridade
35,Igreja Nova,22125.0,18088,0.8175367231638418,81.75367231638418,0.0068708960952813,0.68708960952813,0.0074043327299506,0.74043327299506,0.0072443017395498,0.72443017395498,Média Prioridade
36,São José da Laje,21193.0,17911,0.8451375454159392,84.51375454159393,0.0065814644495954,0.65814644495954,0.0073318776827811,0.73318776827811,0.0071067537128254,0.71067537128254,Média Prioridade
37,Porto Real do Colégio,20262.0,18066,0.8916197808705952,89.16197808705952,0.0062923433528854,0.62923433528854,0.007395327017873,0.7395327017873,0.0070644319183767,0.70644319183767,Média Prioridade
38,Lagoa da Canoa,18831.0,17464,0.927406935372524,92.74069353725241,0.0058479477681466,0.58479477681466,0.007148897987387,0.7148897987387,0.0067586129216149,0.6758612921614899,Média Prioridade
39,Satuba,25000.0,15277,0.61108,61.108,0.0077637244014479,0.77637244014479,0.0062536483367677,0.62536483367677,0.0067066711561718,0.6706671156171801,Média Prioridade
40,Olho d'Água das Flores,21132.0,16469,0.7793393904978232,77.93393904978232,0.0065625209620558,0.65625209620558,0.0067415941911519,0.67415941911519,0.0066878722224231,0.66878722224231,Média Prioridade
41,Água Branca,19550.0,16682,0.8532992327365729,85.3299232736573,0.0060712324819322,0.60712324819322,0.0068287858580847,0.68287858580847,0.0066015198452389,0.66015198452389,Baixa Prioridade
42,Taquarana,19422.0,15757,0.8112964679229739,81.1296467922974,0.0060314822129968,0.60314822129968,0.0064501366002781,0.64501366002781,0.0063245402840937,0.63245402840937,Baixa Prioridade
43,Major Isidoro,17834.0,15802,0.8860603341931143,88.60603341931143,0.0055383304390168,0.55383304390168,0.0064685573749822,0.64685573749822,0.0061894892941926,0.61894892941926,Baixa Prioridade
44,Colônia Leopoldina,15949.0,15772,0.9889021255251113,98.89021255251113,0.0049529456191477,0.49529456191477006,0.0064562768585128,0.64562768585128,0.0060052774867033,0.60052774867033,Baixa Prioridade
45,Joaquim Gomes,17386.0,15290,0.8794432301852065,87.94432301852065,0.0053992044977429,0.53992044977429,0.0062589698939045,0.62589698939045,0.006001040275056,0.6001040275056,Baixa Prioridade
46,Barra de Santo Antônio,16735.0,15387,0.919450253958769,91.9450253958769,0.0051970371143292,0.5197037114329199,0.0062986768971555,0.62986768971555,0.0059681849623076,0.59681849623076,Baixa Prioridade
47,Cajueiro,16605.0,15200,0.9153869316470944,91.53869316470944,0.0051566657474416,0.51566657474416,0.0062221283444963,0.62221283444963,0.0059024895653799,0.59024895653799,Baixa Prioridade
48,Canapi,15743.0,15330,0.9737661182747888,97.37661182747888,0.0048889725300797,0.48889725300797,0.0062753439158637,0.62753439158637,0.0058594325001285,0.58594325001285,Baixa Prioridade
49,Piaçabuçu,16201.0,14386,0.8879698784025677,88.79698784025678,0.0050312039611143,0.50312039611143,0.0058889169976265,0.58889169976265,0.0056316030866728,0.56316030866728,Baixa Prioridade
50,Inhapi,15417.0,14546,0.943503924239476,94.35039242394761,0.0047877335638848,0.47877335638847995,0.0059544130854633,0.59544130854633,0.0056044092289898,0.56044092289898,Baixa Prioridade
