rank_municipal,municipio,vereadores_eleitos,total_votos_vereadores,media_votos_vereador,principal_lideranca,principal_lideranca_partido,principal_lideranca_votos,potencial_transferencia_conservador,potencial_transferencia_moderado,potencial_transferencia_alto,indice_influencia_municipal,potencial_politico_municipio
59,JAPARATINGA,19,6008,316,MEQUINHO DA CÍCERA,MDB,666,1201,2102,3004,5.82,Baixo
60,COITÉ DO NÓIA,9,5955,661,NANNDO PRAXEDES,PODE,883,1190,2083,2978,7.68,Baixo
61,MARIBONDO,9,5777,641,VANDA FLORENTINO,PSB,789,1155,2022,2887,4.13,Baixo
62,OLIVENÇA,9,5483,609,RONNY AFONSO,PSB,1008,1098,1919,2741,7.19,Baixo
63,SENADOR RUI PALMEIRA,18,5329,296,CÉLIA FERREIRA,MDB,779,1065,1867,2664,5.58,Baixo
64,PASSO DE CAMARAGIBE,9,5113,568,ERALDO TORRES,PODE,816,1023,1790,2556,6.45,Baixo
65,CACIMBINHAS,11,5035,457,VÂNIA WANDERLEY,MDB,841,1008,1762,2516,6.74,Baixo
66,JEQUIÁ DA PRAIA,19,4968,261,CIALEX,PSB,682,992,1738,2482,5.57,Baixo
67,PORTO DE PEDRAS,28,4830,172,MADICO,MDB,850,967,1691,2416,2.03,Baixo
68,QUEBRANGULO,9,4796,532,ELÂNIO,MDB,849,958,1678,2398,3.73,Baixo
69,BARRA DE SANTO ANTÔNIO,30,4790,159,IGOR COSTA,MDB,699,959,1677,2394,4.59,Baixo
70,IBATEGUARA,15,4747,316,JAIME GUIMARÃES,MDB,626,949,1661,2373,5.42,Baixo
71,SANTANA DO MUNDAÚ,9,4505,500,KELLY CORREIA,MDB,704,902,1577,2253,6.78,Baixo
72,OURO BRANCO,19,4478,235,IVAN DO BAR,UNIÃO,600,894,1563,2243,5.22,Baixo
73,BRANQUINHA,9,4352,483,FABIANO FELIX,PT,592,871,1521,2175,6.7,Baixo
74,PIAÇABUÇU,11,4332,393,VIVI CASTRO,PP,471,867,1516,2166,5.51,Baixo
75,CARNEIROS,18,4207,233,RAUL MELO,PSB,620,843,1474,2104,5.56,Baixo
76,BARRA DE SÃO MIGUEL,29,4162,143,TIOGO JOÃO,PP,760,831,1458,2081,4.86,Baixo
77,PARICONHA,18,4128,229,BRANCO DA SERRA,PP,499,826,1444,2067,5.22,Baixo
78,SÃO MIGUEL DOS MILAGRES,9,4050,450,ESTACIO,PDT,620,811,1416,2026,6.88,Baixo
79,JARAMATAIA,9,3860,428,VANDA MOREIRA,MDB,718,772,1351,1929,8.34,Baixo
80,FLEXEIRAS,9,3852,428,MARCIO,PP,694,770,1350,1926,6.54,Baixo
81,PAULO JACINTO,9,3701,411,EVERALDO TENÓRIO,PP,518,741,1295,1850,7.22,Baixo
82,OLHO D ÁGUA DO CASADO,20,3681,184,PRETO DE JOÃO DO CALÇAMENTO,CIDADANIA,605,734,1289,1839,0.0,Baixo
83,TANQUE D ARCA,17,3512,206,NENO TEIXEIRA,REPUBLICANOS,635,702,1230,1756,0.0,Baixo
84,SÃO BRÁS,13,3484,268,DOUGLAS DO GIRAU,REPUBLICANOS,479,698,1221,1741,5.86,Baixo
85,BELO MONTE,9,3446,382,LAURO TIO DE AVANINHO,MDB,494,688,1207,1723,7.21,Baixo
86,JACUÍPE,9,3371,374,FABIO ROCHEMBACK,MDB,498,675,1179,1684,7.17,Baixo
87,JUNDIÁ,21,3331,158,ALDEMIR FORTUNATO,PSB,450,667,1164,1667,2.6,Baixo
88,CHÃ PRETA,9,3290,365,LARA HOLLANDA,MDB,436,658,1151,1645,6.73,Baixo
89,JACARÉ DOS HOMENS,9,3248,360,TIAGO DAS BAIXAS,MDB,471,650,1139,1625,7.48,Baixo
90,OLHO D ÁGUA GRANDE,9,3187,354,ANA DO TATU,PP,608,638,1114,1593,0.0,Baixo
91,MARAVILHA,11,3149,286,MURCIO,REPUBLICANOS,483,630,1103,1574,5.67,Baixo
92,ROTEIRO,9,3116,346,JAILSON MURRÃO,MDB,403,623,1091,1556,7.02,Baixo
93,CAMPESTRE,17,3110,182,MARCOS MACHADO,MDB,432,622,1087,1554,5.46,Baixo
94,MINADOR DO NEGRÃO,9,2787,309,JOSE ANTONIO,MDB,381,558,974,1394,7.05,Baixo
95,PALESTINA,9,2692,299,TICO DA VILA,MDB,407,539,942,1345,7.05,Baixo
96,MAR VERMELHO,9,2682,298,ZÉ ROLDÃO,MDB,461,537,937,1341,8.31,Baixo
97,SANTA LUZIA DO NORTE,14,2678,191,ENFERMEIRA FLÁVIA OLIVEIRA,PP,373,534,936,1339,5.48,Baixo
98,BELÉM,9,2473,274,PRETINHA,MDB,368,495,866,1237,3.77,Baixo
99,MONTEIRÓPOLIS,9,2470,274,JORIO DO GAMELEIRO,PSDB,312,493,863,1235,6.19,Baixo
100,FELIZ DESERTO,28,2144,76,JOSAN LESSA,MDB,247,428,749,1073,4.84,Baixo
101,COQUEIRO SECO,21,2052,97,GRILO,PDT,320,411,718,1029,4.81,Baixo
102,PINDOBA,9,1958,217,LIBINHA CARDOSO,REPUBLICANOS,785,393,686,979,7.8,Baixo
