rank_estrategico,municipio,lideranca_principal,cargo_lideranca,tipo_lideranca,vice_prefeito,partido_lideranca,numero_partido,votos_lideranca,percentual_lideranca,eleitorado_2024,indice_estrategico_pct,prioridade_politica,visitado_pre_campanha,quantidade_visitas,ultima_visita,grupo_politico,relacao_davi,classificacao_relacao,prioridade_articulacao,acao_recomendada,observacoes_politicas
18,Maragogi,DANIEL MENDES DE VASCONCELOS FERREIRA,Prefeito,Executivo Municipal,JOAO ENIO VASCONCELOS CAVALCANTE,PP,11,9877,49.04,25140,1.02998000326574,Alta Prioridade,False,0,,,,,Prioridade máxima para agenda,Priorizar visita a Maragogi e mapear agenda com DANIEL MENDES DE VASCONCELOS FERREIRA (PP).,
19,São Luís do Quitunde,MARCIA RAFAELA BARROS DE VASCONCELOS,Prefeito,Executivo Municipal,CRISTOPHANES JACQUES UCHOA DE LIMA,MDB,15,10379,55.79,24159,0.98845418530158,Alta Prioridade,False,0,,,,,Prioridade máxima para agenda,Priorizar visita a São Luís do Quitunde e mapear agenda com MARCIA RAFAELA BARROS DE VASCONCELOS (MDB).,
20,São José da Tapera,JARBAS PEREIRA RICARDO,Prefeito,Executivo Municipal,JARIA PEREIRA RICARDO,MDB,15,11679,68.49,23599,0.97021827350035,Alta Prioridade,True,1,2026-05-14,,,,Manter articulação ativa,Registrar articulação já iniciada em São José da Tapera e manter contato político com JARBAS PEREIRA RICARDO (MDB).,
21,Craíbas,TEÓFILO JOSÉ BARROSO PEREIRA,Prefeito,Executivo Municipal,SEBASTIÃO BARBOSA DA SILVA,PP,11,11286,61.4,22009,0.87395733156766,Média Prioridade,False,0,,,,,Prioridade média para aproximação,Incluir Craíbas em rodada regional de aproximação política.,
22,Porto Calvo,ERONITA SPOSITO LEAO E LIMA,Prefeito,Executivo Municipal,VÍNICIUS LEAO E LIMA CARVALHO,MDB,15,12829,74.18,22018,0.85935545390915,Média Prioridade,False,0,,,,,Prioridade média para aproximação,Incluir Porto Calvo em rodada regional de aproximação política.,
23,Murici,REMI VASCONCELOS CALHEIROS FILHO,Prefeito,Executivo Municipal,DAYVIDSON TENÓRIO VASCONCELOS,MDB,15,10363,66.01,20853,0.83913708773492,Média Prioridade,False,0,,,,,Prioridade média para aproximação,Incluir Murici em rodada regional de aproximação política.,
24,Viçosa,JOÃO VICTOR CALHEIROS AMORIM SANTOS,Prefeito,Executivo Municipal,AFRANIO TENORIO CAVALCANTE NETO,MDB,15,9301,57.45,21118,0.83266267180308,Média Prioridade,False,0,,,,,Prioridade média para aproximação,Incluir Viçosa em rodada regional de aproximação política.,
25,Igaci,JOSE PETRUCIO OLIVEIRA BARBOSA,Prefeito,Executivo Municipal,JOSENILDO GOMES DE FRANÇA,MDB,15,10377,68.81,21092,0.8321878314131,Média Prioridade,False,0,,,,,Prioridade média para aproximação,Incluir Igaci em rodada regional de aproximação política.,
26,Limoeiro de Anadia,JAMES MARLAN FERREIRA BARBOSA,Prefeito,Executivo Municipal,FELIPE SOARES DE OLIVEIRA,PP,11,11438,69.54,20574,0.82428555012198,Média Prioridade,False,0,,,,,Prioridade média para aproximação,Incluir Limoeiro de Anadia em rodada regional de aproximação política.,
27,Junqueiro,CICERO LEANDRO PEREIRA DA SILVA,Prefeito,Executivo Municipal,JADER TIAGO DA SILVA,MDB,15,8805,54.46,20569,0.8165400384959399,Média Prioridade,False,0,,,,,Prioridade média para aproximação,Incluir Junqueiro em rodada regional de aproximação política.,
28,Piranhas,TIAGO TORRES FREITAS,Prefeito,Executivo Municipal,JOSE VICENTE RODRIGUES,MDB,15,11565,76.07,20339,0.79757722345121,Média Prioridade,False,0,,,,,Prioridade média para aproximação,Incluir Piranhas em rodada regional de aproximação política.,
29,Traipu,MANUEL LUCAS KUMMER FREITAS DOS SANTOS,Prefeito,Executivo Municipal,WAGNER DOS SANTOS CANUTO,MDB,15,12379,88.76,19430,0.78150818662036,Média Prioridade,False,0,,,,,Prioridade média para aproximação,Incluir Traipu em rodada regional de aproximação política.,
30,Pão de Açúcar,JORGE SILVA DANTAS,Prefeito,Executivo Municipal,ERALDO JOÃO CRUZ ALMEIDA,MDB,15,10379,74.83,19298,0.77928163791783,Média Prioridade,False,0,,,,,Prioridade média para aproximação,Incluir Pão de Açúcar em rodada regional de aproximação política.,
31,Matriz de Camaragibe,FERNANDO HENRIQUE LIMA CAVALCANTE,Prefeito,Executivo Municipal,CLAUDIO RAMON SILVA DANTAS,MDB,15,10842,75.52,19218,0.77735261714553,Média Prioridade,False,0,,,,,Prioridade média para aproximação,Incluir Matriz de Camaragibe em rodada regional de aproximação política.,
32,Boca da Mata,BRUNO FEIJÓ TEIXEIRA,Prefeito,Executivo Municipal,SERGIO MACIEL DA COSTA,PP,11,9227,61.4,20100,0.77641869195003,Média Prioridade,True,1,2026-06-08,,,,Consolidar presença regional,Acompanhar continuidade da presença política em Boca da Mata.,
33,Feira Grande,DÁRIO ROBERTO SILVA LIRA,Prefeito,Executivo Municipal,ROMARIO DA SILVA SANTOS,MDB,15,10095,63.58,19433,0.77290188439578,Média Prioridade,False,0,,,,,Prioridade média para aproximação,Incluir Feira Grande em rodada regional de aproximação política.,
34,Mata Grande,MARIA FABIANA FARIAS DE ALENCAR,Prefeito,Executivo Municipal,VINICIUS CAMPOS BRANDÃO CARVALHO,MDB,15,7728,53.97,19084,0.7531750565540699,Média Prioridade,False,0,,,,,Prioridade média para aproximação,Incluir Mata Grande em rodada regional de aproximação política.,
35,Igreja Nova,TIAGO GOMES DOS SANTOS,Prefeito,Executivo Municipal,EDVALDO CAVALCANTE,MDB,15,7230,51.17,18088,0.72443017395498,Média Prioridade,False,0,,,,,Prioridade média para aproximação,Incluir Igreja Nova em rodada regional de aproximação política.,
36,São José da Laje,ANGELA VANESSA ROCHA PEREIRA BEZERRA,Prefeito,Executivo Municipal,RAVENA GRAZYELLE VALENÇA CALDEIRA DE ARAÚJO,MDB,15,8144,61.03,17911,0.71067537128254,Média Prioridade,False,0,,,,,Prioridade média para aproximação,Incluir São José da Laje em rodada regional de aproximação política.,
37,Porto Real do Colégio,HIGOR JOSÉ SANTOS FREITAS,Prefeito,Executivo Municipal,JOSE DE OLIVEIRA,PP,11,9439,66.34,18066,0.70644319183767,Média Prioridade,False,0,,,,,Prioridade média para aproximação,Incluir Porto Real do Colégio em rodada regional de aproximação política.,
38,Lagoa da Canoa,EDILZA ALVES DE SOUZA,Prefeito,Executivo Municipal,JADIELSON TAVARES RODRIGUES,PP,11,7948,94.68,17464,0.6758612921614899,Média Prioridade,False,0,,,,,Prioridade média para aproximação,Incluir Lagoa da Canoa em rodada regional de aproximação política.,
39,Satuba,DIOGENES JOSÉ NETO DE AMORIM,Prefeito,Executivo Municipal,LUIS CARLOS ALVES DE LIRA,PP,11,12047,100.0,15277,0.6706671156171801,Média Prioridade,False,0,,,,,Prioridade média para aproximação,Incluir Satuba em rodada regional de aproximação política.,
40,Olho d'Água das Flores,JOSÉ LUIZ VASCONCELLOS DOS ANJOS,Prefeito,Executivo Municipal,CLEMENS SANTANA MACHADO,MDB,15,8611,70.26,16469,0.66878722224231,Média Prioridade,False,0,,,,,Prioridade média para aproximação,Incluir Olho d'Água das Flores em rodada regional de aproximação política.,
41,Água Branca,NAYARA EMMANUELA BATISTA FEITOSA,Prefeito,Executivo Municipal,JOSÉ HORLANDO DA SILVA SANTOS,PP,11,9227,78.03,16682,0.66015198452389,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
42,Taquarana,GERALDO CICERO DA SILVA,Prefeito,Executivo Municipal,JOSE GILBERTO DA SILVA,MDB,15,6517,53.46,15757,0.63245402840937,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
43,Major Isidoro,THEOBALDO CAVALCANTI LINS NETTO,Prefeito,Executivo Municipal,ITALO TAVARES SURUAGY DO AMARAL,MDB,15,7400,60.96,15802,0.61894892941926,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
44,Colônia Leopoldina,ALEXANDRE GILBERTO SOBREIRA,Prefeito,Executivo Municipal,LUCIANA MEDEIROS DE LUNA FREITAS,MDB,15,5995,51.67,15772,0.60052774867033,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
45,Joaquim Gomes,ELIAS JOSE DA SILVA,Prefeito,Executivo Municipal,JOSE MARCELINO DA SILVA,PSB,40,5172,44.33,15290,0.6001040275056,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
46,Barra de Santo Antônio,LIVIA CARLA DA SILVA ALVES,Prefeito,Executivo Municipal,LUCAS MARTINS ALVES,REPUBLICANOS,10,7647,60.88,15387,0.59681849623076,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
47,Cajueiro,LUCILA RÉGIA ALBUQUERQUE TOLEDO,Prefeito,Executivo Municipal,ANTONIO JORGE DE MELO JUNIOR,MDB,15,5969,53.82,15200,0.59024895653799,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
48,Canapi,JOSÉLIA MELO DE LIMA,Prefeito,Executivo Municipal,HERMESON MELO DE LIMA,PP,11,7399,61.55,15330,0.58594325001285,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
49,Piaçabuçu,RYMES MARINHO LESSA,Prefeito,Executivo Municipal,CARLOS RONALSA BELTRAO COELHO DA PAZ,MDB,15,5010,42.53,14386,0.56316030866728,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
50,Inhapi,LUIZ CELSO MALTA BRANDÃO FILHO,Prefeito,Executivo Municipal,GILSON TENÓRIO CAVALCANTE,PP,11,9646,89.91,14546,0.56044092289898,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
51,Messias,MARCOS JOSÉ HERCULANO DA SILVA,Prefeito,Executivo Municipal,MARCOS VALÉRIO DOS SANTOS,REPUBLICANOS,10,7223,62.13,14439,0.56007666337882,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
52,Batalha,WAGNEY DANTAS CORREIA CAJE,Prefeito,Executivo Municipal,IZAIAS GOMES BEZERRA,MDB,15,6951,64.39,13756,0.55351140474939,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
53,Capela,THIAGO DE MEDEIROS MOURA,Prefeito,Executivo Municipal,ANIBAL SORIANO MOREIRA,MDB,15,6085,58.07,13391,0.52409348323462,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
54,Estrela de Alagoas,ROBERTO FERREIRA WANDERLEY,Prefeito,Executivo Municipal,CICERO PINHEIRO DA SILVA,MDB,15,5538,57.72,13068,0.52073539237752,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
55,Anadia,PAULO VICTOR PEREIRA ROCHA,Prefeito,Executivo Municipal,EDIRAJAR FALCÃO PEDROSA JÚNIOR,PP,11,5446,54.0,13178,0.50983815592781,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
56,Paripueira,CARLOS ABRAHÃO GOMES DE MOURA,Prefeito,Executivo Municipal,CARLOS AUGUSTO SOUSA DE CASTRO,MDB,15,7170,70.08,12809,0.4991062512698599,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
57,Passo de Camaragibe,ELLISSON SANTOS DA SILVA,Prefeito,Executivo Municipal,ADEILDO PETRÚCIO DOS SANTOS,REPUBLICANOS,10,6934,67.44,12595,0.4920425331179699,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
58,Ibateguara,MANOEL GERAERTES ALVES CRUZ,Prefeito,Executivo Municipal,FRANCISCO DE ASSIS LEAL,MDB,15,6657,75.79,11919,0.47188948172057,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
59,Maribondo,BRUNO ZEFERINO DO CARMO TEIXEIRA,Prefeito,Executivo Municipal,JOSÉ UBIRATAN FERREIRA NUNES,PSB,40,5081,56.41,11101,0.44822647402321,Baixa Prioridade,True,1,2026-05-31,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
60,Poço das Trincheiras,JOSE VALMIRO GOMES DA COSTA,Prefeito,Executivo Municipal,JOSE ERIVAN RAMOS DA SILVA,MDB,15,3961,44.18,11129,0.43976823063316,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
61,Quebrangulo,MANOEL COSTA TENÓRIO,Prefeito,Executivo Municipal,ALFREDO FREDERICO MEDEIROS MAIA FILHO,PSDB,45,2964,36.01,10470,0.40533570257749,Baixa Prioridade,True,4,2026-05-30,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
62,Senador Rui Palmeira,JOÃO CARLOS RODRIGUES,Prefeito,Executivo Municipal,ALLYSSON FEITOSA DA SILVA,MDB,15,4778,62.64,9890,0.40030575807539,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
63,Ouro Branco,TACIA DENYSE DE SIQUEIRA NOBRE,Prefeito,Executivo Municipal,JOSE ROBERIO DA SILVA,PP,11,5480,67.21,10077,0.39774515787206,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
64,Olivença,JOSIMAR DIONISIO,Prefeito,Executivo Municipal,MAURO FERNANDES DA SILVA,MDB,15,4857,59.37,10260,0.39692391690208,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
