rank_estrategico,municipio,lideranca_principal,cargo_lideranca,tipo_lideranca,vice_prefeito,partido_lideranca,numero_partido,votos_lideranca,percentual_lideranca,eleitorado_2024,indice_estrategico_pct,prioridade_politica,visitado_pre_campanha,quantidade_visitas,ultima_visita,grupo_politico,relacao_davi,classificacao_relacao,prioridade_articulacao,acao_recomendada,observacoes_politicas
91,Tanque d'Arca,JUVENIL LOPES DE OLIVEIRA,Prefeito,Executivo Municipal,JEAN CEGALAN SANTOS DE LIMA,MDB,15,2326,50.71,5959,0.22580341148182,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
92,Coqueiro Seco,JADIELSON SILVA DO NASCIMENTO,Prefeito,Executivo Municipal,JOEL BONFIM,MDB,15,2295,48.83,5582,0.21305350841435,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
93,Jacaré dos Homens,MARIA DO SOCORRO MELO DA SILVA,Prefeito,Executivo Municipal,FRANKLIN DANTAS CORREIA CAJÉ,MDB,15,2574,56.95,5451,0.20447383279227,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
94,Minador do Negrão,JOSIAS SOARES DA SILVA,Prefeito,Executivo Municipal,HELDER ARAUJO SOUZA BARROS,MDB,15,2702,63.56,5300,0.1978737789848,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
95,Jaramataia,RICARDO MARTINS BARBOSA,Prefeito,Executivo Municipal,JOSÉ ELIOMAR BARBOSA,MDB,15,3527,100.0,5247,0.19763144473968,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
96,Olho d'Água Grande,MARIA SUZANICE HIGINO BAHÉ,Prefeito,Executivo Municipal,WILLAMARA SOUSA DA SILVA,PP,11,2813,63.27,5413,0.19595041784515,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
97,Belém,ADALBERTO ANTERO TORRES,Prefeito,Executivo Municipal,JOSÉ ADRIANO DA SILVA,PP,11,2568,68.55,5142,0.19224701853784,Baixa Prioridade,True,1,2026-06-07,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
98,Palestina,JOSÉ DJALMA GONÇALVES DA SILVA,Prefeito,Executivo Municipal,ONOFRE COSTA DA SILVA,MDB,15,3292,83.17,5118,0.18773955721004,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
99,Jundiá,JORGE SILVIO LUENGO GALVÃO,Prefeito,Executivo Municipal,LIELSON ELIAS BOMFIM,MDB,15,2927,73.51,4943,0.18054495917311,Baixa Prioridade,True,1,2026-05-08,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
100,Feliz Deserto,JORGE LUIS SILVA NUNES,Prefeito,Executivo Municipal,JOAO PAULO DOS SANTOS SOUZA,PP,11,1918,56.23,4136,0.15613507390035,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
101,Mar Vermelho,ANDRÉ BRANDÃO DE ALMEIDA,Prefeito,Executivo Municipal,HERMANN ELSON DE ALMEIDA FILHO,MDB,15,2540,100.0,3643,0.13431298282833,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
102,Pindoba,JOSÉ CICERO CARDOSO COSTA,Prefeito,Executivo Municipal,JOÃO MARÇAL LOPES BELTRÃO,REPUBLICANOS,10,1785,69.13,2989,0.11160409878201,Baixa Prioridade,False,0,,,,,Monitoramento,Monitorar oportunidade de articulação futura.,
