municipio;local_votacao;endereco_local_votacao;qtd_secoes;qtd_vereadores;votos_totais;chave_local
PENEDO;ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO;RUA FLORIANO ROSA, S/N, PX. AO POSTO DE SAÚDE, CONJUNTO VILA MATIAS;12;28;1347;PENEDO|ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO|RUA FLORIANO ROSA, S/N, PX. AO POSTO DE SAUDE, CONJUNTO VILA MATIAS
PENEDO;SESI - SENAI / UNIDADE PENEDO;AV. WANDERLEY, 922;11;25;1226;PENEDO|SESI - SENAI / UNIDADE PENEDO|AV. WANDERLEY, 922
PENEDO;ESCOLA ESTADUAL PROFESSOR ERNANI MÉRO (GRUPO ESCOLAR EXPERIMENTAL);PRAÇA LARGO DE FÁTIMA, S/N, EM FRENTE AO NUDEPE;12;27;1034;PENEDO|ESCOLA ESTADUAL PROFESSOR ERNANI MERO (GRUPO ESCOLAR EXPERIMENTAL)|PRACA LARGO DE FATIMA, S/N, EM FRENTE AO NUDEPE
PENEDO;COOPERATIVA EDUCACIONAL DE PENEDO - COOPEPE LTDA;PARQUE DR. ADAIL FREIRE PEREIRA, 127 (PRAÇA SANTA LUZIA);9;27;882;PENEDO|COOPERATIVA EDUCACIONAL DE PENEDO - COOPEPE LTDA|PARQUE DR. ADAIL FREIRE PEREIRA, 127 (PRACA SANTA LUZIA)
PENEDO;EMEB VEREADOR JOSÉ DA COSTA MANGABEIRA;RUA F, LOTEAMENTO SÃO GONÇALO, SN;6;26;811;PENEDO|EMEB VEREADOR JOSE DA COSTA MANGABEIRA|RUA F, LOTEAMENTO SAO GONCALO, SN
PENEDO;ESCOLA ESTADUAL DR. ALCIDES ANDRADE;ROD. ENGENHEIRO JOAQUIM GONÇALVES, S/N, PX. A GRANDE RIO VEÍCULOS;6;26;728;PENEDO|ESCOLA ESTADUAL DR. ALCIDES ANDRADE|ROD. ENGENHEIRO JOAQUIM GONCALVES, S/N, PX. A GRANDE RIO VEICULOS
PENEDO;IFAL - CAMPUS PENEDO;ROD ENGENHEIRO JOAQUIM GONÇALVES, S/N LOT SÃO JOSÉ;5;22;700;PENEDO|IFAL - CAMPUS PENEDO|ROD ENGENHEIRO JOAQUIM GONCALVES, S/N LOT SAO JOSE
PENEDO;ESCOLA ESTADUAL JOÃO VALERIANO DE OLIVEIRA;RUA JOÃO RAMALHO, SN;6;25;664;PENEDO|ESCOLA ESTADUAL JOAO VALERIANO DE OLIVEIRA|RUA JOAO RAMALHO, SN
PENEDO;EMEB HANNA BERTHOLET;POVOADO SANTA MARGARIDA;5;15;592;PENEDO|EMEB HANNA BERTHOLET|POVOADO SANTA MARGARIDA
PENEDO;FACULDADE RAIMUNDO MARINHO DE PENEDO;RUA 15 DE NOVEMBRO, FRM;5;22;579;PENEDO|FACULDADE RAIMUNDO MARINHO DE PENEDO|RUA 15 DE NOVEMBRO, FRM
PENEDO;GRUPO ESCOLAR ESTADUAL GABINO BESOURO;AVENIDA NILO PECANHA, 182, PRÓXIMO AO TIRO DE GUERRA;4;25;544;PENEDO|GRUPO ESCOLAR ESTADUAL GABINO BESOURO|AVENIDA NILO PECANHA, 182, PROXIMO AO TIRO DE GUERRA
PENEDO;ESCOLA DE ENSINO FUNDAMENTAL PROFESSOR DOUGLAS APRATTO TENÓRIO;RUA BRASÍLIA, S/N;5;21;464;PENEDO|ESCOLA DE ENSINO FUNDAMENTAL PROFESSOR DOUGLAS APRATTO TENORIO|RUA BRASILIA, S/N
PENEDO;EMEB IRMÃ JOLENTA (ANTIGO FREITAS);RUA SANTO ANTÔNIO, SN;4;28;461;PENEDO|EMEB IRMA JOLENTA (ANTIGO FREITAS)|RUA SANTO ANTONIO, SN
PENEDO;ESCOLA ESTADUAL HERMÍLIO DE FREITAS MELRO;AVENIDA WANDERLEY, 396, EM FRENTE AO SEMEP;3;26;384;PENEDO|ESCOLA ESTADUAL HERMILIO DE FREITAS MELRO|AVENIDA WANDERLEY, 396, EM FRENTE AO SEMEP
PENEDO;EMEB SANTO ANTÔNIO;POVOADO TABULEIRO DOS NEGROS;2;16;289;PENEDO|EMEB SANTO ANTONIO|POVOADO TABULEIRO DOS NEGROS
PENEDO;EMEB PROFª MARIA DA GLÓRIA PIMENTEIRA;POVOADO PONTA MOFINA;2;15;276;PENEDO|EMEB PROFa MARIA DA GLORIA PIMENTEIRA|POVOADO PONTA MOFINA
PENEDO;EMEB PROFESSOR IRÊNIO ARAÚJO;POVOADO MARITUBA DO PEIXE;2;13;259;PENEDO|EMEB PROFESSOR IRENIO ARAUJO|POVOADO MARITUBA DO PEIXE
PENEDO;UNIDADE DE ENSINO DE PENEDO/UFAL;AVENIDA BEIRA RIO, S/N, UFAL, PX. À DELEGACIA DE POLÍCIA;3;25;241;PENEDO|UNIDADE DE ENSINO DE PENEDO/UFAL|AVENIDA BEIRA RIO, S/N, UFAL, PX. A DELEGACIA DE POLICIA
PENEDO;ESCOLA ESTADUAL CLEMENTINO DO MONTE;PRAÇA CLEMENTINO DO MONTE, S/N (EM FRENTE AO PENEDENSE);2;19;206;PENEDO|ESCOLA ESTADUAL CLEMENTINO DO MONTE|PRACA CLEMENTINO DO MONTE, S/N (EM FRENTE AO PENEDENSE)
RIO LARGO;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;16;55;2868;RIO LARGO|ESCOLA MUNICIPAL DR. GUSTAVO PAIVA|CJ BARNABE OITICICA II, SN, MATA DO ROLO
RIO LARGO;COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO;CONJ GURIATA, S/N;12;54;2320;RIO LARGO|COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO|CONJ GURIATA, S/N
RIO LARGO;ESCOLA DE ENSINO FUND DR GASTAO OITICICA;AV JULIO CALHEIROS S/N;10;52;1550;RIO LARGO|ESCOLA DE ENSINO FUND DR GASTAO OITICICA|AV JULIO CALHEIROS S/N
RIO LARGO;ESCOLA ESTADUAL SANTOS DUMONT;BR 104 - DESTACAMENTO DA FAB - VILA MILITAR;9;56;1507;RIO LARGO|ESCOLA ESTADUAL SANTOS DUMONT|BR 104 - DESTACAMENTO DA FAB - VILA MILITAR
RIO LARGO;ESCOLA MUNICIPAL DE EDUCAÇÃO BASICA INDUSTRIAL LUIGI BAUDUCCO;AVENIDA PASTOR JOSUE LINS CONJUNTO CRUZEIRO DO SUL, C RESIDENCIAL;8;49;1447;RIO LARGO|ESCOLA MUNICIPAL DE EDUCACAO BASICA INDUSTRIAL LUIGI BAUDUCCO|AVENIDA PASTOR JOSUE LINS CONJUNTO CRUZEIRO DO SUL, C RESIDENCIAL
RIO LARGO;ESCOLA DE EDUCAÇÃO BÁSICA AGNUS DEI;AV. PRESIDENTE FERNANDO A. COLLO DE MELO,96, ANTONIO LINS DE SOUZA;8;52;1436;RIO LARGO|ESCOLA DE EDUCACAO BASICA AGNUS DEI|AV. PRESIDENTE FERNANDO A. COLLO DE MELO,96, ANTONIO LINS DE SOUZA
RIO LARGO;ESCOLA MUNICIPAL DE EDUCACAO BASICA D PEDRO I;RUA CURITIBA S/N;13;50;1340;RIO LARGO|ESCOLA MUNICIPAL DE EDUCACAO BASICA D PEDRO I|RUA CURITIBA S/N
RIO LARGO;ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO;EUCLIDES AFONSO DE MELO S/N;7;47;1209;RIO LARGO|ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEICAO|EUCLIDES AFONSO DE MELO S/N
RIO LARGO;GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA;AV ALBERTO SANTOS DUMONT, S/N;7;50;1207;RIO LARGO|GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA|AV ALBERTO SANTOS DUMONT, S/N
RIO LARGO;ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS;RUA SAO PEDRO S/N;9;46;1206;RIO LARGO|ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS|RUA SAO PEDRO S/N
RIO LARGO;ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO;CJ MARIO MAFRA, QUADRA D-04;6;48;1169;RIO LARGO|ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO|CJ MARIO MAFRA, QUADRA D-04
RIO LARGO;GRUPO ESCOLAR MANOEL SOARES DE SOUZA;VILA RAUL S/N;8;46;1134;RIO LARGO|GRUPO ESCOLAR MANOEL SOARES DE SOUZA|VILA RAUL S/N
RIO LARGO;ESCOLA MUNICIPAL TERESA CRISTINA LINS DE SOUZA COSTA;CJ RES. FRANCISCO TAVARES GRANJA, S/N;8;50;1025;RIO LARGO|ESCOLA MUNICIPAL TERESA CRISTINA LINS DE SOUZA COSTA|CJ RES. FRANCISCO TAVARES GRANJA, S/N
RIO LARGO;GRUPO ESCOLAR OZORIA MOURA DE LIMA;RUA  ANTONIO ELIAS CALHEIROS S/N;5;45;1017;RIO LARGO|GRUPO ESCOLAR OZORIA MOURA DE LIMA|RUA ANTONIO ELIAS CALHEIROS S/N
RIO LARGO;ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEÃO;PATIO DA REDE FERROVIARIA S/N;10;43;941;RIO LARGO|ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEAO|PATIO DA REDE FERROVIARIA S/N
RIO LARGO;ESCOLA MUNICIPAL DE ENSINO F. PROFESSOR JOSÉ EDMILSON;COJ NAPOLEÃO VIANA,S/N, BAR NOSSO, PREF  ANTONIO LINS DE SOUZA;7;50;852;RIO LARGO|ESCOLA MUNICIPAL DE ENSINO F. PROFESSOR JOSE EDMILSON|COJ NAPOLEAO VIANA,S/N, BAR NOSSO, PREF ANTONIO LINS DE SOUZA
RIO LARGO;GRUPO ESCOLAR PROFESSOR POMPEU SARMENTO;TRAV SANTA LUZIA S/N ;5;43;819;RIO LARGO|GRUPO ESCOLAR PROFESSOR POMPEU SARMENTO|TRAV SANTA LUZIA S/N
RIO LARGO;GRUPO ESCOLAR DALMARIO DE SOUZA;RUA ALTO DA SAUDADE SN;6;40;803;RIO LARGO|GRUPO ESCOLAR DALMARIO DE SOUZA|RUA ALTO DA SAUDADE SN
RIO LARGO;ESCOLA ESTADUAL TABULEIRO DO PINTO;RUA DA CAIXA SN;6;47;721;RIO LARGO|ESCOLA ESTADUAL TABULEIRO DO PINTO|RUA DA CAIXA SN
RIO LARGO;ANTIGA ESCOLA FRANCISCO LEÃO DO CENTRO;PRAÇA TEIZEIRA BARROS., SN;7;45;717;RIO LARGO|ANTIGA ESCOLA FRANCISCO LEAO DO CENTRO|PRACA TEIZEIRA BARROS., SN
RIO LARGO;GRUPO ESCOLAR ODILO ALVARES DE SOUZA;AV MUNIZ FALCAO SN;4;44;650;RIO LARGO|GRUPO ESCOLAR ODILO ALVARES DE SOUZA|AV MUNIZ FALCAO SN
RIO LARGO;CRECHE MUNICIPAL CELYRIO ADAMASTOR BARRETO ACIOLY;ROD AL 210, CJ EDSON NOVAES S/N;7;39;640;RIO LARGO|CRECHE MUNICIPAL CELYRIO ADAMASTOR BARRETO ACIOLY|ROD AL 210, CJ EDSON NOVAES S/N
RIO LARGO;ESCOLA DE EDUCAÇÃO INFANTIL AQUINO JAPIASSÚ;VILA MARÍLIA;4;43;630;RIO LARGO|ESCOLA DE EDUCACAO INFANTIL AQUINO JAPIASSU|VILA MARILIA
RIO LARGO;ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO;CONJUNTO MUTIRÃO;5;42;590;RIO LARGO|ESCOLA DE EDUCACAO INFANTIL PADRE PAULINO|CONJUNTO MUTIRAO
RIO LARGO;CRIA-CENTRO INFANTIL CORÁLIA GOMES DA SILVA;CJ JARBAS OITICICA, QD B2, N 45, MATA DO ROLO;3;36;555;RIO LARGO|CRIA-CENTRO INFANTIL CORALIA GOMES DA SILVA|CJ JARBAS OITICICA, QD B2, N 45, MATA DO ROLO
RIO LARGO;ESCOLA ESTADUAL JOÃO MORAIS CAVALCANTE;R. DO MATADOURO, CJ HAB JOSE FERNANDES TORRES, CJ MUTIRÃO;5;47;555;RIO LARGO|ESCOLA ESTADUAL JOAO MORAIS CAVALCANTE|R. DO MATADOURO, CJ HAB JOSE FERNANDES TORRES, CJ MUTIRAO
RIO LARGO;CMEI DESEMBARGADOR FRANCISCO WILDO LACERDA DANTAS;CJ ANTONIO LINS DE SOUSA , QD6, MATA DO ROLO;3;38;536;RIO LARGO|CMEI DESEMBARGADOR FRANCISCO WILDO LACERDA DANTAS|CJ ANTONIO LINS DE SOUSA , QD6, MATA DO ROLO
RIO LARGO;GRUPO ESCOLAR DERALDO CAMPOS;AVENIDA VAZ DE CASTRO S/N;3;39;366;RIO LARGO|GRUPO ESCOLAR DERALDO CAMPOS|AVENIDA VAZ DE CASTRO S/N
SAO MIGUEL DOS CAMPOS;ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA;RODOVIA BR 101, KM 69;14;30;2160;SAO MIGUEL DOS CAMPOS|ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA|RODOVIA BR 101, KM 69
SAO MIGUEL DOS CAMPOS;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;AV. SAMPAIO MARQUES, S/N;15;29;1945;SAO MIGUEL DOS CAMPOS|COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA|AV. SAMPAIO MARQUES, S/N
SAO MIGUEL DOS CAMPOS;ESCOLA MUNICIPAL RUI PALMEIRA;RUA CORONEL JOSE ANTONIO DA CRUZ, 54;11;30;1776;SAO MIGUEL DOS CAMPOS|ESCOLA MUNICIPAL RUI PALMEIRA|RUA CORONEL JOSE ANTONIO DA CRUZ, 54
SAO MIGUEL DOS CAMPOS;ESCOLA ANA LINS;RUA SENADOR MAXIMO, 130;10;28;1769;SAO MIGUEL DOS CAMPOS|ESCOLA ANA LINS|RUA SENADOR MAXIMO, 130
SAO MIGUEL DOS CAMPOS;ESCOLA MUNICIPAL PROFESSORA INEIDE NOGUEIRA ROCHA;RUA ALÍCIA VITÓRIA URBANO DE OLIVEIRA LOPES, QUADRA O1, S/N;11;28;1749;SAO MIGUEL DOS CAMPOS|ESCOLA MUNICIPAL PROFESSORA INEIDE NOGUEIRA ROCHA|RUA ALICIA VITORIA URBANO DE OLIVEIRA LOPES, QUADRA O1, S/N
SAO MIGUEL DOS CAMPOS;ESCOLA MUNICIPAL MARIA ROSA;RUA GERALDO SAMPAIO, S/N;9;30;1469;SAO MIGUEL DOS CAMPOS|ESCOLA MUNICIPAL MARIA ROSA|RUA GERALDO SAMPAIO, S/N
SAO MIGUEL DOS CAMPOS;ESCOLA MUNICIPAL MARIO SOARES PALMEIRA;RUA VISCONDE DE SINIMBU, 32;11;29;1196;SAO MIGUEL DOS CAMPOS|ESCOLA MUNICIPAL MARIO SOARES PALMEIRA|RUA VISCONDE DE SINIMBU, 32
SAO MIGUEL DOS CAMPOS;ESCOLA DE 1 E 2 GRAUS NUNILA MACHADO;VISCONDE DE SINIMBU, 182;5;27;1073;SAO MIGUEL DOS CAMPOS|ESCOLA DE 1 E 2 GRAUS NUNILA MACHADO|VISCONDE DE SINIMBU, 182
SAO MIGUEL DOS CAMPOS;ESCOLA DE ENSINO SUPERIOR DE SAO MIGUEL DOS CAMPOS;PRACA SENHORA DOS PRAZERES, SN;6;27;1005;SAO MIGUEL DOS CAMPOS|ESCOLA DE ENSINO SUPERIOR DE SAO MIGUEL DOS CAMPOS|PRACA SENHORA DOS PRAZERES, SN
SAO MIGUEL DOS CAMPOS;ESCOLA DE EDUCAÇÃO BÁSICA CONSTRUTIVISTA;RUA PROJETADA, 16;8;24;985;SAO MIGUEL DOS CAMPOS|ESCOLA DE EDUCACAO BASICA CONSTRUTIVISTA|RUA PROJETADA, 16
SAO MIGUEL DOS CAMPOS;ESCOLA MUNICIPAL DIONISIA APRATTO TENORIO;AV. PREFEITO PEDRO FERNANDES, S/N;8;26;844;SAO MIGUEL DOS CAMPOS|ESCOLA MUNICIPAL DIONISIA APRATTO TENORIO|AV. PREFEITO PEDRO FERNANDES, S/N
SAO MIGUEL DOS CAMPOS;ESCOLA MUNICIPAL PROFESSORA NOEMIA BASTOS;AVENIDA VERA CRUZ, 111;5;27;818;SAO MIGUEL DOS CAMPOS|ESCOLA MUNICIPAL PROFESSORA NOEMIA BASTOS|AVENIDA VERA CRUZ, 111
SAO MIGUEL DOS CAMPOS;ESCOLA DE 1 GRAU TARCISIO SOARES PALMEIRA;TRAVESSA SENADOR MAXIMO, 104;5;27;742;SAO MIGUEL DOS CAMPOS|ESCOLA DE 1 GRAU TARCISIO SOARES PALMEIRA|TRAVESSA SENADOR MAXIMO, 104
SAO MIGUEL DOS CAMPOS;COLÉGIO MUNICIPAL ESTHER SOARES TORRES;AVENIDA PREFEITO PEDRO FERNANDES DA COSTA, S/N;7;26;725;SAO MIGUEL DOS CAMPOS|COLEGIO MUNICIPAL ESTHER SOARES TORRES|AVENIDA PREFEITO PEDRO FERNANDES DA COSTA, S/N
SAO MIGUEL DOS CAMPOS;ESCOLA ESTADUAL PROFESSORA EDILEUZA OLIVEIRA DA SILVA;RUA PROJETADA, S/N;5;27;680;SAO MIGUEL DOS CAMPOS|ESCOLA ESTADUAL PROFESSORA EDILEUZA OLIVEIRA DA SILVA|RUA PROJETADA, S/N
SAO MIGUEL DOS CAMPOS;CRECHE JOSEFA BENEDITA DOS SANTOS;AVENIDA PEDRO FERNANDES DE COSTA;7;28;671;SAO MIGUEL DOS CAMPOS|CRECHE JOSEFA BENEDITA DOS SANTOS|AVENIDA PEDRO FERNANDES DE COSTA
UNIAO DOS PALMARES;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;RUA JARDIM BRASILIA;16;56;2887;UNIAO DOS PALMARES|COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS|RUA JARDIM BRASILIA
UNIAO DOS PALMARES;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;AV. JOÃO LYRA FILHO, S/N;16;49;2690;UNIAO DOS PALMARES|ESCOLA ESTADUAL CARLOS GOMES DE BARROS|AV. JOAO LYRA FILHO, S/N
UNIAO DOS PALMARES;COLEGIO DR. MARIO GOMES DE BARROS;RUA JARDIM BRASILIA 378;17;53;2193;UNIAO DOS PALMARES|COLEGIO DR. MARIO GOMES DE BARROS|RUA JARDIM BRASILIA 378
UNIAO DOS PALMARES;ESCOLA MUNICIPAL JAIRO CORREIA VIANA;RUA TAVARES BASTOS 206;14;51;2005;UNIAO DOS PALMARES|ESCOLA MUNICIPAL JAIRO CORREIA VIANA|RUA TAVARES BASTOS 206
UNIAO DOS PALMARES;COLEGIO JOSE CORREIA VIANA;RUA SANTA MARIA MADALENA, 226;10;51;1705;UNIAO DOS PALMARES|COLEGIO JOSE CORREIA VIANA|RUA SANTA MARIA MADALENA, 226
UNIAO DOS PALMARES;ESCOLA MUNICIPAL JOÃO COSTA DE OLIVEIRA;QUADRA P1, S/N;9;54;1364;UNIAO DOS PALMARES|ESCOLA MUNICIPAL JOAO COSTA DE OLIVEIRA|QUADRA P1, S/N
UNIAO DOS PALMARES;ESCOLA ESTADUAL ROCHA CAVALCANTE;RUA CORREIA DE OLIVEIRA 200;7;44;1258;UNIAO DOS PALMARES|ESCOLA ESTADUAL ROCHA CAVALCANTE|RUA CORREIA DE OLIVEIRA 200
UNIAO DOS PALMARES;EDUCANDARIO OLIMPYA AUGUSTA DOS SANTOS;RUA CORONEL JOSE BEZERRA MONTENEGRO, 105;8;43;1212;UNIAO DOS PALMARES|EDUCANDARIO OLIMPYA AUGUSTA DOS SANTOS|RUA CORONEL JOSE BEZERRA MONTENEGRO, 105
UNIAO DOS PALMARES;GRUPO ESCOLAR DR JORGE DE LIMA;RUA TAVARES BASTOS, SN;7;47;1192;UNIAO DOS PALMARES|GRUPO ESCOLAR DR JORGE DE LIMA|RUA TAVARES BASTOS, SN
UNIAO DOS PALMARES;ESCOLA MUNICIPAL SALOMÉ DA ROCHA BARROS;RUA LINDOLFO GOMES CABRAL, 590;6;40;1000;UNIAO DOS PALMARES|ESCOLA MUNICIPAL SALOME DA ROCHA BARROS|RUA LINDOLFO GOMES CABRAL, 590
UNIAO DOS PALMARES;COLÉGIO ADVENTISTA;AV. HERMANO PLECH, 120;5;41;868;UNIAO DOS PALMARES|COLEGIO ADVENTISTA|AV. HERMANO PLECH, 120
UNIAO DOS PALMARES;ESCOLA DE ENSINO FUNDAMENTAL FILOMENA MEDEIROS;RUA EDGAR SARMENTO, 217;5;40;798;UNIAO DOS PALMARES|ESCOLA DE ENSINO FUNDAMENTAL FILOMENA MEDEIROS|RUA EDGAR SARMENTO, 217
UNIAO DOS PALMARES;ESCOLA ESTADUAL PAULO SARMENTO;RUA SENADOR RUI PALMEIRA, S/N;4;45;706;UNIAO DOS PALMARES|ESCOLA ESTADUAL PAULO SARMENTO|RUA SENADOR RUI PALMEIRA, S/N
UNIAO DOS PALMARES;CRECHE MUNICIPAL TIA SUZETE;CONJUNTO NOVA ESPERANÇA;4;39;694;UNIAO DOS PALMARES|CRECHE MUNICIPAL TIA SUZETE|CONJUNTO NOVA ESPERANCA
UNIAO DOS PALMARES;ESCOLA DE ENSINO FUNDAMENTAL FERNANDO JUAZEIRO;AV. DR. HERMANO PLECH 488;4;38;672;UNIAO DOS PALMARES|ESCOLA DE ENSINO FUNDAMENTAL FERNANDO JUAZEIRO|AV. DR. HERMANO PLECH 488
UNIAO DOS PALMARES;ESCOLA MUNICIPAL MARIA LEAL FEITOSA;RUA EDGAR SARMENTO, S/N;3;34;445;UNIAO DOS PALMARES|ESCOLA MUNICIPAL MARIA LEAL FEITOSA|RUA EDGAR SARMENTO, S/N
UNIAO DOS PALMARES;ESCOLA MUNICIPAL LUIZA DE FRANCA;RUA ALTO DO CRUZEIRO, S/N;3;28;316;UNIAO DOS PALMARES|ESCOLA MUNICIPAL LUIZA DE FRANCA|RUA ALTO DO CRUZEIRO, S/N
UNIAO DOS PALMARES;ESCOLA MUNICIPAL LAURA PEREIRA DA SILVA;RUA CUPERTINO DOS PRAZERES, S/N;3;29;241;UNIAO DOS PALMARES|ESCOLA MUNICIPAL LAURA PEREIRA DA SILVA|RUA CUPERTINO DOS PRAZERES, S/N
