municipio;local_votacao;endereco_local_votacao;qtd_secoes;qtd_vereadores;votos_totais;chave_local
MACEIO;ESCOLA PROFº MANOEL COELHO NETO;RUA MANOEL FLORENTINO DA SILVA 190;4;36;439;MACEIO|ESCOLA PROFo MANOEL COELHO NETO|RUA MANOEL FLORENTINO DA SILVA 190
MACEIO;ESCOLA ESTADUAL DEPUTADO GUILHERMINO DE OLIVEIRA;RUA ABELARDO PONTES LIMA, S/N;3;37;433;MACEIO|ESCOLA ESTADUAL DEPUTADO GUILHERMINO DE OLIVEIRA|RUA ABELARDO PONTES LIMA, S/N
MACEIO;ESC. MUN. SAGRADO CORAÇÃO DE JESUS;RUA DELMIRO GOUVEIA,S/N;4;39;425;MACEIO|ESC. MUN. SAGRADO CORACAO DE JESUS|RUA DELMIRO GOUVEIA,S/N
MACEIO;ESCOLA DE ENSINO FUNDAMENTAL DR. JOSÉ CARNEIRO;RUA BERNARDO LOPES S/N;4;37;411;MACEIO|ESCOLA DE ENSINO FUNDAMENTAL DR. JOSE CARNEIRO|RUA BERNARDO LOPES S/N
MACEIO;COLÉGIO SÃO JUDAS TADEU;RUA ADOLFO GUSTAVO, 435;3;39;408;MACEIO|COLEGIO SAO JUDAS TADEU|RUA ADOLFO GUSTAVO, 435
MACEIO;COLÉGIO SANTA MADALENA SOFIA;AV TOMÁS ESPÍNDOLA, 402;3;41;389;MACEIO|COLEGIO SANTA MADALENA SOFIA|AV TOMAS ESPINDOLA, 402
MACEIO;ESCOLA EST. PROF. LUÍS CARLOS;RUA CORONEL ADAUTO GOMES BARBOSA, S/N;2;38;387;MACEIO|ESCOLA EST. PROF. LUIS CARLOS|RUA CORONEL ADAUTO GOMES BARBOSA, S/N
MACEIO;CEAGB - ESCOLA ESTADUAL JOSE DA SILVA CAMERINO;AV. FERNANDES LIMA, S/N;4;40;386;MACEIO|CEAGB - ESCOLA ESTADUAL JOSE DA SILVA CAMERINO|AV. FERNANDES LIMA, S/N
MACEIO;E.M. JORGE DE LIMA;AV BELMIRO AMORIM, 1750;2;40;383;MACEIO|E.M. JORGE DE LIMA|AV BELMIRO AMORIM, 1750
MACEIO;ESCOLA MUN. PROFª MARIA NILDA;RUA SANTA CLARA, S/N;4;31;383;MACEIO|ESCOLA MUN. PROFa MARIA NILDA|RUA SANTA CLARA, S/N
MACEIO;ESC. MUN. NOSSA SRª APARECIDA (PRÉDIO DO ANTIGO COL.SAGRADA FAMÍLIA);RUA PROFESSORA MARIA JOSÉ LOUREIRO, S/N;3;35;364;MACEIO|ESC. MUN. NOSSA SRa APARECIDA (PREDIO DO ANTIGO COL.SAGRADA FAMILIA)|RUA PROFESSORA MARIA JOSE LOUREIRO, S/N
MACEIO;ESCOLA PATINHO FEIO;RUA PREFEITO ABDON ARROXELAS, N.760;3;38;357;MACEIO|ESCOLA PATINHO FEIO|RUA PREFEITO ABDON ARROXELAS, N.760
