ranking_reduto_qualificado;municipio;vereador;partido;local_prioritario;bairro;distrito;endereco_local_prioritario;latitude;longitude;votos_local_principal;votos_totais_vereador;percentual_local_principal;nivel_reduto;prioridade_agenda;potencial_transferencia;observacao_estrategica
135;SAO MIGUEL DOS CAMPOS;DIOGENES ALLYSON ALMEIDA NOVAIS;PP;ESCOLA ANA LINS;Centro;;RUA SENADOR MAXIMO, 130;-9.7797751;-36.0993035;130;1155;1126;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;DIOGENES ALLYSON ALMEIDA NOVAIS concentra 1126.00% dos seus votos no local ESCOLA ANA LINS, com 130 votos registrados.
136;MACEIO;JEANNYNE BELTRÃO LIMA SIQUEIRA;PL;UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT);Mangabeiras;;AV GUSTAVO PAIVA, 5017;-9.6478561;-35.7147108;130;6362;204;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JEANNYNE BELTRÃO LIMA SIQUEIRA concentra 204.00% dos seus votos no local UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT), com 130 votos registrados.
137;SAO MIGUEL DOS CAMPOS;GISELDA RODRIGUES CAVALCANTE;MDB;ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA;São Miguel dos Campos;;RODOVIA BR 101, KM 69;-9.741431;-36.0611185;129;880;1466;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;GISELDA RODRIGUES CAVALCANTE concentra 1466.00% dos seus votos no local ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA, com 129 votos registrados.
138;UNIAO DOS PALMARES;WELLINGTON FERREIRA DOS SANTOS;PDT;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;;;AV. JOÃO LYRA FILHO, S/N;;;129;1050;1229;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;WELLINGTON FERREIRA DOS SANTOS concentra 1229.00% dos seus votos no local ESCOLA ESTADUAL CARLOS GOMES DE BARROS, com 129 votos registrados.
139;CORURIPE;FRANCINEY JOAQUIM DOS SANTOS;PSB;ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM;Coruripe;;RUA JOSÉ RAIMUNDO DOS SANTOS, 40;-10.118516;-36.1800084;128;792;1616;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;FRANCINEY JOAQUIM DOS SANTOS concentra 1616.00% dos seus votos no local ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM, com 128 votos registrados.
140;RIO LARGO;CAMILLY CABRAL CORREIA ALVES DE OLIVEIRA;PDT;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;;;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;124;1294;958;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;CAMILLY CABRAL CORREIA ALVES DE OLIVEIRA concentra 958.00% dos seus votos no local ESCOLA MUNICIPAL DR. GUSTAVO PAIVA, com 124 votos registrados.
141;PENEDO;MANOEL MESSIAS LIMA;PSB;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;;;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;123;823;1495;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;MANOEL MESSIAS LIMA concentra 1495.00% dos seus votos no local COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO, com 123 votos registrados.
142;UNIAO DOS PALMARES;ALAN ELVES VIEIRA DE OLIVEIRA;PSB;COLEGIO DR. MARIO GOMES DE BARROS;União dos Palmares;;RUA JARDIM BRASILIA 378;-9.1545653;-36.0312271;123;1083;1136;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;ALAN ELVES VIEIRA DE OLIVEIRA concentra 1136.00% dos seus votos no local COLEGIO DR. MARIO GOMES DE BARROS, com 123 votos registrados.
143;ARAPIRACA;TULIO SAMPAIO FREIRE;SOLIDARIEDADE;ESCOLA DE ENSINO FUNDAMENTAL ZÉLIA BARBOSA ROCHA;;;RUA DJALMA M. SANTANA;;;123;1956;629;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;TULIO SAMPAIO FREIRE concentra 629.00% dos seus votos no local ESCOLA DE ENSINO FUNDAMENTAL ZÉLIA BARBOSA ROCHA, com 123 votos registrados.
144;DELMIRO GOUVEIA;JAMIL CORDEIRO DE ARAUJO FILHO;MDB;VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA;;;AV MASCARENHAS DE MORAIS S/N;;;118;1114;1059;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JAMIL CORDEIRO DE ARAUJO FILHO concentra 1059.00% dos seus votos no local VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA, com 118 votos registrados.
145;RIO LARGO;EFRAIN VERÇOLINO DA SILVA;AVANTE;GRUPO ESCOLAR OZORIA MOURA DE LIMA;;;RUA  ANTONIO ELIAS CALHEIROS S/N;;;118;1313;899;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;EFRAIN VERÇOLINO DA SILVA concentra 899.00% dos seus votos no local GRUPO ESCOLAR OZORIA MOURA DE LIMA, com 118 votos registrados.
146;PENEDO;ANDRESA SANTOS LIMA MENDES;MDB;COLÉGIO DIOCESANO DE PENEDO;;;PÇA. LARGO DE FÁTIMA, PX. À 9A. COORDENADORIA DE ENSINO DE ALAGOAS;;;116;866;1339;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;ANDRESA SANTOS LIMA MENDES concentra 1339.00% dos seus votos no local COLÉGIO DIOCESANO DE PENEDO, com 116 votos registrados.
147;RIO LARGO;LUZARDO DE ARAÚJO LISBOA NETO;PDT;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;;;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;115;1238;929;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;LUZARDO DE ARAÚJO LISBOA NETO concentra 929.00% dos seus votos no local ESCOLA MUNICIPAL DR. GUSTAVO PAIVA, com 115 votos registrados.
148;ARAPIRACA;MARIA CAROLINE SOUZA VALERIANO;PODE;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;Capiatá;;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;114;2447;466;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;MARIA CAROLINE SOUZA VALERIANO concentra 466.00% dos seus votos no local ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA, com 114 votos registrados.
149;SAO MIGUEL DOS CAMPOS;JORGE JOSÉ DOS SANTOS CAVALCANTE;PDT;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;;;AV. SAMPAIO MARQUES, S/N;;;113;966;117;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JORGE JOSÉ DOS SANTOS CAVALCANTE concentra 117.00% dos seus votos no local COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA, com 113 votos registrados.
150;MACEIO;JOSÉ NILTON LIMA DE OLIVEIRA;REPUBLICANOS;UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT);Mangabeiras;;AV GUSTAVO PAIVA, 5017;-9.6478561;-35.7147108;110;4704;234;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JOSÉ NILTON LIMA DE OLIVEIRA concentra 234.00% dos seus votos no local UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT), com 110 votos registrados.
151;SAO MIGUEL DOS CAMPOS;BERNARD BOMFIM CORREIA;PDT;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;;;AV. SAMPAIO MARQUES, S/N;;;110;1146;96;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;BERNARD BOMFIM CORREIA concentra 96.00% dos seus votos no local COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA, com 110 votos registrados.
152;MARECHAL DEODORO;JANDERSON DA CONCEIÇÃO SANTOS;SOLIDARIEDADE;ESCOLA MUNICIPAL GOVERNADOR LUIZ CAVALCANTE;Vila Cabreiras;;RODOVIA EDVAL LEMOS;-9.7585568;-35.8685101;109;497;2193;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JANDERSON DA CONCEIÇÃO SANTOS concentra 2193.00% dos seus votos no local ESCOLA MUNICIPAL GOVERNADOR LUIZ CAVALCANTE, com 109 votos registrados.
153;PALMEIRA DOS INDIOS;JOSÉ FÁBIO SILVA TARGINO;SOLIDARIEDADE;COLÉGIO ESTADUAL HUMBERTO MENDES;;;AV GOV MUNIZ FALCÃO 701;;;109;780;1397;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JOSÉ FÁBIO SILVA TARGINO concentra 1397.00% dos seus votos no local COLÉGIO ESTADUAL HUMBERTO MENDES, com 109 votos registrados.
154;PALMEIRA DOS INDIOS;GERALDO RIBEIRO LIMA JUNIOR;SOLIDARIEDADE;COLÉGIO ESTADUAL HUMBERTO MENDES;;;AV GOV MUNIZ FALCÃO 701;;;106;853;1243;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;GERALDO RIBEIRO LIMA JUNIOR concentra 1243.00% dos seus votos no local COLÉGIO ESTADUAL HUMBERTO MENDES, com 106 votos registrados.
155;ARAPIRACA;JACKELLINE MARIA BARBOSA ALMEIDA;MDB;COLÉGIO QUINTELA CAVALCANTE;Eldorado;;AV. VENTURA DE FARIAS S/N;-9.7466266;-36.6673366;106;2020;525;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JACKELLINE MARIA BARBOSA ALMEIDA concentra 525.00% dos seus votos no local COLÉGIO QUINTELA CAVALCANTE, com 106 votos registrados.
156;SAO MIGUEL DOS CAMPOS;SIMONE DE LIMA E SILVA;PV;ESCOLA MUNICIPAL PROFESSORA INEIDE NOGUEIRA ROCHA;;;RUA ALÍCIA VITÓRIA URBANO DE OLIVEIRA LOPES, QUADRA O1, S/N;;;104;752;1383;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;SIMONE DE LIMA E SILVA concentra 1383.00% dos seus votos no local ESCOLA MUNICIPAL PROFESSORA INEIDE NOGUEIRA ROCHA, com 104 votos registrados.
157;DELMIRO GOUVEIA;CARLOS GABRIEL VARJÃO CORREIA DA SILVA;PSB;MANOEL MOURA, COLEGIO DE 1 GRAU;;;POVOADO BARRAGEM;;;103;777;1326;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;CARLOS GABRIEL VARJÃO CORREIA DA SILVA concentra 1326.00% dos seus votos no local MANOEL MOURA, COLEGIO DE 1 GRAU, com 103 votos registrados.
158;SAO MIGUEL DOS CAMPOS;JALON CABRAL DE OLIVEIRA SILVA;PP;ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA;São Miguel dos Campos;;RODOVIA BR 101, KM 69;-9.741431;-36.0611185;103;793;1299;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JALON CABRAL DE OLIVEIRA SILVA concentra 1299.00% dos seus votos no local ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA, com 103 votos registrados.
159;DELMIRO GOUVEIA;JOSE IVAM DE ARAUJO JUNIOR;PT;JOSE CORREIA DOS SANTOS,GRUPO ESCOLAR;;;POVOADO SINIMBU;;;103;824;125;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;JOSE IVAM DE ARAUJO JUNIOR concentra 125.00% dos seus votos no local JOSE CORREIA DOS SANTOS,GRUPO ESCOLAR, com 103 votos registrados.
160;MARECHAL DEODORO;JORGE AFFONSO BARROS DE MELLO;REPUBLICANOS;ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA;Centro;;AV SÃO JOSÉ SN;-9.7102397;-35.8959836;99;620;1597;REDUTO FORTE;CURTO PRAZO;MÉDIO;JORGE AFFONSO BARROS DE MELLO concentra 1597.00% dos seus votos no local ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA, com 99 votos registrados.
161;ARAPIRACA;RODRIGO JOSÉ DA SILVA;PMB;ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA;Alto do Cruzeiro;;RUA MANOEL LÚCIO S/N;-9.7464382;-36.6524184;98;1510;649;REDUTO FORTE;CURTO PRAZO;MÉDIO;RODRIGO JOSÉ DA SILVA concentra 649.00% dos seus votos no local ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA, com 98 votos registrados.
162;CORURIPE;FRAUDENICIO JOAQUIM DOS SANTOS;SOLIDARIEDADE;ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA;;;RUA PERNAMBUCO NOVO, S/N;;;96;533;1801;REDUTO FORTE;CURTO PRAZO;MÉDIO;FRAUDENICIO JOAQUIM DOS SANTOS concentra 1801.00% dos seus votos no local ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA, com 96 votos registrados.
163;ARAPIRACA;JOSÉ BARBOSA DA SILVA;PT;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;Capiatá;;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;95;477;1992;REDUTO FORTE;CURTO PRAZO;MÉDIO;JOSÉ BARBOSA DA SILVA concentra 1992.00% dos seus votos no local ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA, com 95 votos registrados.
164;PENEDO;DAVI SILVA DE OLIVEIRA;UNIÃO;ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO;;;RUA FLORIANO ROSA, S/N, PX. AO POSTO DE SAÚDE, CONJUNTO VILA MATIAS;;;94;538;1747;REDUTO FORTE;CURTO PRAZO;MÉDIO;DAVI SILVA DE OLIVEIRA concentra 1747.00% dos seus votos no local ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO, com 94 votos registrados.
165;PENEDO;WESLEY MARQUES DE OLIVEIRA;SOLIDARIEDADE;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;;;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;92;715;1287;REDUTO FORTE;CURTO PRAZO;MÉDIO;WESLEY MARQUES DE OLIVEIRA concentra 1287.00% dos seus votos no local COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO, com 92 votos registrados.
166;MARECHAL DEODORO;JOÃO PAULO ALVES DA SILVA;PDT;INSTITUTO FEDERAL DE ALAGOAS IF/AL;Centro;;RUA LOURIVAL ALFREDO N 176;-9.7129729;-35.8940606;91;842;1081;REDUTO FORTE;CURTO PRAZO;MÉDIO;JOÃO PAULO ALVES DA SILVA concentra 1081.00% dos seus votos no local INSTITUTO FEDERAL DE ALAGOAS IF/AL, com 91 votos registrados.
167;UNIAO DOS PALMARES;CLAUDE FERNANDO DE LIMA;PSD;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;;;AV. JOÃO LYRA FILHO, S/N;;;89;359;2479;REDUTO FORTE;CURTO PRAZO;MÉDIO;CLAUDE FERNANDO DE LIMA concentra 2479.00% dos seus votos no local ESCOLA ESTADUAL CARLOS GOMES DE BARROS, com 89 votos registrados.
168;UNIAO DOS PALMARES;RICARDO LEAO PRAXEDES;PL;ESCOLA MUNICIPAL JAIRO CORREIA VIANA;União dos Palmares;;RUA TAVARES BASTOS 206;-9.157438;-36.0311805;87;793;1097;REDUTO FORTE;CURTO PRAZO;MÉDIO;RICARDO LEAO PRAXEDES concentra 1097.00% dos seus votos no local ESCOLA MUNICIPAL JAIRO CORREIA VIANA, com 87 votos registrados.
169;MACEIO;SILVIO SAMPAIO CAMELO;PV;ESCOLA DE ENS. FUND. NOSSO LAR I;;;RUA SAMPAIO DORIA, S/N;;;87;5311;164;REDUTO FORTE;CURTO PRAZO;MÉDIO;SILVIO SAMPAIO CAMELO concentra 164.00% dos seus votos no local ESCOLA DE ENS. FUND. NOSSO LAR I, com 87 votos registrados.
170;ARAPIRACA;FÁBIO ROGÉRIO PEREIRA CHAVES;PSB;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;Capiatá;;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;84;1695;496;REDUTO FORTE;CURTO PRAZO;MÉDIO;FÁBIO ROGÉRIO PEREIRA CHAVES concentra 496.00% dos seus votos no local ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA, com 84 votos registrados.
171;RIO LARGO;JOSÉ LAMARTINE LIMA DOS SANTOS;MDB;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;;;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;80;397;2015;REDUTO FORTE;CURTO PRAZO;MÉDIO;JOSÉ LAMARTINE LIMA DOS SANTOS concentra 2015.00% dos seus votos no local ESCOLA MUNICIPAL DR. GUSTAVO PAIVA, com 80 votos registrados.
172;ARAPIRACA;GIVALDO DUARTE DE ASSIS;PL;ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA;;;SÍTIO BATINGAS;;;80;1747;458;REDUTO FORTE;CURTO PRAZO;MÉDIO;GIVALDO DUARTE DE ASSIS concentra 458.00% dos seus votos no local ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA, com 80 votos registrados.
173;PENEDO;EDILSON COMPANHEIRO SANTOS;PP;SESI - SENAI / UNIDADE PENEDO;Dom Constatino;;AV. WANDERLEY, 922;-10.2822946;-36.5653561;76;467;1627;REDUTO FORTE;CURTO PRAZO;MÉDIO;EDILSON COMPANHEIRO SANTOS concentra 1627.00% dos seus votos no local SESI - SENAI / UNIDADE PENEDO, com 76 votos registrados.
174;ARAPIRACA;MARÍLIA ALMEIDA DE ALBUQUERQUE MELO;PT;COLÉGIO SÃO FRANCISCO DE ASSIS;Senador Teotônio Vilela;;RUA DOM FELÍCIO DE VASCONCELOS S/N;-9.7445436;-36.659204;75;1660;452;REDUTO FORTE;CURTO PRAZO;MÉDIO;MARÍLIA ALMEIDA DE ALBUQUERQUE MELO concentra 452.00% dos seus votos no local COLÉGIO SÃO FRANCISCO DE ASSIS, com 75 votos registrados.
175;PALMEIRA DOS INDIOS;IVANILDO BERNARDO RIO;PMB;FACULDADE CESMAC DO SERTÃO;;;RUA BRAÚLIO MONTENEGRO, S/N, VILA MARIA;;;71;371;1914;REDUTO FORTE;CURTO PRAZO;MÉDIO;IVANILDO BERNARDO RIO concentra 1914.00% dos seus votos no local FACULDADE CESMAC DO SERTÃO, com 71 votos registrados.
176;UNIAO DOS PALMARES;LUCAS JOSE DE SIQUEIRA PAES BEZERRA;PMB;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;União dos Palmares;;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;70;585;1197;REDUTO FORTE;CURTO PRAZO;MÉDIO;LUCAS JOSE DE SIQUEIRA PAES BEZERRA concentra 1197.00% dos seus votos no local COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS, com 70 votos registrados.
177;RIO LARGO;CICERO ALVES DE OMENA;MDB;GRUPO ESCOLAR MANOEL SOARES DE SOUZA;;;VILA RAUL S/N;;;69;548;1259;REDUTO FORTE;CURTO PRAZO;MÉDIO;CICERO ALVES DE OMENA concentra 1259.00% dos seus votos no local GRUPO ESCOLAR MANOEL SOARES DE SOUZA, com 69 votos registrados.
178;MARECHAL DEODORO;MARCELO CALDAS NUNES;PL;ESCOLA MUNICIPAL CARLOS AVELINO DA SILVA;;;RES MARIA GISLENE MATHEUS, S/N;;;67;727;922;REDUTO FORTE;CURTO PRAZO;MÉDIO;MARCELO CALDAS NUNES concentra 922.00% dos seus votos no local ESCOLA MUNICIPAL CARLOS AVELINO DA SILVA, com 67 votos registrados.
179;RIO LARGO;SAMEA RAFAELLA TORRES TENÓRIO MASCARENHAS;REPUBLICANOS;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;;;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;64;580;1103;REDUTO FORTE;CURTO PRAZO;MÉDIO;SAMEA RAFAELLA TORRES TENÓRIO MASCARENHAS concentra 1103.00% dos seus votos no local ESCOLA MUNICIPAL DR. GUSTAVO PAIVA, com 64 votos registrados.
180;SAO MIGUEL DOS CAMPOS;JADIELSON VIEIRA DOS SANTOS;PRD;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;;;AV. SAMPAIO MARQUES, S/N;;;61;474;1287;REDUTO FORTE;CURTO PRAZO;MÉDIO;JADIELSON VIEIRA DOS SANTOS concentra 1287.00% dos seus votos no local COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA, com 61 votos registrados.
181;MACEIO;LUIZ CARLOS DOS SANTOS;REPUBLICANOS;E.M. TRADUTOR JOÃO SAMPAIO;;;PRAÇA CENTRAL, S/N, CONJ. JOÃO SAMPAIO I;;;60;2680;224;REDUTO FORTE;CURTO PRAZO;MÉDIO;LUIZ CARLOS DOS SANTOS concentra 224.00% dos seus votos no local E.M. TRADUTOR JOÃO SAMPAIO, com 60 votos registrados.
182;PALMEIRA DOS INDIOS;PAULA FERNANDA FERREIRA COSTA RAMOS;PDT;COLÉGIO ESTADUAL HUMBERTO MENDES;;;AV GOV MUNIZ FALCÃO 701;;;53;330;1606;REDUTO FORTE;CURTO PRAZO;MÉDIO;PAULA FERNANDA FERREIRA COSTA RAMOS concentra 1606.00% dos seus votos no local COLÉGIO ESTADUAL HUMBERTO MENDES, com 53 votos registrados.
183;ARAPIRACA;GERALDO BALBINO DA SILVA;PT;ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS;;;POVOADO CANGANDU S/N;;;53;385;1377;REDUTO FORTE;CURTO PRAZO;MÉDIO;GERALDO BALBINO DA SILVA concentra 1377.00% dos seus votos no local ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS, com 53 votos registrados.
184;RIO LARGO;ABERILDO MARIZ FERREIRA;MDB;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;;;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;52;479;1086;REDUTO FORTE;CURTO PRAZO;MÉDIO;ABERILDO MARIZ FERREIRA concentra 1086.00% dos seus votos no local ESCOLA MUNICIPAL DR. GUSTAVO PAIVA, com 52 votos registrados.
185;ARAPIRACA;ALTAMIRES ALVES DA SILVA;REPUBLICANOS;ESCOLA PEDRO SURUAGY;Itapoã;;RUA NOSSA SENHORA DA SALETE S/N;-9.7509333;-36.6431771;52;648;802;REDUTO FORTE;CURTO PRAZO;MÉDIO;ALTAMIRES ALVES DA SILVA concentra 802.00% dos seus votos no local ESCOLA PEDRO SURUAGY, com 52 votos registrados.
186;MACEIO;JOSÉ PAULO DA CONCEIÇÃO;REPUBLICANOS;ESC. EST. MIRAN MARROQUIM;;;RUA DA LIBERDADE, S/N - PIABAS;;;46;320;1437;REDUTO RELEVANTE;MÉDIO PRAZO;BAIXO;JOSÉ PAULO DA CONCEIÇÃO concentra 1437.00% dos seus votos no local ESC. EST. MIRAN MARROQUIM, com 46 votos registrados.
187;ARAPIRACA;JOSE LUCIO DE SOUSA;PMB;ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA;Alto do Cruzeiro;;RUA MANOEL LÚCIO S/N;-9.7464382;-36.6524184;39;654;596;REDUTO RELEVANTE;MÉDIO PRAZO;BAIXO;JOSE LUCIO DE SOUSA concentra 596.00% dos seus votos no local ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA, com 39 votos registrados.
188;ARAPIRACA;VALQUIRIA RAQUEL FERREIRA DA COSTA;REPUBLICANOS;GRUPO ESCOLAR JOÃO BATISTA PEREIRA;;;COHAB NOVA S/N;;;38;371;1024;REDUTO RELEVANTE;MÉDIO PRAZO;BAIXO;VALQUIRIA RAQUEL FERREIRA DA COSTA concentra 1024.00% dos seus votos no local GRUPO ESCOLAR JOÃO BATISTA PEREIRA, com 38 votos registrados.
189;ARAPIRACA;DANIELLE KARINE NUNES SILVA;REPUBLICANOS;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;Capiatá;;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;38;607;626;REDUTO RELEVANTE;MÉDIO PRAZO;BAIXO;DANIELLE KARINE NUNES SILVA concentra 626.00% dos seus votos no local ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA, com 38 votos registrados.
190;ARAPIRACA;JOSE CICERO DA CONCEICAO SANTOS;PMB;GRUPO ESCOLAR JOÃO BATISTA PEREIRA;;;COHAB NOVA S/N;;;34;478;711;REDUTO RELEVANTE;MÉDIO PRAZO;BAIXO;JOSE CICERO DA CONCEICAO SANTOS concentra 711.00% dos seus votos no local GRUPO ESCOLAR JOÃO BATISTA PEREIRA, com 34 votos registrados.
191;MACEIO;MARCELO BARBOSA DE LIMA;REPUBLICANOS;ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA;;;CONJ. SALVADOR LIRA, S/N;;;34;922;369;REDUTO RELEVANTE;MÉDIO PRAZO;BAIXO;MARCELO BARBOSA DE LIMA concentra 369.00% dos seus votos no local ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA, com 34 votos registrados.
192;MACEIO;KAYO GUSTAVO FRAGOSO CARNEIRO DA CUNHA;REPUBLICANOS;ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA;;;CONJ. SALVADOR LIRA, S/N;;;32;724;442;REDUTO RELEVANTE;MÉDIO PRAZO;BAIXO;KAYO GUSTAVO FRAGOSO CARNEIRO DA CUNHA concentra 442.00% dos seus votos no local ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA, com 32 votos registrados.
193;RIO LARGO;JOSÉ BENEDITO LOPES PEIXOTO;MDB;ESCOLA ESTADUAL SANTOS DUMONT;;;BR 104 - DESTACAMENTO DA FAB - VILA MILITAR;;;31;348;891;REDUTO RELEVANTE;MÉDIO PRAZO;BAIXO;JOSÉ BENEDITO LOPES PEIXOTO concentra 891.00% dos seus votos no local ESCOLA ESTADUAL SANTOS DUMONT, com 31 votos registrados.
194;MACEIO;JOSAN LEITE PEREIRA BARROS;REPUBLICANOS;CRECHE ESCOLA ESPAÇO EDUCAR;Ponta Verde;;RUA PROFESSOR SANDOVAL ARROXELAS, N. 510;-9.6588344;-35.7046403;31;368;842;REDUTO RELEVANTE;MÉDIO PRAZO;BAIXO;JOSAN LEITE PEREIRA BARROS concentra 842.00% dos seus votos no local CRECHE ESCOLA ESPAÇO EDUCAR, com 31 votos registrados.
195;ARAPIRACA;MARCO CÉSAR LIMA DOS SANTOS;PMB;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;Capiatá;;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;25;338;74;REDUTO RELEVANTE;MÉDIO PRAZO;BAIXO;MARCO CÉSAR LIMA DOS SANTOS concentra 74.00% dos seus votos no local ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA, com 25 votos registrados.
