ranking_reduto_qualificado;municipio;vereador;partido;local_prioritario;bairro;distrito;endereco_local_prioritario;latitude;longitude;votos_local_principal;votos_totais_vereador;percentual_local_principal;nivel_reduto;prioridade_agenda;potencial_transferencia;observacao_estrategica
91;DELMIRO GOUVEIA;GEORGE LISBOA JUNIOR;MDB;VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA;;;AV MASCARENHAS DE MORAIS S/N;;;181;1629;1111;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;GEORGE LISBOA JUNIOR concentra 1111.00% dos seus votos no local VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA, com 181 votos registrados.
92;RIO LARGO;RAFAEL RUDSON FEITOSA PINTO;PP;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;;;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;180;1701;1058;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;RAFAEL RUDSON FEITOSA PINTO concentra 1058.00% dos seus votos no local ESCOLA MUNICIPAL DR. GUSTAVO PAIVA, com 180 votos registrados.
93;ARAPIRACA;RAMONN IZIDORO SOARES ALVES;PSB;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;Capiatá;;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;180;3169;568;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;RAMONN IZIDORO SOARES ALVES concentra 568.00% dos seus votos no local ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA, com 180 votos registrados.
94;MARECHAL DEODORO;EZECHIAS JOSÉ DO NASCIMENTO;PSB;ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA;Centro;;AV SÃO JOSÉ SN;-9.7102397;-35.8959836;177;1144;1547;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;EZECHIAS JOSÉ DO NASCIMENTO concentra 1547.00% dos seus votos no local ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA, com 177 votos registrados.
95;MACEIO;SAMYR MALTA AMARAL;PODE;UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT);Mangabeiras;;AV GUSTAVO PAIVA, 5017;-9.6478561;-35.7147108;177;5321;333;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;SAMYR MALTA AMARAL concentra 333.00% dos seus votos no local UNIMA / AFYA - CENTRO UNIVERSITÁRIO DE MACEIÓ (ANTIGA UNIT), com 177 votos registrados.
96;PENEDO;ANTONIO DE FIGUEIREDO BARBOSA JUNIOR;PSB;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;;;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;175;1275;1373;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;ANTONIO DE FIGUEIREDO BARBOSA JUNIOR concentra 1373.00% dos seus votos no local COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO, com 175 votos registrados.
97;MARECHAL DEODORO;HILDEBRANDO TENÓRIO DE ALBUQUERQUE NETO;PP;ESCOLA MUNICIPAL ADELINA DE CARVALHO MELO;;;RUA ADELINA DE CARVALHO MELO SN;;;175;983;178;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;HILDEBRANDO TENÓRIO DE ALBUQUERQUE NETO concentra 178.00% dos seus votos no local ESCOLA MUNICIPAL ADELINA DE CARVALHO MELO, com 175 votos registrados.
98;UNIAO DOS PALMARES;GIVANILDO VICENTE DE MELO;MDB;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;;;AV. JOÃO LYRA FILHO, S/N;;;173;1193;145;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;GIVANILDO VICENTE DE MELO concentra 145.00% dos seus votos no local ESCOLA ESTADUAL CARLOS GOMES DE BARROS, com 173 votos registrados.
99;RIO LARGO;ALINE BIANA CAVALCANTE;UNIÃO;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;;;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;172;1609;1069;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;ALINE BIANA CAVALCANTE concentra 1069.00% dos seus votos no local ESCOLA MUNICIPAL DR. GUSTAVO PAIVA, com 172 votos registrados.
100;ARAPIRACA;EDINALDO DE SANTANA PONCIANO;PMB;GRUPO ESCOLAR DJALMA MATHEUS SANTANA;Primavera;;RUA ROSENDO LIMA S/N;-9.7669946;-36.6608561;170;837;2031;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;EDINALDO DE SANTANA PONCIANO concentra 2031.00% dos seus votos no local GRUPO ESCOLAR DJALMA MATHEUS SANTANA, com 170 votos registrados.
101;UNIAO DOS PALMARES;SANDRO JORGE DA SILVA;MDB;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;União dos Palmares;;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;170;1280;1328;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;SANDRO JORGE DA SILVA concentra 1328.00% dos seus votos no local COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS, com 170 votos registrados.
102;RIO LARGO;ALBERTINA MARIA ALVES CABRAL;REPUBLICANOS;COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO;;;CONJ GURIATA, S/N;;;169;409;4132;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;ALBERTINA MARIA ALVES CABRAL concentra 4132.00% dos seus votos no local COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO, com 169 votos registrados.
103;PENEDO;DENYS MALTA REIS;PV;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;;;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;169;1166;1449;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;DENYS MALTA REIS concentra 1449.00% dos seus votos no local COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO, com 169 votos registrados.
104;PALMEIRA DOS INDIOS;MADSON LUCIANO MONTEIRO SANTOS DA SILVA;PV;COLÉGIO CRISTO REDENTOR;São Cristovão;;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;169;1219;1386;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;MADSON LUCIANO MONTEIRO SANTOS DA SILVA concentra 1386.00% dos seus votos no local COLÉGIO CRISTO REDENTOR, com 169 votos registrados.
105;CORURIPE;RAPHAEL LIMA OLIVEIRA SILVA;PP;ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA;;;RUA PERNAMBUCO NOVO, S/N;;;169;944;179;REDUTO ESTRATÉGICO;AGENDA IMEDIATA;ALTO;RAPHAEL LIMA OLIVEIRA SILVA concentra 179.00% dos seus votos no local ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA, com 169 votos registrados.
