municipio,codigo_tse_municipio,numero,vereador,nome_urna,partido,nome_partido,situacao,votos,rank_vereador_municipio,eleitorado_2024,populacao_estimada_2024,indice_estrategico_pct,prioridade_final,prefeito,partido_municipio,grupo_politico,relacao_davi,score_articulacao,percentual_votos_municipio,potencial_transferencia_conservador_20pct,potencial_transferencia_moderado_35pct,potencial_transferencia_alto_50pct,potencial_politico_vereador,indice_influencia_vereador,grupo_politico_original,total_votos_vereadores_municipio,percentual_votos_municipio_corrigido,grupo_politico_padronizado,meta_votos_davi_2026,taxa_conversao_conservadora,taxa_conversao_intermediaria,taxa_conversao_maxima,contribuicao_davi_10pct,contribuicao_davi_15pct,contribuicao_davi_20pct,percentual_meta_davi_10pct,percentual_meta_davi_15pct,percentual_meta_davi_20pct,potencial_eleitoral_vereador,score_politico_calculado,metodologia_contribuicao,metodologia_score_politico,tooltip_contribuicao_corrigida,potencial_transferencia_conservador_10pct,potencial_transferencia_moderado_15pct,potencial_transferencia_maximo_20pct,ranking_contribuicao_davi,acumulado_davi_10pct,acumulado_davi_15pct,acumulado_davi_20pct,percentual_meta_acumulado_10pct,percentual_meta_acumulado_15pct,percentual_meta_acumulado_20pct
MACEIÓ,27855,40333,MILTON LUNA BARROS NETO,MILTON RONALSA,PSB,Partido Socialista Brasileiro,ELEITO POR QP,3849,9,632812,994464,27.397829079873947,Alta Prioridade,JOAO HENRIQUE HOLANDA CALDAS,PL,não_classificado,não_classificado,82.4,0.61,770,577,770,Muito Alto,20.91,não_classificado,241387,1.5945,SEM GRUPO,60000,0.1,0.15,0.2,385,577,770,0.6417,0.9617,1.2833,ALTO,60,"Contribuição corrigida: votos nominais do vereador em 2024 multiplicados por 10%, 15% e 20%. O cenário de 20% é o teto operacional. Nenhum vereador pode contribuir, na estimativa, com mais votos do que recebeu.",Score 0-100: até 40 pontos por porte eleitoral; até 25 por percentual de votos no município; até 20 por prioridade territorial; até 15 por grupo político classificado.,MILTON LUNA BARROS NETO. em MACEIÓ. recebeu 3.849 votos em 2024. Pela metodologia corrigida. a contribuição potencial para Davi é calculada como conversão de parte desses próprios eleitores: 385 votos no cenário conservador de 10%. 577 no cenário intermediário de 15% e 770 no teto operacional de 20%. No cenário máximo. isso representa 1.28% da meta de 60.000 votos.,385,577,770,11,5305,7959,10614,8.84,13.26,17.69
MACEIÓ,27855,77000,SILVANIA BATINGA DE OLIVEIRA BARBOSA,SILVANIA BARBOSA,SOLIDARIEDADE,Solidariedade,ELEITO POR QP,3703,10,632812,994464,27.397829079873947,Alta Prioridade,JOAO HENRIQUE HOLANDA CALDAS,PL,não_classificado,não_classificado,82.4,0.59,741,555,741,Muito Alto,20.9,não_classificado,241387,1.5341,SEM GRUPO,60000,0.1,0.15,0.2,370,555,741,0.6167,0.925,1.235,ALTO,60,"Contribuição corrigida: votos nominais do vereador em 2024 multiplicados por 10%, 15% e 20%. O cenário de 20% é o teto operacional. Nenhum vereador pode contribuir, na estimativa, com mais votos do que recebeu.",Score 0-100: até 40 pontos por porte eleitoral; até 25 por percentual de votos no município; até 20 por prioridade territorial; até 15 por grupo político classificado.,SILVANIA BATINGA DE OLIVEIRA BARBOSA. em MACEIÓ. recebeu 3.703 votos em 2024. Pela metodologia corrigida. a contribuição potencial para Davi é calculada como conversão de parte desses próprios eleitores: 370 votos no cenário conservador de 10%. 555 no cenário intermediário de 15% e 741 no teto operacional de 20%. No cenário máximo. isso representa 1.24% da meta de 60.000 votos.,370,555,741,12,5675,8514,11355,9.46,14.19,18.92
MACEIÓ,27855,15151,ALLAN PIERRE VASCONCELOS,ALLAN PIERRE,MDB,Movimento Democrático Brasileiro,ELEITO POR QP,3680,11,632812,994464,27.397829079873947,Alta Prioridade,JOAO HENRIQUE HOLANDA CALDAS,PL,não_classificado,não_classificado,82.4,0.58,736,552,736,Muito Alto,20.9,não_classificado,241387,1.5245,SEM GRUPO,60000,0.1,0.15,0.2,368,552,736,0.6133,0.92,1.2267,ALTO,60,"Contribuição corrigida: votos nominais do vereador em 2024 multiplicados por 10%, 15% e 20%. O cenário de 20% é o teto operacional. Nenhum vereador pode contribuir, na estimativa, com mais votos do que recebeu.",Score 0-100: até 40 pontos por porte eleitoral; até 25 por percentual de votos no município; até 20 por prioridade territorial; até 15 por grupo político classificado.,ALLAN PIERRE VASCONCELOS. em MACEIÓ. recebeu 3.680 votos em 2024. Pela metodologia corrigida. a contribuição potencial para Davi é calculada como conversão de parte desses próprios eleitores: 368 votos no cenário conservador de 10%. 552 no cenário intermediário de 15% e 736 no teto operacional de 20%. No cenário máximo. isso representa 1.23% da meta de 60.000 votos.,368,552,736,13,6043,9066,12091,10.07,15.11,20.15
MACEIÓ,27855,15123,JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR,ZÉ MÁRCIO FILHO,MDB,Movimento Democrático Brasileiro,ELEITO POR QP,3572,12,632812,994464,27.397829079873947,Alta Prioridade,JOAO HENRIQUE HOLANDA CALDAS,PL,não_classificado,não_classificado,82.4,0.56,714,536,714,Muito Alto,20.89,não_classificado,241387,1.4798,SEM GRUPO,60000,0.1,0.15,0.2,357,536,714,0.595,0.8933,1.19,ALTO,60,"Contribuição corrigida: votos nominais do vereador em 2024 multiplicados por 10%, 15% e 20%. O cenário de 20% é o teto operacional. Nenhum vereador pode contribuir, na estimativa, com mais votos do que recebeu.",Score 0-100: até 40 pontos por porte eleitoral; até 25 por percentual de votos no município; até 20 por prioridade territorial; até 15 por grupo político classificado.,JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR. em MACEIÓ. recebeu 3.572 votos em 2024. Pela metodologia corrigida. a contribuição potencial para Davi é calculada como conversão de parte desses próprios eleitores: 357 votos no cenário conservador de 10%. 536 no cenário intermediário de 15% e 714 no teto operacional de 20%. No cenário máximo. isso representa 1.19% da meta de 60.000 votos.,357,536,714,14,6400,9602,12805,10.67,16.0,21.34
MACEIÓ,27855,22222,GALBA NOVAIS DE CASTRO NETTO,GALBA NETTO,PL,Partido Liberal,ELEITO POR QP,3353,13,632812,994464,27.397829079873947,Alta Prioridade,JOAO HENRIQUE HOLANDA CALDAS,PL,não_classificado,não_classificado,82.4,0.53,671,503,671,Muito Alto,20.87,não_classificado,241387,1.3891,SEM GRUPO,60000,0.1,0.15,0.2,335,503,671,0.5583,0.8383,1.1183,ALTO,60,"Contribuição corrigida: votos nominais do vereador em 2024 multiplicados por 10%, 15% e 20%. O cenário de 20% é o teto operacional. Nenhum vereador pode contribuir, na estimativa, com mais votos do que recebeu.",Score 0-100: até 40 pontos por porte eleitoral; até 25 por percentual de votos no município; até 20 por prioridade territorial; até 15 por grupo político classificado.,GALBA NOVAIS DE CASTRO NETTO. em MACEIÓ. recebeu 3.353 votos em 2024. Pela metodologia corrigida. a contribuição potencial para Davi é calculada como conversão de parte desses próprios eleitores: 335 votos no cenário conservador de 10%. 503 no cenário intermediário de 15% e 671 no teto operacional de 20%. No cenário máximo. isso representa 1.12% da meta de 60.000 votos.,335,503,671,15,6735,10105,13476,11.22,16.84,22.46
MACEIÓ,27855,13444,TEREZA NELMA PORTO VIANA SOARES,TECA NELMA,PT,Partido dos Trabalhadores,ELEITO POR QP,3284,14,632812,994464,27.397829079873947,Alta Prioridade,JOAO HENRIQUE HOLANDA CALDAS,PL,não_classificado,não_classificado,82.4,0.52,657,493,657,Muito Alto,20.87,não_classificado,241387,1.3605,SEM GRUPO,60000,0.1,0.15,0.2,328,493,657,0.5467,0.8217,1.095,ALTO,60,"Contribuição corrigida: votos nominais do vereador em 2024 multiplicados por 10%, 15% e 20%. O cenário de 20% é o teto operacional. Nenhum vereador pode contribuir, na estimativa, com mais votos do que recebeu.",Score 0-100: até 40 pontos por porte eleitoral; até 25 por percentual de votos no município; até 20 por prioridade territorial; até 15 por grupo político classificado.,TEREZA NELMA PORTO VIANA SOARES. em MACEIÓ. recebeu 3.284 votos em 2024. Pela metodologia corrigida. a contribuição potencial para Davi é calculada como conversão de parte desses próprios eleitores: 328 votos no cenário conservador de 10%. 493 no cenário intermediário de 15% e 657 no teto operacional de 20%. No cenário máximo. isso representa 1.09% da meta de 60.000 votos.,328,493,657,16,7063,10598,14133,11.77,17.66,23.56
ARAPIRACA,27057,15678,LEANDRO BARBOSA DE ALMEIDA,LEO SATURNINO,MDB,Movimento Democrático Brasileiro,ELEITO POR QP,3256,3,155982,243661,6.73965243482755,Alta Prioridade,JOSE LUCIANO BARBOSA DA SILVA,MDB,não_classificado,não_classificado,81.74,2.09,651,488,651,Muito Alto,15.43,não_classificado,76514,4.2554,SEM GRUPO,60000,0.1,0.15,0.2,326,488,651,0.5433,0.8133,1.085,ALTO,70,"Contribuição corrigida: votos nominais do vereador em 2024 multiplicados por 10%, 15% e 20%. O cenário de 20% é o teto operacional. Nenhum vereador pode contribuir, na estimativa, com mais votos do que recebeu.",Score 0-100: até 40 pontos por porte eleitoral; até 25 por percentual de votos no município; até 20 por prioridade territorial; até 15 por grupo político classificado.,LEANDRO BARBOSA DE ALMEIDA. em ARAPIRACA. recebeu 3.256 votos em 2024. Pela metodologia corrigida. a contribuição potencial para Davi é calculada como conversão de parte desses próprios eleitores: 326 votos no cenário conservador de 10%. 488 no cenário intermediário de 15% e 651 no teto operacional de 20%. No cenário máximo. isso representa 1.08% da meta de 60.000 votos.,326,488,651,17,7389,11086,14784,12.32,18.48,24.64
MACEIÓ,27855,22000,MARCELO PALMEIRA CAVALCANTE,MARCELO PALMEIRA,PL,Partido Liberal,ELEITO POR QP,3185,15,632812,994464,27.397829079873947,Alta Prioridade,JOAO HENRIQUE HOLANDA CALDAS,PL,não_classificado,não_classificado,82.4,0.5,637,478,637,Muito Alto,20.85,não_classificado,241387,1.3195,SEM GRUPO,60000,0.1,0.15,0.2,318,478,637,0.53,0.7967,1.0617,ALTO,60,"Contribuição corrigida: votos nominais do vereador em 2024 multiplicados por 10%, 15% e 20%. O cenário de 20% é o teto operacional. Nenhum vereador pode contribuir, na estimativa, com mais votos do que recebeu.",Score 0-100: até 40 pontos por porte eleitoral; até 25 por percentual de votos no município; até 20 por prioridade territorial; até 15 por grupo político classificado.,MARCELO PALMEIRA CAVALCANTE. em MACEIÓ. recebeu 3.185 votos em 2024. Pela metodologia corrigida. a contribuição potencial para Davi é calculada como conversão de parte desses próprios eleitores: 318 votos no cenário conservador de 10%. 478 no cenário intermediário de 15% e 637 no teto operacional de 20%. No cenário máximo. isso representa 1.06% da meta de 60.000 votos.,318,478,637,18,7707,11564,15421,12.84,19.27,25.7
MACEIÓ,27855,22777,CLAUDIO MOREIRA DA SILVA,CAL MOREIRA,PL,Partido Liberal,ELEITO POR QP,3014,16,632812,994464,27.397829079873947,Alta Prioridade,JOAO HENRIQUE HOLANDA CALDAS,PL,não_classificado,não_classificado,82.4,0.48,603,452,603,Muito Alto,20.84,não_classificado,241387,1.2486,SEM GRUPO,60000,0.1,0.15,0.2,301,452,603,0.5017,0.7533,1.005,ALTO,60,"Contribuição corrigida: votos nominais do vereador em 2024 multiplicados por 10%, 15% e 20%. O cenário de 20% é o teto operacional. Nenhum vereador pode contribuir, na estimativa, com mais votos do que recebeu.",Score 0-100: até 40 pontos por porte eleitoral; até 25 por percentual de votos no município; até 20 por prioridade territorial; até 15 por grupo político classificado.,CLAUDIO MOREIRA DA SILVA. em MACEIÓ. recebeu 3.014 votos em 2024. Pela metodologia corrigida. a contribuição potencial para Davi é calculada como conversão de parte desses próprios eleitores: 301 votos no cenário conservador de 10%. 452 no cenário intermediário de 15% e 603 no teto operacional de 20%. No cenário máximo. isso representa 1.00% da meta de 60.000 votos.,301,452,603,19,8008,12016,16024,13.35,20.03,26.71
MACEIÓ,27855,22222,GALBA NOVAIS DE CASTRO NETTO,GALBA NETTO,PL,Partido Liberal,ELEITO POR QP,2947,17,632812,994464,27.397829079873947,Alta Prioridade,JOAO HENRIQUE HOLANDA CALDAS,PL,não_classificado,não_classificado,82.4,0.47,589,442,589,Muito Alto,20.84,não_classificado,241387,1.2209,SEM GRUPO,60000,0.1,0.15,0.2,295,442,589,0.4917,0.7367,0.9817,MEDIO,52,"Contribuição corrigida: votos nominais do vereador em 2024 multiplicados por 10%, 15% e 20%. O cenário de 20% é o teto operacional. Nenhum vereador pode contribuir, na estimativa, com mais votos do que recebeu.",Score 0-100: até 40 pontos por porte eleitoral; até 25 por percentual de votos no município; até 20 por prioridade territorial; até 15 por grupo político classificado.,GALBA NOVAIS DE CASTRO NETTO. em MACEIÓ. recebeu 2.947 votos em 2024. Pela metodologia corrigida. a contribuição potencial para Davi é calculada como conversão de parte desses próprios eleitores: 295 votos no cenário conservador de 10%. 442 no cenário intermediário de 15% e 589 no teto operacional de 20%. No cenário máximo. isso representa 0.98% da meta de 60.000 votos.,295,442,589,20,8303,12458,16613,13.84,20.76,27.69
