rank_estrategico_inicial,uf,ano,codigo_ibge,municipio,municipio_normalizado,populacao_estimada_2024,eleitorado_2024,taxa_eleitorado,participacao_populacao,participacao_eleitorado,indice_estrategico_inicial
42,AL,2024,2709103,Taquarana,TAQUARANA,19422.0,15757,0.8112964679229739,0.006031482212996847,0.006450136600278195,0.00632454028409379
43,AL,2024,2704401,Major Isidoro,MAJOR ISIDORO,17834.0,15802,0.8860603341931143,0.005538330439016877,0.006468557374982296,0.00618948929419267
44,AL,2024,2702108,Colônia Leopoldina,COLONIA LEOPOLDINA,15949.0,15772,0.9889021255251113,0.004952945619147705,0.006456276858512895,0.006005277486703337
45,AL,2024,2703809,Joaquim Gomes,JOAQUIM GOMES,17386.0,15290,0.8794432301852065,0.00539920449774293,0.006258969893904525,0.006001040275056046
46,AL,2024,2700508,Barra de Santo Antônio,BARRA DE SANTO ANTONIO,16735.0,15387,0.919450253958769,0.0051970371143292265,0.006298676897155586,0.005968184962307678
47,AL,2024,2701308,Cajueiro,CAJUEIRO,16605.0,15200,0.9153869316470943,0.0051566657474416975,0.0062221283444963225,0.005902489565379935
48,AL,2024,2701605,Canapi,CANAPI,15743.0,15330,0.9737661182747888,0.004888972530079774,0.006275343915863725,0.00585943250012854
49,AL,2024,2706802,Piaçabuçu,PIACABUCU,16201.0,14386,0.8879698784025677,0.0050312039611143,0.005888916997626586,0.0056316030866728995
50,AL,2024,2703304,Inhapi,INHAPI,15417.0,14546,0.9435039242394759,0.004787733563884893,0.0059544130854633885,0.0056044092289898395
51,AL,2024,2705200,Messias,MESSIAS,15707.0,14439,0.9192716623161648,0.004877792766941689,0.0059106125767225265,0.0056007666337882745
52,AL,2024,2700706,Batalha,BATALHA,17103.0,13756,0.804303338595568,0.00531131913751854,0.005631026151769172,0.0055351140474939825
53,AL,2024,2701704,Capela,CAPELA,15068.0,13391,0.8887045394212901,0.004679351971240681,0.005481613201391464,0.0052409348323462284
54,AL,2024,2702553,Estrela de Alagoas,ESTRELA DE ALAGOAS,15701.0,13068,0.832303674925164,0.004875929473085341,0.005349392974070917,0.005207353923775244
55,AL,2024,2700201,Anadia,ANADIA,14193.0,13178,0.9284858733178327,0.0044076216171900036,0.00539442153445872,0.005098381559278105
56,AL,2024,2706448,Paripueira,PARIPUEIRA,14176.0,12809,0.9035694130925508,0.00440234228459702,0.005243371181885092,0.00499106251269867
57,AL,2024,2706505,Passo de Camaragibe,PASSO DE CAMARAGIBE,14076.0,12595,0.8947854504120489,0.004371287386991228,0.005155770164403367,0.004920425331179725
58,AL,2024,2703007,Ibateguara,IBATEGUARA,13992.0,11919,0.8518439108061749,0.004345201273002363,0.004879049193292873,0.004718894817205719
59,AL,2024,2704807,Maribondo,MARIBONDO,13968.0,11101,0.7947451317296678,0.004337748097576972,0.004544200444227216,0.004482264740232143
60,AL,2024,2707206,Poço das Trincheiras,POCO DAS TRINCHEIRAS,12974.0,11129,0.8577925080931093,0.004029062415375404,0.004555662259598656,0.0043976823063316805
61,AL,2024,2707602,Quebrangulo,QUEBRANGULO,11305.0,10470,0.9261388766032729,0.003510756174334742,0.0042859002478208225,0.004053357025774998
62,AL,2024,2708956,Senador Rui Palmeira,SENADOR RUI PALMEIRA,12549.0,9890,0.7881106064228225,0.00389707910055079,0.00404847692941241,0.004003057580753924
63,AL,2024,2706109,Ouro Branco,OURO BRANCO,11699.0,10077,0.8613556714249081,0.0036331124709015608,0.004125025482071674,0.00397745157872064
64,AL,2024,2706000,Olivença,OLIVENCA,11048.0,10260,0.9286748732802317,0.0034309450874878576,0.004199936632535018,0.00396923916902087
65,AL,2024,2705606,Novo Lino,NOVO LINO,10298.0,10193,0.9898038454068752,0.0031980333554444203,0.004172510145753356,0.0038801671086606754
66,AL,2024,2708105,Santana do Mundaú,SANTANA DO MUNDAU,11568.0,9627,0.8322095435684648,0.003592430555037974,0.003940817735030664,0.003836301581032857
67,AL,2024,2702009,Coité do Nóia,COITE DO NOIA,11036.0,9675,0.8766763320043494,0.0034272184997751623,0.003960466561381705,0.0038004921428997423
68,AL,2024,2706422,Pariconha,PARICONHA,10803.0,9746,0.9021568082939924,0.003354860588353668,0.003989530450359287,0.003799129491757601
69,AL,2024,2702504,Dois Riachos,DOIS RIACHOS,9906.0,9898,0.9991924086412275,0.0030762981568297175,0.00405175173380425,0.00375911566071189
70,AL,2024,2701100,Branquinha,BRANQUINHA,9786.0,9547,0.9755773554056816,0.0030390322797027676,0.003908069691112263,0.003647358467689414
71,AL,2024,2701209,Cacimbinhas,CACIMBINHAS,10701.0,8896,0.8313241753107187,0.0033231845927957607,0.003641582483726269,0.003546063116447116
72,AL,2024,2701506,Campo Grande,CAMPO GRANDE,8293.0,9546,1.151091281803931,0.0025753826584482987,0.003907660340563283,0.003507977035928787
73,AL,2024,2703601,Japaratinga,JAPARATINGA,9443.0,9070,0.9604998411521762,0.002932513980914902,0.0037128094792487926,0.003478720829748625
74,AL,2024,2702801,Flexeiras,FLEXEIRAS,9767.0,8929,0.9142008805160233,0.003033131849157667,0.0036550910518426097,0.0034685032910371266
75,AL,2024,2704609,Maravilha,MARAVILHA,9715.0,8914,0.9175501801338137,0.0030169833024026554,0.003648950793607909,0.0034593605462463328
76,AL,2024,2703759,Jequiá da Praia,JEQUIA DA PRAIA,9625.0,8624,0.896,0.0029890338945574428,0.003530239134403703,0.0033678775624498246
77,AL,2024,2707404,Porto de Pedras,PORTO DE PEDRAS,9508.0,8406,0.8840976020193522,0.0029526996643586666,0.0034410007147260583,0.003294510399615841
78,AL,2024,2708709,São Miguel dos Milagres,SAO MIGUEL DOS MILAGRES,8687.0,8283,0.9534937262576263,0.0026977389550151176,0.003390650597201516,0.0031827771045455965
79,AL,2024,2700607,Barra de São Miguel,BARRA DE SAO MIGUEL,8118.0,8167,1.0060359694506036,0.0025210365876381633,0.0033431659335198334,0.0030965271297553323
80,AL,2024,2705804,Olho d'Água do Casado,OLHO D'AGUA DO CASADO,8522.0,7951,0.9329969490729876,0.0026464983739655614,0.0032547462149401488,0.0030722718626477723
81,AL,2024,2701803,Carneiros,CARNEIROS,9200.0,7662,0.8328260869565217,0.0028570505797328285,0.0031364439062849226,0.003052625908319294
82,AL,2024,2708204,São Brás,SAO BRAS,6557.0,7404,1.1291749275583347,0.002036269636011756,0.0030308314646480773,0.002732462916057181
83,AL,2024,2701902,Chã Preta,CHA PRETA,6010.0,7014,1.1670549084858568,0.001866399346108076,0.002871184750545869,0.002569749129214531
84,AL,2024,2706604,Paulo Jacinto,PAULO JACINTO,6697.0,6749,1.007764670748096,0.0020797464926598642,0.0027627068550661635,0.0025578187463442736
85,AL,2024,2705408,Monteirópolis,MONTEIROPOLIS,7341.0,6489,0.8839395177768696,0.0022797400332411626,0.002656275712331358,0.002543315008604299
86,AL,2024,2707909,Santa Luzia do Norte,SANTA LUZIA DO NORTE,7065.0,6506,0.9208775654635527,0.0021940285158491774,0.0026632346716640182,0.002522472824919566
87,AL,2024,2701357,Campestre,CAMPESTRE,6807.0,6291,0.9241956809167033,0.002113906880026235,0.0025752243036333135,0.0024368290765511896
88,AL,2024,2700904,Belo Monte,BELO MONTE,5898.0,6271,1.0632417768735165,0.0018316178607895894,0.002567037292653713,0.0023464114630944756
89,AL,2024,2707800,Roteiro,ROTEIRO,6607.0,6014,0.9102467080369305,0.002051797084814652,0.0024618342015658478,0.0023388230665404887
90,AL,2024,2703502,Jacuípe,JACUIPE,5432.0,6216,1.1443298969072164,0.0016869020379466004,0.002544523012459812,0.0022872367201058484
91,AL,2024,2709004,Tanque d'Arca,TANQUE D'ARCA,5909.0,5959,1.008461668641056,0.0018350338995262265,0.0024393199213719467,0.0022580341148182304
