municipio;vereador;partido;ranking_reduto_geral;local_principal;endereco_local_principal;latitude;longitude;bairro;distrito;status_geocodificacao;votos_local_principal;votos_totais_vereador;percentual_local_principal;qtd_secoes_controladas;total_secoes_vereador;indice_reduto;classificacao_reduto
ARAPIRACA;ELISÂNGELA ONILDA GONZAGA MOURA;PMB;136;COLÉGIO QUINTELA CAVALCANTE;AV. VENTURA DE FARIAS S/N;-9.7466266;-36.6673366;Eldorado;;ENCONTRADO;2;6;33.33;2;6;21.0;REDUTO BAIXO
MARECHAL DEODORO;ADRIANA MARIA DOS SANTOS FIRMINO;PSDB;137;ESCOLA ESTADUAL DEODORO DA FONSECA;PRACA PEDRO PAULINO SN;;;;;NAO_ENCONTRADO;2;6;33.33;2;6;21.0;REDUTO BAIXO
MARECHAL DEODORO;PETRÚCIO DOS SANTOS SILVA;SOLIDARIEDADE;138;ESCOLA MUNICIPAL ALTINA RIBEIRO TOLEDO;VILA ALTINA SN;;;;;NAO_ENCONTRADO;44;161;27.33;8;66;20.99;REDUTO BAIXO
DELMIRO GOUVEIA;EDNA GOMES BERNARDO;MDB;139;WATSON DE GUSMAO, ESCOLA DE 1 E 2 GRAUS;RUA HENRIQUE DIAS, S/N;-9.3850082;-38.0068886;Eldorado;;ENCONTRADO;335;2410;13.9;15;148;20.91;REDUTO BAIXO
PENEDO;JAILSON BARBOSA SANTOS;PP;140;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;;;NAO_ENCONTRADO;29;149;19.46;18;82;20.91;REDUTO BAIXO
PALMEIRA DOS INDIOS;JOSÉ FÁBIO SILVA TARGINO;SOLIDARIEDADE;141;COLÉGIO ESTADUAL HUMBERTO MENDES;AV GOV MUNIZ FALCÃO 701;;;;;NAO_ENCONTRADO;109;780;13.97;22;162;20.82;REDUTO BAIXO
UNIAO DOS PALMARES;GUSTAVO THADEU PAULINO PEDROZA;PDT;142;COLEGIO DR. MARIO GOMES DE BARROS;RUA JARDIM BRASILIA 378;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;225;1503;14.97;17;141;20.8;REDUTO BAIXO
ARAPIRACA;ANDICLEIDE MELO DOS SANTOS;CIDADANIA;143;ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA;RUA MANOEL LÚCIO S/N;-9.7464382;-36.6524184;Alto do Cruzeiro;;ENCONTRADO;5;16;31.25;4;14;20.78;REDUTO BAIXO
RIO LARGO;MANOEL FÉLIX FERREIRA;MDB;144;ESCOLA MUNICIPAL DE EDUCACAO BASICA D PEDRO I;RUA CURITIBA S/N;-9.5105587;-35.8093743;Rio Largo;;ENCONTRADO;22;88;25.0;11;52;20.71;REDUTO BAIXO
PALMEIRA DOS INDIOS;JAIRO CERQUEIRA DA SILVA;PMB;145;COLÉGIO CRISTO REDENTOR;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;São Cristovão;;ENCONTRADO;28;121;23.14;13;80;20.66;REDUTO BAIXO
RIO LARGO;JOSÉ LAMARTINE LIMA DOS SANTOS;MDB;146;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;80;397;20.15;15;150;20.66;REDUTO BAIXO
PALMEIRA DOS INDIOS;JOSÉ CARLOS ROSENDO DE SOUZA;PMB;147;COLÉGIO ESTADUAL HUMBERTO MENDES;AV GOV MUNIZ FALCÃO 701;;;;;NAO_ENCONTRADO;26;137;18.98;18;92;20.58;REDUTO BAIXO
UNIAO DOS PALMARES;MANOEL MESSIAS DA SILVA;MDB;148;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;AV. JOÃO LYRA FILHO, S/N;;;;;NAO_ENCONTRADO;194;1202;16.14;16;141;20.53;REDUTO BAIXO
ARAPIRACA;ISAIAS FELIX DE MENEZES;PT;149;ESCOLA DE 1 GRAU MANOEL ANDRÉ;AV.  JOSE LÚCIO DA SILVA S/N;;;;;NAO_ENCONTRADO;65;267;24.34;10;130;20.5;REDUTO BAIXO
CORURIPE;GUTTENBERG BRÊDA SOBRINHO;MDB;150;ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA;RUA PERNAMBUCO NOVO, S/N;;;;;NAO_ENCONTRADO;242;1347;17.97;12;116;20.43;REDUTO BAIXO
ARAPIRACA;SERGIO FABIO NUNES;PP;151;GRUPO ESCOLAR CÔNEGO EPITÁCIO RODRIGUES;VILA SAO FRANCISCO;;;;;NAO_ENCONTRADO;657;5139;12.78;5;368;20.4;REDUTO BAIXO
RIO LARGO;MARCOS ROBERTO DUARTE DA SILVA;PSB;152;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;53;273;19.41;16;112;20.28;REDUTO BAIXO
CORURIPE;ELDA ROCHA DOS SANTOS;CIDADANIA;153;CENTRO EDUCACIONAL PROFISSIONAL MARIA ALICE BELTRÃO DE CASTRO SIQUEIRA;RUA PERNAMBUCO NOVO;;;;;NAO_ENCONTRADO;19;67;28.36;6;38;20.24;REDUTO BAIXO
PALMEIRA DOS INDIOS;PAULA FERNANDA FERREIRA COSTA RAMOS;PDT;154;COLÉGIO ESTADUAL HUMBERTO MENDES;AV GOV MUNIZ FALCÃO 701;;;;;NAO_ENCONTRADO;53;330;16.06;20;137;20.22;REDUTO BAIXO
PENEDO;JORGE ALVES DA SILVA;MDB;155;ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO;RUA FLORIANO ROSA, S/N, PX. AO POSTO DE SAÚDE, CONJUNTO VILA MATIAS;;;;;NAO_ENCONTRADO;147;735;20.0;12;132;20.16;REDUTO BAIXO
CORURIPE;JOSÉ MAURÍCIO DOS SANTOS;MDB;156;ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM;RUA JOSÉ RAIMUNDO DOS SANTOS, 40;-10.118516;-36.1800084;Coruripe;;ENCONTRADO;159;843;18.86;13;115;20.15;REDUTO BAIXO
DELMIRO GOUVEIA;NAYANE GOMES FEITOSA;PDT;157;VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA;AV MASCARENHAS DE MORAIS S/N;;;;;NAO_ENCONTRADO;11;40;27.5;7;33;20.09;REDUTO BAIXO
PALMEIRA DOS INDIOS;CICERO CARLOS MOTA DELGADO;PSDB;158;FACULDADE CESMAC DO SERTÃO;RUA BRAÚLIO MONTENEGRO, S/N, VILA MARIA;;;;;NAO_ENCONTRADO;6;20;30.0;4;18;20.05;REDUTO BAIXO
PENEDO;CLEIDELANE LAGOA DA SILVA;PP;159;SESI - SENAI / UNIDADE PENEDO;AV. WANDERLEY, 922;-10.2822946;-36.5653561;Dom Constatino;;ENCONTRADO;7;24;29.17;5;18;20.05;REDUTO BAIXO
UNIAO DOS PALMARES;LUCIVANDO LOPES DOS SANTOS;UNIÃO;160;EDUCANDARIO OLIMPYA AUGUSTA DOS SANTOS;RUA CORONEL JOSE BEZERRA MONTENEGRO, 105;-9.1609031;-36.0318218;União dos Palmares;;ENCONTRADO;6;20;30.0;4;17;20.05;REDUTO BAIXO
UNIAO DOS PALMARES;AFRANIO DE MENDONÇA ALVES JUNIOR;PMB;161;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;AV. JOÃO LYRA FILHO, S/N;;;;;NAO_ENCONTRADO;17;71;23.94;11;57;20.0;REDUTO BAIXO
PALMEIRA DOS INDIOS;FABIANO GOMES DE SOUZA;REPUBLICANOS;162;COLÉGIO CRISTO REDENTOR;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;São Cristovão;;ENCONTRADO;150;1221;12.29;21;164;19.97;REDUTO BAIXO
PENEDO;WESLEY MARQUES DE OLIVEIRA;SOLIDARIEDADE;163;COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO;RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF;;;;;NAO_ENCONTRADO;92;715;12.87;22;130;19.9;REDUTO BAIXO
UNIAO DOS PALMARES;ALMIR BELARMINO DA SILVA;PDT;164;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;222;1562;14.21;16;141;19.81;REDUTO BAIXO
PALMEIRA DOS INDIOS;RONALDO CORREIA DOS SANTOS JÚNIOR;PRD;165;COLÉGIO CRISTO REDENTOR;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;São Cristovão;;ENCONTRADO;159;1358;11.71;21;166;19.76;REDUTO BAIXO
MARECHAL DEODORO;JANDERSON DA CONCEIÇÃO SANTOS;SOLIDARIEDADE;166;ESCOLA MUNICIPAL GOVERNADOR LUIZ CAVALCANTE;RODOVIA EDVAL LEMOS;-9.7585568;-35.8685101;Vila Cabreiras;;ENCONTRADO;109;497;21.93;10;104;19.74;REDUTO BAIXO
