municipio;vereador;partido;ranking_reduto_geral;local_principal;endereco_local_principal;latitude;longitude;bairro;distrito;status_geocodificacao;votos_local_principal;votos_totais_vereador;percentual_local_principal;qtd_secoes_controladas;total_secoes_vereador;indice_reduto;classificacao_reduto
MACEIO;CLAUDIO MOREIRA DA SILVA;PL;205;ESCOLA ESTADUAL PROFESSOR PEDRO TEIXEIRA;RUA PAU DARCO, S/N;;;;;NAO_ENCONTRADO;601;7964;7.55;9;543;18.34;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;ADRIANA DE CARVALHO SILVA DE OMENA;PDT;206;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;AV. SAMPAIO MARQUES, S/N;;;;;NAO_ENCONTRADO;192;1453;13.21;15;137;18.25;REDUTO BAIXO
CORURIPE;FRAUDENICIO JOAQUIM DOS SANTOS;SOLIDARIEDADE;207;ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA;RUA PERNAMBUCO NOVO, S/N;;;;;NAO_ENCONTRADO;96;533;18.01;12;111;18.16;REDUTO BAIXO
ARAPIRACA;JANICLECIA BARBOSA DE HOLANDA;CIDADANIA;208;ESCOLA DE ENSINO FUNDAMENTAL ZÉLIA BARBOSA ROCHA;RUA DJALMA M. SANTANA;;;;;NAO_ENCONTRADO;2;7;28.57;2;7;18.15;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;BENEDITO DE OLIVEIRA LIMA;PRD;209;ESCOLA MUNICIPAL RUI PALMEIRA;RUA CORONEL JOSE ANTONIO DA CRUZ, 54;-9.7817352;-36.103011;Paraíso;;ENCONTRADO;2;7;28.57;2;7;18.15;REDUTO BAIXO
UNIAO DOS PALMARES;JOSEFA MARIA DA SILVA;UNIÃO;210;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;AV. JOÃO LYRA FILHO, S/N;;;;;NAO_ENCONTRADO;2;7;28.57;2;7;18.15;REDUTO BAIXO
UNIAO DOS PALMARES;MARIA DA CONCEIÇÃO DO CARMO;PT;211;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;2;7;28.57;2;7;18.15;REDUTO BAIXO
PENEDO;IVO CARLOS MOURA COSTA;PV;212;COLÉGIO DIOCESANO DE PENEDO;PÇA. LARGO DE FÁTIMA, PX. À 9A. COORDENADORIA DE ENSINO DE ALAGOAS;;;;;NAO_ENCONTRADO;206;1375;14.98;12;137;18.07;REDUTO BAIXO
CORURIPE;MACIEL ADAIAS LINS DOS SANTOS;CIDADANIA;213;ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA;RUA PERNAMBUCO NOVO, S/N;;;;;NAO_ENCONTRADO;17;79;21.52;10;56;18.06;REDUTO BAIXO
CORURIPE;FRANCINEY JOAQUIM DOS SANTOS;PSB;214;ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM;RUA JOSÉ RAIMUNDO DOS SANTOS, 40;-10.118516;-36.1800084;Coruripe;;ENCONTRADO;128;792;16.16;13;120;18.04;REDUTO BAIXO
RIO LARGO;CRISTIANE GERBASE TENORIO DA COSTA;MDB;215;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;10;42;23.81;7;36;17.86;REDUTO BAIXO
RIO LARGO;SYLVAN MOISÉS LOPES DOS SANTOS SILVA;PL;216;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;29;151;19.21;12;88;17.83;REDUTO BAIXO
CORURIPE;RENATO SEBASTIÃO DOS SANTOS;CIDADANIA;217;ESCOLA MUNICIPAL MANOEL CECÍLIO DE JESUS;RUA DO JASMIM,;;;;;NAO_ENCONTRADO;5;19;26.32;4;16;17.82;REDUTO BAIXO
PENEDO;DAVI SILVA DE OLIVEIRA;UNIÃO;218;ESCOLA MUNICIPAL VEREADOR MANOEL SOARES DE MELO;RUA FLORIANO ROSA, S/N, PX. AO POSTO DE SAÚDE, CONJUNTO VILA MATIAS;;;;;NAO_ENCONTRADO;94;538;17.47;12;127;17.81;REDUTO BAIXO
UNIAO DOS PALMARES;JAMES WELLINGTON NUNES ALVES;PMB;219;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;AV. JOÃO LYRA FILHO, S/N;;;;;NAO_ENCONTRADO;13;59;22.03;9;50;17.81;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;JOSE VENANCIO DOS SANTOS;MDB;220;ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA;RODOVIA BR 101, KM 69;-9.741431;-36.0611185;São Miguel dos Campos;;ENCONTRADO;135;916;14.74;14;136;17.79;REDUTO BAIXO
CORURIPE;AILTON LUIZ ARAUJO LESSA;PSB;221;ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM;RUA JOSÉ RAIMUNDO DOS SANTOS, 40;-10.118516;-36.1800084;Coruripe;;ENCONTRADO;153;1015;15.07;13;113;17.78;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;GISELDA RODRIGUES CAVALCANTE;MDB;222;ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA;RODOVIA BR 101, KM 69;-9.741431;-36.0611185;São Miguel dos Campos;;ENCONTRADO;129;880;14.66;14;136;17.65;REDUTO BAIXO
MACEIO;JOSE SIDERLANE ARAUJO DE MENDONCA;PL;223;E.E. DRA. MARIA JOSE DE MELO (CAIC-B. BENTES);RUA BELO HORIZONTE, S/N;-9.5521408;-35.7303393;Benedito Bentes;;ENCONTRADO;451;7367;6.12;14;539;17.57;REDUTO BAIXO
MARECHAL DEODORO;GERSON MARCOS LEITE DOS SANTOS;SOLIDARIEDADE;224;ESCOLA MUNICIPAL CARLOS AVELINO DA SILVA;RES MARIA GISLENE MATHEUS, S/N;;;;;NAO_ENCONTRADO;57;249;22.89;6;77;17.55;REDUTO BAIXO
PALMEIRA DOS INDIOS;ANTONIO NICÁCIO DE MIRANDA JÚNIOR;PDT;225;FACULDADE CESMAC DO SERTÃO;RUA BRAÚLIO MONTENEGRO, S/N, VILA MARIA;;;;;NAO_ENCONTRADO;4;15;26.67;3;13;17.53;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;JOSÉ FEITOSA DA SILVA;PDT;226;ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA;RODOVIA BR 101, KM 69;-9.741431;-36.0611185;São Miguel dos Campos;;ENCONTRADO;142;1010;14.06;14;137;17.49;REDUTO BAIXO
PALMEIRA DOS INDIOS;IVANILDO BERNARDO RIO;PMB;227;FACULDADE CESMAC DO SERTÃO;RUA BRAÚLIO MONTENEGRO, S/N, VILA MARIA;;;;;NAO_ENCONTRADO;71;371;19.14;10;129;17.47;REDUTO BAIXO
MARECHAL DEODORO;EZECHIAS JOSÉ DO NASCIMENTO;PSB;228;ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA;AV SÃO JOSÉ SN;-9.7102397;-35.8959836;Centro;;ENCONTRADO;177;1144;15.47;11;133;17.42;REDUTO BAIXO
CORURIPE;LUCILENE DOS SANTOS VIEIRA;CIDADANIA;229;ESCOLA ESTADUAL DEPUTADO JOÃO BELTRÃO;AV. ANFRÍSIO DE CASTRO LESSA SANTOS, 506;;;;;NAO_ENCONTRADO;3;11;27.27;2;10;17.38;REDUTO BAIXO
RIO LARGO;JOSE TELES DA SILVA JUNIOR;PSB;230;ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO;EUCLIDES AFONSO DE MELO S/N;;;;;NAO_ENCONTRADO;16;70;22.86;7;46;17.38;REDUTO BAIXO
ARAPIRACA;ADILSON JACUMBINHO DOS SANTOS;PSOL;231;GRUPO ESCOLAR DJALMA MATHEUS SANTANA;RUA ROSENDO LIMA S/N;-9.7669946;-36.6608561;Primavera;;ENCONTRADO;31;155;20.0;10;95;17.36;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;JOSEPH ROBERT SANTOS MARTINIANO;MDB;232;ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA;RODOVIA BR 101, KM 69;-9.741431;-36.0611185;São Miguel dos Campos;;ENCONTRADO;139;1004;13.84;14;136;17.31;REDUTO BAIXO
MACEIO;MILTON LUNA BARROS NETO;PSB;233;ESCOLA MUN. SILVESTRE PÉRICLES;PRAÇA DR CAIO DE AGUIAR PORTO S/N - PONTAL DA BARRA;;;;;NAO_ENCONTRADO;641;10129;6.33;7;549;17.26;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;ALEXANDRE PEREIRA DOS SANTOS;PDT;234;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;AV. SAMPAIO MARQUES, S/N;;;;;NAO_ENCONTRADO;137;1058;12.95;15;136;17.23;REDUTO BAIXO
UNIAO DOS PALMARES;WELLINGTON FERREIRA DOS SANTOS;PDT;235;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;AV. JOÃO LYRA FILHO, S/N;;;;;NAO_ENCONTRADO;129;1050;12.29;16;141;17.2;REDUTO BAIXO
RIO LARGO;EUCLIDES FERRAZ DE ALBUQUERQUE;MDB;236;ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO;CJ MARIO MAFRA, QUADRA D-04;;;;;NAO_ENCONTRADO;7;27;25.93;3;22;17.13;REDUTO BAIXO
UNIAO DOS PALMARES;ALAN ELVES VIEIRA DE OLIVEIRA;PSB;237;COLEGIO DR. MARIO GOMES DE BARROS;RUA JARDIM BRASILIA 378;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;123;1083;11.36;17;141;17.04;REDUTO BAIXO
PALMEIRA DOS INDIOS;WILLIAMS DA SILVA ARAUJO;PDT;238;COLÉGIO ESTADUAL HUMBERTO MENDES;AV GOV MUNIZ FALCÃO 701;;;;;NAO_ENCONTRADO;5;20;25.0;4;18;17.03;REDUTO BAIXO
RIO LARGO;RAFAEL RUDSON FEITOSA PINTO;PP;239;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;180;1701;10.58;16;199;16.97;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;JOSIVALDO JOSÉ DA SILVA;PDT;240;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;AV. SAMPAIO MARQUES, S/N;;;;;NAO_ENCONTRADO;210;1991;10.55;15;137;16.94;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;ROSIMEIRE MARIA DA SILVA CARDOZO;PRD;241;ESCOLA MUNICIPAL MARIO SOARES PALMEIRA;RUA VISCONDE DE SINIMBU, 32;;;;;NAO_ENCONTRADO;6;25;24.0;5;22;16.93;REDUTO BAIXO
RIO LARGO;ALINE BIANA CAVALCANTE;UNIÃO;242;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;172;1609;10.69;16;197;16.91;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;ROSANGELA MARIA DOS SANTOS;PRD;243;ESCOLA DE ENSINO SUPERIOR DE SAO MIGUEL DOS CAMPOS;PRACA SENHORA DOS PRAZERES, SN;;;;;NAO_ENCONTRADO;16;70;22.86;6;48;16.89;REDUTO BAIXO
PALMEIRA DOS INDIOS;ADELINE BEZERRA DE MELO LIMA;PDT;244;COLÉGIO CRISTO REDENTOR;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;São Cristovão;;ENCONTRADO;6;26;23.08;6;26;16.87;REDUTO BAIXO
MARECHAL DEODORO;NILSON DO NASCIMENTO SANTOS;PSB;245;ESCOLA MUNICIPAL GOVERNADOR LUIZ CAVALCANTE;RODOVIA EDVAL LEMOS;-9.7585568;-35.8685101;Vila Cabreiras;;ENCONTRADO;186;1305;14.25;11;131;16.83;REDUTO BAIXO
ARAPIRACA;JOSE CARLOS DA SILVA;PSDB;246;GRUPO ESCOLAR DJALMA MATHEUS SANTANA;RUA ROSENDO LIMA S/N;-9.7669946;-36.6608561;Primavera;;ENCONTRADO;5;21;23.81;5;19;16.8;REDUTO BAIXO
RIO LARGO;ANA PAULA SANTOS OLIVEIRA;MDB;247;ESCOLA MUNICIPAL DE EDUCAÇÃO BASICA INDUSTRIAL LUIGI BAUDUCCO;AVENIDA PASTOR JOSUE LINS CONJUNTO CRUZEIRO DO SUL, C RESIDENCIAL;;;;;NAO_ENCONTRADO;5;21;23.81;5;19;16.8;REDUTO BAIXO
RIO LARGO;IVALDO DA SILVA LIMA;PSB;248;GRUPO ESCOLAR OZORIA MOURA DE LIMA;RUA  ANTONIO ELIAS CALHEIROS S/N;;;;;NAO_ENCONTRADO;24;103;23.3;5;58;16.8;REDUTO BAIXO
UNIAO DOS PALMARES;HITALO ROBERTO DA SILVA GALVAO;PMB;249;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;28;197;14.21;16;109;16.77;REDUTO BAIXO
MACEIO;TEREZA NELMA PORTO VIANA SOARES;PT;250;CRECHE ESCOLA ESPAÇO EDUCAR;RUA PROFESSOR SANDOVAL ARROXELAS, N. 510;-9.6588344;-35.7046403;Ponta Verde;;ENCONTRADO;323;9969;3.24;20;547;16.76;REDUTO BAIXO
PALMEIRA DOS INDIOS;ANTONIO GARROTE DA SILVA FILHO;PP;251;ESCOLA ESTADUAL JOSÉ VICTORINO DA ROCHA;PRAÇA ANTONIO LEITE, S/N, CANAFÍSTULA;-9.3991794;-36.7123167;Canafístula;;ENCONTRADO;288;1684;17.1;4;167;16.73;REDUTO BAIXO
PALMEIRA DOS INDIOS;GEORGE PINHEIRO DA SILVA;PSDB;252;COLÉGIO ESTADUAL HUMBERTO MENDES;AV GOV MUNIZ FALCÃO 701;;;;;NAO_ENCONTRADO;13;67;19.4;10;51;16.72;REDUTO BAIXO
RIO LARGO;IZAQUE PEREIRA SILVA;AVANTE;253;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;166;1577;10.53;16;198;16.72;REDUTO BAIXO
ARAPIRACA;ROGERIO PEREIRA MELO;MDB;254;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;Capiatá;;ENCONTRADO;355;6597;5.38;16;374;16.6;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;EDINALDO PEREIRA DOS SANTOS;MDB;255;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;AV. SAMPAIO MARQUES, S/N;;;;;NAO_ENCONTRADO;157;1384;11.34;15;137;16.58;REDUTO BAIXO
MACEIO;FRANCISCO HOLANDA COSTA FILHO;PL;256;E.M. JAYME DE ALTAVILLA;RUA DILERMANO REIS, S/N, LOT SANTA LUCIA;;;;;NAO_ENCONTRADO;511;9607;5.32;11;546;16.57;REDUTO BAIXO
PALMEIRA DOS INDIOS;JOSÉ VIEIRA DA SILVA;PMB;257;COLÉGIO CRISTO REDENTOR;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;São Cristovão;;ENCONTRADO;7;30;23.33;5;23;16.55;REDUTO BAIXO
RIO LARGO;ALDAIR GONÇALVES DA FONSECA;SOLIDARIEDADE;258;ESCOLA MUNICIPAL DE EDUCACAO BASICA D PEDRO I;RUA CURITIBA S/N;-9.5105587;-35.8093743;Rio Largo;;ENCONTRADO;4;16;25.0;3;14;16.53;REDUTO BAIXO
ARAPIRACA;BRUNNA VITÓRIA TENÓRIO VALENÇA;PSOL;259;COLÉGIO QUINTELA CAVALCANTE;AV. VENTURA DE FARIAS S/N;-9.7466266;-36.6673366;Eldorado;;ENCONTRADO;3;12;25.0;3;12;16.51;REDUTO BAIXO
ARAPIRACA;DANIEDJA TENORIO BARBOSA;PSOL;260;GRUPO ESCOLAR ADRIANO JORGE;AV. RIO BRANCO S/N;-9.7528354;-36.6609557;Centro;;ENCONTRADO;3;12;25.0;3;12;16.51;REDUTO BAIXO
UNIAO DOS PALMARES;EDNALDO GOMES DA SILVA;PT;261;GRUPO ESCOLAR DR JORGE DE LIMA;RUA TAVARES BASTOS, SN;-9.157438;-36.0311805;União dos Palmares;;ENCONTRADO;3;12;25.0;3;12;16.51;REDUTO BAIXO
MARECHAL DEODORO;JORGE AFFONSO BARROS DE MELLO;REPUBLICANOS;262;ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA;AV SÃO JOSÉ SN;-9.7102397;-35.8959836;Centro;;ENCONTRADO;99;620;15.97;11;126;16.5;REDUTO BAIXO
MARECHAL DEODORO;JOSENILDA DA CONCEIÇÃO FERREIRA;SOLIDARIEDADE;263;ESCOLA SESI - PROF. WILTON GAMA;RUA TENENTE JOSÉ TOMÉ SN;-9.7191988;-35.8942787;Centro;;ENCONTRADO;6;25;24.0;4;16;16.45;REDUTO BAIXO
RIO LARGO;FERNANDO HECTON DO NASCIMENTO SOUZA;PL;264;ESCOLA MUNICIPAL TERESA CRISTINA LINS DE SOUZA COSTA;CJ RES. FRANCISCO TAVARES GRANJA, S/N;;;;;NAO_ENCONTRADO;30;149;20.13;8;79;16.45;REDUTO BAIXO
RIO LARGO;DANIELA ALVES DOS SANTOS SILVA;MDB;265;CRECHE MUNICIPAL CELYRIO ADAMASTOR BARRETO ACIOLY;ROD AL 210, CJ EDSON NOVAES S/N;;;;;NAO_ENCONTRADO;20;91;21.98;6;64;16.43;REDUTO BAIXO
ARAPIRACA;VERA LÚCIA VERÍSSIMO;SOLIDARIEDADE;266;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;Capiatá;;ENCONTRADO;28;175;16.0;13;121;16.38;REDUTO BAIXO
RIO LARGO;WEVERTON VICENTE DA SILVA OLIVEIRA;PSB;267;ESCOLA MUNICIPAL DE EDUCACAO BASICA D PEDRO I;RUA CURITIBA S/N;-9.5105587;-35.8093743;Rio Largo;;ENCONTRADO;32;192;16.67;12;95;16.36;REDUTO BAIXO
PENEDO;EDILSON COMPANHEIRO SANTOS;PP;268;SESI - SENAI / UNIDADE PENEDO;AV. WANDERLEY, 922;-10.2822946;-36.5653561;Dom Constatino;;ENCONTRADO;76;467;16.27;11;120;16.32;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;DINEY SOARES TORRES NETO;MDB;269;ESCOLA MUNICIPAL RUI PALMEIRA;RUA CORONEL JOSE ANTONIO DA CRUZ, 54;-9.7817352;-36.103011;Paraíso;;ENCONTRADO;246;2081;11.82;11;137;16.31;REDUTO BAIXO
PALMEIRA DOS INDIOS;JOSE PORFIRIO DA SILVA;PSDB;270;INSTITUTO FEDERAL DE ALAGOAS - IFAL;PALMEIRA DE FORA;-9.4041909;-36.6549701;Vila João XXIII;;ENCONTRADO;11;45;24.44;3;33;16.3;REDUTO BAIXO
MARECHAL DEODORO;MARCOS SOUZA DE ARAÚJO;SOLIDARIEDADE;271;ESCOLA MUNICIPAL GOVERNADOR LUIZ CAVALCANTE;RODOVIA EDVAL LEMOS;-9.7585568;-35.8685101;Vila Cabreiras;;ENCONTRADO;44;258;17.05;11;87;16.29;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;JALON CABRAL DE OLIVEIRA SILVA;PP;272;ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA;RODOVIA BR 101, KM 69;-9.741431;-36.0611185;São Miguel dos Campos;;ENCONTRADO;103;793;12.99;14;136;16.24;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;JORGE JOSÉ DOS SANTOS CAVALCANTE;PDT;273;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;AV. SAMPAIO MARQUES, S/N;;;;;NAO_ENCONTRADO;113;966;11.7;15;136;16.11;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;JOÃO PEDRO CAVALCANTE SILVA;PRD;274;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;AV. SAMPAIO MARQUES, S/N;;;;;NAO_ENCONTRADO;23;133;17.29;11;78;16.1;REDUTO BAIXO
CORURIPE;MARCOS CESAR DE SOUZA LESSA;SOLIDARIEDADE;275;ESCOLA MUNICIPAL CLAUDIO DANIEL GAMA AMORIM;RUA JOSÉ RAIMUNDO DOS SANTOS, 40;-10.118516;-36.1800084;Coruripe;;ENCONTRADO;2;8;25.0;2;8;16.01;REDUTO BAIXO
UNIAO DOS PALMARES;ADILENE DA CONCEIÇÃO SILVA;PT;276;COLEGIO DE ENSINO FUNDAMENTAL MONSENHOR CLOVIS DUARTE DE BARROS;RUA JARDIM BRASILIA;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;2;8;25.0;2;8;16.01;REDUTO BAIXO
UNIAO DOS PALMARES;MARIA DO CARMO CASTRO DE MENDONÇA;PSD;277;COLEGIO DR. MARIO GOMES DE BARROS;RUA JARDIM BRASILIA 378;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;2;8;25.0;2;8;16.01;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;JADIELSON VIEIRA DOS SANTOS;PRD;278;COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA;AV. SAMPAIO MARQUES, S/N;;;;;NAO_ENCONTRADO;61;474;12.87;15;132;16.0;REDUTO BAIXO
UNIAO DOS PALMARES;MARIA BETANIA BARROS DA SILVA;PMB;279;ESCOLA MUNICIPAL JAIRO CORREIA VIANA;RUA TAVARES BASTOS 206;-9.157438;-36.0311805;União dos Palmares;;ENCONTRADO;16;93;17.2;11;69;15.94;REDUTO BAIXO
MARECHAL DEODORO;JOSÉ MÁRCIO LESSA SANTOS JÚNIOR;SOLIDARIEDADE;280;ESCOLA MUNICIPAL PREFEITO MANOEL MESSIAS DOS SANTOS;RUA SALVADOR S/N LOT. LUAR DO FRANCÊS;;;;;NAO_ENCONTRADO;19;90;21.11;6;46;15.89;REDUTO BAIXO
MACEIO;BRIVALDO MARQUES SILVA NETO;PL;281;ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA;CONJ. SALVADOR LIRA, S/N;;;;;NAO_ENCONTRADO;314;8671;3.62;18;547;15.87;REDUTO BAIXO
RIO LARGO;ANTENOR NUNES DO NASCIMENTO;PSB;282;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;17;100;17.0;11;70;15.83;REDUTO BAIXO
PENEDO;ANDRESA SANTOS LIMA MENDES;MDB;283;COLÉGIO DIOCESANO DE PENEDO;PÇA. LARGO DE FÁTIMA, PX. À 9A. COORDENADORIA DE ENSINO DE ALAGOAS;;;;;NAO_ENCONTRADO;116;866;13.39;12;134;15.71;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;EDIJUNIO LIMA DE MOURA;PRD;284;ESCOLA MUNICIPAL MARIA ROSA;RUA GERALDO SAMPAIO, S/N;-9.7779609;-36.1043243;Paraíso;;ENCONTRADO;20;110;18.18;9;69;15.61;REDUTO BAIXO
UNIAO DOS PALMARES;JOSE GUEDES DA SILVA;UNIÃO;285;ESCOLA MUNICIPAL JAIRO CORREIA VIANA;RUA TAVARES BASTOS 206;-9.157438;-36.0311805;União dos Palmares;;ENCONTRADO;5;23;21.74;5;22;15.56;REDUTO BAIXO
ARAPIRACA;PETRÔNIO AVELINO DA SILVA;CIDADANIA;286;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;RUA MANOEL NUNES NETO S/N;-9.7414437;-36.6642875;Capiatá;;ENCONTRADO;2;8;25.0;1;7;15.52;REDUTO BAIXO
MACEIO;ALLAN PIERRE VASCONCELOS;MDB;287;E.E. DRA. MARIA JOSE DE MELO (CAIC-B. BENTES);RUA BELO HORIZONTE, S/N;-9.5521408;-35.7303393;Benedito Bentes;;ENCONTRADO;361;7155;5.05;14;545;15.52;REDUTO BAIXO
PALMEIRA DOS INDIOS;AILTA RODRIGUES DA SILVA;PSDB;288;COLÉGIO CRISTO REDENTOR;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;São Cristovão;;ENCONTRADO;1;4;25.0;1;4;15.5;REDUTO BAIXO
RIO LARGO;CAMILLY CABRAL CORREIA ALVES DE OLIVEIRA;PDT;289;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;124;1294;9.58;16;197;15.5;REDUTO BAIXO
RIO LARGO;JEFFERSON ALEXANDRE CAVALCANTE;AVANTE;290;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;158;1818;8.69;16;200;15.5;REDUTO BAIXO
UNIAO DOS PALMARES;RIVALDO PEREIRA RAMOS OLIVEIRA;PMB;291;COLEGIO DR. MARIO GOMES DE BARROS;RUA JARDIM BRASILIA 378;-9.1545653;-36.0312271;União dos Palmares;;ENCONTRADO;1;4;25.0;1;4;15.5;REDUTO BAIXO
RIO LARGO;ALBA LUCIA LOPES DA SILVA;REPUBLICANOS;292;ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO;EUCLIDES AFONSO DE MELO S/N;;;;;NAO_ENCONTRADO;15;73;20.55;6;53;15.49;REDUTO BAIXO
RIO LARGO;SAMEA RAFAELLA TORRES TENÓRIO MASCARENHAS;REPUBLICANOS;293;ESCOLA MUNICIPAL DR. GUSTAVO PAIVA;CJ BARNABÉ OITICICA II, SN, MATA DO ROLO;;;;;NAO_ENCONTRADO;64;580;11.03;16;181;15.43;REDUTO BAIXO
SAO MIGUEL DOS CAMPOS;LUAN LUTHZEMBERG FERREIRA DE ANDRADE;PRD;294;ESCOLA MUNICIPAL RUI PALMEIRA;RUA CORONEL JOSE ANTONIO DA CRUZ, 54;-9.7817352;-36.103011;Paraíso;;ENCONTRADO;27;160;16.88;10;88;15.43;REDUTO BAIXO
ARAPIRACA;CRISLANY SENA DOS SANTOS;PSDB;295;ESCOLA PROFESSORA IZAURA ANTÔNIA LISBOA;RUA ANTÔNIO MARROQUIM S/N;-9.7479462;-36.6693345;Baixão;;ENCONTRADO;3;13;23.08;3;13;15.36;REDUTO BAIXO
ARAPIRACA;MARIA APARECIDA ALVES FERREIRA;PT;296;GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA;VILA SAÕ JOSÉ S/N;;;;;NAO_ENCONTRADO;3;13;23.08;3;13;15.36;REDUTO BAIXO
DELMIRO GOUVEIA;GEORGE LISBOA JUNIOR;MDB;297;VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA;AV MASCARENHAS DE MORAIS S/N;;;;;NAO_ENCONTRADO;181;1629;11.11;12;146;15.36;REDUTO BAIXO
UNIAO DOS PALMARES;JERONILDO SANDOVANIO NASCIMENTO DOS SANTOS;PMB;298;ESCOLA ESTADUAL CARLOS GOMES DE BARROS;AV. JOÃO LYRA FILHO, S/N;;;;;NAO_ENCONTRADO;35;265;13.21;14;116;15.3;REDUTO BAIXO
