municipio,local_nao_georreferenciado,local_nao_georreferenciado_normalizado,qtd_registros_afetados,melhor_correspondencia_georreferenciada,score_similaridade,status_match,latitude_sugerida,longitude_sugerida,qtd_registros_do_local_sugerido
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS,ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS,323,ESCOLA DE ENSINO FUNDAMENTAL JESUS REDENTOR,0.7629,MATCH_FRACO,-9.7575074,-36.6691287,297
MACEIO,ESC. EST. PROF. THEOTÔNIO VILELA BRANDÃO,ESCOLA ESTADUAL PROFESSOR THEOTONIO VILELA BRANDAO,319,ESC. EST. PROF. THEONILO GAMA,0.809,MATCH_FRACO,-9.6536179,-35.7230807,382
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ZÉLIA BARBOSA ROCHA,ESCOLA DE ENSINO FUNDAMENTAL ZELIA BARBOSA ROCHA,314,ESCOLA DE ENSINO FUNDAMENTAL JESUS REDENTOR,0.7473,SEM_MATCH,-9.7575074,-36.6691287,297
SAO MIGUEL DOS CAMPOS,COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA,COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA,313,ESCOLA MUNICIPAL RUI PALMEIRA,0.5479,SEM_MATCH,-9.7817352,-36.103011,247
MACEIO,ESCOLA ESTADUAL PROFª. IRENE GARRIDO,ESCOLA ESTADUAL PROF IRENE GARRIDO,308,ESC. EST. PROFª MARIA JOSÉ CARRASCOSA,0.7368,SEM_MATCH,-9.6612532,-35.7280663,374
MACEIO,COLÉGIO INTENSIVO,COLEGIO INTENSIVO,308,COLÉGIO TIRADENTES,0.7429,SEM_MATCH,-9.6734939,-35.7544376,456
MACEIO,COLÉGIO EDSON MONTEIRO,COLEGIO EDSON MONTEIRO,308,COLÉGIO CRISTO REI,0.65,SEM_MATCH,-9.6468277,-35.73761,166
RIO LARGO,ESCOLA ESTADUAL SANTOS DUMONT,ESCOLA ESTADUAL SANTOS DUMONT,301,GRUPO ESCOLAR DERALDO CAMPOS,0.4912,SEM_MATCH,-9.4855066,-35.8566295,88
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL CLEONICE BARBOSA DE ALMEIDA,ESCOLA DE ENSINO FUNDAMENTAL CLEONICE BARBOSA DE ALMEIDA,301,ESCOLA DE ENSINO FUNDAMENTAL PONTES DE MIRANDA,0.7843,MATCH_FRACO,-9.7361389,-36.6598115,279
MACEIO,ESCOLA EST. DR. EDSON BERNARDES,ESCOLA ESTADUAL DOUTOR EDSON BERNARDES,300,ESCOLA ESTADUAL DR. FERNANDES LIMA,0.8,MATCH_FRACO,-9.6196629,-35.7109176,186
MACEIO,COLÉGIO ZUMBI DOS PALMARES,COLEGIO ZUMBI DOS PALMARES,299,COLÉGIO OURO PRETO,0.6364,SEM_MATCH,-9.5616951,-35.739975,95
MACEIO,ESC. MUN. PROF. LENILTO ALVES SANTOS,ESCOLA MUNICIPAL PROFESSOR LENILTO ALVES SANTOS,289,E.M. PROFESSOR PETRONIO VIANA,0.7955,MATCH_FRACO,-9.561154,-35.7109637,190
MACEIO,E.E. DEPUTADO RUBENS CANUTO,ESCOLA ESTADUAL DEPUTADO RUBENS CANUTO,287,ESCOLA ESTADUAL DEPUTADO NENOI PINTO,0.8378,MATCH_FRACO,-9.649823,-35.7216764,323
RIO LARGO,ESCOLA DE ENSINO FUND DR GASTAO OITICICA,ESCOLA DE ENSINO FUNDAMENTAL DOUTOR GASTAO OITICICA,282,ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS,0.6116,SEM_MATCH,-9.4784995,-35.8366035,254
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL LOJA MAÇONICA,ESCOLA DE ENSINO FUNDAMENTAL LOJA MACONICA,281,ESCOLA DE ENSINO FUNDAMENTAL PONTES DE MIRANDA,0.7955,MATCH_FRACO,-9.7361389,-36.6598115,279
ARAPIRACA,GRUPO ESCOLAR PEDRO CORREIA DAS GRAÇAS,GRUPO ESCOLAR PEDRO CORREIA DAS GRACAS,279,GRUPO ESCOLAR ADRIANO JORGE,0.6462,SEM_MATCH,-9.7528354,-36.6609557,323
