municipio,local_nao_georreferenciado,local_nao_georreferenciado_normalizado,qtd_registros_afetados,melhor_correspondencia_georreferenciada,score_similaridade,status_match,latitude_sugerida,longitude_sugerida,qtd_registros_do_local_sugerido
MARECHAL DEODORO,ESCOLA MUNICIPAL ALTINA RIBEIRO TOLEDO,ESCOLA MUNICIPAL ALTINA RIBEIRO TOLEDO,168,ESCOLA MUNICIPAL D. MARIA DE ARAUJO LOBO,0.6753,SEM_MATCH,-9.7353584,-35.8906491,107
MACEIO,ESCOLA ESTADUAL DR. JÚLIO AUTO,ESCOLA ESTADUAL DOUTOR JULIO AUTO,168,ESCOLA ESTADUAL DR. FERNANDES LIMA,0.7429,SEM_MATCH,-9.6196629,-35.7109176,186
RIO LARGO,ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO,ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO,166,ESCOLA MUNICIPAL DE EDUCACAO BASICA D PEDRO I,0.3908,SEM_MATCH,-9.5105587,-35.8093743,376
MARECHAL DEODORO,ESCOLA ESTADUAL JOSÉ CORREIA DA SILVA TITARA,ESCOLA ESTADUAL JOSE CORREIA DA SILVA TITARA,165,ESCOLA MUNICIPAL JOSÉ BISPO DA SILVA,0.65,SEM_MATCH,-9.7180783,-35.8235422,80
MACEIO,E.E. MANUEL BALTAZAR P. DIEGUES JUNIOR,ESCOLA ESTADUAL MANUEL BALTAZAR P DIEGUES JUNIOR,164,ESCOLA EST. DR. MIGUEL GUEDES NOGUEIRA,0.6237,SEM_MATCH,-9.6214949,-35.7555418,416
RIO LARGO,ESCOLA ESTADUAL TABULEIRO DO PINTO,ESCOLA ESTADUAL TABULEIRO DO PINTO,162,GRUPO ESCOLAR DERALDO CAMPOS,0.4839,SEM_MATCH,-9.4855066,-35.8566295,88
RIO LARGO,CRECHE MUNICIPAL CELYRIO ADAMASTOR BARRETO ACIOLY,CRECHE MUNICIPAL CELYRIO ADAMASTOR BARRETO ACIOLY,161,ESCOLA MUNICIPAL DE EDUCACAO BASICA D PEDRO I,0.4468,SEM_MATCH,-9.5105587,-35.8093743,376
MACEIO,E.M. GASTONE LÚCIA DE CARVALHO BELTRÃO,ESCOLA MUNICIPAL GASTONE LUCIA DE CARVALHO BELTRAO,159,E.M. PAULO HENRIQUE COSTA BANDEIRA,0.625,SEM_MATCH,-9.5484537,-35.7243653,265
MACEIO,COLÉGIO BRASIL (ANTIGO ISAAC NEWTON),COLEGIO BRASIL ANTIGO ISAAC NEWTON,159,COLÉGIO SANTÍSSIMA TRINDADE,0.5574,SEM_MATCH,-9.6157912,-35.7152195,202
MACEIO,EDIFÍCIO DO SENAC,EDIFICIO DO SENAC,158,EDIFÍCIO DO SESC,0.9091,MATCH_PROVAVEL,-9.6637312,-35.7279416,234
SAO MIGUEL DOS CAMPOS,ESCOLA MUNICIPAL DIONISIA APRATTO TENORIO,ESCOLA MUNICIPAL DIONISIA APRATTO TENORIO,156,ESCOLA MUNICIPAL MARIA ROSA,0.6176,SEM_MATCH,-9.7779609,-36.1043243,202
RIO LARGO,GRUPO ESCOLAR DALMARIO DE SOUZA,GRUPO ESCOLAR DALMARIO DE SOUZA,156,GRUPO ESCOLAR DERALDO CAMPOS,0.678,SEM_MATCH,-9.4855066,-35.8566295,88
SAO MIGUEL DOS CAMPOS,ESCOLA DE EDUCAÇÃO BÁSICA CONSTRUTIVISTA,ESCOLA DE EDUCACAO BASICA CONSTRUTIVISTA,155,ESCOLA MUNICIPAL RUI PALMEIRA,0.4928,SEM_MATCH,-9.7817352,-36.103011,247
ARAPIRACA,CENTRO DE EDUCAÇÃO INFANTIL JOANNA DE ANGELLIS (ANTIGO MADRE PAULINA),CENTRO DE EDUCACAO INFANTIL JOANNA DE ANGELLIS ANTIGO MADRE PAULINA,154,ESCOLA DE ENSINO FUNDAMENTAL MARIA DE NAZARÉ,0.4505,SEM_MATCH,-9.7664245,-36.6509194,256
MARECHAL DEODORO,ESCOLA MUNICIPAL PREFEITO MANOEL MESSIAS DOS SANTOS,ESCOLA MUNICIPAL PREFEITO MANOEL MESSIAS DOS SANTOS,153,ESCOLA MUNICIPAL DR. CLÁUDIO ROBERTO COSTA DOS SANTOS,0.6355,SEM_MATCH,-9.7408231,-35.882999,112
MACEIO,E.E. MANOEL DE ARAUJO DORIA,ESCOLA ESTADUAL MANOEL DE ARAUJO DORIA,152,ESCOLA ESTADUAL JOÃO PAULO II,0.7164,SEM_MATCH,-9.6123295,-35.7473881,180
MACEIO,E.M. SELMA BANDEIRA,ESCOLA MUNICIPAL SELMA BANDEIRA,151,E.M. PAULO HENRIQUE COSTA BANDEIRA,0.7273,SEM_MATCH,-9.5484537,-35.7243653,265
MACEIO,ESC. MUN. PIO X (PRÉDIO DO ANTIGO COL.SAGRADA FAMÍLIA),ESCOLA MUNICIPAL PIO X PREDIO DO ANTIGO COLEGIOSAGRADA FAMILIA,150,E.M. MANOEL PEDRO DOS SANTOS,0.6275,SEM_MATCH,-9.5508817,-35.7851439,180
MARECHAL DEODORO,ESCOLA MUNICIPAL MARIA PETRONILA DE GOUVEA,ESCOLA MUNICIPAL MARIA PETRONILA DE GOUVEA,149,ESCOLA MUNICIPAL D. MARIA DE ARAUJO LOBO,0.6667,SEM_MATCH,-9.7353584,-35.8906491,107
MACEIO,ESCOLA SANTA ROSA,ESCOLA SANTA ROSA,148,ESCOLA ESTADUAL ROTARY,0.7179,SEM_MATCH,-9.6063446,-35.7411445,403
MARECHAL DEODORO,ESCOLA ESTADUAL DEODORO DA FONSECA,ESCOLA ESTADUAL DEODORO DA FONSECA,147,ESCOLA ESTADUAL ROSA MARIA PAULINA DA FONSECA,0.7342,SEM_MATCH,-9.7102397,-35.8959836,221
RIO LARGO,GRUPO ESCOLAR OZORIA MOURA DE LIMA,GRUPO ESCOLAR OZORIA MOURA DE LIMA,147,GRUPO ESCOLAR DERALDO CAMPOS,0.5806,SEM_MATCH,-9.4855066,-35.8566295,88
SAO MIGUEL DOS CAMPOS,CRECHE JOSEFA BENEDITA DOS SANTOS,CRECHE JOSEFA BENEDITA DOS SANTOS,141,ESCOLA ANA LINS,0.3333,SEM_MATCH,-9.7797751,-36.0993035,221
MACEIO,CLUBE DA CAIXA ECONÔMICA FEDERAL (APCEF/AL),CLUBE DA CAIXA ECONOMICA FEDERAL APCEF AL,141,COLÉGIO DA IMACULADA CONCEIÇÃO,0.4789,SEM_MATCH,-9.6690408,-35.7150374,131
RIO LARGO,ESCOLA ESTADUAL JOÃO MORAIS CAVALCANTE,ESCOLA ESTADUAL JOAO MORAIS CAVALCANTE,141,ESCOLA MUNICIPAL DE EDUCACAO BASICA D PEDRO I,0.4578,SEM_MATCH,-9.5105587,-35.8093743,376
SAO MIGUEL DOS CAMPOS,COLÉGIO MUNICIPAL ESTHER SOARES TORRES,COLEGIO MUNICIPAL ESTHER SOARES TORRES,139,ESCOLA MUNICIPAL PROFESSORA NOEMIA BASTOS,0.6076,SEM_MATCH,-9.7832594,-36.0919014,98
SAO MIGUEL DOS CAMPOS,ESCOLA DE ENSINO SUPERIOR DE SAO MIGUEL DOS CAMPOS,ESCOLA DE ENSINO SUPERIOR DE SAO MIGUEL DOS CAMPOS,135,ESCOLA MUNICIPAL DESEMBARGADOR JOSE FERNANDO LIMA SOUZA,0.419,SEM_MATCH,-9.741431,-36.0611185,299
RIO LARGO,GRUPO ESCOLAR PROFESSOR POMPEU SARMENTO,GRUPO ESCOLAR PROFESSOR POMPEU SARMENTO,132,GRUPO ESCOLAR DERALDO CAMPOS,0.597,SEM_MATCH,-9.4855066,-35.8566295,88
CORURIPE,CENTRO EDUCACIONAL PROFISSIONAL MARIA ALICE BELTRÃO DE CASTRO SIQUEIRA,CENTRO EDUCACIONAL PROFISSIONAL MARIA ALICE BELTRAO DE CASTRO SIQUEIRA,131,ESCOLA MUNICIPAL JOSE DE CARVALHO SOUZA,0.4037,SEM_MATCH,-10.1596304,-36.1604313,152
MACEIO,ESCOLA MUN. DOM MIGUEL FENELON CÂMARA,ESCOLA MUNICIPAL DOM MIGUEL FENELON CAMARA,130,E.M. MARIA CECILIA PONTES CARNAÚBA,0.6591,SEM_MATCH,-9.5790961,-35.7376472,201
MACEIO,ESCOLA MUN. PROF. DERALDO CAMPOS,ESCOLA MUNICIPAL PROFESSOR DERALDO CAMPOS,129,E.M. PROFESSOR PETRONIO VIANA,0.7805,MATCH_FRACO,-9.561154,-35.7109637,190
CORURIPE,ESCOLA MUNICIPAL MANOEL CECÍLIO DE JESUS,ESCOLA MUNICIPAL MANOEL CECILIO DE JESUS,128,ESCOLA MUNICIPAL JOSE DE CARVALHO SOUZA,0.6329,SEM_MATCH,-10.1596304,-36.1604313,152
ARAPIRACA,GRUPO ESCOLAR CÔNEGO EPITÁCIO RODRIGUES,GRUPO ESCOLAR CONEGO EPITACIO RODRIGUES,127,GRUPO ESCOLAR ADRIANO JORGE,0.6061,SEM_MATCH,-9.7528354,-36.6609557,323
MARECHAL DEODORO,ESCOLA MUNICIPAL CARLOS AVELINO DA SILVA,ESCOLA MUNICIPAL CARLOS AVELINO DA SILVA,126,ESCOLA MUNICIPAL JOSÉ BISPO DA SILVA,0.8158,MATCH_FRACO,-9.7180783,-35.8235422,80
MACEIO,INSS,INSS,125,SUMESE,0.4,SEM_MATCH,-9.570224,-35.775279,15
ARAPIRACA,IFAL - INSTITUTO FEDERAL DE ALAGOAS,IFAL INSTITUTO FEDERAL DE ALAGOAS,125,UNEAL UNIVERSIDADE ESTADUAL DE ALAGOAS,0.5634,SEM_MATCH,-9.7505554,-36.6580852,518
RIO LARGO,ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO,ESCOLA DE EDUCACAO INFANTIL PADRE PAULINO,125,ESCOLA MUNICIPAL DE EDUCACAO BASICA D PEDRO I,0.6279,SEM_MATCH,-9.5105587,-35.8093743,376
MACEIO,ESC. EST. PROFª ANA COELHO PALMEIRA,ESCOLA ESTADUAL PROF ANA COELHO PALMEIRA,124,ESCOLA EST. PROFª ANAIAS DE LIMA ANDRADE,0.747,SEM_MATCH,-9.5521408,-35.7303393,250
PENEDO,ESCOLA ESTADUAL DR. ALCIDES ANDRADE,ESCOLA ESTADUAL DOUTOR ALCIDES ANDRADE,122,ESCOLA ESTADUAL JOÃO VALERIANO DE OLIVEIRA,0.675,SEM_MATCH,-10.2733024,-36.5601197,113
PENEDO,EMEB VEREADOR JOSÉ DA COSTA MANGABEIRA,EMEB VEREADOR JOSE DA COSTA MANGABEIRA,122,EMEB IRMÃ JOLENTA (ANTIGO FREITAS),0.5714,SEM_MATCH,-10.2826113,-36.5840511,85
RIO LARGO,GRUPO ESCOLAR ODILO ALVARES DE SOUZA,GRUPO ESCOLAR ODILO ALVARES DE SOUZA,122,GRUPO ESCOLAR DERALDO CAMPOS,0.625,SEM_MATCH,-9.4855066,-35.8566295,88
RIO LARGO,ESCOLA DE EDUCAÇÃO INFANTIL AQUINO JAPIASSÚ,ESCOLA DE EDUCACAO INFANTIL AQUINO JAPIASSU,120,ESCOLA MUNICIPAL DE EDUCACAO BASICA D PEDRO I,0.5682,SEM_MATCH,-9.5105587,-35.8093743,376
MACEIO,CMEI HERBERT DE SOUZA,CMEI HERBERT DE SOUZA,115,ESCOLA MUNICIPAL TEREZA DE JESUS,0.4906,SEM_MATCH,-9.6701618,-35.7460477,146
ARAPIRACA,CENTRO DE EDUCAÇÃO INFANTIL MARIA DE LOURDES PEREIRA CAVALCANTE,CENTRO DE EDUCACAO INFANTIL MARIA DE LOURDES PEREIRA CAVALCANTE,115,ESCOLA DE ENSINO FUNDAMENTAL MARIA DE NAZARÉ,0.486,SEM_MATCH,-9.7664245,-36.6509194,256
SAO MIGUEL DOS CAMPOS,ESCOLA DE 1 E 2 GRAUS NUNILA MACHADO,ESCOLA DE 1 E 2 GRAUS NUNILA MACHADO,115,ESCOLA MUNICIPAL MARIA ROSA,0.5079,SEM_MATCH,-9.7779609,-36.1043243,202
DELMIRO GOUVEIA,"FRANCISCA ROSA DA COSTA,GRUPO ESCOLAR",FRANCISCA ROSA DA COSTA GRUPO ESCOLAR,113,"AFRANIO SALGADO LAGES, ESCOLA",0.5538,SEM_MATCH,-9.3843265,-38.0002215,113
MACEIO,E.E. AQUILINA BULHÕES BARROS,ESCOLA ESTADUAL AQUILINA BULHOES BARROS,111,ESC. EST. PROFª MARIA JOSÉ CARRASCOSA,0.6914,SEM_MATCH,-9.6612532,-35.7280663,374
SAO MIGUEL DOS CAMPOS,ESCOLA DE 1 GRAU TARCISIO SOARES PALMEIRA,ESCOLA DE 1 GRAU TARCISIO SOARES PALMEIRA,110,ESCOLA MUNICIPAL RUI PALMEIRA,0.5714,SEM_MATCH,-9.7817352,-36.103011,247
UNIAO DOS PALMARES,CRECHE MUNICIPAL TIA SUZETE,CRECHE MUNICIPAL TIA SUZETE,108,ESCOLA MUNICIPAL LUIZA DE FRANCA,0.5424,SEM_MATCH,-9.1614292,-36.0275299,70
MARECHAL DEODORO,NEI ADÉLIA CAVALCANTE COSTA,NEI ADELIA CAVALCANTE COSTA,106,NEI TÂNIA CAVALCANTE,0.766,MATCH_FRACO,-9.7256884,-35.8193626,93
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL GUIMARÃES PASSOS,ESCOLA DE ENSINO FUNDAMENTAL GUIMARAES PASSOS,106,ESCOLA DE ENSINO FUNDAMENTAL MARIA DE NAZARÉ,0.809,MATCH_FRACO,-9.7664245,-36.6509194,256
UNIAO DOS PALMARES,ESCOLA DE ENSINO FUNDAMENTAL FERNANDO JUAZEIRO,ESCOLA DE ENSINO FUNDAMENTAL FERNANDO JUAZEIRO,106,ESCOLA DE ENSINO FUNDAMENTAL FILOMENA MEDEIROS,0.8261,MATCH_FRACO,-9.1631868,-36.0315847,139
SAO MIGUEL DOS CAMPOS,ESCOLA ESTADUAL PROFESSORA EDILEUZA OLIVEIRA DA SILVA,ESCOLA ESTADUAL PROFESSORA EDILEUZA OLIVEIRA DA SILVA,101,ESCOLA MUNICIPAL PROFESSORA NOEMIA BASTOS,0.5957,SEM_MATCH,-9.7832594,-36.0919014,98
PALMEIRA DOS INDIOS,GRUPO ESCOLAR ANTÔNIA MACEDO,GRUPO ESCOLAR ANTONIA MACEDO,101,GRUPO ESCOLAR MONSENHOR MACEDO,0.7931,MATCH_FRACO,-9.4166956,-36.6362459,167
MACEIO,ESC. EST. PROFª EROTILDES RODRIGUES SALDANHA (EX SEN PETRÔNIO PORTELA),ESCOLA ESTADUAL PROF EROTILDES RODRIGUES SALDANHA EX SEN PETRONIO PORTELA,99,ESCOLA ESTADUAL PROFESSOR SEBASTIÃO DA HORA,0.569,SEM_MATCH,-9.6389436,-35.7308548,287
MACEIO,COLÉGIO DOM BOSCO (ANTIGO COLÉGIO CARVALHO),COLEGIO DOM BOSCO ANTIGO COLEGIO CARVALHO,99,COLÉGIO DA IMACULADA CONCEIÇÃO,0.5634,SEM_MATCH,-9.6690408,-35.7150374,131
MACEIO,COLÉGIO ROSA MÍSTICA,COLEGIO ROSA MISTICA,99,COLÉGIO VILA RICA,0.7027,SEM_MATCH,-9.595482,-35.7200645,131
MACEIO,CMEI SÔNIA CAVALCANTI,CMEI SONIA CAVALCANTI,98,E.E. MARCOS ANTONIO CAVALCANTI SILVA,0.5,SEM_MATCH,-9.5466799,-35.7330158,194
MACEIO,ESCOLA ESTADUAL MARIA AMÁLIA,ESCOLA ESTADUAL MARIA AMALIA,98,E.E. ONÉLIA CAMPELO,0.7586,MATCH_FRACO,-9.5811006,-35.7879869,289
PENEDO,IFAL - CAMPUS PENEDO,IFAL CAMPUS PENEDO,96,SESI - SENAI / UNIDADE PENEDO,0.5116,SEM_MATCH,-10.2822946,-36.5653561,219
MARECHAL DEODORO,NEI MARIA IRENE DA SILVA,NEI MARIA IRENE DA SILVA,96,NEI TÂNIA CAVALCANTE,0.5,SEM_MATCH,-9.7256884,-35.8193626,93
PALMEIRA DOS INDIOS,ESCOLA ESTADUAL MANOEL PASSOS LIMA,ESCOLA ESTADUAL MANOEL PASSOS LIMA,95,ESCOLA ESTADUAL JOSÉ VICTORINO DA ROCHA,0.6027,SEM_MATCH,-9.3991794,-36.7123167,65
PENEDO,FACULDADE RAIMUNDO MARINHO DE PENEDO,FACULDADE RAIMUNDO MARINHO DE PENEDO,92,ESCOLA ESTADUAL JOÃO VALERIANO DE OLIVEIRA,0.4359,SEM_MATCH,-10.2733024,-36.5601197,113
MACEIO,ESC. MUN. NOSSA SRª APARECIDA (PRÉDIO DO ANTIGO COL.SAGRADA FAMÍLIA),ESCOLA MUNICIPAL NOSSA SR APARECIDA PREDIO DO ANTIGO COLEGIOSAGRADA FAMILIA,91,E.M. MANOEL PEDRO DOS SANTOS,0.5913,SEM_MATCH,-9.5508817,-35.7851439,180
MACEIO,ESCOLA EST. DOM ADELMO MACHADO,ESCOLA ESTADUAL DOM ADELMO MACHADO,89,ESCOLA ESTADUAL DR. FERNANDES LIMA,0.7042,SEM_MATCH,-9.6196629,-35.7109176,186
RIO LARGO,CMEI DESEMBARGADOR FRANCISCO WILDO LACERDA DANTAS,CMEI DESEMBARGADOR FRANCISCO WILDO LACERDA DANTAS,88,GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA,0.3368,SEM_MATCH,-9.4835249,-35.855917,217
DELMIRO GOUVEIA,"NOEMIA BANDEIRA DA SILVA,ESCOLA",NOEMIA BANDEIRA DA SILVA ESCOLA,86,ESCOLA JOSE BEZERRA DA SILVA,0.5424,SEM_MATCH,-9.3867333,-37.9880888,108
MACEIO,ESC. MUN. PROFª NEIDE DE FREITAS FRANÇA,ESCOLA MUNICIPAL PROF NEIDE DE FREITAS FRANCA,84,ESCOLA MUNICIPAL TOBIAS GRANJA,0.6933,SEM_MATCH,-9.5818301,-35.7536067,157
MACEIO,SEADES - SEC. DE EST. DA ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL,SEADES SEC DE ESTADUAL DA ASSISTENCIA E DESENVOLVIMENTO SOCIAL,84,E.E. DRA. MARIA JOSE DE MELO (CAIC-B. BENTES),0.5254,SEM_MATCH,-9.5521408,-35.7303393,448
MACEIO,ESCOLA ESTADUAL MAJOR EDUARDO EMILIANO DA FONSECA,ESCOLA ESTADUAL MAJOR EDUARDO EMILIANO DA FONSECA,82,ESC. EST. PROF. EDUARDO ALMEIDA DA SILVA,0.7273,SEM_MATCH,-9.5251247,-35.6115964,133
MACEIO,GRUPO ESCOLAR ANTÔNIO VASCO,GRUPO ESCOLAR ANTONIO VASCO,82,ESCOLA SEB (ANTIGO COC),0.625,SEM_MATCH,-9.6579315,-35.7095681,629
PENEDO,GRUPO ESCOLAR ESTADUAL GABINO BESOURO,GRUPO ESCOLAR ESTADUAL GABINO BESOURO,81,ESCOLA ESTADUAL JOÃO VALERIANO DE OLIVEIRA,0.6076,SEM_MATCH,-10.2733024,-36.5601197,113
MARECHAL DEODORO,ESCOLA PROFESSORA ELEUZA GALVÃO RODAS,ESCOLA PROFESSORA ELEUZA GALVAO RODAS,79,ESCOLA SESI - PROF. WILTON GAMA,0.6286,SEM_MATCH,-9.7191988,-35.8942787,103
DELMIRO GOUVEIA,ESCOLA ESTADUAL PEDRO NEPOMUCENO DOS SANTOS,ESCOLA ESTADUAL PEDRO NEPOMUCENO DOS SANTOS,79,ESCOLA DE EDUCAÇÃO BÁSICA BEABÁ,0.4054,SEM_MATCH,-9.3710699,-38.1897024,53
CORURIPE,ESCOLA MUNICIPAL GENERAL DE GOIS MONTEIRO,ESCOLA MUNICIPAL GENERAL DE GOIS MONTEIRO,77,ESCOLA MUNICIPAL JOSE DE CARVALHO SOUZA,0.625,SEM_MATCH,-10.1596304,-36.1604313,152
MARECHAL DEODORO,ESCOLA MUNICIPAL PREFEITO EDIVAL LEMOS SANTOS,ESCOLA MUNICIPAL PREFEITO EDIVAL LEMOS SANTOS,76,ESCOLA MUNICIPAL DR. CLÁUDIO ROBERTO COSTA DOS SANTOS,0.6337,SEM_MATCH,-9.7408231,-35.882999,112
RIO LARGO,CRIA-CENTRO INFANTIL CORÁLIA GOMES DA SILVA,CRIA CENTRO INFANTIL CORALIA GOMES DA SILVA,76,GRUPO ESCOLAR DERALDO CAMPOS,0.3099,SEM_MATCH,-9.4855066,-35.8566295,88
CORURIPE,ESCOLA MUNICIPAL NOSSA SENHORA DO MONT SERRAT,ESCOLA MUNICIPAL NOSSA SENHORA DO MONT SERRAT,71,ESCOLA MUNICIPAL FRANCISCO AMALIO MARIA,0.5952,SEM_MATCH,-10.1585695,-36.135133,123
DELMIRO GOUVEIA,"ANCHIETA, GRUPO ESCOLAR PADRE ( POV. LAGOINHA)",ANCHIETA GRUPO ESCOLAR PADRE POV LAGOINHA,69,"WATSON DE GUSMAO, ESCOLA DE 1 E 2 GRAUS",0.5063,SEM_MATCH,-9.3850082,-38.0068886,215
UNIAO DOS PALMARES,ESCOLA MUNICIPAL LAURA PEREIRA DA SILVA,ESCOLA MUNICIPAL LAURA PEREIRA DA SILVA,66,ESCOLA MUNICIPAL JAIRO CORREIA VIANA,0.72,SEM_MATCH,-9.157438,-36.0311805,393
PENEDO,ESCOLA ESTADUAL HERMÍLIO DE FREITAS MELRO,ESCOLA ESTADUAL HERMILIO DE FREITAS MELRO,62,ESCOLA ESTADUAL JOÃO VALERIANO DE OLIVEIRA,0.6506,SEM_MATCH,-10.2733024,-36.5601197,113
MACEIO,COLÉGIO SÃO JERÔNIMO,COLEGIO SAO JERONIMO,62,COLÉGIO SÃO JORGE,0.7568,MATCH_FRACO,-9.6704776,-35.720836,62
PENEDO,UNIDADE DE ENSINO DE PENEDO/UFAL,UNIDADE DE ENSINO DE PENEDO UFAL,58,SESI - SENAI / UNIDADE PENEDO,0.4912,SEM_MATCH,-10.2822946,-36.5653561,219
MACEIO,ESCOLA MUNICIPAL JOÃO FEITOSA,ESCOLA MUNICIPAL JOAO FEITOSA,57,ESCOLA MUNICIPAL TOBIAS GRANJA,0.7119,SEM_MATCH,-9.5818301,-35.7536067,157
DELMIRO GOUVEIA,"ERENICE GOMES DE LIMA, ESCOLA ESTADUAL PROFª",ERENICE GOMES DE LIMA ESCOLA ESTADUAL PROF,55,"MARIA DULCE FEITOSA,ESCOLA DE 1 GRAU",0.4872,SEM_MATCH,-9.3744784,-37.9999685,118
PALMEIRA DOS INDIOS,ESCOLA ESTADUAL DIJANIRA SANTOS SILVA,ESCOLA ESTADUAL DIJANIRA SANTOS SILVA,52,ESCOLA ESTADUAL JOSÉ VICTORINO DA ROCHA,0.5263,SEM_MATCH,-9.3991794,-36.7123167,65
DELMIRO GOUVEIA,"MANOEL MOURA, COLEGIO DE 1 GRAU",MANOEL MOURA COLEGIO DE 1 GRAU,52,"MARIA DULCE FEITOSA,ESCOLA DE 1 GRAU",0.5455,SEM_MATCH,-9.3744784,-37.9999685,118
DELMIRO GOUVEIA,"JOSE CORREIA DOS SANTOS,GRUPO ESCOLAR",JOSE CORREIA DOS SANTOS GRUPO ESCOLAR,51,"ELIZEU NORBERTO, GRUPO ESCOLAR",0.6364,SEM_MATCH,-9.3769332,-37.9959555,92
PENEDO,EMEB HANNA BERTHOLET,EMEB HANNA BERTHOLET,50,EMEB IRMÃ JOLENTA (ANTIGO FREITAS),0.4231,SEM_MATCH,-10.2826113,-36.5840511,85
MARECHAL DEODORO,ESCOLA MUNICIPAL ADELINA DE CARVALHO MELO,ESCOLA MUNICIPAL ADELINA DE CARVALHO MELO,47,ESCOLA MUNICIPAL D. MARIA DE ARAUJO LOBO,0.775,MATCH_FRACO,-9.7353584,-35.8906491,107
MARECHAL DEODORO,UBS - MARIA DO CARMO ARAÚJO SOARES,UBS MARIA DO CARMO ARAUJO SOARES,45,ESCOLA MUNICIPAL D. MARIA DE ARAUJO LOBO,0.507,SEM_MATCH,-9.7353584,-35.8906491,107
DELMIRO GOUVEIA,GRUPO ESCOLAR CASTRO ALVES,GRUPO ESCOLAR CASTRO ALVES,41,"ELIZEU NORBERTO, GRUPO ESCOLAR",0.4727,SEM_MATCH,-9.3769332,-37.9959555,92
DELMIRO GOUVEIA,"JOSE CORREIA FILHO,ESCOLA",JOSE CORREIA FILHO ESCOLA,39,"DELMIRO GOUVEIA, ESCOLA",0.5532,SEM_MATCH,-9.3831723,-37.9994571,73
MACEIO,CRECHE AGENOR FERNANDES PONTES,CRECHE AGENOR FERNANDES PONTES,39,ESCOLA ESTADUAL DR. FERNANDES LIMA,0.4776,SEM_MATCH,-9.6196629,-35.7109176,186
DELMIRO GOUVEIA,"RUI BARBOSA,ESCOLA MUNICIPAL",RUI BARBOSA ESCOLA MUNICIPAL,37,"LUIZ AUGUSTO DE AZEVEDO, ESCOLA",0.4483,SEM_MATCH,-9.3852148,-38.0003117,124
PENEDO,ESCOLA ESTADUAL CLEMENTINO DO MONTE,ESCOLA ESTADUAL CLEMENTINO DO MONTE,35,ESCOLA ESTADUAL JOÃO VALERIANO DE OLIVEIRA,0.6494,SEM_MATCH,-10.2733024,-36.5601197,113
PALMEIRA DOS INDIOS,ESCOLA MUNICIPAL NOÉ SIMPLÍCIO,ESCOLA MUNICIPAL NOE SIMPLICIO,34,ESCOLA MUNICIPAL PROFESSORA ROSINHA PIMENTEL,0.6486,SEM_MATCH,-9.4120512,-36.6274423,87
PALMEIRA DOS INDIOS,ESCOLA ESTADUAL EGÍDIO BARBOSA,ESCOLA ESTADUAL EGIDIO BARBOSA,32,ESCOLA ESTADUAL JOSÉ VICTORINO DA ROCHA,0.7246,SEM_MATCH,-9.3991794,-36.7123167,65
PALMEIRA DOS INDIOS,ESCOLA MUNICIPAL PEDRO RODRIGUES GAIA,ESCOLA MUNICIPAL PEDRO RODRIGUES GAIA,31,ESCOLA MUNICIPAL PROFESSORA ROSINHA PIMENTEL,0.6173,SEM_MATCH,-9.4120512,-36.6274423,87
DELMIRO GOUVEIA,"RAIMYSON SILVA NASCIMENTO, EMEF",RAIMYSON SILVA NASCIMENTO EMEF,30,"AFRANIO SALGADO LAGES, ESCOLA",0.4483,SEM_MATCH,-9.3843265,-38.0002215,113
DELMIRO GOUVEIA,"SAO JOSE, ESCOLA MUN DE ENSINO FUNDAMENTAL",SAO JOSE ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL,29,ANEXO DO CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL CASINHA FELIZ,0.5421,SEM_MATCH,-9.3788871,-38.0018608,43
PENEDO,EMEB SANTO ANTÔNIO,EMEB SANTO ANTONIO,28,EMEB IRMÃ JOLENTA (ANTIGO FREITAS),0.56,SEM_MATCH,-10.2826113,-36.5840511,85
PALMEIRA DOS INDIOS,UNIVERSISADE ESTADUAL DE ALAGOAS - UNEAL - PALMERIA DOS ÍNDIOS,UNIVERSISADE ESTADUAL DE ALAGOAS UNEAL PALMERIA DOS INDIOS,26,ESCOLA ESTADUAL JOSÉ VICTORINO DA ROCHA,0.433,SEM_MATCH,-9.3991794,-36.7123167,65
DELMIRO GOUVEIA,"ANTENOR CORREIA SERPA, ESCOLA MUNICIPAL DR.",ANTENOR CORREIA SERPA ESCOLA MUNICIPAL DOUTOR,25,"DELMIRO GOUVEIA, ESCOLA",0.4179,SEM_MATCH,-9.3831723,-37.9994571,73
PENEDO,EMEB PROFª MARIA DA GLÓRIA PIMENTEIRA,EMEB PROF MARIA DA GLORIA PIMENTEIRA,24,EMEB IRMÃ JOLENTA (ANTIGO FREITAS),0.4706,SEM_MATCH,-10.2826113,-36.5840511,85
