chave_local,latitude,longitude,bairro,distrito,status_geocodificacao,consulta_geocoding
ARAPIRACA|ESCOLA JOAO SATURNINO DE ALMEIDA|AV. JOAO SATURNINO S/N,,,,,NAO_ENCONTRADO,"AV. JOÃO SATURNINO S/N, Arapiraca, Alagoas, Brasil"
"ARAPIRACA|ESCOLA DE 1 GRAU PROFESSOR JAYME DE ALTAVILLA|RUA SANTOS DUMONT, 623",-9.7498653,-36.6655146,Centro,,ENCONTRADO,"RUA SANTOS DUMONT, 623, Arapiraca, Alagoas, Brasil"
ARAPIRACA|ESCOLA DE 1 E 2 GRAUS ROSA MISTICA|RUA ESTUDANTE JOSE DE OLIVEIRA LEITE S/N,-9.7582024,-36.6551726,Ouro Preto,,ENCONTRADO,"RUA ESTUDANTE JOSÉ DE OLIVEIRA LEITE S/N, Arapiraca, Alagoas, Brasil"
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL CLEONICE BARBOSA DE ALMEIDA|CONJUNTO BRISA DO LAGO - OLHO DAGUA DOS CAZUZINHO,,,,,NAO_ENCONTRADO,"CONJUNTO BRISA DO LAGO - OLHO DAGUA DOS CAZUZINHO, Arapiraca, Alagoas, Brasil"
ARAPIRACA|GRUPO ESCOLAR DOMINGOS LOPES|RUA VEREADOR DOMINGOS LOPES S/N,,,,,NAO_ENCONTRADO,"RUA VEREADOR DOMINGOS LOPES S/N, Arapiraca, Alagoas, Brasil"
ARAPIRACA|GRUPO ESCOLAR JOAO BATISTA PEREIRA|COHAB NOVA S/N,,,,,NAO_ENCONTRADO,"COHAB NOVA S/N, Arapiraca, Alagoas, Brasil"
ARAPIRACA|GRUPO ESCOLAR CONEGO EPITACIO RODRIGUES|VILA SAO FRANCISCO,,,,,NAO_ENCONTRADO,"VILA SAO FRANCISCO, Arapiraca, Alagoas, Brasil"
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL ZELIA BARBOSA ROCHA|RUA DJALMA M. SANTANA,,,,,NAO_ENCONTRADO,"RUA DJALMA M. SANTANA, Arapiraca, Alagoas, Brasil"
ARAPIRACA|GRUPO ESCOLAR CRISPINIANO DE BRITO|RUA MANOEL LEAL S/N,-9.7587919,-36.6692525,Cacimbas,,ENCONTRADO,"RUA MANOEL LEAL S/N, Arapiraca, Alagoas, Brasil"
ARAPIRACA|GRUPO ESCOLAR PEDRO CORREIA DAS GRACAS|RUA VICENTE NUNES S/N,,,,,NAO_ENCONTRADO,"RUA VICENTE NUNES S/N, Arapiraca, Alagoas, Brasil"
