municipio,local_sem_geo,local_sem_geo_normalizado,registros_afetados,melhor_local_cache,melhor_endereco_cache,score_similaridade,status_match,latitude_sugerida,longitude_sugerida
CORURIPE,ESCOLA MUN. CENT. EDUCAÇÃO INFANTIL PROF. MARIA ZENAIDE ROCHA SANTOS,ESCOLA MUNICIPAL CENT EDUCACAO INFANTIL PROFESSOR MARIA ZENAIDE ROCHA SANTOS,188,ESCOLA MUN. CENT. EDUCACAO INFANTIL PROF. MARIA ZENAIDE ROCHA SANTOS,"RUA PERNAMBUCO NOVO, S/N,",1.0,MATCH_FORTE,,
MACEIO,ESC. MUN. JOÃO XXIII,ESCOLA MUNICIPAL JOAO XXIII,188,ESC. MUN. JOAO XXIII,"RUA DR.JOSE JOAQUIM DE ARAUJO, S/N",1.0,MATCH_FORTE,,
CORURIPE,ESCOLA MUNICIPAL SANTA SOFIA,ESCOLA MUNICIPAL SANTA SOFIA,188,ESCOLA MUNICIPAL SANTA SOFIA,RUA DA CAIXA DAGUA - POVOADO BOTAFOGO,1.0,MATCH_FORTE,,
RIO LARGO,ANTIGA ESCOLA FRANCISCO LEÃO DO CENTRO,ANTIGA ESCOLA FRANCISCO LEAO DO CENTRO,187,ANTIGA ESCOLA FRANCISCO LEAO DO CENTRO,"PRACA TEIZEIRA BARROS., SN",1.0,MATCH_FORTE,,
MACEIO,ESCOLA MUN. SILVESTRE PÉRICLES,ESCOLA MUNICIPAL SILVESTRE PERICLES,184,ESCOLA MUN. SILVESTRE PERICLES,PRACA DR CAIO DE AGUIAR PORTO S/N - PONTAL DA BARRA,1.0,MATCH_FORTE,,
DELMIRO GOUVEIA,"VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA",VIRGILIA BEZERRA ESCOLA DE 1 E 2 GRAUS PROFESSORA,177,"VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA",AV MASCARENHAS DE MORAIS S/N,1.0,MATCH_FORTE,,
PENEDO,COOPERATIVA EDUCACIONAL DE PENEDO - COOPEPE LTDA,COOPERATIVA EDUCACIONAL DE PENEDO COOPEPE LTDA,175,COOPERATIVA EDUCACIONAL DE PENEDO - COOPEPE LTDA,"PARQUE DR. ADAIL FREIRE PEREIRA, 127 (PRACA SANTA LUZIA)",1.0,MATCH_FORTE,,
MACEIO,COLEGIO ATHENEU,COLEGIO ATHENEU,172,COLEGIO ATHENEU,"ESTRADA DA CODEAL, 33",1.0,MATCH_FORTE,,
ARAPIRACA,ESCOLAR ANA BERNARDES SILVEIRA,ESCOLAR ANA BERNARDES SILVEIRA,171,ESCOLAR ANA BERNARDES SILVEIRA,SERRA DOS FERREIRA S/N,1.0,MATCH_FORTE,,
CORURIPE,ESCOLA ESTADUAL DEPUTADO JOÃO BELTRÃO,ESCOLA ESTADUAL DEPUTADO JOAO BELTRAO,171,ESCOLA ESTADUAL DEPUTADO JOAO BELTRAO,"AV. ANFRISIO DE CASTRO LESSA SANTOS, 506",1.0,MATCH_FORTE,,
MACEIO,ESCOLA ESTADUAL TAVARES BASTOS,ESCOLA ESTADUAL TAVARES BASTOS,169,ESCOLA ESTADUAL TAVARES BASTOS,"PRACA CENTENARIO, S/N",1.0,MATCH_FORTE,,
MARECHAL DEODORO,ESCOLA MUNICIPAL ALTINA RIBEIRO TOLEDO,ESCOLA MUNICIPAL ALTINA RIBEIRO TOLEDO,168,ESCOLA MUNICIPAL ALTINA RIBEIRO TOLEDO,VILA ALTINA SN,1.0,MATCH_FORTE,,
MACEIO,ESCOLA ESTADUAL DR. JÚLIO AUTO,ESCOLA ESTADUAL DOUTOR JULIO AUTO,168,ESCOLA ESTADUAL DR. JULIO AUTO,"CONJUNTO JOAQUIM LEAO, S/N",1.0,MATCH_FORTE,,
RIO LARGO,ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO,ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO,166,ESCOLA PREFEITO WALTER DORIA DE FIGUEIREDO,"CJ MARIO MAFRA, QUADRA D-04",1.0,MATCH_FORTE,,
MARECHAL DEODORO,ESCOLA ESTADUAL JOSÉ CORREIA DA SILVA TITARA,ESCOLA ESTADUAL JOSE CORREIA DA SILVA TITARA,165,ESCOLA ESTADUAL JOSE CORREIA DA SILVA TITARA,LOT BOSQUE DA MASSAGUEIRA N 3A,1.0,MATCH_FORTE,,
MACEIO,E.E. MANUEL BALTAZAR P. DIEGUES JUNIOR,ESCOLA ESTADUAL MANUEL BALTAZAR P DIEGUES JUNIOR,164,E.E. MANUEL BALTAZAR P. DIEGUES JUNIOR,"CONJUNTO SANTA MARIA, S/N - RUA D QD 8",1.0,MATCH_FORTE,,
RIO LARGO,ESCOLA ESTADUAL TABULEIRO DO PINTO,ESCOLA ESTADUAL TABULEIRO DO PINTO,162,ESCOLA ESTADUAL TABULEIRO DO PINTO,RUA DA CAIXA SN,1.0,MATCH_FORTE,,
RIO LARGO,CRECHE MUNICIPAL CELYRIO ADAMASTOR BARRETO ACIOLY,CRECHE MUNICIPAL CELYRIO ADAMASTOR BARRETO ACIOLY,161,CRECHE MUNICIPAL CELYRIO ADAMASTOR BARRETO ACIOLY,"ROD AL 210, CJ EDSON NOVAES S/N",1.0,MATCH_FORTE,,
MACEIO,E.M. GASTONE LÚCIA DE CARVALHO BELTRÃO,ESCOLA MUNICIPAL GASTONE LUCIA DE CARVALHO BELTRAO,159,E.M. GASTONE LUCIA DE CARVALHO BELTRAO,"CONJ. JARDIM ROYAL - MODULO II - QD Q, S/N",1.0,MATCH_FORTE,,
MACEIO,COLÉGIO BRASIL (ANTIGO ISAAC NEWTON),COLEGIO BRASIL ANTIGO ISAAC NEWTON,159,COLEGIO BRASIL (ANTIGO ISAAC NEWTON),"RUA FERNANDO MENDES PINTO, N 11",1.0,MATCH_FORTE,,
MACEIO,EDIFÍCIO DO SENAC,EDIFICIO DO SENAC,158,EDIFICIO DO SENAC,"AV. PEDRO PAULINO, 77",1.0,MATCH_FORTE,,
SAO MIGUEL DOS CAMPOS,ESCOLA MUNICIPAL DIONISIA APRATTO TENORIO,ESCOLA MUNICIPAL DIONISIA APRATTO TENORIO,156,ESCOLA MUNICIPAL DIONISIA APRATTO TENORIO,"AV. PREFEITO PEDRO FERNANDES, S/N",1.0,MATCH_FORTE,,
RIO LARGO,GRUPO ESCOLAR DALMARIO DE SOUZA,GRUPO ESCOLAR DALMARIO DE SOUZA,156,GRUPO ESCOLAR DALMARIO DE SOUZA,RUA ALTO DA SAUDADE SN,1.0,MATCH_FORTE,,
SAO MIGUEL DOS CAMPOS,ESCOLA DE EDUCAÇÃO BÁSICA CONSTRUTIVISTA,ESCOLA DE EDUCACAO BASICA CONSTRUTIVISTA,155,ESCOLA DE EDUCACAO BASICA CONSTRUTIVISTA,"RUA PROJETADA, 16",1.0,MATCH_FORTE,,
ARAPIRACA,CENTRO DE EDUCAÇÃO INFANTIL JOANNA DE ANGELLIS (ANTIGO MADRE PAULINA),CENTRO DE EDUCACAO INFANTIL JOANNA DE ANGELLIS ANTIGO MADRE PAULINA,154,CENTRO DE EDUCACAO INFANTIL JOANNA DE ANGELLIS (ANTIGO MADRE PAULINA),RUA DOMINGOS CORREIA 1065,1.0,MATCH_FORTE,,
MARECHAL DEODORO,ESCOLA MUNICIPAL PREFEITO MANOEL MESSIAS DOS SANTOS,ESCOLA MUNICIPAL PREFEITO MANOEL MESSIAS DOS SANTOS,153,ESCOLA MUNICIPAL PREFEITO MANOEL MESSIAS DOS SANTOS,RUA SALVADOR S/N LOT. LUAR DO FRANCES,1.0,MATCH_FORTE,,
MACEIO,E.E. MANOEL DE ARAUJO DORIA,ESCOLA ESTADUAL MANOEL DE ARAUJO DORIA,152,E.E. MANOEL DE ARAUJO DORIA,"AV. SENADOR TEOTONIO VILELA - CJ HENRIQUE EQUELMAN, S/N",1.0,MATCH_FORTE,,
MACEIO,E.M. SELMA BANDEIRA,ESCOLA MUNICIPAL SELMA BANDEIRA,151,E.M. SELMA BANDEIRA,"AV. DA PAZ, SN - CJ. SELMA BANDEIRA",1.0,MATCH_FORTE,,
MACEIO,ESC. MUN. PIO X (PRÉDIO DO ANTIGO COL.SAGRADA FAMÍLIA),ESCOLA MUNICIPAL PIO X PREDIO DO ANTIGO COLEGIOSAGRADA FAMILIA,150,ESC. MUN. PIO X (PREDIO DO ANTIGO COL.SAGRADA FAMILIA),"RUA PROFESSORA ZEZE LOUREIRO, 200",1.0,MATCH_FORTE,,
MARECHAL DEODORO,ESCOLA MUNICIPAL MARIA PETRONILA DE GOUVEA,ESCOLA MUNICIPAL MARIA PETRONILA DE GOUVEA,149,ESCOLA MUNICIPAL MARIA PETRONILA DE GOUVEA,RUA MARINITA DE GOUVEIA SN,1.0,MATCH_FORTE,,
MACEIO,ESCOLA SANTA ROSA,ESCOLA SANTA ROSA,148,ESCOLA SANTA ROSA,"TRAV FIRMINO DE VASCONCELOS, 100",1.0,MATCH_FORTE,,
MARECHAL DEODORO,ESCOLA ESTADUAL DEODORO DA FONSECA,ESCOLA ESTADUAL DEODORO DA FONSECA,147,ESCOLA ESTADUAL DEODORO DA FONSECA,PRACA PEDRO PAULINO SN,1.0,MATCH_FORTE,,
RIO LARGO,GRUPO ESCOLAR OZORIA MOURA DE LIMA,GRUPO ESCOLAR OZORIA MOURA DE LIMA,147,GRUPO ESCOLAR OZORIA MOURA DE LIMA,RUA ANTONIO ELIAS CALHEIROS S/N,1.0,MATCH_FORTE,,
SAO MIGUEL DOS CAMPOS,CRECHE JOSEFA BENEDITA DOS SANTOS,CRECHE JOSEFA BENEDITA DOS SANTOS,141,CRECHE JOSEFA BENEDITA DOS SANTOS,AVENIDA PEDRO FERNANDES DE COSTA,1.0,MATCH_FORTE,,
MACEIO,CLUBE DA CAIXA ECONÔMICA FEDERAL (APCEF/AL),CLUBE DA CAIXA ECONOMICA FEDERAL APCEF AL,141,CLUBE DA CAIXA ECONOMICA FEDERAL (APCEF/AL),"ROD. AL 101 NORTE, S/N",1.0,MATCH_FORTE,,
RIO LARGO,ESCOLA ESTADUAL JOÃO MORAIS CAVALCANTE,ESCOLA ESTADUAL JOAO MORAIS CAVALCANTE,141,ESCOLA ESTADUAL JOAO MORAIS CAVALCANTE,"R. DO MATADOURO, CJ HAB JOSE FERNANDES TORRES, CJ MUTIRAO",1.0,MATCH_FORTE,,
SAO MIGUEL DOS CAMPOS,COLÉGIO MUNICIPAL ESTHER SOARES TORRES,COLEGIO MUNICIPAL ESTHER SOARES TORRES,139,COLEGIO MUNICIPAL ESTHER SOARES TORRES,"AVENIDA PREFEITO PEDRO FERNANDES DA COSTA, S/N",1.0,MATCH_FORTE,,
SAO MIGUEL DOS CAMPOS,ESCOLA DE ENSINO SUPERIOR DE SAO MIGUEL DOS CAMPOS,ESCOLA DE ENSINO SUPERIOR DE SAO MIGUEL DOS CAMPOS,135,ESCOLA DE ENSINO SUPERIOR DE SAO MIGUEL DOS CAMPOS,"PRACA SENHORA DOS PRAZERES, SN",1.0,MATCH_FORTE,,
RIO LARGO,GRUPO ESCOLAR PROFESSOR POMPEU SARMENTO,GRUPO ESCOLAR PROFESSOR POMPEU SARMENTO,132,GRUPO ESCOLAR PROFESSOR POMPEU SARMENTO,TRAV SANTA LUZIA S/N,1.0,MATCH_FORTE,,
CORURIPE,CENTRO EDUCACIONAL PROFISSIONAL MARIA ALICE BELTRÃO DE CASTRO SIQUEIRA,CENTRO EDUCACIONAL PROFISSIONAL MARIA ALICE BELTRAO DE CASTRO SIQUEIRA,131,CENTRO EDUCACIONAL PROFISSIONAL MARIA ALICE BELTRAO DE CASTRO SIQUEIRA,RUA PERNAMBUCO NOVO,1.0,MATCH_FORTE,,
MACEIO,ESCOLA MUN. DOM MIGUEL FENELON CÂMARA,ESCOLA MUNICIPAL DOM MIGUEL FENELON CAMARA,130,ESCOLA MUN. DOM MIGUEL FENELON CAMARA,"LOTEAMENTO JARDIM PETROPOLIS II, SN, QD 26",1.0,MATCH_FORTE,,
MACEIO,ESCOLA MUN. PROF. DERALDO CAMPOS,ESCOLA MUNICIPAL PROFESSOR DERALDO CAMPOS,129,ESCOLA MUN. PROF. DERALDO CAMPOS,"RUA TENENTE MOISES S. FIRMINO, S/N",1.0,MATCH_FORTE,,
CORURIPE,ESCOLA MUNICIPAL MANOEL CECÍLIO DE JESUS,ESCOLA MUNICIPAL MANOEL CECILIO DE JESUS,128,ESCOLA MUNICIPAL MANOEL CECILIO DE JESUS,"RUA DO JASMIM,",1.0,MATCH_FORTE,,
ARAPIRACA,GRUPO ESCOLAR CÔNEGO EPITÁCIO RODRIGUES,GRUPO ESCOLAR CONEGO EPITACIO RODRIGUES,127,GRUPO ESCOLAR CONEGO EPITACIO RODRIGUES,VILA SAO FRANCISCO,1.0,MATCH_FORTE,,
MARECHAL DEODORO,ESCOLA MUNICIPAL CARLOS AVELINO DA SILVA,ESCOLA MUNICIPAL CARLOS AVELINO DA SILVA,126,ESCOLA MUNICIPAL CARLOS AVELINO DA SILVA,"RES MARIA GISLENE MATHEUS, S/N",1.0,MATCH_FORTE,,
MACEIO,INSS,INSS,125,INSS,"AV. DONA CONSTANCIA DE GOES MONTEIRO, S/N",1.0,MATCH_FORTE,,
ARAPIRACA,IFAL - INSTITUTO FEDERAL DE ALAGOAS,IFAL INSTITUTO FEDERAL DE ALAGOAS,125,IFAL - INSTITUTO FEDERAL DE ALAGOAS,"RODOVIA AL 110, N 4805",1.0,MATCH_FORTE,,
RIO LARGO,ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO,ESCOLA DE EDUCACAO INFANTIL PADRE PAULINO,125,ESCOLA DE EDUCACAO INFANTIL PADRE PAULINO,CONJUNTO MUTIRAO,1.0,MATCH_FORTE,,
MACEIO,ESC. EST. PROFª ANA COELHO PALMEIRA,ESCOLA ESTADUAL PROF ANA COELHO PALMEIRA,124,ESC. EST. PROFa ANA COELHO PALMEIRA,"CONJ. ALFREDO GASPAR DE MENDONCA, S/N",0.9302,MATCH_PROVAVEL,,
PENEDO,ESCOLA ESTADUAL DR. ALCIDES ANDRADE,ESCOLA ESTADUAL DOUTOR ALCIDES ANDRADE,122,ESCOLA ESTADUAL DR. ALCIDES ANDRADE,"ROD. ENGENHEIRO JOAQUIM GONCALVES, S/N, PX. A GRANDE RIO VEICULOS",1.0,MATCH_FORTE,,
PENEDO,EMEB VEREADOR JOSÉ DA COSTA MANGABEIRA,EMEB VEREADOR JOSE DA COSTA MANGABEIRA,122,EMEB VEREADOR JOSE DA COSTA MANGABEIRA,"RUA F, LOTEAMENTO SAO GONCALO, SN",1.0,MATCH_FORTE,,
RIO LARGO,GRUPO ESCOLAR ODILO ALVARES DE SOUZA,GRUPO ESCOLAR ODILO ALVARES DE SOUZA,122,GRUPO ESCOLAR ODILO ALVARES DE SOUZA,AV MUNIZ FALCAO SN,1.0,MATCH_FORTE,,
RIO LARGO,ESCOLA DE EDUCAÇÃO INFANTIL AQUINO JAPIASSÚ,ESCOLA DE EDUCACAO INFANTIL AQUINO JAPIASSU,120,ESCOLA DE EDUCACAO INFANTIL AQUINO JAPIASSU,VILA MARILIA,1.0,MATCH_FORTE,,
MACEIO,CMEI HERBERT DE SOUZA,CMEI HERBERT DE SOUZA,115,CMEI HERBERT DE SOUZA,"ROD. AL 101 NORTE, S/N",1.0,MATCH_FORTE,,
ARAPIRACA,CENTRO DE EDUCAÇÃO INFANTIL MARIA DE LOURDES PEREIRA CAVALCANTE,CENTRO DE EDUCACAO INFANTIL MARIA DE LOURDES PEREIRA CAVALCANTE,115,CENTRO DE EDUCACAO INFANTIL MARIA DE LOURDES PEREIRA CAVALCANTE,"RUA OSMAN CAVALCANTE, S/N",1.0,MATCH_FORTE,,
SAO MIGUEL DOS CAMPOS,ESCOLA DE 1 E 2 GRAUS NUNILA MACHADO,ESCOLA DE 1 E 2 GRAUS NUNILA MACHADO,115,ESCOLA DE 1 E 2 GRAUS NUNILA MACHADO,"VISCONDE DE SINIMBU, 182",1.0,MATCH_FORTE,,
DELMIRO GOUVEIA,"FRANCISCA ROSA DA COSTA,GRUPO ESCOLAR",FRANCISCA ROSA DA COSTA GRUPO ESCOLAR,113,"FRANCISCA ROSA DA COSTA,GRUPO ESCOLAR","RUA SARGENTO REGINALDO BANDEIRA, 342",1.0,MATCH_FORTE,,
MACEIO,E.E. AQUILINA BULHÕES BARROS,ESCOLA ESTADUAL AQUILINA BULHOES BARROS,111,E.E. AQUILINA BULHOES BARROS,"RUA HENRIQUE FRANCISCO BULHOES, 14 QD C",1.0,MATCH_FORTE,,
SAO MIGUEL DOS CAMPOS,ESCOLA DE 1 GRAU TARCISIO SOARES PALMEIRA,ESCOLA DE 1 GRAU TARCISIO SOARES PALMEIRA,110,ESCOLA DE 1 GRAU TARCISIO SOARES PALMEIRA,"TRAVESSA SENADOR MAXIMO, 104",1.0,MATCH_FORTE,,
UNIAO DOS PALMARES,CRECHE MUNICIPAL TIA SUZETE,CRECHE MUNICIPAL TIA SUZETE,108,CRECHE MUNICIPAL TIA SUZETE,CONJUNTO NOVA ESPERANCA,1.0,MATCH_FORTE,,
MARECHAL DEODORO,NEI ADÉLIA CAVALCANTE COSTA,NEI ADELIA CAVALCANTE COSTA,106,NEI ADELIA CAVALCANTE COSTA,RUA DOS CAJUEIROS,1.0,MATCH_FORTE,,
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL GUIMARÃES PASSOS,ESCOLA DE ENSINO FUNDAMENTAL GUIMARAES PASSOS,106,ESCOLA DE ENSINO FUNDAMENTAL GUIMARAES PASSOS,VILA FERNANDES,1.0,MATCH_FORTE,,
UNIAO DOS PALMARES,ESCOLA DE ENSINO FUNDAMENTAL FERNANDO JUAZEIRO,ESCOLA DE ENSINO FUNDAMENTAL FERNANDO JUAZEIRO,106,ESCOLA DE ENSINO FUNDAMENTAL FERNANDO JUAZEIRO,AV. DR. HERMANO PLECH 488,1.0,MATCH_FORTE,,
SAO MIGUEL DOS CAMPOS,ESCOLA ESTADUAL PROFESSORA EDILEUZA OLIVEIRA DA SILVA,ESCOLA ESTADUAL PROFESSORA EDILEUZA OLIVEIRA DA SILVA,101,ESCOLA ESTADUAL PROFESSORA EDILEUZA OLIVEIRA DA SILVA,"RUA PROJETADA, S/N",1.0,MATCH_FORTE,,
PALMEIRA DOS INDIOS,GRUPO ESCOLAR ANTÔNIA MACEDO,GRUPO ESCOLAR ANTONIA MACEDO,101,GRUPO ESCOLAR ANTONIA MACEDO,RUA CEL ANTONIO PANTALEAO SN,1.0,MATCH_FORTE,,
MACEIO,ESC. EST. PROFª EROTILDES RODRIGUES SALDANHA (EX SEN PETRÔNIO PORTELA),ESCOLA ESTADUAL PROF EROTILDES RODRIGUES SALDANHA EX SEN PETRONIO PORTELA,99,ESC. EST. PROFa EROTILDES RODRIGUES SALDANHA (EX SEN PETRONIO PORTELA),"RUA GOV. LAMENHA FILHO, S/N",0.9605,MATCH_FORTE,,
MACEIO,COLÉGIO DOM BOSCO (ANTIGO COLÉGIO CARVALHO),COLEGIO DOM BOSCO ANTIGO COLEGIO CARVALHO,99,COLEGIO DOM BOSCO (ANTIGO COLEGIO CARVALHO),RUA EURICO AYRES N. 131,1.0,MATCH_FORTE,,
MACEIO,COLÉGIO ROSA MÍSTICA,COLEGIO ROSA MISTICA,99,COLEGIO ROSA MISTICA,"CONJUNTO OSMAN LOUREIRO, RUA 15, N 133, QD C2",1.0,MATCH_FORTE,,
MACEIO,CMEI SÔNIA CAVALCANTI,CMEI SONIA CAVALCANTI,98,CMEI SONIA CAVALCANTI,"RUA GENERAL HERMES, S/N, BOM PARTO (VIZ. A SEMED)",1.0,MATCH_FORTE,,
MACEIO,ESCOLA ESTADUAL MARIA AMÁLIA,ESCOLA ESTADUAL MARIA AMALIA,98,ESCOLA ESTADUAL MARIA AMALIA,"RUA VALDEMAR RUFINO DOS SANTOS, S/N,VILA ABC",1.0,MATCH_FORTE,,
PENEDO,IFAL - CAMPUS PENEDO,IFAL CAMPUS PENEDO,96,IFAL - CAMPUS PENEDO,"ROD ENGENHEIRO JOAQUIM GONCALVES, S/N LOT SAO JOSE",1.0,MATCH_FORTE,,
MARECHAL DEODORO,NEI MARIA IRENE DA SILVA,NEI MARIA IRENE DA SILVA,96,NEI MARIA IRENE DA SILVA,AV VIOLETA SN RD DENISSON AMORIM,1.0,MATCH_FORTE,,
PALMEIRA DOS INDIOS,ESCOLA ESTADUAL MANOEL PASSOS LIMA,ESCOLA ESTADUAL MANOEL PASSOS LIMA,95,ESCOLA ESTADUAL MANOEL PASSOS LIMA,"RUA GERVASIO MOREIRA, S/N",1.0,MATCH_FORTE,,
PENEDO,FACULDADE RAIMUNDO MARINHO DE PENEDO,FACULDADE RAIMUNDO MARINHO DE PENEDO,92,FACULDADE RAIMUNDO MARINHO DE PENEDO,"RUA 15 DE NOVEMBRO, FRM",1.0,MATCH_FORTE,,
MACEIO,ESC. MUN. NOSSA SRª APARECIDA (PRÉDIO DO ANTIGO COL.SAGRADA FAMÍLIA),ESCOLA MUNICIPAL NOSSA SR APARECIDA PREDIO DO ANTIGO COLEGIOSAGRADA FAMILIA,91,ESC. MUN. NOSSA SRa APARECIDA (PREDIO DO ANTIGO COL.SAGRADA FAMILIA),"RUA PROFESSORA MARIA JOSE LOUREIRO, S/N",0.9934,MATCH_FORTE,,
MACEIO,ESCOLA EST. DOM ADELMO MACHADO,ESCOLA ESTADUAL DOM ADELMO MACHADO,89,ESCOLA EST. DOM ADELMO MACHADO,"RUA DOM ADELMO MACHADO, S/N",1.0,MATCH_FORTE,,
RIO LARGO,CMEI DESEMBARGADOR FRANCISCO WILDO LACERDA DANTAS,CMEI DESEMBARGADOR FRANCISCO WILDO LACERDA DANTAS,88,CMEI DESEMBARGADOR FRANCISCO WILDO LACERDA DANTAS,"CJ ANTONIO LINS DE SOUSA , QD6, MATA DO ROLO",1.0,MATCH_FORTE,,
DELMIRO GOUVEIA,"NOEMIA BANDEIRA DA SILVA,ESCOLA",NOEMIA BANDEIRA DA SILVA ESCOLA,86,"NOEMIA BANDEIRA DA SILVA,ESCOLA","RUA DO CHAFARIZ, SN",1.0,MATCH_FORTE,,
MACEIO,ESC. MUN. PROFª NEIDE DE FREITAS FRANÇA,ESCOLA MUNICIPAL PROF NEIDE DE FREITAS FRANCA,84,ESC. MUN. PROFa NEIDE DE FREITAS FRANCA,"CONJ. OTACILIO HOLANDA, S/N",0.9375,MATCH_PROVAVEL,,
MACEIO,SEADES - SEC. DE EST. DA ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL,SEADES SEC DE ESTADUAL DA ASSISTENCIA E DESENVOLVIMENTO SOCIAL,84,SEADES - SEC. DE EST. DA ASSISTENCIA E DESENVOLVIMENTO SOCIAL,RUA COMENDADOR CALACA 1339,1.0,MATCH_FORTE,,
MACEIO,ESCOLA ESTADUAL MAJOR EDUARDO EMILIANO DA FONSECA,ESCOLA ESTADUAL MAJOR EDUARDO EMILIANO DA FONSECA,82,ESCOLA ESTADUAL MAJOR EDUARDO EMILIANO DA FONSECA,"RUA DR LUIS DE BARROS, S/N",1.0,MATCH_FORTE,,
MACEIO,GRUPO ESCOLAR ANTÔNIO VASCO,GRUPO ESCOLAR ANTONIO VASCO,82,GRUPO ESCOLAR ANTONIO VASCO,"PRACA JOSE EMIDIO DE CARVALHO, S/N",1.0,MATCH_FORTE,,
PENEDO,GRUPO ESCOLAR ESTADUAL GABINO BESOURO,GRUPO ESCOLAR ESTADUAL GABINO BESOURO,81,GRUPO ESCOLAR ESTADUAL GABINO BESOURO,"AVENIDA NILO PECANHA, 182, PROXIMO AO TIRO DE GUERRA",1.0,MATCH_FORTE,,
MARECHAL DEODORO,ESCOLA PROFESSORA ELEUZA GALVÃO RODAS,ESCOLA PROFESSORA ELEUZA GALVAO RODAS,79,ESCOLA PROFESSORA ELEUZA GALVAO RODAS,RUA ARTHUR PAIVA REGO SN,1.0,MATCH_FORTE,,
DELMIRO GOUVEIA,ESCOLA ESTADUAL PEDRO NEPOMUCENO DOS SANTOS,ESCOLA ESTADUAL PEDRO NEPOMUCENO DOS SANTOS,79,ESCOLA ESTADUAL PEDRO NEPOMUCENO DOS SANTOS,"RUA PROJETADA, S/N. DISTRITO DE BARRAGEM LESTE",1.0,MATCH_FORTE,,
CORURIPE,ESCOLA MUNICIPAL GENERAL DE GOIS MONTEIRO,ESCOLA MUNICIPAL GENERAL DE GOIS MONTEIRO,77,ESCOLA MUNICIPAL GENERAL DE GOIS MONTEIRO,"RUA ABELARDO HOLANDA, 105",1.0,MATCH_FORTE,,
MARECHAL DEODORO,ESCOLA MUNICIPAL PREFEITO EDIVAL LEMOS SANTOS,ESCOLA MUNICIPAL PREFEITO EDIVAL LEMOS SANTOS,76,ESCOLA MUNICIPAL PREFEITO EDIVAL LEMOS SANTOS,AV. SAO JOSE POEIRA SN,1.0,MATCH_FORTE,,
RIO LARGO,CRIA-CENTRO INFANTIL CORÁLIA GOMES DA SILVA,CRIA CENTRO INFANTIL CORALIA GOMES DA SILVA,76,CRIA-CENTRO INFANTIL CORALIA GOMES DA SILVA,"CJ JARBAS OITICICA, QD B2, N 45, MATA DO ROLO",1.0,MATCH_FORTE,,
CORURIPE,ESCOLA MUNICIPAL NOSSA SENHORA DO MONT SERRAT,ESCOLA MUNICIPAL NOSSA SENHORA DO MONT SERRAT,71,ESCOLA MUNICIPAL NOSSA SENHORA DO MONT SERRAT,"POVOADO MIAI DE BAIXO, S/N",1.0,MATCH_FORTE,,
DELMIRO GOUVEIA,"ANCHIETA, GRUPO ESCOLAR PADRE ( POV. LAGOINHA)",ANCHIETA GRUPO ESCOLAR PADRE POV LAGOINHA,69,"ANCHIETA, GRUPO ESCOLAR PADRE ( POV. LAGOINHA)",POVOADO LAGOINHAS S/N,1.0,MATCH_FORTE,,
UNIAO DOS PALMARES,ESCOLA MUNICIPAL LAURA PEREIRA DA SILVA,ESCOLA MUNICIPAL LAURA PEREIRA DA SILVA,66,ESCOLA MUNICIPAL LAURA PEREIRA DA SILVA,"RUA CUPERTINO DOS PRAZERES, S/N",1.0,MATCH_FORTE,,
PENEDO,ESCOLA ESTADUAL HERMÍLIO DE FREITAS MELRO,ESCOLA ESTADUAL HERMILIO DE FREITAS MELRO,62,ESCOLA ESTADUAL HERMILIO DE FREITAS MELRO,"AVENIDA WANDERLEY, 396, EM FRENTE AO SEMEP",1.0,MATCH_FORTE,,
MACEIO,COLÉGIO SÃO JERÔNIMO,COLEGIO SAO JERONIMO,62,COLEGIO SAO JERONIMO,"RUA JACI MELO, S/N, C6JX, 7R, JARDIM DA SAUDE",1.0,MATCH_FORTE,,
PENEDO,UNIDADE DE ENSINO DE PENEDO/UFAL,UNIDADE DE ENSINO DE PENEDO UFAL,58,UNIDADE DE ENSINO DE PENEDO/UFAL,"AVENIDA BEIRA RIO, S/N, UFAL, PX. A DELEGACIA DE POLICIA",1.0,MATCH_FORTE,,
MACEIO,ESCOLA MUNICIPAL JOÃO FEITOSA,ESCOLA MUNICIPAL JOAO FEITOSA,57,ESCOLA MUNICIPAL JOAO FEITOSA,"RUA SAO LUIZ, RESIDENCIAL VALE DO TOCANTINS",1.0,MATCH_FORTE,,
DELMIRO GOUVEIA,"ERENICE GOMES DE LIMA, ESCOLA ESTADUAL PROFª",ERENICE GOMES DE LIMA ESCOLA ESTADUAL PROF,55,"ERENICE GOMES DE LIMA, ESCOLA ESTADUAL PROFa",RUA MARTINHA CARDEAL S/N,0.9333,MATCH_PROVAVEL,,
