municipio,local_sem_geo,local_sem_geo_normalizado,registros_afetados,melhor_local_cache,melhor_endereco_cache,score_similaridade,status_match,latitude_sugerida,longitude_sugerida
MACEIO,E.M. PROFESSOR CORINTHO DA PAZ,ESCOLA MUNICIPAL PROFESSOR CORINTHO DA PAZ,328,E.M. PROFESSOR CORINTHO DA PAZ,"RUA 5-A, S/N - CJ. EUSTAQUIO GOMES DE MELO",1.0,MATCH_FORTE,,
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS,ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS,323,ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS,POVOADO CANGANDU S/N,1.0,MATCH_FORTE,,
MACEIO,ESC. EST. PROF. THEOTÔNIO VILELA BRANDÃO,ESCOLA ESTADUAL PROFESSOR THEOTONIO VILELA BRANDAO,319,ESC. EST. PROF. THEOTONIO VILELA BRANDAO,"RUA ADAUTO GOMES BARBOSA, SN - SANTO EDUARDO",1.0,MATCH_FORTE,,
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ZÉLIA BARBOSA ROCHA,ESCOLA DE ENSINO FUNDAMENTAL ZELIA BARBOSA ROCHA,314,ESCOLA DE ENSINO FUNDAMENTAL ZELIA BARBOSA ROCHA,RUA DJALMA M. SANTANA,1.0,MATCH_FORTE,,
SAO MIGUEL DOS CAMPOS,COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA,COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA,313,COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA,"AV. SAMPAIO MARQUES, S/N",1.0,MATCH_FORTE,,
MACEIO,ESCOLA ESTADUAL PROFª. IRENE GARRIDO,ESCOLA ESTADUAL PROF IRENE GARRIDO,308,ESCOLA ESTADUAL PROFa. IRENE GARRIDO,"RUA G, QD 3, S/N, CONJ. DUBEAUX LEAO",0.9189,MATCH_PROVAVEL,,
MACEIO,COLÉGIO INTENSIVO,COLEGIO INTENSIVO,308,COLEGIO INTENSIVO,"LARGO DA VITORIA, 215",1.0,MATCH_FORTE,,
MACEIO,COLÉGIO EDSON MONTEIRO,COLEGIO EDSON MONTEIRO,308,COLEGIO EDSON MONTEIRO,"RUA ANDRE PAPINE GOES, 177, LOTEAMENTO ACAUA",1.0,MATCH_FORTE,,
RIO LARGO,ESCOLA ESTADUAL SANTOS DUMONT,ESCOLA ESTADUAL SANTOS DUMONT,301,ESCOLA ESTADUAL SANTOS DUMONT,BR 104 - DESTACAMENTO DA FAB - VILA MILITAR,1.0,MATCH_FORTE,,
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL CLEONICE BARBOSA DE ALMEIDA,ESCOLA DE ENSINO FUNDAMENTAL CLEONICE BARBOSA DE ALMEIDA,301,ESCOLA DE ENSINO FUNDAMENTAL CLEONICE BARBOSA DE ALMEIDA,CONJUNTO BRISA DO LAGO - OLHO DAGUA DOS CAZUZINHO,1.0,MATCH_FORTE,,
MACEIO,ESCOLA EST. DR. EDSON BERNARDES,ESCOLA ESTADUAL DOUTOR EDSON BERNARDES,300,ESCOLA EST. DR. EDSON BERNARDES,"CONJ. JOAQUIM LEAO, S/N",1.0,MATCH_FORTE,,
MACEIO,COLÉGIO ZUMBI DOS PALMARES,COLEGIO ZUMBI DOS PALMARES,299,COLEGIO ZUMBI DOS PALMARES,"CJ ROSANE COLLOR, QD M, S/N",1.0,MATCH_FORTE,,
MACEIO,ESC. MUN. PROF. LENILTO ALVES SANTOS,ESCOLA MUNICIPAL PROFESSOR LENILTO ALVES SANTOS,289,ESC. MUN. PROF. LENILTO ALVES SANTOS,"RUA ENFERMEIRO MARIANO - COHAB, S/N",1.0,MATCH_FORTE,,
MACEIO,E.E. DEPUTADO RUBENS CANUTO,ESCOLA ESTADUAL DEPUTADO RUBENS CANUTO,287,E.E. DEPUTADO RUBENS CANUTO,"AV. GURGURI , S/N",1.0,MATCH_FORTE,,
RIO LARGO,ESCOLA DE ENSINO FUND DR GASTAO OITICICA,ESCOLA DE ENSINO FUNDAMENTAL DOUTOR GASTAO OITICICA,282,ESCOLA DE ENSINO FUND DR GASTAO OITICICA,AV JULIO CALHEIROS S/N,1.0,MATCH_FORTE,,
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL LOJA MAÇONICA,ESCOLA DE ENSINO FUNDAMENTAL LOJA MACONICA,281,ESCOLA DE ENSINO FUNDAMENTAL LOJA MACONICA,RUA JOSE CLOVIS R. DE BARROS,1.0,MATCH_FORTE,,
ARAPIRACA,GRUPO ESCOLAR PEDRO CORREIA DAS GRAÇAS,GRUPO ESCOLAR PEDRO CORREIA DAS GRACAS,279,GRUPO ESCOLAR PEDRO CORREIA DAS GRACAS,RUA VICENTE NUNES S/N,1.0,MATCH_FORTE,,
MACEIO,ESC. MUN. ARNON AFFONSO FARIAS DE MELLO,ESCOLA MUNICIPAL ARNON AFFONSO FARIAS DE MELLO,275,ESC. MUN. ARNON AFFONSO FARIAS DE MELLO,"CONJ. JOSE DA SILVA PEIXOTO, S/N",1.0,MATCH_FORTE,,
MACEIO,COLÉGIO MARIA MONTESSORI,COLEGIO MARIA MONTESSORI,274,COLEGIO MARIA MONTESSORI,RUA PAPA JOAO PAULO 30,1.0,MATCH_FORTE,,
CORURIPE,ESCOLA ESTADUAL LIMA CASTRO,ESCOLA ESTADUAL LIMA CASTRO,273,ESCOLA ESTADUAL LIMA CASTRO,"AVENIDA WASHINTON LUIZ, ANTIGA AV CAMACARI",1.0,MATCH_FORTE,,
MACEIO,COLÉGIO SANTÍSSIMO SENHOR,COLEGIO SANTISSIMO SENHOR,271,COLEGIO SANTISSIMO SENHOR,"LOTEAMENTO BRISA DA SERRARIA, 302 - CONJ. JOSE TENORIO",1.0,MATCH_FORTE,,
