_municipio_norm,_local_norm,municipio,local_votacao,qtd_registros_afetados
UNIAO DOS PALMARES,ESCOLA DE ENSINO FUNDAMENTAL FERNANDO JUAZEIRO,UNIAO DOS PALMARES,ESCOLA DE ENSINO FUNDAMENTAL FERNANDO JUAZEIRO,106
SAO MIGUEL DOS CAMPOS,ESCOLA ESTADUAL PROFESSORA EDILEUZA OLIVEIRA DA SILVA,SAO MIGUEL DOS CAMPOS,ESCOLA ESTADUAL PROFESSORA EDILEUZA OLIVEIRA DA SILVA,101
PALMEIRA DOS INDIOS,GRUPO ESCOLAR ANTONIA MACEDO,PALMEIRA DOS INDIOS,GRUPO ESCOLAR ANTÔNIA MACEDO,101
MACEIO,ESCOLA ESTADUAL PROF EROTILDES RODRIGUES SALDANHA EX SEN PETRONIO PORTELA,MACEIO,ESC. EST. PROFª EROTILDES RODRIGUES SALDANHA (EX SEN PETRÔNIO PORTELA),99
MACEIO,COLEGIO DOM BOSCO ANTIGO COLEGIO CARVALHO,MACEIO,COLÉGIO DOM BOSCO (ANTIGO COLÉGIO CARVALHO),99
MACEIO,COLEGIO ROSA MISTICA,MACEIO,COLÉGIO ROSA MÍSTICA,99
MACEIO,CMEI SONIA CAVALCANTI,MACEIO,CMEI SÔNIA CAVALCANTI,98
MACEIO,ESCOLA ESTADUAL MARIA AMALIA,MACEIO,ESCOLA ESTADUAL MARIA AMÁLIA,98
PENEDO,IFAL CAMPUS PENEDO,PENEDO,IFAL - CAMPUS PENEDO,96
MARECHAL DEODORO,NEI MARIA IRENE DA SILVA,MARECHAL DEODORO,NEI MARIA IRENE DA SILVA,96
PALMEIRA DOS INDIOS,ESCOLA ESTADUAL MANOEL PASSOS LIMA,PALMEIRA DOS INDIOS,ESCOLA ESTADUAL MANOEL PASSOS LIMA,95
PENEDO,FACULDADE RAIMUNDO MARINHO DE PENEDO,PENEDO,FACULDADE RAIMUNDO MARINHO DE PENEDO,92
MACEIO,ESCOLA MUNICIPAL NOSSA SR APARECIDA PREDIO DO ANTIGO COLEGIOSAGRADA FAMILIA,MACEIO,ESC. MUN. NOSSA SRª APARECIDA (PRÉDIO DO ANTIGO COL.SAGRADA FAMÍLIA),91
MACEIO,ESCOLA ESTADUAL DOM ADELMO MACHADO,MACEIO,ESCOLA EST. DOM ADELMO MACHADO,89
